state,district,year,peas_and_beans_kharif_yield_tonne_per_hectare
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khandwa,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khargone,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Mandla,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mandsaur,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Morena,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Narsinghpur,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Neemuch,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Niwari,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Panna,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Raisen,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajgarh,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ratlam,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rewa,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sagar,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Satna,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sehore,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Seoni,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shahdol,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shajapur,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sheopur,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shivpuri,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sidhi,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Singrauli,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tikamgarh,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ujjain,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Umaria,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vidisha,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Manipur,Bishnupur,2000 - 2001,0.5
,,2001 - 2002,0.47
,,2002 - 2003,0.6
,,2003 - 2004,0.6
,,2004 - 2005,0.45
,,2005 - 2006,0.6
,,2006 - 2007,0.5
,,2007 - 2008,0.52
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Chandel,2000 - 2001,0.64
,,2001 - 2002,0.5
,,2002 - 2003,0.53
,,2003 - 2004,0.52
,,2004 - 2005,0.52
,,2005 - 2006,0.51
,,2006 - 2007,0.51
,,2007 - 2008,0.5
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Churachandpur,2000 - 2001,0.5
,,2001 - 2002,0.51
,,2002 - 2003,0.51
,,2003 - 2004,0.5
,,2004 - 2005,0.51
,,2005 - 2006,0.57
,,2006 - 2007,0.51
,,2007 - 2008,0.51
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Imphal east,2000 - 2001,0.52
,,2001 - 2002,0.51
,,2002 - 2003,0.5
,,2003 - 2004,0.51
,,2004 - 2005,0.52
,,2005 - 2006,0.51
,,2006 - 2007,0.52
,,2007 - 2008,0.51
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Imphal west,2000 - 2001,0.5
,,2001 - 2002,0.57
,,2002 - 2003,0.5
,,2003 - 2004,0.53
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.52
,,2007 - 2008,0.5
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Senapati,2000 - 2001,0.51
,,2001 - 2002,0.5
,,2002 - 2003,0.51
,,2003 - 2004,0.51
,,2004 - 2005,0.5
,,2005 - 2006,0.51
,,2006 - 2007,0.51
,,2007 - 2008,0.51
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Tamenglong,2000 - 2001,0.75
,,2001 - 2002,0.67
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.57
,,2005 - 2006,0.52
,,2006 - 2007,0.53
,,2007 - 2008,0.51
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Thoubal,2000 - 2001,0.51
,,2001 - 2002,0.51
,,2002 - 2003,0.51
,,2003 - 2004,0.51
,,2004 - 2005,0.5
,,2005 - 2006,0.49
,,2006 - 2007,0.5
,,2007 - 2008,0.51
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Ukhrul,2002 - 2003,0.51
,,2003 - 2004,0.5
,,2004 - 2005,0.51
,,2005 - 2006,0.51
,,2006 - 2007,0.51
,,2007 - 2008,0.51
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
Meghalaya,East garo hills,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,East jaintia hills,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,East khasi hills,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,North garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Ri bhoi,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,South garo hills,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,South west garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,South west khasi hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,West garo hills,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,West jaintia hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,West khasi hills,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
Mizoram,Aizawl,2001 - 2002,1.13
,,2003 - 2004,0.87
,,2005 - 2006,1.0
,Champhai,2003 - 2004,
,,2005 - 2006,
,Kolasib,2001 - 2002,1.54
,,2003 - 2004,
,,2005 - 2006,1.29
,Lawngtlai,2005 - 2006,0.0
,Lunglei,2001 - 2002,1.92
,,2003 - 2004,1.0
,,2005 - 2006,0.64
,Mamit,2003 - 2004,1.24
,,2005 - 2006,1.17
,Saiha,2003 - 2004,0.5
,,2005 - 2006,0.0
,Serchhip,2005 - 2006,
Nagaland,Chumoukedima,2022 - 2023,
,Dimapur,2000 - 2001,
,,2001 - 2002,1.09
,,2002 - 2003,1.25
,,2003 - 2004,1.26
,,2004 - 2005,0.7
,,2005 - 2006,0.9
,,2006 - 2007,1.14
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kiphire,2008 - 2009,1.35
,,2009 - 2010,1.06
,,2010 - 2011,1.25
,,2011 - 2012,1.25
,,2012 - 2013,1.29
,,2013 - 2014,1.29
,,2014 - 2015,1.29
,,2015 - 2016,1.29
,,2016 - 2017,1.35
,,2017 - 2018,1.35
,,2018 - 2019,1.35
,,2019 - 2020,1.35
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kohima,2000 - 2001,0.65
,,2001 - 2002,0.74
,,2002 - 2003,1.0
,,2003 - 2004,1.92
,,2004 - 2005,1.1
,,2005 - 2006,1.18
,,2006 - 2007,1.29
,,2007 - 2008,
,,2008 - 2009,1.43
,,2009 - 2010,1.1
,,2010 - 2011,1.23
,,2011 - 2012,1.25
,,2012 - 2013,1.33
,,2013 - 2014,1.35
,,2014 - 2015,1.38
,,2015 - 2016,1.37
,,2016 - 2017,1.37
,,2017 - 2018,1.37
,,2018 - 2019,1.36
,,2019 - 2020,1.4
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Longleng,2008 - 2009,1.25
,,2009 - 2010,1.07
,,2010 - 2011,1.27
,,2011 - 2012,1.27
,,2012 - 2013,1.33
,,2013 - 2014,1.33
,,2014 - 2015,1.4
,,2015 - 2016,1.4
,,2016 - 2017,1.33
,,2017 - 2018,1.33
,,2018 - 2019,1.33
,,2019 - 2020,1.33
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mokokchung,2000 - 2001,0.67
,,2001 - 2002,0.72
,,2002 - 2003,1.25
,,2003 - 2004,1.42
,,2004 - 2005,0.5
,,2005 - 2006,0.73
,,2006 - 2007,1.07
,,2007 - 2008,
,,2008 - 2009,1.48
,,2009 - 2010,1.14
,,2010 - 2011,1.23
,,2011 - 2012,1.23
,,2012 - 2013,1.32
,,2013 - 2014,1.35
,,2014 - 2015,1.39
,,2015 - 2016,1.39
,,2016 - 2017,1.35
,,2017 - 2018,1.41
,,2018 - 2019,1.41
,,2019 - 2020,1.4
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mon,2000 - 2001,0.65
,,2001 - 2002,0.8
,,2002 - 2003,1.3
,,2003 - 2004,1.13
,,2004 - 2005,0.42
,,2005 - 2006,0.54
,,2006 - 2007,1.18
,,2007 - 2008,
,,2008 - 2009,1.5
,,2009 - 2010,1.11
,,2010 - 2011,1.25
,,2011 - 2012,1.25
,,2012 - 2013,1.29
,,2013 - 2014,1.33
,,2014 - 2015,1.38
,,2015 - 2016,1.38
,,2016 - 2017,1.33
,,2017 - 2018,1.33
,,2018 - 2019,1.33
,,2019 - 2020,1.33
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Noklak,2021 - 2022,
,,2022 - 2023,
,Nuiland,2022 - 2023,
,Peren,2008 - 2009,1.35
,,2009 - 2010,1.05
,,2010 - 2011,1.23
,,2011 - 2012,1.23
,,2012 - 2013,1.3
,,2013 - 2014,1.3
,,2014 - 2015,1.3
,,2015 - 2016,1.3
,,2016 - 2017,1.3
,,2017 - 2018,1.36
,,2018 - 2019,1.36
,,2019 - 2020,1.36
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Phek,2000 - 2001,0.68
,,2001 - 2002,0.79
,,2002 - 2003,1.06
,,2003 - 2004,1.52
,,2004 - 2005,1.05
,,2005 - 2006,1.22
,,2006 - 2007,1.27
,,2007 - 2008,
,,2008 - 2009,1.38
,,2009 - 2010,1.12
,,2010 - 2011,1.26
,,2011 - 2012,1.25
,,2012 - 2013,1.31
,,2013 - 2014,1.33
,,2014 - 2015,1.35
,,2015 - 2016,1.38
,,2016 - 2017,1.38
,,2017 - 2018,1.38
,,2018 - 2019,1.38
,,2019 - 2020,1.37
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shamator,2022 - 2023,
,Tseminyu,2022 - 2023,
,Tuensang,2000 - 2001,0.65
,,2001 - 2002,0.83
,,2002 - 2003,1.17
,,2003 - 2004,1.73
,,2004 - 2005,0.77
,,2005 - 2006,0.86
,,2006 - 2007,1.21
,,2007 - 2008,
,,2008 - 2009,1.33
,,2009 - 2010,1.1
,,2010 - 2011,1.26
,,2011 - 2012,1.25
,,2012 - 2013,1.29
,,2013 - 2014,1.33
,,2014 - 2015,1.38
,,2015 - 2016,1.38
,,2016 - 2017,1.38
,,2017 - 2018,1.38
,,2018 - 2019,1.38
,,2019 - 2020,1.38
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wokha,2000 - 2001,0.67
,,2001 - 2002,0.77
,,2002 - 2003,1.04
,,2003 - 2004,1.12
,,2004 - 2005,0.82
,,2005 - 2006,0.86
,,2006 - 2007,1.15
,,2007 - 2008,
,,2008 - 2009,1.41
,,2009 - 2010,1.1
,,2010 - 2011,1.24
,,2011 - 2012,1.23
,,2012 - 2013,1.35
,,2013 - 2014,1.32
,,2014 - 2015,1.36
,,2015 - 2016,1.38
,,2016 - 2017,1.38
,,2017 - 2018,1.38
,,2018 - 2019,1.34
,,2019 - 2020,1.34
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Zunheboto,2000 - 2001,0.65
,,2001 - 2002,0.78
,,2002 - 2003,1.15
,,2003 - 2004,2.56
,,2004 - 2005,0.86
,,2005 - 2006,1.0
,,2006 - 2007,1.18
,,2007 - 2008,
,,2008 - 2009,1.42
,,2009 - 2010,1.11
,,2010 - 2011,1.28
,,2011 - 2012,1.28
,,2012 - 2013,1.3
,,2013 - 2014,1.3
,,2014 - 2015,1.3
,,2015 - 2016,1.3
,,2016 - 2017,1.37
,,2017 - 2018,1.37
,,2018 - 2019,1.37
,,2019 - 2020,1.36
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Odisha,Anugul,2019 - 2020,
,Balangir,2019 - 2020,
,Baleshwar,2019 - 2020,
,Bargarh,2019 - 2020,
,Bhadrak,2019 - 2020,
,Boudh,2019 - 2020,
,Cuttack,2019 - 2020,
,Deogarh,2019 - 2020,
,Dhenkanal,2019 - 2020,
,Gajapati,2019 - 2020,
,Ganjam,2019 - 2020,
,Jagatsinghapur,2019 - 2020,
,Jajapur,2019 - 2020,
,Jharsuguda,2019 - 2020,
,Kalahandi,2019 - 2020,
,Kandhamal,2019 - 2020,
,Kendrapara,2019 - 2020,
,Kendujhar,2019 - 2020,
,Khordha,2019 - 2020,
,Koraput,2019 - 2020,
,Malkangiri,2019 - 2020,
,Mayurbhanj,2019 - 2020,
,Nabarangpur,2019 - 2020,
,Nayagarh,2019 - 2020,
,Nuapada,2019 - 2020,
,Puri,2019 - 2020,
,Rayagada,2019 - 2020,
,Sambalpur,2019 - 2020,
,Sonepur,2019 - 2020,
,Sundargarh,2019 - 2020,
Punjab,Amritsar,2005 - 2006,
,,2006 - 2007,
,,2010 - 2011,
,,2011 - 2012,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Firozepur,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Gurdaspur,2005 - 2006,
,,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2014 - 2015,
,,2019 - 2020,
,Hoshiarpur,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2021 - 2022,
,Jalandhar,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Kapurthala,2005 - 2006,
,,2006 - 2007,
,,2010 - 2011,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2021 - 2022,
,Ludhiana,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Mansa,2018 - 2019,
,Moga,2015 - 2016,
,Muktsar,2005 - 2006,
,,2006 - 2007,
,Nawanshahr,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2021 - 2022,
,Patiala,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2021 - 2022,
,Sangrur,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Tarn taran,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
