state,district,year,mesta_kharif_yield_tonne_per_hectare
,,2008 - 2009,4.67
,,2009 - 2010,4.67
,,2010 - 2011,4.67
,,2011 - 2012,3.22
,,2012 - 2013,4.88
,,2013 - 2014,12.5
,,2014 - 2015,5.05
,,2015 - 2016,5.05
,,2016 - 2017,6.72
,,2017 - 2018,5.76
,,2018 - 2019,5.77
,,2019 - 2020,7.26
,,2020 - 2021,5.14
,,2021 - 2022,5.36
,,2022 - 2023,6.83
,Dhemaji,2000 - 2001,3.13
,,2001 - 2002,3.17
,,2002 - 2003,3.25
,,2003 - 2004,3.25
,,2004 - 2005,3.23
,,2005 - 2006,3.17
,,2006 - 2007,3.2
,,2007 - 2008,3.14
,,2008 - 2009,3.14
,,2009 - 2010,3.14
,,2010 - 2011,3.14
,,2011 - 2012,4.86
,,2012 - 2013,3.43
,,2013 - 2014,3.43
,,2014 - 2015,3.44
,,2015 - 2016,4.0
,,2016 - 2017,3.67
,,2017 - 2018,3.67
,,2018 - 2019,5.0
,,2019 - 2020,6.0
,,2020 - 2021,6.0
,,2021 - 2022,6.0
,,2022 - 2023,7.25
,Dhubri,2000 - 2001,4.61
,,2001 - 2002,4.6
,,2002 - 2003,4.67
,,2003 - 2004,4.66
,,2004 - 2005,4.64
,,2005 - 2006,4.61
,,2006 - 2007,4.62
,,2007 - 2008,4.63
,,2008 - 2009,4.62
,,2009 - 2010,4.59
,,2010 - 2011,4.58
,,2011 - 2012,5.37
,,2012 - 2013,2.07
,,2013 - 2014,4.83
,,2014 - 2015,4.96
,,2015 - 2016,4.67
,,2016 - 2017,4.82
,,2017 - 2018,4.92
,,2018 - 2019,4.99
,,2019 - 2020,5.0
,,2020 - 2021,4.97
,,2021 - 2022,4.97
,,2022 - 2023,7.85
,Dibrugarh,2000 - 2001,5.0
,,2001 - 2002,5.0
,,2002 - 2003,5.0
,,2003 - 2004,5.0
,,2004 - 2005,5.0
,,2006 - 2007,5.0
,,2011 - 2012,6.5
,,2012 - 2013,5.0
,,2013 - 2014,5.2
,,2014 - 2015,5.0
,,2015 - 2016,5.5
,,2016 - 2017,5.25
,,2017 - 2018,5.25
,,2018 - 2019,5.25
,,2019 - 2020,6.2
,,2020 - 2021,3.9
,,2021 - 2022,3.92
,,2022 - 2023,6.58
,Dima hasao,2000 - 2001,4.5
,,2001 - 2002,4.5
,,2002 - 2003,4.5
,,2003 - 2004,4.5
,,2004 - 2005,4.5
,,2005 - 2006,4.5
,,2006 - 2007,4.5
,,2007 - 2008,4.5
,,2008 - 2009,4.5
,,2009 - 2010,4.5
,,2010 - 2011,4.5
,,2011 - 2012,5.5
,,2012 - 2013,4.5
,,2013 - 2014,4.63
,,2014 - 2015,4.75
,,2015 - 2016,9.71
,,2016 - 2017,5.43
,,2017 - 2018,4.38
,,2018 - 2019,4.45
,,2019 - 2020,4.44
,,2020 - 2021,4.44
,,2021 - 2022,4.43
,,2022 - 2023,9.71
,Goalpara,2001 - 2002,4.83
,,2002 - 2003,4.83
,,2003 - 2004,0.0
,,2004 - 2005,4.83
,,2005 - 2006,4.83
,,2006 - 2007,4.82
,,2007 - 2008,4.83
,,2008 - 2009,4.82
,,2009 - 2010,4.83
,,2010 - 2011,4.83
,,2011 - 2012,4.39
,,2012 - 2013,5.06
,,2013 - 2014,11.0
,,2014 - 2015,5.22
,,2015 - 2016,5.28
,,2016 - 2017,5.0
,,2017 - 2018,5.0
,,2018 - 2019,5.83
,,2019 - 2020,6.67
,,2020 - 2021,6.67
,,2021 - 2022,0.72
,,2022 - 2023,7.33
,Golaghat,2000 - 2001,3.67
,,2001 - 2002,3.43
,,2002 - 2003,4.17
,,2003 - 2004,3.67
,,2004 - 2005,4.0
,,2005 - 2006,4.0
,,2006 - 2007,3.6
,,2007 - 2008,3.6
,,2008 - 2009,3.6
,,2009 - 2010,4.0
,,2012 - 2013,5.0
,,2013 - 2014,6.0
,,2014 - 2015,6.0
,,2015 - 2016,5.0
,,2016 - 2017,5.5
,,2017 - 2018,5.5
,,2018 - 2019,5.0
,,2019 - 2020,5.0
,,2020 - 2021,5.0
,,2021 - 2022,5.0
,,2022 - 2023,5.44
,Hailakandi,2013 - 2014,5.0
,Hojai,2020 - 2021,13.0
,,2021 - 2022,8.0
,,2022 - 2023,8.0
,Jorhat,2002 - 2003,5.0
,,2003 - 2004,5.0
,,2006 - 2007,5.0
,,2007 - 2008,5.0
,,2008 - 2009,5.0
,,2009 - 2010,5.0
,,2010 - 2011,5.0
,,2011 - 2012,5.4
,,2012 - 2013,5.0
,,2013 - 2014,5.0
,,2014 - 2015,5.5
,,2015 - 2016,5.25
,,2016 - 2017,5.25
,,2017 - 2018,5.67
,,2018 - 2019,5.38
,,2019 - 2020,5.56
,,2020 - 2021,5.5
,,2021 - 2022,5.5
,,2022 - 2023,5.43
,Kamrup,2000 - 2001,4.82
,,2001 - 2002,4.82
,,2002 - 2003,4.81
,,2003 - 2004,4.81
,,2004 - 2005,4.82
,,2005 - 2006,4.81
,,2006 - 2007,4.81
,,2007 - 2008,4.81
,,2008 - 2009,4.81
,,2009 - 2010,4.8
,,2010 - 2011,4.8
,,2011 - 2012,5.96
,,2012 - 2013,5.03
,,2013 - 2014,5.06
,,2014 - 2015,5.2
,,2015 - 2016,5.29
,,2016 - 2017,5.29
,,2017 - 2018,5.29
,,2018 - 2019,5.29
,,2019 - 2020,5.3
,,2020 - 2021,5.31
,,2021 - 2022,5.34
,,2022 - 2023,11.66
,Kamrup metro,2005 - 2006,4.83
,,2006 - 2007,4.8
,,2007 - 2008,4.77
,,2008 - 2009,4.73
,,2009 - 2010,4.8
,,2010 - 2011,4.8
,,2011 - 2012,6.79
,,2012 - 2013,5.0
,,2013 - 2014,5.31
,,2014 - 2015,5.2
,,2015 - 2016,5.33
,,2016 - 2017,5.31
,,2017 - 2018,5.33
,,2018 - 2019,5.3
,,2019 - 2020,5.3
,,2020 - 2021,5.3
,,2021 - 2022,5.36
,,2022 - 2023,11.63
,Karbi anglong,2000 - 2001,5.22
,,2001 - 2002,5.25
,,2002 - 2003,5.28
,,2003 - 2004,5.31
,,2004 - 2005,5.33
,,2005 - 2006,5.37
,,2006 - 2007,5.38
,,2007 - 2008,5.39
,,2008 - 2009,5.39
,,2009 - 2010,5.42
,,2010 - 2011,7.68
,,2011 - 2012,2.63
,,2012 - 2013,8.04
,,2013 - 2014,5.28
,,2014 - 2015,8.28
,,2015 - 2016,5.22
,,2016 - 2017,5.3
,,2017 - 2018,5.3
,,2018 - 2019,5.31
,,2019 - 2020,5.35
,,2020 - 2021,5.36
,,2021 - 2022,5.36
,,2022 - 2023,5.39
,Karimganj,2004 - 2005,5.0
,,2010 - 2011,5.0
,,2011 - 2012,7.0
,,2012 - 2013,5.0
,,2013 - 2014,5.0
,,2014 - 2015,5.5
,,2015 - 2016,5.0
,,2016 - 2017,5.0
,,2017 - 2018,4.0
,,2018 - 2019,4.0
,,2019 - 2020,5.0
,,2020 - 2021,4.0
,Kokrajhar,2000 - 2001,5.43
,,2001 - 2002,5.48
,,2002 - 2003,5.49
,,2003 - 2004,5.49
,,2004 - 2005,5.49
,,2005 - 2006,5.5
,,2006 - 2007,5.47
,,2007 - 2008,5.47
,,2008 - 2009,5.48
,,2009 - 2010,5.47
,,2010 - 2011,5.45
,,2011 - 2012,6.25
,,2012 - 2013,7.48
,,2013 - 2014,5.75
,,2014 - 2015,5.86
,,2015 - 2016,7.89
,,2016 - 2017,5.66
,,2017 - 2018,5.64
,,2018 - 2019,5.67
,,2019 - 2020,5.67
,,2020 - 2021,5.69
,,2021 - 2022,5.68
,,2022 - 2023,6.83
,Lakhimpur,2000 - 2001,4.73
,,2001 - 2002,3.95
,,2002 - 2003,3.94
,,2003 - 2004,3.93
,,2004 - 2005,3.95
,,2005 - 2006,3.95
,,2006 - 2007,3.94
,,2007 - 2008,3.94
,,2008 - 2009,3.93
,,2009 - 2010,3.91
,,2010 - 2011,4.0
,,2011 - 2012,5.68
,,2012 - 2013,4.14
,,2013 - 2014,4.1
,,2014 - 2015,4.5
,,2015 - 2016,4.0
,,2016 - 2017,4.0
,,2017 - 2018,3.67
,,2018 - 2019,5.5
,,2019 - 2020,6.25
,,2020 - 2021,7.0
,,2021 - 2022,6.88
,,2022 - 2023,7.17
,Majuli,2020 - 2021,5.5
,,2021 - 2022,5.47
,,2022 - 2023,5.44
,Marigaon,2000 - 2001,3.6
,,2001 - 2002,3.54
,,2002 - 2003,3.56
,,2003 - 2004,3.56
,,2004 - 2005,3.55
,,2005 - 2006,3.56
,,2006 - 2007,3.56
,,2007 - 2008,3.55
,,2008 - 2009,3.56
,,2009 - 2010,3.56
,,2010 - 2011,3.56
,,2011 - 2012,3.74
,,2012 - 2013,3.72
,,2013 - 2014,3.74
,,2014 - 2015,3.84
,,2015 - 2016,2.61
,,2016 - 2017,2.59
,,2017 - 2018,2.65
,,2018 - 2019,2.6
,,2019 - 2020,3.06
,,2020 - 2021,3.07
,,2021 - 2022,7.83
,,2022 - 2023,7.21
,Nagaon,2000 - 2001,3.46
