state,district,year,mesta_kharif_yield_tonne_per_hectare
,,2001 - 2002,6.5
,,2002 - 2003,6.58
,,2003 - 2004,5.33
,,2004 - 2005,7.98
,,2005 - 2006,9.85
,,2006 - 2007,4.26
,,2007 - 2008,1.97
,,2008 - 2009,5.8
,,2009 - 2010,7.83
,,2010 - 2011,8.44
,,2013 - 2014,15.26
,,2014 - 2015,13.34
,,2016 - 2017,2.37
,,2017 - 2018,1.48
,,2018 - 2019,1.94
,,2019 - 2020,3.34
,,2020 - 2021,13.16
,,2021 - 2022,11.02
,,2022 - 2023,11.87
,Saran,2000 - 2001,7.71
,,2001 - 2002,6.47
,,2002 - 2003,6.0
,,2003 - 2004,6.94
,,2004 - 2005,7.97
,,2005 - 2006,9.85
,,2007 - 2008,9.26
,,2008 - 2009,8.68
,,2009 - 2010,7.17
,,2010 - 2011,8.43
,,2012 - 2013,2.38
,,2014 - 2015,13.33
,,2015 - 2016,14.0
,,2016 - 2017,2.0
,,2017 - 2018,1.0
,,2018 - 2019,2.0
,Sheohar,2005 - 2006,5.9
,,2006 - 2007,6.33
,,2015 - 2016,19.54
,Sitamarhi,2000 - 2001,5.29
,,2001 - 2002,3.27
,,2002 - 2003,4.69
,,2003 - 2004,4.46
,,2004 - 2005,7.97
,,2005 - 2006,5.89
,,2006 - 2007,6.25
,,2007 - 2008,6.42
,,2008 - 2009,6.62
,,2009 - 2010,7.07
,,2010 - 2011,17.18
,,2011 - 2012,12.36
,,2015 - 2016,19.53
,Siwan,2000 - 2001,7.71
,,2001 - 2002,6.48
,,2002 - 2003,6.0
,,2003 - 2004,6.95
,,2004 - 2005,8.0
,,2005 - 2006,9.85
,,2006 - 2007,8.38
,,2007 - 2008,9.28
,,2008 - 2009,8.67
,,2009 - 2010,7.2
,,2010 - 2011,8.44
,,2012 - 2013,2.33
,,2013 - 2014,15.24
,,2014 - 2015,13.38
,,2016 - 2017,2.4
,,2017 - 2018,1.5
,,2018 - 2019,1.93
,,2019 - 2020,2.07
,,2020 - 2021,13.1
,,2021 - 2022,11.11
,,2022 - 2023,11.91
,Supaul,2000 - 2001,8.15
,,2001 - 2002,6.5
,,2002 - 2003,6.72
,,2003 - 2004,6.82
,,2004 - 2005,7.98
,,2005 - 2006,8.26
,,2006 - 2007,12.96
,,2007 - 2008,10.83
,,2008 - 2009,10.32
,,2009 - 2010,9.56
,,2010 - 2011,15.23
,,2011 - 2012,14.68
,,2012 - 2013,3.0
,,2013 - 2014,14.84
,,2014 - 2015,13.88
,,2015 - 2016,22.76
,,2016 - 2017,2.23
,,2017 - 2018,0.92
,,2018 - 2019,1.39
,,2019 - 2020,1.59
,,2020 - 2021,11.95
,,2021 - 2022,10.91
,,2022 - 2023,12.41
,Vaishali,2000 - 2001,5.29
,,2001 - 2002,3.27
,,2002 - 2003,4.68
,,2003 - 2004,4.47
,,2004 - 2005,7.98
,,2006 - 2007,6.24
,,2007 - 2008,6.42
,,2008 - 2009,6.62
,,2009 - 2010,7.07
,,2010 - 2011,17.19
,,2011 - 2012,12.37
,,2012 - 2013,3.38
,,2013 - 2014,6.6
,,2014 - 2015,12.91
,,2016 - 2017,2.37
,,2017 - 2018,1.48
,,2018 - 2019,1.94
,,2019 - 2020,2.37
,,2020 - 2021,12.49
,,2021 - 2022,9.42
Chhattisgarh,Balod,2011 - 2012,1.88
,,2012 - 2013,2.0
,,2013 - 2014,2.19
,,2014 - 2015,1.69
,,2016 - 2017,2.0
,,2017 - 2018,2.0
,,2018 - 2019,1.67
,Baloda bazar,2011 - 2012,0.0
,,2012 - 2013,2.48
,,2013 - 2014,2.5
,,2014 - 2015,2.35
,,2015 - 2016,2.58
,Balrampur,2011 - 2012,1.89
,,2012 - 2013,1.66
,,2013 - 2014,1.67
,,2014 - 2015,1.71
,,2015 - 2016,1.73
,,2016 - 2017,1.8
,,2017 - 2018,1.83
,,2018 - 2019,1.69
,,2019 - 2020,1.79
,,2020 - 2021,1.91
,,2021 - 2022,8.86
,,2022 - 2023,2.0
,Bastar,2000 - 2001,2.02
,,2001 - 2002,2.42
,,2002 - 2003,2.17
,,2003 - 2004,2.25
,,2004 - 2005,2.25
,,2005 - 2006,2.24
,,2006 - 2007,2.27
,,2007 - 2008,2.46
,,2008 - 2009,1.63
,,2009 - 2010,2.24
,,2010 - 2011,2.54
,,2011 - 2012,2.4
,,2012 - 2013,2.49
,,2013 - 2014,1.88
,,2014 - 2015,2.47
,,2015 - 2016,2.37
,,2016 - 2017,2.4
,,2017 - 2018,2.23
,,2018 - 2019,2.14
,,2019 - 2020,2.0
,,2020 - 2021,1.88
,,2021 - 2022,1.8
,,2022 - 2023,2.0
,Bijapur,2006 - 2007,0.0
,,2007 - 2008,2.6
,,2008 - 2009,1.8
,,2009 - 2010,1.52
,,2010 - 2011,2.15
,,2011 - 2012,2.33
,,2012 - 2013,2.13
,,2013 - 2014,2.33
,,2014 - 2015,0.33
,,2015 - 2016,2.32
,,2016 - 2017,2.25
,,2017 - 2018,1.33
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,1.0
,Bilaspur,2000 - 2001,1.84
,,2001 - 2002,2.05
,,2002 - 2003,2.0
,,2003 - 2004,2.13
,,2004 - 2005,1.78
,,2005 - 2006,2.14
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,2.5
,,2010 - 2011,2.43
,,2019 - 2020,4.0
,,2020 - 2021,1.0
,Dantewada,2000 - 2001,2.09
,,2001 - 2002,2.14
,,2002 - 2003,1.64
,,2003 - 2004,1.98
,,2004 - 2005,1.47
,,2005 - 2006,1.88
,,2006 - 2007,2.26
,,2007 - 2008,2.38
,,2008 - 2009,1.86
,,2009 - 2010,1.51
,,2010 - 2011,2.53
,,2011 - 2012,2.4
,,2012 - 2013,2.13
,,2013 - 2014,2.19
,,2014 - 2015,2.3
,,2015 - 2016,1.69
,,2016 - 2017,2.44
,,2017 - 2018,1.28
,,2018 - 2019,2.37
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,,2021 - 2022,2.71
,,2022 - 2023,0.5
,Dhamtari,2000 - 2001,3.11
,,2001 - 2002,2.71
,,2002 - 2003,2.07
,,2003 - 2004,2.5
,,2004 - 2005,2.49
,,2005 - 2006,2.5
,,2006 - 2007,2.49
,,2007 - 2008,2.5
,,2008 - 2009,2.49
,,2009 - 2010,2.5
,,2010 - 2011,2.51
,,2011 - 2012,2.49
,,2012 - 2013,2.49
,,2013 - 2014,2.5
,,2014 - 2015,2.48
,,2015 - 2016,2.49
,,2016 - 2017,2.5
,,2017 - 2018,2.48
,,2018 - 2019,2.44
,,2019 - 2020,2.6
,,2020 - 2021,2.8
,Durg,2000 - 2001,2.0
,,2001 - 2002,2.0
,,2002 - 2003,1.9
,,2003 - 2004,2.12
,,2004 - 2005,1.79
,,2005 - 2006,2.18
,,2006 - 2007,1.9
,,2007 - 2008,2.02
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2010 - 2011,2.33
,Gariyaband,2011 - 2012,0.0
,,2012 - 2013,3.0
,,2013 - 2014,2.5
,,2014 - 2015,2.38
,,2015 - 2016,2.0
,,2016 - 2017,3.0
,Janjgir-champa,2000 - 2001,1.82
,,2001 - 2002,1.71
,,2002 - 2003,1.7
,,2003 - 2004,2.5
,,2004 - 2005,1.74
,,2005 - 2006,2.08
,,2006 - 2007,2.14
,,2007 - 2008,2.14
,,2009 - 2010,2.67
,Jashpur,2000 - 2001,1.59
,,2001 - 2002,1.9
,,2004 - 2005,1.83
,,2005 - 2006,1.82
,,2006 - 2007,1.76
,,2007 - 2008,1.65
,,2008 - 2009,1.77
,,2009 - 2010,1.6
,,2010 - 2011,1.67
,,2011 - 2012,2.0
,,2012 - 2013,1.8
,,2013 - 2014,1.9
,,2014 - 2015,1.89
,,2015 - 2016,1.91
,,2016 - 2017,1.86
,,2017 - 2018,1.94
,,2018 - 2019,1.79
,,2019 - 2020,1.75
,,2020 - 2021,2.0
,,2021 - 2022,0.45
,,2022 - 2023,2.1
,Kabirdham,2000 - 2001,1.0
,,2001 - 2002,2.0
,,2012 - 2013,2.0
,Kanker,2000 - 2001,2.31
,,2001 - 2002,2.71
,,2002 - 2003,1.45
,,2003 - 2004,2.71
,,2004 - 2005,2.03
,,2007 - 2008,2.54
,,2008 - 2009,2.36
,,2009 - 2010,2.15
,,2010 - 2011,3.0
,,2011 - 2012,2.35
,,2017 - 2018,1.0
,Kondagaon,2011 - 2012,2.36
,,2012 - 2013,2.0
,,2014 - 2015,0.5
,,2015 - 2016,2.25
,,2016 - 2017,2.25
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,,2019 - 2020,2.5
,,2020 - 2021,2.33
,,2021 - 2022,2.5
,,2022 - 2023,2.5
,Korba,2000 - 2001,2.13
,,2001 - 2002,2.17
,,2002 - 2003,1.76
,,2003 - 2004,1.77
,,2004 - 2005,1.56
,,2005 - 2006,1.97
,,2006 - 2007,1.75
,,2007 - 2008,1.83
,,2008 - 2009,2.14
,,2009 - 2010,1.91
,,2010 - 2011,2.3
,,2011 - 2012,2.53
,,2012 - 2013,2.12
,,2013 - 2014,2.12
,,2014 - 2015,2.53
,,2015 - 2016,2.11
,,2016 - 2017,2.52
,,2017 - 2018,2.54
,,2018 - 2019,2.36
,,2019 - 2020,2.33
,,2020 - 2021,2.0
,Korea,2000 - 2001,1.85
,,2001 - 2002,1.93
,,2002 - 2003,1.76
,,2003 - 2004,1.76
,,2004 - 2005,1.57
,,2005 - 2006,1.7
,,2006 - 2007,1.61
,,2007 - 2008,1.51
,,2008 - 2009,1.89
,,2009 - 2010,1.54
,,2010 - 2011,1.67
,,2011 - 2012,1.98
,,2012 - 2013,1.73
,,2013 - 2014,1.82
,,2014 - 2015,1.64
,,2015 - 2016,1.42
,,2016 - 2017,1.16
,,2017 - 2018,1.89
,,2018 - 2019,1.85
,,2019 - 2020,1.67
,,2020 - 2021,1.36
,,2021 - 2022,0.75
,,2022 - 2023,1.58
,Mahasamund,2000 - 2001,2.06
,,2001 - 2002,2.53
,,2002 - 2003,2.09
,,2003 - 2004,2.1
,,2004 - 2005,2.0
,,2005 - 2006,2.06
,,2007 - 2008,2.46
,,2008 - 2009,2.5
,,2009 - 2010,2.5
,,2010 - 2011,2.48
,,2011 - 2012,2.25
,,2012 - 2013,2.57
,,2013 - 2014,2.51
,,2014 - 2015,2.57
,,2015 - 2016,2.52
,,2016 - 2017,3.0
,,2017 - 2018,2.0
,,2021 - 2022,0.5
,,2022 - 2023,1.0
,Manendragarh chirimiri bharatpur,2022 - 2023,1.57
,Narayanpur,2005 - 2006,2.89
,Raigarh,2000 - 2001,1.66
,,2001 - 2002,1.86
,,2002 - 2003,1.67
,,2003 - 2004,1.82
,,2004 - 2005,1.7
,,2005 - 2006,1.82
,,2006 - 2007,1.73
,,2007 - 2008,1.91
,,2008 - 2009,1.88
,,2009 - 2010,1.89
,,2010 - 2011,1.89
,,2011 - 2012,1.98
,,2012 - 2013,1.95
,,2013 - 2014,1.9
,,2014 - 2015,2.05
,,2015 - 2016,2.03
,,2016 - 2017,2.05
,,2017 - 2018,1.97
,,2018 - 2019,1.95
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,Raipur,2001 - 2002,2.5
,,2002 - 2003,2.19
,,2003 - 2004,2.13
,,2004 - 2005,2.0
,,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,2.17
,,2008 - 2009,2.13
,,2009 - 2010,2.0
,,2010 - 2011,2.5
,,2013 - 2014,2.5
,,2014 - 2015,3.0
,,2017 - 2018,0.0
,,2018 - 2019,0.0
,,2019 - 2020,3.0
,Rajnandgaon,2000 - 2001,1.79
,,2001 - 2002,1.86
,,2002 - 2003,1.98
,,2003 - 2004,1.91
,,2004 - 2005,1.88
,,2005 - 2006,1.94
,,2006 - 2007,1.96
,,2007 - 2008,1.85
,,2008 - 2009,1.97
,,2009 - 2010,1.96
,,2010 - 2011,2.14
,,2011 - 2012,1.8
,,2012 - 2013,1.63
,,2013 - 2014,1.8
,,2014 - 2015,1.98
,,2015 - 2016,2.06
,,2016 - 2017,2.3
,,2017 - 2018,2.33
,,2018 - 2019,1.9
,,2022 - 2023,0.5
,Sukma,2011 - 2012,2.33
,,2012 - 2013,2.07
,,2013 - 2014,2.13
,,2014 - 2015,2.36
,,2015 - 2016,2.36
,,2016 - 2017,1.9
,,2017 - 2018,2.15
,,2018 - 2019,2.25
,,2020 - 2021,2.33
,,2021 - 2022,1.0
,,2022 - 2023,2.0
,Surajpur,2011 - 2012,1.89
,,2012 - 2013,1.57
,,2013 - 2014,1.57
,,2014 - 2015,1.57
,,2015 - 2016,1.73
,,2016 - 2017,1.16
,,2017 - 2018,1.82
,,2018 - 2019,2.04
,,2019 - 2020,2.2
,,2020 - 2021,2.25
,,2021 - 2022,0.53
,,2022 - 2023,1.74
,Surguja,2000 - 2001,1.85
,,2001 - 2002,1.95
,,2002 - 2003,1.76
,,2003 - 2004,1.83
,,2004 - 2005,1.7
,,2005 - 2006,1.89
,,2006 - 2007,1.98
,,2007 - 2008,1.92
,,2008 - 2009,1.89
,,2009 - 2010,1.54
,,2010 - 2011,1.67
,,2011 - 2012,1.89
,,2012 - 2013,1.67
,,2013 - 2014,1.64
,,2014 - 2015,1.63
,,2015 - 2016,1.79
,,2016 - 2017,1.82
,,2017 - 2018,1.89
,,2018 - 2019,2.08
,,2019 - 2020,2.05
,,2020 - 2021,2.13
,,2021 - 2022,0.98
,,2022 - 2023,1.94
Karnataka,Bagalkot,2000 - 2001,1.89
,,2001 - 2002,2.0
,,2002 - 2003,1.86
,,2003 - 2004,1.91
,,2004 - 2005,1.91
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,Bangalore rural,2018 - 2019,
,,2019 - 2020,
,Belgaum,2000 - 2001,2.14
,,2001 - 2002,2.14
,,2002 - 2003,2.17
,,2003 - 2004,2.14
,,2004 - 2005,2.11
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Bellary,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Bidar,2000 - 2001,0.73
,,2001 - 2002,0.73
,,2002 - 2003,0.72
,,2003 - 2004,0.72
,,2004 - 2005,0.72
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Bijapur,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,Chikmagalur,2020 - 2021,
,Chitradurga,2020 - 2021,
,Davangere,2001 - 2002,1.0
,,2018 - 2019,
,Dharwad,2000 - 2001,2.71
,,2001 - 2002,2.5
,,2002 - 2003,2.67
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2020 - 2021,
,Gadag,2018 - 2019,
,,2020 - 2021,
,Gulbarga,2000 - 2001,1.85
,,2001 - 2002,1.85
,,2002 - 2003,1.83
,,2003 - 2004,1.83
,,2004 - 2005,1.83
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Hassan,2019 - 2020,
,,2022 - 2023,
,Haveri,2001 - 2002,3.0
,,2002 - 2003,3.0
,,2006 - 2007,
,Koppal,2005 - 2006,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Mandya,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Mysore,2014 - 2015,
,Raichur,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Shimoga,2000 - 2001,1.0
,Uttar kannad,2000 - 2001,2.33
,,2001 - 2002,2.33
,,2002 - 2003,2.0
,,2003 - 2004,2.0
,,2004 - 2005,2.0
,Yadgir,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2022 - 2023,
Madhya Pradesh,Alirajpur,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.22
,,2012 - 2013,0.24
,,2013 - 2014,1.52
,,2018 - 2019,0.18
,,2019 - 2020,0.33
,Anuppur,2006 - 2007,2.33
,,2019 - 2020,0.4
,Ashoknagar,2019 - 2020,0.25
,Balaghat,2006 - 2007,3.31
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.77
,,2012 - 2013,0.53
,,2013 - 2014,3.05
,,2016 - 2017,0.76
,Barwani,2006 - 2007,1.37
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.14
,,2012 - 2013,0.37
,,2013 - 2014,1.71
,,2019 - 2020,0.25
,Betul,2016 - 2017,0.67
,,2019 - 2020,0.25
,Bhind,2019 - 2020,0.21
,Burhanpur,2018 - 2019,0.25
,,2019 - 2020,0.48
,Chhatarpur,2006 - 2007,1.5
,,2016 - 2017,0.0
,,2018 - 2019,0.45
,,2019 - 2020,0.5
,Chhindwara,2006 - 2007,2.83
,,2016 - 2017,0.67
,,2017 - 2018,1.2
,,2019 - 2020,0.51
,Damoh,2016 - 2017,0.74
,Datia,2006 - 2007,1.5
,,2009 - 2010,
,,2012 - 2013,0.33
,,2019 - 2020,0.5
,Dewas,2006 - 2007,1.5
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.7
,,2012 - 2013,0.33
,,2013 - 2014,1.7
,Dhar,2018 - 2019,0.54
,,2019 - 2020,0.5
,Dindori,2019 - 2020,0.33
,Gwalior,2019 - 2020,0.0
,Harda,2016 - 2017,0.8
,,2019 - 2020,0.25
,Hoshangabad,2017 - 2018,0.9
,,2019 - 2020,0.29
,Indore,2018 - 2019,0.35
,,2019 - 2020,0.5
,Jabalpur,2003 - 2004,2.32
,,2016 - 2017,0.71
,,2019 - 2020,0.5
,Jhabua,2006 - 2007,1.67
,,2019 - 2020,0.5
,Katni,2003 - 2004,1.83
,,2006 - 2007,1.0
,,2016 - 2017,0.67
,Khandwa,2006 - 2007,2.25
,,2009 - 2010,
,,2012 - 2013,0.33
,,2013 - 2014,1.5
,,2019 - 2020,0.24
,Khargone,2006 - 2007,2.24
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.8
,,2012 - 2013,0.36
,,2013 - 2014,1.93
,,2018 - 2019,0.36
,Mandla,2016 - 2017,0.75
,,2019 - 2020,0.46
,Mandsaur,2019 - 2020,1.0
,Morena,2019 - 2020,0.17
,Narsinghpur,2016 - 2017,0.73
,,2019 - 2020,0.83
,Neemuch,2019 - 2020,0.5
,Panna,2006 - 2007,1.11
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,0.77
,,2012 - 2013,0.22
,,2013 - 2014,1.19
,,2016 - 2017,0.75
,,2019 - 2020,1.0
,Raisen,2006 - 2007,1.79
,,2009 - 2010,
,,2019 - 2020,0.0
,Rajgarh,2016 - 2017,0.73
,,2019 - 2020,0.0
,Rewa,2006 - 2007,2.17
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.49
,,2012 - 2013,0.29
,,2013 - 2014,2.74
,,2016 - 2017,0.5
,,2017 - 2018,1.15
,,2019 - 2020,0.43
,Sagar,2016 - 2017,0.5
,,2019 - 2020,0.57
,Satna,2006 - 2007,1.56
,,2012 - 2013,0.0
,,2013 - 2014,1.5
,,2019 - 2020,0.33
,Sehore,2016 - 2017,0.73
,Seoni,2006 - 2007,2.69
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.25
,,2012 - 2013,0.63
,,2013 - 2014,3.86
,,2019 - 2020,0.44
,Shahdol,2006 - 2007,2.36
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.45
,,2012 - 2013,0.33
,,2013 - 2014,2.27
,Sheopur,2019 - 2020,0.33
,Shivpuri,2019 - 2020,0.0
,Sidhi,2006 - 2007,1.97
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.0
,,2012 - 2013,0.5
,,2013 - 2014,3.0
,,2019 - 2020,1.0
,Singrauli,2009 - 2010,
,,2018 - 2019,0.36
,,2019 - 2020,0.59
,Tikamgarh,2006 - 2007,1.59
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.0
,Ujjain,2010 - 2011,
,Vidisha,2016 - 2017,0.71
,,2019 - 2020,0.5
Meghalaya,East garo hills,2000 - 2001,4.59
,,2001 - 2002,4.6
,,2002 - 2003,5.0
,,2003 - 2004,4.6
,,2004 - 2005,4.57
,,2005 - 2006,4.57
,,2006 - 2007,4.59
,,2007 - 2008,4.67
,,2008 - 2009,4.57
,,2009 - 2010,4.57
,,2010 - 2011,4.56
,,2011 - 2012,4.59
,,2012 - 2013,6.28
,,2013 - 2014,6.16
,,2014 - 2015,6.21
,,2015 - 2016,6.13
,,2016 - 2017,6.8
,,2017 - 2018,6.8
,,2018 - 2019,6.81
,,2019 - 2020,6.82
,,2020 - 2021,6.83
,,2021 - 2022,6.83
,,2022 - 2023,6.0
,North garo hills,2013 - 2014,6.35
,,2014 - 2015,6.42
,,2015 - 2016,6.64
,,2016 - 2017,6.91
,,2017 - 2018,6.92
,,2018 - 2019,6.92
,,2019 - 2020,6.94
,,2020 - 2021,6.96
,,2021 - 2022,6.96
,,2022 - 2023,4.47
,South garo hills,2000 - 2001,4.62
,,2001 - 2002,4.59
,,2002 - 2003,4.59
,,2003 - 2004,4.59
,,2004 - 2005,4.53
,,2005 - 2006,4.56
,,2006 - 2007,4.55
,,2007 - 2008,4.56
,,2008 - 2009,4.56
,,2009 - 2010,4.56
,,2010 - 2011,4.55
,,2011 - 2012,4.6
,,2012 - 2013,5.96
,,2013 - 2014,5.99
,,2014 - 2015,5.98
,,2015 - 2016,5.98
,,2016 - 2017,5.99
,,2017 - 2018,5.99
,,2018 - 2019,5.99
,,2019 - 2020,6.0
,,2020 - 2021,6.0
,,2021 - 2022,6.0
,,2022 - 2023,5.76
,South west garo hills,2013 - 2014,5.99
,,2014 - 2015,6.03
,,2015 - 2016,6.04
,,2016 - 2017,6.04
,,2017 - 2018,6.05
,,2018 - 2019,6.05
,,2019 - 2020,6.05
,,2020 - 2021,6.05
,,2021 - 2022,6.05
,,2022 - 2023,6.05
,West garo hills,2000 - 2001,4.61
,,2001 - 2002,5.69
,,2002 - 2003,4.53
,,2003 - 2004,4.53
,,2004 - 2005,4.53
,,2005 - 2006,4.56
,,2006 - 2007,4.56
,,2007 - 2008,4.56
,,2008 - 2009,4.56
,,2009 - 2010,4.39
,,2010 - 2011,4.39
,,2011 - 2012,4.43
,,2012 - 2013,5.79
,,2013 - 2014,5.72
,,2014 - 2015,5.71
,,2015 - 2016,5.73
,,2016 - 2017,5.74
,,2017 - 2018,5.74
,,2018 - 2019,5.74
,,2019 - 2020,5.75
,,2020 - 2021,5.75
,,2021 - 2022,5.75
,,2022 - 2023,5.75
Nagaland,Chumoukedima,2022 - 2023,1.22
,Dimapur,2009 - 2010,1.03
,,2010 - 2011,1.88
,,2011 - 2012,2.0
,,2012 - 2013,1.11
,,2013 - 2014,1.15
,,2014 - 2015,1.15
,,2015 - 2016,1.15
,,2016 - 2017,1.11
,,2017 - 2018,1.11
,,2018 - 2019,1.11
,,2019 - 2020,1.11
,,2020 - 2021,1.11
,,2021 - 2022,1.0
,,2022 - 2023,1.23
,Kiphire,2009 - 2010,0.88
,,2010 - 2011,2.0
,,2011 - 2012,1.75
,,2012 - 2013,1.17
,,2013 - 2014,1.17
,,2014 - 2015,1.17
,,2015 - 2016,1.17
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.03
,,2020 - 2021,1.06
,,2022 - 2023,1.24
,Kohima,2009 - 2010,0.91
,,2010 - 2011,1.86
,,2011 - 2012,1.86
,,2012 - 2013,1.09
,,2013 - 2014,1.09
,,2014 - 2015,1.09
,,2015 - 2016,1.09
,,2016 - 2017,1.09
,,2017 - 2018,1.09
,,2018 - 2019,1.08
,,2019 - 2020,1.11
,,2020 - 2021,1.11
,,2021 - 2022,1.0
,,2022 - 2023,1.22
,Longleng,2009 - 2010,0.8
,,2010 - 2011,1.83
,,2011 - 2012,1.67
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.02
,,2020 - 2021,1.04
,,2022 - 2023,1.22
,Mokokchung,2009 - 2010,1.0
,,2010 - 2011,2.0
,,2011 - 2012,1.83
,,2012 - 2013,1.1
,,2013 - 2014,1.09
,,2014 - 2015,1.08
,,2015 - 2016,1.08
,,2016 - 2017,1.15
,,2017 - 2018,1.07
,,2018 - 2019,1.07
,,2019 - 2020,1.09
,,2020 - 2021,1.1
,,2021 - 2022,1.0
,,2022 - 2023,1.22
,Mon,2009 - 2010,1.05
,,2010 - 2011,1.88
,,2011 - 2012,1.88
,,2012 - 2013,1.11
,,2013 - 2014,1.11
,,2014 - 2015,1.11
,,2015 - 2016,1.11
,,2016 - 2017,1.1
,,2017 - 2018,1.1
,,2018 - 2019,1.1
,,2019 - 2020,1.11
,,2020 - 2021,1.11
,,2022 - 2023,1.24
,Noklak,2021 - 2022,1.0
,,2022 - 2023,1.19
,Nuiland,2022 - 2023,1.23
,Peren,2009 - 2010,1.05
,,2010 - 2011,1.88
,,2011 - 2012,1.94
,,2012 - 2013,1.14
,,2013 - 2014,1.14
,,2014 - 2015,1.14
,,2015 - 2016,1.14
,,2016 - 2017,1.14
,,2017 - 2018,1.14
,,2018 - 2019,1.14
,,2019 - 2020,1.12
,,2020 - 2021,1.12
,,2022 - 2023,1.24
,Phek,2009 - 2010,1.04
,,2010 - 2011,1.87
,,2011 - 2012,1.92
,,2012 - 2013,1.14
,,2013 - 2014,1.14
,,2014 - 2015,1.14
,,2015 - 2016,1.14
,,2016 - 2017,1.17
,,2017 - 2018,1.13
,,2018 - 2019,1.13
,,2019 - 2020,1.11
,,2020 - 2021,1.11
,,2021 - 2022,1.5
,,2022 - 2023,1.21
,Shamator,2022 - 2023,1.21
,Tseminyu,2022 - 2023,1.24
,Tuensang,2009 - 2010,1.0
,,2010 - 2011,1.93
,,2011 - 2012,1.93
,,2012 - 2013,1.13
,,2013 - 2014,1.13
,,2014 - 2015,1.13
,,2015 - 2016,1.13
,,2016 - 2017,1.13
,,2017 - 2018,1.13
,,2018 - 2019,1.13
,,2019 - 2020,1.11
,,2020 - 2021,1.11
,,2021 - 2022,1.0
,,2022 - 2023,1.25
,Wokha,2009 - 2010,1.0
,,2010 - 2011,1.94
,,2011 - 2012,1.94
,,2012 - 2013,1.1
,,2013 - 2014,1.1
,,2014 - 2015,1.1
,,2015 - 2016,1.1
,,2016 - 2017,1.14
,,2017 - 2018,1.14
,,2018 - 2019,1.14
,,2019 - 2020,1.12
,,2020 - 2021,1.12
,,2021 - 2022,1.0
,,2022 - 2023,1.25
,Zunheboto,2009 - 2010,1.0
,,2010 - 2011,2.05
,,2011 - 2012,1.95
