Crop: Sweet potato,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
32,Kerala,Idukki,11.4,11.43,11.5,11.5,11.5,11.5,11.53,11.57,11.67,11.5,,,27,27,22,22,22,22,22,21.67,21.67,21.75,21.75
33,Tamil Nadu,Salem,12.11,,14,14.5,15.09,20.86,16.8,13.59,12.21,14.6,,20,,21,17.5,,11.5,26.33,27,25.38,18.75,16,25
34,Tamil Nadu,Krishnagiri,,,,14.46,15,20.89,16.67,13.6,13.33,14.75,,20.5,,,,,8.75,26.25,,,,,
35,Madhya Pradesh,Rajgarh,,5.33,4.61,5.69,6.14,5.88,6.41,6.78,6.87,6.86,5.93,6.32,9.48,8.53,,9.04,26.2,25,25,25,,,
36,Tamil Nadu,Pudukkottai,,,13.67,14,,21,17,13.67,,15,,20,,21,17.67,16.5,,26,,24.25,18.68,16.38,18.68
37,Tamil Nadu,Kanchipuram,7.57,,13.66,14.48,15.11,20.87,17,13.5,13.27,,,20.5,,21.2,17.57,16.5,7.67,26,18,,,,
38,Andhra Pradesh,Spsr nellore,10,17.08,10.48,9.48,12.83,12.89,10.77,,13.61,5.89,12.8,12.86,7.79,8.77,5.89,7.21,15.36,11.73,20.31,17.44,16.43,25.68,15.11
39,Andhra Pradesh,Vizianagaram,13.51,13.28,10.8,7.24,9.16,9.68,10.79,,13.6,,12.8,12.85,9.64,8.78,11.03,12.21,8.35,13.69,14.81,12.75,13,25.67,18.8
40,Andhra Pradesh,Srikakulam,13.52,13.29,10.81,7.22,9.17,9.72,10.77,,13.6,7.63,12.82,12.85,9.62,8.77,11,12,15,,,,13,25.67,18.83
41,Andhra Pradesh,East godavari,13.52,13.28,10.8,7.23,9.15,9.7,10.77,,13.6,12.85,12.8,12.86,9.67,8.76,11.02,12.19,15.36,11.72,20.3,17.41,13,25.67,
42,Andhra Pradesh,Krishna,13.54,13.33,10.83,7.23,9.13,,,,,13,13,12.8,9.63,8.78,11,12.15,15.33,11.75,20.27,17.4,13,25.6,18.8
43,Madhya Pradesh,Chhindwara,,4.11,4.19,5.07,5.16,5.68,6.11,6.11,6.11,6.55,5.53,5.53,5.16,6.64,,25,25,25,18,18,,,
44,Tamil Nadu,Ariyalur,,,,,,,,,,14.5,,,,,18,,,,25,,20.33,,20.33
45,Madhya Pradesh,Guna,,6.24,4,6.06,6.11,6,6.1,5.22,6.05,6.08,4.33,4.69,5.38,5.67,,25,25,25,25,25,,,
46,Madhya Pradesh,Anuppur,,,,5.34,5.78,5.87,5.88,5.87,5.87,4.98,3.59,4.81,5.61,6.55,,,,,,25,,,
47,Haryana,Karnal,21.43,,25,21.74,,14.29,,,14.29,,,,12.5,,,,,,,,,,
48,Haryana,Panipat,20,,22.22,23.53,18.75,25,22.22,11.11,14.29,14.29,,,25,,,,,,,,,,
49,Tamil Nadu,Vellore,,,13.75,14.44,15.13,20.86,16.8,13.6,13.27,14.65,,20.43,,21,,16.29,9.4,,,24.6,,16,
