Crop: Linseed,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
1,Haryana,Panchkula,,,,,,,,,,,,,,,,,,,,,8,,
2,Haryana,Yamunanagar,,,,,,,,,,,,,,,,,,,,,8,,
3,Rajasthan,Jodhpur,,,,,,,,,,,0.4,0.25,0.33,,0.57,0.5,7,0.71,0.8,,0.9,,0.57
4,Rajasthan,Rajsamand,,1,,,,0.8,1,0.75,,,5.09,3,,3,0.6,3,1.5,3,3,1,1,1,1
5,Rajasthan,Ganganagar,0.67,,0.8,,0.74,,0.77,,,1.5,,,1,,,2,1.02,1.39,1.41,1.4,1.98,1,4.13
6,Rajasthan,Bharatpur,,,0.5,,,,,,0.5,,1,1.92,,,,,4,,,1,3,,
7,Rajasthan,Nagaur,0.6,0.78,0.71,0.81,,0.85,0.78,0.77,1.96,1.94,3.23,1.85,2.53,1.99,1.9,0.41,1.98,1.06,1.21,1.09,1.52,1.23,0.67
8,Rajasthan,Kota,0.62,0.73,0.73,0.74,1.21,1.06,0.94,0.89,0.59,3.16,0.82,0.63,1.11,0.85,1.31,1,0.96,1,1,1,0.99,1,1
9,Madhya Pradesh,Guna,0.86,0.91,0.43,0.97,0.9,1.18,1.21,1.07,1.07,1.22,1,,1.19,,,,,,1,3,0.86,0.92,0.74
10,Madhya Pradesh,Shivpuri,0.51,0.62,0.31,0.64,0.62,0.74,0.65,0.45,0.75,0.81,1.64,2.5,1.94,1.54,,,,,2.5,2.75,1.43,1,0.65
11,Jammu and Kashmir,Pulwama,0.59,1.07,1.12,0.9,,,0.96,0.96,1.03,1.08,2.16,1.2,0.94,0.94,,0.07,1.03,0.51,1.12,1.22,0.87,2.52,2.48
12,Jammu and Kashmir,Kathua,0.19,0.39,0.31,0.36,,,0.22,0.22,0.39,0.11,0.19,0.41,0.24,0.24,,0.27,0.3,0.3,1.12,,0.65,1.3,2.48
13,Nagaland,Dimapur,0.45,0.63,0.97,0.71,2.21,1.51,0.75,0.98,0.8,0.7,0.81,0.82,0.82,,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.79,0.77
14,Rajasthan,Baran,0.8,0.93,1.03,1.13,0.98,0.86,0.93,0.57,2.16,1.82,1.87,1.52,1.19,0.79,0.58,1.63,0.82,1.42,1.21,1.4,1.31,1.76,1.66
15,Rajasthan,Jaipur,0.5,1,0.67,0.75,0.5,,0.78,0.83,1,,0.87,1,1,0.92,0.67,2,1,0.83,1,1,1,1,2
16,Madhya Pradesh,Bhopal,0.8,0.71,0.74,0.76,0.85,0.88,0.91,0.89,0.91,1.02,0.7,1.79,1.32,0.69,,,,1,0.67,1,2,0.67,0.5
17,Rajasthan,Ajmer,0.32,0.79,1,0.81,0.75,0.82,0.81,0.79,1.02,1,0.61,1.4,1,0.92,1,2,0.73,0.93,0.75,1,0.87,0.4,
18,Rajasthan,Udaipur,,0.81,0.5,0.8,0.74,0.83,0.79,0.77,0.84,2,,1,1,0.86,0.8,1.08,0.78,0.92,0.79,1.12,1,0.42,0.57
19,Madhya Pradesh,Narsinghpur,0.59,0.64,0.56,0.68,0.74,0.85,0.79,0.72,1,0.8,,2,,0.6,,,,1,0.92,1.31,0.86,0.88,0.75
20,Jammu and Kashmir,Bandipora,,,,,,,,1,0.3,1,2,,,,,,,,,,,,
