Crop: Masoor,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
1,Chhattisgarh,Khairgarh chhuikhadan gandai,,,,,,,,,,,,,,,,,,,,,,,16.88
2,Haryana,Fatehabad,,3.57,,,,,,,,,,,,,,,,,,,,,
3,Bihar,Vaishali,3.47,0.62,0.56,0.87,0.67,0.38,0.76,0.69,0.84,0.71,0.82,1.12,0.9,1.87,0.36,0.64,0.96,0.94,1,0.92,1.03,0.93,0.97
4,Bihar,Muzaffarpur,0.97,0.86,0.7,3.03,0.54,0.64,0.71,0.68,0.6,1.03,0.71,0.73,0.9,0.53,0.55,0.61,0.85,0.7,0.82,0.58,0.86,0.55,0.57
5,Jharkhand,Palamu,,,0.53,0.58,0.57,0.41,0.78,0.74,,2.99,0.5,0.84,0.93,0.87,0.72,0.75,,0.7,0.92,0.71,0.74,0.74,0.72
6,Haryana,Hisar,,,,,,1.1,,2.86,,,,,,1,,,,1,0.75,1,,0.8,
7,Haryana,Jind,1.39,1.54,2.38,2.08,2.78,2.86,,,,,,,1.3,,,,,,,,,,
8,Bihar,Pashchim champaran,0.87,0.44,0.54,0.6,0.74,0.2,0.85,0.2,0.84,0.66,0.64,1.38,0.87,2.85,0.44,0.63,1.21,0.77,0.89,0.85,0.9,1.2,1.01
9,Haryana,Kaithal,1.37,1.23,1.37,1.36,1.05,1.14,1.12,1.49,2.8,1.8,1.87,1.87,1.4,1,,,,0.5,0.57,,1,,
10,Himachal Pradesh,Solan,0.93,1.13,0.85,,,0.27,0.54,0.43,1.38,2.8,0.5,0.89,1.14,0.75,1,0.75,1.75,0.75,0.75,0.8,1.25,1,
11,Jharkhand,Garhwa,,,,2.72,0.6,0.39,0.54,0.53,,0.31,0.52,0.93,1.3,1,0.74,0.59,,1.22,0.62,0.53,0.84,1.17,0.83
12,Haryana,Panipat,1.92,,,1.75,2.7,1.92,0.85,1.89,,2.5,,,1.24,1,,,,,0.5,1,,1,
13,Rajasthan,Churu,,2.67,,,1,,1,,,,,,,,,,,,,,,1,
14,Bihar,Kaimur (bhabua),1.03,1.04,0.98,1.07,0.73,0.88,0.6,0.75,0.65,0.54,0.79,1.04,1.29,0.76,2.64,0.82,1.04,0.89,0.74,0.68,0.66,0.82,0.71
15,Nagaland,Tuensang,,,,0.4,0.48,2.58,1.21,,0.71,0.71,0.77,0.77,0.81,0.81,0.81,0.81,0.86,0.82,0.83,0.82,0.82,,
16,Nagaland,Mon,,,,0.4,0.46,2.58,1.22,,0.8,0.7,0.76,0.76,0.81,0.81,0.81,0.81,0.8,0.81,0.81,0.85,0.85,,
17,Himachal Pradesh,Shimla,0.2,0.31,1.3,,,0.39,0.92,0.92,0.31,0.38,0.47,0.87,0.97,0.4,0.81,0.48,0.3,0.91,0.88,0.91,2.57,2.57,2.57
18,Nagaland,Zunheboto,,,,0.31,0.4,2.48,1.18,,0.63,0.67,0.73,0.73,0.79,0.8,0.81,0.81,0.81,0.81,0.81,0.83,0.83,0.8,0.78
19,Nagaland,Mokokchung,,,,0.49,0.41,2.44,1.18,,0.69,0.75,0.81,0.81,0.83,0.83,0.83,0.84,0.83,0.83,0.83,0.82,0.82,0.8,0.77
20,Uttar Pradesh,Kasganj,,,,,,,,,,0.8,0.88,1.93,1.41,2.4,0.63,0.71,1,1.23,1.11,0.77,0.95,0.69,0.71
21,Uttar Pradesh,Aligarh,0.81,0.8,0.97,0.79,,,0.91,0.73,0.88,0.8,0.88,1.93,1.41,2.4,0.63,0.71,1,1.23,1.11,0.77,0.95,0.69,0.71
22,Uttar Pradesh,Etah,0.81,0.8,0.97,0.97,,,0.9,0.72,0.88,0.8,0.88,1.93,1.41,2.4,0.63,0.71,1,1.23,1.11,0.77,0.95,0.69,0.71
23,Uttar Pradesh,Hathras,0.81,0.8,0.97,0.9,,,0.91,0.72,0.88,0.8,0.88,1.93,1.41,2.4,0.63,0.71,1,1.23,1.11,0.77,0.94,0.69,0.71
24,Assam,Darrang,,0.7,0.7,0.66,0.69,0.7,0.7,0.7,0.7,0.7,0.7,0.62,0.78,2.4,1.03,0.75,0.75,1.63,1.63,1.25,0.76,1.03,1.15
25,Arunachal Pradesh,Lower siang,,,,,,,,,,,,,,,,,,,2.33,2.33,,1.67,1.25
26,Uttar Pradesh,Lucknow,1.07,0.69,0.8,0.8,,,0.88,0.82,0.83,0.82,0.87,0.83,0.82,0.7,0.56,0.78,0.71,2.32,0.85,0.69,0.82,1.19,1.1
27,Uttar Pradesh,Sant ravidas nagar,0.77,2.2,1.5,1.17,,,1,,,1,0.6,0.75,,0.6,,1.56,1.2,,,,,,0.96
28,Nagaland,Wokha,,,,0.42,0.41,2.17,1.19,,0.8,0.7,0.73,0.74,0.79,0.79,0.79,0.79,0.79,0.85,0.81,0.85,0.85,,
29,Uttar Pradesh,Muzaffarnagar,0.81,0.52,0.43,0.44,,,0.42,0.33,0.36,0.78,0.51,0.46,0.96,0.8,0.8,1.08,0.69,1.03,0.74,0.49,2.16,0.69,1.25
30,Uttar Pradesh,Saharanpur,0.81,0.52,0.44,0.44,,,0.42,0.33,0.36,0.78,0.51,0.46,0.96,0.8,0.8,1.08,0.69,1.03,0.74,0.49,2.16,0.69,1.25
31,Uttar Pradesh,Shamli,,,,,,,,,,,,,0.95,0.81,0.78,1.1,0.69,1.03,0.74,0.49,2.16,0.68,1.26
32,Haryana,Sirsa,,,2.13,,,,,,,,,,0.93,,,,,,0.67,,1,,
33,Meghalaya,East khasi hills,,,,,,,,,,0.5,0.6,0.67,,2,2.04,2.11,2,2,2,2,2,,2
34,Jammu and Kashmir,Bandipora,,,,,,,,,,0.5,,0.5,0.5,,,,,2.05,2.05,2.05,2.05,,
35,Madhya Pradesh,Jabalpur,,,,,0.55,0.58,0.48,0.31,0.51,0.48,0.22,0.4,0.29,0.72,0.82,1.25,1.32,1.51,0.98,0.96,1.26,2.04,1.64
36,Arunachal Pradesh,Kamle,,,,,,,,,,,,,,,,,,,2,2,,1.75,1.39
37,Madhya Pradesh,Neemuch,,,,,0.54,0.49,0.47,0.4,0.41,0.43,0.35,0.34,0.72,0.87,0.5,2,,0.65,0.52,0.73,1.12,1.35,1.35
38,Rajasthan,Bikaner,,,,1,,1,1,1,1,1,,1.17,,,,0.8,1,,1.25,1.33,1.33,1.5,2
39,Mizoram,Mamit,,,,1,2,1.67,,,,,,,,,,,,,,,,,
40,Haryana,Kurukshetra,1.2,1.21,1.31,1.27,1.14,1.13,1.3,1.24,1.39,1.21,1.39,1.5,1.4,2,1,2,1,1,0.5,1,1,1,
41,Rajasthan,Jaipur,2,1,2,1,1,1,1,0.5,,,0.86,1,1,0.89,1,0.8,1,,1.16,,,,
42,Uttar Pradesh,Bahraich,0.73,0.65,0.68,0.81,,,0.84,0.91,0.93,0.82,0.89,0.9,0.93,0.93,0.69,0.87,0.86,1.99,0.97,0.67,1.07,0.95,0.86
43,Uttar Pradesh,Firozabad,0.81,0.8,0.98,0.91,,,0.9,0.72,0.88,0.81,0.88,1.94,1.98,0.96,0.94,0.68,0.96,1.04,1,0.97,1.01,0.95,0.96
44,Uttar Pradesh,Agra,0.81,0.8,0.98,0.9,,,0.9,0.72,0.88,0.8,0.88,1.93,1.97,0.96,0.94,0.69,0.96,1.03,1.03,0.98,1.01,0.94,0.95
45,Uttar Pradesh,Mainpuri,0.81,0.81,0.98,0.91,,,0.92,0.73,0.89,0.8,0.89,1.93,1.96,0.96,0.94,0.69,0.97,1.03,1.02,0.98,1.02,0.94,0.95
46,Bihar,Buxar,1.08,1.1,1.34,1.94,0.75,1.02,0.72,1.04,1,0.71,1.12,1.36,1.12,1.41,0.46,0.94,1.43,1.2,1.4,0.76,1.55,1.29,0.98
47,Uttar Pradesh,Mathura,0.81,0.8,0.98,0.9,,,0.9,0.73,0.87,0.8,0.88,1.92,1.94,0.96,0.94,0.7,0.96,1.03,1.04,0.98,1,0.94,0.95
48,Rajasthan,Jhalawar,1.92,0.38,0.99,0.99,1.14,0.89,1.05,0.73,0.8,1.05,0.65,0.99,1.04,0.65,1,0.7,1.01,1.31,1.16,1.43,1.35,1.45,1.46
49,Tamil Nadu,Erode,,,,,,,,,,,,,,,1.52,1.92,,,,,,,
50,Bihar,Lakhisarai,1.05,0.65,0.89,0.97,0.45,1.15,0.8,0.87,0.91,1.26,0.68,1.02,1.47,1.88,0.78,1.02,1.58,1.16,1.25,0.62,1.1,0.83,1.19
51,Bihar,Araria,0.88,0.48,0.69,0.36,0.53,0.5,0.47,0.49,0.66,0.55,0.72,1.85,0.72,0.9,0.43,0.84,0.62,0.35,0.78,0.83,0.75,0.67,1.09
52,Rajasthan,Kota,1.52,1.84,1.09,1.23,1,0.91,1,0.72,0.87,0.89,0.88,1.09,1.2,0.86,0.83,0.87,1,1.08,1.14,1.36,1.34,1.35,1.39
53,West Bengal,Jhargram,,,,,,,,,,,,,,,,,0.91,0.66,1.62,0.69,1.47,1.57,1.83
54,Nagaland,Phek,,,,0.5,0.48,1.83,1.21,,0.67,0.69,0.75,0.75,0.81,0.81,0.82,0.82,0.82,0.82,0.83,0.82,0.82,,
55,West Bengal,Medinipur west,1.34,,0.68,0.6,0.33,0.59,0.59,0.87,1.17,0.72,0.69,1.03,1.24,1.35,1.82,1.15,1.02,1.36,1.57,1.24,1.63,1.26,1.44
56,Chhattisgarh,Mahasamund,0.36,1.81,0.31,0.26,0.29,0.33,0.28,0.44,0.33,0.4,0.43,0.5,0.5,0.5,0.5,0.5,,,1,,,0.67,0.5
57,Uttar Pradesh,Budaun,0.88,0.77,0.93,1.02,,,0.87,1.26,1.28,0.84,1.08,1.42,1.35,1.47,1.07,1.02,1.74,0.78,1.06,1.35,1.36,0.99,0.76
58,Rajasthan,Sawai madhopur,0.51,0.9,1,1.25,1,1,,0.5,0.88,0.9,0.87,1.12,1.1,0.85,0.82,0.86,1.07,1.14,1.29,1.7,1.63,1.43,1
59,Rajasthan,Tonk,0.38,0.44,0.47,1.24,1,0.94,0.9,0.71,0.86,0.89,0.87,1.13,1.21,0.85,0.65,0.85,1.02,1.06,1.16,1.7,1.37,1.49,1.16
60,Tamil Nadu,Vellore,,,,,,,,,,,,,,,1.7,1.01,,,,,,,
61,Meghalaya,North garo hills,,,,,,,,,,,,,,1.46,1.52,1.69,1.65,1.67,1.67,1.67,1.67,,1.68
62,Uttar Pradesh,Lalitpur,0.53,0.7,0.7,1.16,,,0.89,0.83,0.86,1.05,0.79,1.02,1.25,0.56,0.71,0.64,1.68,1.17,1.46,1.42,1.25,1.41,0.82
63,Bihar,Sitamarhi,0.72,0.62,0.58,0.63,0.51,0.49,0.76,1.67,0.84,0.79,0.87,0.76,0.69,0.69,0.17,0.96,0.96,0.86,1.03,1.3,0.75,0.3,0.89
64,Madhya Pradesh,Raisen,,,,,0.59,0.61,0.59,0.59,0.59,0.59,0.43,0.57,0.62,0.63,0.67,1.45,1.65,1.39,0.89,0.89,1.29,1.32,1.31
65,Tamil Nadu,Theni,,,,,,,,,,,,,,,1.23,1.61,,,,,,,
66,Bihar,Patna,1.25,1.18,1.32,1.26,1.1,1.32,0.73,0.97,0.92,1.26,1.08,1.11,1.39,1.61,1.49,1.05,1.18,1.6,1.23,0.54,1.16,1.18,1.35
67,Uttar Pradesh,Ghazipur,0.92,0.92,0.87,1.01,,,0.84,0.95,1.26,1.02,0.9,1.11,1.1,0.67,0.89,1.09,1.1,1.09,1.16,1.25,1.25,1.29,1.6
68,Meghalaya,South garo hills,,,,,,,,,,1.08,1.08,1.08,,1.44,1.5,1.6,1.51,1.51,1.51,1.51,1.51,,1.42
69,Jammu and Kashmir,Kathua,,0.43,0.43,0.4,,,0.42,0.42,,0.55,,0.55,0.55,,,,,0.9,0.9,1.6,0.05,0.05,0.05
70,Madhya Pradesh,Hoshangabad,,,,,0.55,0.56,0.57,0.57,0.57,0.55,0.49,0.48,0.74,0.45,1,0.5,,0.6,0.6,0.67,1.5,1.59,1.44
71,Uttar Pradesh,Bareilly,0.77,0.79,0.66,0.8,,,0.7,0.72,0.82,0.87,1.02,1.23,0.95,1.19,0.46,0.79,0.83,1.58,1.29,0.83,1.39,0.97,0.82
72,Uttar Pradesh,Moradabad,0.95,0.99,0.99,0.84,,,0.71,0.58,0.78,0.8,0.7,1.22,0.9,1.58,0.49,0.74,0.8,0.66,0.8,1.1,1.04,0.76,0.6
