Crop: Moong(Green Gram),,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
13,Bihar,Jehanabad,0.51,0.69,0.41,0.52,0.41,0.61,0.61,0.64,0.67,0.49,0.61,0.74,0.96,1.08,0.61,0.86,1.01,1.81,0.74,1.12,0.42,0.77,0.82
14,Arunachal Pradesh,Anjaw,,,,,,,,,,,,,,,,,0.87,1.4,1.4,1.8,1.8,0.8,0.8
15,Telangana,Mancherial,,,,,,,,,,,,,,,,,0.71,0.71,0.75,0.89,0.67,1.79,1.04
16,West Bengal,Nadia,0.53,0.42,0.44,0.59,0.58,0.49,0.43,0.63,0.45,0.48,0.65,0.64,0.63,0.63,0.62,0.76,0.68,0.62,0.32,0.3,0.59,0.64,1.76
17,Tamil Nadu,Tirunelveli,0.47,0.38,0.45,0.38,0.5,0.44,0.7,0.59,0.29,0.65,0.39,0.77,0.33,0.36,1.73,0.7,0.03,0.27,0.14,0.29,0.29,0.33,0.3
18,Bihar,Purbi champaran,1.1,,0.55,0.5,0.39,0.62,0.47,0.55,0.54,0.48,0.55,0.4,0.58,0.55,0.51,0.48,0.42,0.74,1.73,0.99,0.54,0.84,1.03
19,Arunachal Pradesh,Upper subansiri,,,,,,,,,,,,,,,,,1.3,1.72,1.46,1.47,1.47,1.05,1.07
20,Andhra Pradesh,Guntur,0.61,0.35,0.19,0.39,0.36,0.55,0.58,0.4,0.6,0.54,0.24,0.84,1.24,0.88,1.28,1.02,0.42,1.01,1.07,1.34,1.19,1.23,1.72
21,Nagaland,Zunheboto,0.88,0.73,1.22,1.71,,0.83,1.11,1.33,0.5,0.83,1,,,1,1,1,1,1,1,1,1,0.8,0.95
22,Uttar Pradesh,Etawah,0.53,0.54,0.53,0.71,,,,0.55,1.2,0.82,0.85,0.79,0.52,0.74,0.77,0.8,1.05,0.9,0.94,1.05,1.71,0.94,1.01
23,Bihar,Aurangabad,0.43,0.68,0.35,0.67,0.4,0.5,0.63,0.72,0.56,0.5,0.71,,0.61,0.63,0.67,0.81,1,1.71,0.72,1.1,0.46,0.78,0.84
24,Nagaland,Mon,0.92,0.75,1.25,1.68,,1,1.29,0.75,0.75,0.8,1,,,1,1,1,1,1,1,1,1.04,0.97,1.15
25,Punjab,Kapurthala,1,1,1,1,,,,,,,,,,,,,,1,1.5,1.67,,,
26,West Bengal,Maldah,0.36,0.35,0.36,0.37,0.33,0.34,0.37,0.45,0.41,0.47,0.52,0.53,0.57,0.57,0.57,0.64,0.44,1.09,0.94,0.75,1.09,1.04,1.66
27,West Bengal,Dinajpur dakshin,0.84,0.47,0.6,0.7,0.66,,,,,,,,,0.5,,,0.69,1.09,0.94,0.73,1.09,1.04,1.66
28,West Bengal,Paschim bardhaman,,,,,,,,,,,,,,,,,,1.55,1.43,1.65,0.79,1.22,1.14
29,West Bengal,Purba bardhaman,0.85,0.84,0.82,0.56,0.36,0.67,0.56,0.66,0.54,0.58,0.67,0.79,0.59,0.92,0.88,1.54,0.9,0.68,1.43,1.64,0.81,1.2,1.14
30,Nagaland,Mokokchung,0.9,0.76,1.18,1.63,0.64,0.83,1.13,1,0.5,0.8,1,,,1,1,1,1,1.17,1.17,1.17,1.17,0.88,1.05
31,West Bengal,Hooghly,0.68,0.64,0.76,0.6,0.72,0.69,0.65,0.76,0.76,0.67,0.68,0.72,0.88,0.87,0.75,0.84,0.97,1.58,1.43,1.62,0.79,1.21,1.15
32,Bihar,Samastipur,0.52,0.45,0.41,0.53,0.61,0.62,0.56,1.04,1.6,0.62,0.7,0.6,0.45,0.62,0.54,0.76,0.76,0.38,0.32,0.54,0.88,1,1.05
33,Arunachal Pradesh,Tawang,,,,,,,,,,,,,,,,,1.59,1.59,1.59,1.58,1.58,1.11,1.11
34,Madhya Pradesh,Narsinghpur,,,,,,0.59,0.57,,,0.57,0.54,0.39,0.52,0.17,0.5,0.4,0.73,1.23,0.4,1.34,1.59,0.59,1.53
35,Arunachal Pradesh,West siang,,,,,,,,,,,,,,,,,0.96,0.87,1.14,1.58,1.58,0.92,0.92
36,Mizoram,Mamit,,,,1,1,1.58,,,,,,,,,,,,,,,,,
37,Arunachal Pradesh,Lower subansiri,,,,,,,,,,,,,,,,,0.96,,1.54,1.57,1.57,1.05,1.08
38,Bihar,Gopalganj,0.08,0.6,0.37,0.44,0.39,0.65,0.53,0.52,0.67,0.31,1.55,0.61,0.58,0.68,1.04,0.7,0.64,0.8,0.56,0.21,0.68,0.73,0.62
