Crop: Cowpea(Lobia),,,,,,,,,,,,,,,,,,
S.No.,State,District,2006 - 2007,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
53,Telangana,Warangal urban,,,,,,,,,,0.5,1.3,1.13,0.89,1,0.66,0.91
54,Manipur,Ukhrul,,1.17,0.69,1.17,1.2,1.01,1.05,0.99,1.08,1.12,1.29,1,,,,
55,Telangana,Yadadri,,,,,,,,,,0.33,1.28,1.11,0.88,0.79,0.68,1
56,Telangana,Nagarkurnool,,,,,,,,,,0.52,1.25,,0.97,1.06,0.69,0.9
57,Mizoram,Khawzawl,,,,,,,,,,,,,,1.25,1.2,1.22
58,Telangana,Jangoan,,,,,,,,,,0.52,1.25,1.11,0.82,0.99,0.66,0.87
59,Andhra Pradesh,Prakasam,,,,,0.8,1.17,0.91,1.23,1.05,0.7,0.71,0.54,0.51,1.04,1.02,1.03
60,Dadra and Nagar Haveli,Dadra and Nagar Haveli,,,,,,,,,,1.2,,1.2,1.2,,,
61,Manipur,Thoubal,,1.13,0.94,1.19,1.04,0.96,0.98,0.98,1.06,1.1,1.08,1.06,,,,
62,Manipur,Senapati,,1.1,0.64,1.03,1.01,1.01,1.02,1.03,1.05,1.11,1.19,1.16,,,,
63,Telangana,Mahbubnagar,,,,,0.21,,0.53,0.57,1.05,1.14,1.06,1.14,0.83,0.94,0.69,0.83
64,Telangana,Rajanna,,,,,,,,,,0.86,1.06,1.14,0.77,0.76,0.68,0.8
65,Karnataka,Chikballapur,,,,0.71,0.54,1.14,0.25,0.89,0.46,0.77,0.23,0.37,0.29,0.39,0.39,0.41
66,Telangana,Adilabad,,,,,0.32,,0.72,0.95,1.14,0.67,1.07,0.88,1.08,0.88,0.75,0.82
67,Meghalaya,East jaintia hills,,,,,,,0.95,1,1.05,1.05,1.05,1.05,1.05,1.05,,1.13
68,Andhra Pradesh,Spsr nellore,,,,,0.8,,0.82,1.13,0.87,0.67,0.74,0.8,0.67,0.55,0.96,0.99
69,Manipur,Chandel,,0.86,,0.87,0.9,1.02,1.01,1.07,1.08,1.13,1.05,1.12,,,,
70,Mizoram,Serchhip,,,,0.88,0.88,0.87,0.85,1.1,1.1,1.12,0.98,0.98,1.01,1.01,1.01,1.01
71,Manipur,Churachandpur,,1.1,0.6,1.1,1.11,0.94,1,1.04,1.1,1.12,1.12,0.8,,,,
72,Manipur,Tamenglong,,1.04,0.5,1,1,0.96,1,0.98,1.05,1.11,1.08,1.01,,,,
73,Telangana,Nirmal,,,,,,,,,,1.11,1.02,0.79,,1,0.68,0.83
74,Andhra Pradesh,East godavari,,,,,0.8,,0.81,1.1,0.86,0.55,0.5,0.37,0.48,0.92,0.64,1
75,Andhra Pradesh,Kurnool,,,,,0.69,,0.82,1.1,0.35,,,1,0.5,1,1,1
76,Telangana,Wanaparthy,,,,,,,,,,0.66,0.74,1.07,0.8,0.94,0.68,0.88
77,Telangana,Suryapet,,,,,,,,,,0.26,0.88,0.62,0.13,1.05,0.66,0.92
78,Telangana,Mancherial,,,,,,,,,,0.95,,0.8,0.86,1.05,0.69,0.88
79,Andhra Pradesh,Chittoor,,,,,0.33,1,0.29,0.31,0.42,0.42,0.95,0.47,0.54,1.03,0.84,0.84
80,Mizoram,Lawngtlai,,,,0.52,0.5,,0.45,0.42,0.93,0.93,0.92,0.97,1.01,1,0.93,0.9
81,Andhra Pradesh,Palnadu,,,,,,,,,,,,,,,,1
82,Telangana,Medchal,,,,,,,,,,,,,,,0.71,1
83,Andhra Pradesh,Kakinada,,,,,,,,,,,,,,,,1
84,Tamil Nadu,Perambalur,,,,,,,,,,,1,0.67,0.78,0.85,0.79,1
85,Telangana,Kamareddy,,,,,,,,,,0.67,1,,0.73,0.41,0.41,0.75
86,Andhra Pradesh,Guntur,,,,,,,0.48,0.38,0.86,,,0.17,,0.8,1,
87,Andhra Pradesh,Visakhapatanam,,,,,0.49,1,0.68,0.3,0.37,0.6,0.45,0.17,0.3,0.36,0.41,1
88,Telangana,Sangareddy,,,,,,,,,,,,,0.71,1,0.65,0.86
89,Andhra Pradesh,Ntr,,,,,,,,,,,,,,,,1
90,Tamil Nadu,Kanniyakumari,,,,,,,,,,,0.5,1,1,0.5,0.67,
91,Tamil Nadu,Chengalpattu,,,,,,,,,,,,,,1,0.75,1
92,Andhra Pradesh,West godavari,,,,,0.79,,0.81,0.45,0.26,0.57,0.51,0.46,0.53,1,0.86,
93,Andhra Pradesh,Vizianagaram,,,,,,,,,,,,,1,,,
94,Andhra Pradesh,Nandyal,,,,,,,,,,,,,,,,1
95,Tamil Nadu,Kallakurichi,,,,,,,,,,,,,,0.7,1,
96,Tamil Nadu,Ariyalur,,,,,,,,,,,,1,0.77,0.63,,0.83
97,Meghalaya,South garo hills,,,,,,,0.85,0.92,0.96,0.98,0.98,0.98,0.99,0.99,,0.99
98,Telangana,Narayanapet,,,,,,,,,,,,0.44,0.85,0.99,0.7,0.91
99,Andhra Pradesh,Bapatla,,,,,,,,,,,,,,,,0.99
100,Tamil Nadu,Krishnagiri,,,,,,,,,,,0.63,0.67,0.98,0.84,0.68,0.77
101,Andhra Pradesh,Krishna,,,,,,,,,,,,,0.5,0.92,0.97,
102,Tripura,Gomati,,,,,,,,,0.79,0.61,0.79,0.93,0.93,0.96,0.94,0.94
103,Tamil Nadu,Salem,,,,,,,,,,,0.76,0.77,0.64,0.96,0.77,0.7
104,Meghalaya,East garo hills,,,,,,,0.79,0.87,0.95,0.87,0.87,0.87,0.87,0.87,,0.87
105,Tamil Nadu,Dindigul,,,,,,,,,,,0.64,0.95,0.85,0.56,0.55,0.72
106,Tamil Nadu,Dharmapuri,,,,,,,,,,,0.83,0.9,0.92,0.78,0.93,0.92
107,Tamil Nadu,Theni,,,,,,,,,,,0.69,0.93,0.68,0.78,0.73,0.47
108,Andhra Pradesh,Anantapur,,,,,0.19,,0.5,0.55,0.86,0.04,0.93,0.09,0.47,0.65,0.42,0.75
109,Telangana,Vikarabad,,,,,,,,,,0.71,0.8,0.66,0.62,0.54,0.92,0.71
110,Meghalaya,North garo hills,,,,,,,0.76,0.82,0.88,0.88,0.88,0.88,0.88,0.88,,0.9
111,Jammu and Kashmir,Kathua,,,,,,,,,0.9,0.9,,,,,,
112,Telangana,Komaram bheem asifabad,,,,,,,,,,0.6,0.88,0.83,0.85,0.84,0.71,0.83
113,Tamil Nadu,Villupuram,,,,,,,,,,,0.69,0.86,0.7,0.84,0.74,0.78
114,Tamil Nadu,Cuddalore,,,,,,,,,,,0.68,0.85,0.7,0.67,0.64,0.47
115,Tamil Nadu,Ramanathapuram,,,,,,,,,,,0.65,0.85,0.7,0.67,0.62,0.47
116,Tamil Nadu,Karur,,,,,,,,,,,0.66,0.85,0.72,0.68,0.63,0.5
117,Tamil Nadu,Tirunelveli,,,,,,,,,,,0.65,0.85,0.71,0.68,0.63,0.55
118,Tamil Nadu,Thoothukudi,,,,,,,,,,,0.66,0.84,0.69,0.67,0.62,0.45
119,Tamil Nadu,Vellore,,,,,,,,,,,0.71,0.8,0.77,0.84,0.79,0.8
120,Tripura,Unakoti,,,,,,,,,0.77,0.62,0.69,0.74,0.75,0.78,0.74,0.84
121,Tripura,Dhalai,,,,,,,,,0.78,0.66,0.72,0.8,0.81,0.83,0.8,0.83
122,Tamil Nadu,Virudhunagar,,,,,,,,,,,0.67,0.83,0.72,0.73,0.64,0.53
123,Tripura,Sepahijala,,,,,,,,,0.79,0.61,0.67,0.74,0.76,0.77,0.74,0.83
124,Andhra Pradesh,Kadapa,,,,,0.5,0.33,0.48,0.23,0.48,0.83,0.67,0.11,0.31,0.26,0.17,0.77
125,Tamil Nadu,Tiruchirappalli,,,,,,,,,,,0.69,0.83,0.74,0.74,0.67,0.56
126,Tamil Nadu,Pudukkottai,,,,,,,,,,,0.69,0.82,0.75,0.81,0.76,0.73
127,Tripura,South tripura,,,,,,,,,0.75,0.58,0.66,0.72,0.73,0.77,0.76,0.82
128,Tamil Nadu,Tiruvannamalai,,,,,,,,,,,0.69,0.82,0.74,0.77,0.7,0.65
129,Tamil Nadu,Erode,,,,,,,,,,,0.7,0.82,0.77,0.82,0.75,0.75
130,Tamil Nadu,Namakkal,,,,,,,,,,,0.68,0.82,0.74,0.76,0.71,0.62
131,Tamil Nadu,Sivaganga,,,,,,,,,,,0.69,0.81,0.76,0.79,0.72,0.61
132,Tamil Nadu,Madurai,,,,,,,,,,,0.7,0.81,0.47,0.61,0.45,0.52
133,Tamil Nadu,Tirupathur,,,,,,,,,,,,,,0.81,0.74,0.73
134,Tamil Nadu,Kanchipuram,,,,,,,,,,,0.7,0.8,0.7,,,0.49
135,Karnataka,Raichur,,,,0.38,0.48,0.32,0.37,0.44,0.39,0.8,0.32,0.37,0.46,0.65,0.61,0.58
136,Tamil Nadu,Ranipet,,,,,,,,,,,,,,0.8,0.72,0.73
137,Odisha,Ganjam,,,,,,,,,,,,,0.8,,,
138,Tripura,North tripura,,,,,,,,,0.79,0.65,0.74,0.74,0.75,0.77,0.74,0.79
139,Odisha,Cuttack,,,,,,,,,,,,,0.79,,,
140,Odisha,Bhadrak,,,,,,,,,,,,,0.79,,,
141,Tamil Nadu,Coimbatore,,,,,,,,,,,0.38,0.79,0.55,0.43,0.32,0.3
142,Tripura,Khowai,,,,,,,,,0.76,0.7,0.79,0.73,0.74,0.77,0.75,0.77
143,Odisha,Gajapati,,,,,,,,,,,,,0.78,,,
144,Karnataka,Belgaum,,,,0.38,0.41,0.24,0.24,0.78,0.24,0.53,0.26,0.26,0.34,0.59,0.52,0.49
145,Tripura,West tripura,,,,,,,,,0.78,0.67,0.73,0.72,0.74,0.75,0.74,0.76
146,Odisha,Bargarh,,,,,,,,,,,,,0.77,,,
147,Karnataka,Bijapur,,,,0.3,0.24,0.33,0.3,0.2,0.2,0.77,0.26,0.27,0.41,0.52,0.41,0.46
148,Karnataka,Chamarajanagar,,,,0.37,0.37,0.14,0.37,0.23,0.34,0.77,0.41,0.37,0.32,0.43,0.57,0.5
149,Karnataka,Mandya,,,,0.69,0.52,0.48,0.55,0.42,0.51,0.77,0.19,0.37,0.15,0.27,0.37,0.33
150,Karnataka,Gulbarga,,,,0.15,0.35,0.44,0.33,0.41,0.41,0.76,0.23,0.38,0.28,0.35,0.36,0.51
151,Odisha,Rayagada,,,,,,,,,,,,,0.76,,,
152,Odisha,Kandhamal,,,,,,,,,,,,,0.76,,,
153,Odisha,Baleshwar,,,,,,,,,,,,,0.76,,,
154,Karnataka,Bidar,,,,0.53,0.52,0.28,0.37,0.44,0.41,0.76,0.22,0.35,0.33,0.59,0.56,0.34
155,Odisha,Kendrapara,,,,,,,,,,,,,0.75,,,
156,Odisha,Deogarh,,,,,,,,,,,,,0.75,,,
157,Odisha,Kalahandi,,,,,,,,,,,,,0.75,,,
158,Tamil Nadu,Thiruvallur,,,,,,,,,,,0.71,0.75,0.71,0.69,0.67,0.5
159,Odisha,Puri,,,,,,,,,,,,,0.75,,,
160,Odisha,Sundargarh,,,,,,,,,,,,,0.75,,,
161,Odisha,Kendujhar,,,,,,,,,,,,,0.74,,,
162,Odisha,Nayagarh,,,,,,,,,,,,,0.74,,,
163,Andhra Pradesh,Sri sathya sai,,,,,,,,,,,,,,,,0.74
164,Odisha,Jagatsinghapur,,,,,,,,,,,,,0.74,,,
165,Karnataka,Bengaluru urban,,,,0.5,0.51,0.29,0.38,0.43,0.41,0.74,0.23,0.35,0.28,0.36,0.33,0.38
166,Karnataka,Chikmagalur,,,,0.26,0.34,0.27,0.33,0.35,0.37,0.74,0.24,0.37,0.28,0.37,0.37,0.39
167,Odisha,Koraput,,,,,,,,,,,,,0.74,,,
168,Karnataka,Tumkur,,,,0.58,0.74,0.22,0.43,0.58,0.44,0.25,0.13,0.2,0.24,0.31,0.26,0.35
169,Odisha,Mayurbhanj,,,,,,,,,,,,,0.74,,,
170,Karnataka,Chitradurga,,,,0.74,0.5,0.66,0.38,0.41,0.64,0.69,0.25,0.31,0.32,0.52,0.39,0.46
171,Odisha,Balangir,,,,,,,,,,,,,0.73,,,
172,Karnataka,Mysore,,,,0.37,0.43,0.2,0.44,0.39,0.34,0.73,0.29,0.38,0.35,0.43,0.43,0.41
173,Tamil Nadu,Tiruppur,,,,,,,,,,,0.52,0.33,0.41,0.72,0.73,0.42
174,Odisha,Sambalpur,,,,,,,,,,,,,0.73,,,
175,Odisha,Jharsuguda,,,,,,,,,,,,,0.73,,,
176,Odisha,Sonepur,,,,,,,,,,,,,0.72,,,
177,Odisha,Nabarangpur,,,,,,,,,,,,,0.72,,,
178,Odisha,Khordha,,,,,,,,,,,,,0.71,,,
179,Karnataka,Hassan,,,,0.36,0.46,0.15,0.14,0.34,0.4,0.71,0.14,0.31,0.34,0.37,0.34,0.43
180,Odisha,Malkangiri,,,,,,,,,,,,,0.71,,,
181,Andhra Pradesh,Tirupati,,,,,,,,,,,,,,,,0.69
182,Tamil Nadu,Thenkasi,,,,,,,,,,,,,,0.67,0.63,0.57
183,Odisha,Jajapur,,,,,,,,,,,,,0.67,,,
184,Karnataka,Dharwad,,,,0.38,0.18,0.24,0.62,0.28,0.24,0.66,0.27,0.34,0.39,0.64,0.55,0.55
185,Karnataka,Uttar kannad,,,,0.26,0.35,0.35,0.41,0.37,0.39,0.07,0.36,0.26,0.44,0.65,0.57,0.57
186,Karnataka,Haveri,,,,0.33,0.29,0.27,0.37,0.38,0.38,0.26,0.34,0.24,0.42,0.65,0.6,0.57
187,Andhra Pradesh,Eluru,,,,,,,,,,,,,,,,0.62
188,Karnataka,Vijayanagar,,,,,,,,,,,,,,,,0.62
189,Karnataka,Koppal,,,,0.55,0.37,0.32,0.39,0.32,0.22,0.45,0.27,0.28,0.34,0.62,0.58,0.54
190,Karnataka,Udupi,,,,0.26,0.35,0.34,0.4,0.37,0.37,0.16,0.36,0.25,0.42,0.62,0.57,0.51
191,Karnataka,Davangere,,,,0.3,0.47,0.44,0.47,0.56,0.37,0.28,0.37,0.27,0.43,0.6,0.58,0.56
192,Karnataka,Bellary,,,,0.31,0.34,0.28,0.54,0.4,0.37,0.24,0.36,0.25,0.47,0.59,0.6,0.54
193,Andhra Pradesh,Alluri sitharama raju,,,,,,,,,,,,,,,,0.59
194,Karnataka,Dakshin kannad,,,,0.26,0.35,0.35,0.4,0.37,0.35,0.12,0.32,0.32,0.33,0.33,0.55,0.42
195,Jammu and Kashmir,Samba,,,,,,,,,0.55,,,,,,,
196,Karnataka,Shimoga,,,,0.31,0.4,0.31,0.39,0.4,0.33,0.55,0.25,0.19,0.38,0.43,0.29,0.37
197,Jammu and Kashmir,Kishtwar,,,,,,,,,0.55,,,,,,,
198,Karnataka,Yadgir,,,,0.23,0.52,0.29,0.4,0.41,0.42,0.35,0.3,0.38,0.29,0.43,0.41,0.47
199,Madhya Pradesh,Narsinghpur,,,0.51,0.38,,,,,,,,,,,,
200,Karnataka,Bagalkot,,,,0.31,0.42,0.34,0.39,0.37,0.35,0.34,0.32,0.15,0.39,0.47,0.51,0.51
201,Karnataka,Gadag,,,,0.23,0.28,0.45,0.34,0.31,0.3,0.48,0.2,0.17,0.3,0.49,0.47,0.51
202,Jammu and Kashmir,Baramulla,0.3,,,,0.5,,,,0.2,0.2,,,,,,
203,Jammu and Kashmir,Bandipora,,,,0.5,,,,,0.2,0.2,,,,,,
204,Jammu and Kashmir,Badgam,0.5,,,,,,,,,,,,,,,
205,Karnataka,Kodagu,,,,0.26,0.36,0.37,0.39,0.33,0.33,0.2,0.25,0.25,0.25,,0.5,
206,Andhra Pradesh,Anakapalli,,,,,,,,,,,,,,,,0.48
207,Madhya Pradesh,Damoh,,,0.44,0.2,,,,,,,,,,,,
208,Madhya Pradesh,Hoshangabad,,,0.44,0.35,,,,,,,,,,,,
209,Madhya Pradesh,Bhopal,,,0.43,0.24,,,,,,,,,,,,
210,Madhya Pradesh,Chhindwara,,,0.43,0.22,,,,,,,,,,,,
211,Madhya Pradesh,Sagar,,,0.42,0.33,,,,,,,,,,,,
212,Madhya Pradesh,Jhabua,,,0.38,0.28,,,,,,,,,,,,
213,Madhya Pradesh,Singrauli,,,0.37,0.22,,,,,,,,,,,,
214,Madhya Pradesh,Seoni,,,0.36,0.29,,,,,,,,,,,,
215,Madhya Pradesh,Tikamgarh,,,0.34,0.26,,,,,,,,,,,,
216,Madhya Pradesh,Shajapur,,,0.34,0.26,,,,,,,,,,,,
217,Madhya Pradesh,Datia,,,0.33,,,,,,,,,,,,,
218,Madhya Pradesh,Shahdol,,,0.33,0.22,,,,,,,,,,,,
219,Madhya Pradesh,Panna,,,0.33,0.15,,,,,,,,,,,,
220,Madhya Pradesh,Khandwa,,,0.33,0.25,,,,,,,,,,,,
221,Madhya Pradesh,Anuppur,,,0.33,0.2,,,,,,,,,,,,
222,Andhra Pradesh,Annamayya,,,,,,,,,,,,,,,,0.33
223,Madhya Pradesh,Dhar,,,0.33,0.25,,,,,,,,,,,,
224,Madhya Pradesh,Jabalpur,,,0.32,0.28,,,,,,,,,,,,
225,Madhya Pradesh,Satna,,,0.32,0.12,,,,,,,,,,,,
226,Madhya Pradesh,Betul,,,0.32,0.25,,,,,,,,,,,,
227,Madhya Pradesh,Sidhi,,,0.3,0.19,,,,,,,,,,,,
228,Madhya Pradesh,Rewa,,,0.3,0.21,,,,,,,,,,,,
229,Madhya Pradesh,Balaghat,,,0.29,0.2,,,,,,,,,,,,
230,Madhya Pradesh,Raisen,,,0.28,,,,,,,,,,,,,
231,Madhya Pradesh,Mandla,,,0.27,0.21,,,,,,,,,,,,
232,Madhya Pradesh,Katni,,,0.24,0.1,,,,,,,,,,,,
233,Madhya Pradesh,Chhatarpur,,,0.24,0.16,,,,,,,,,,,,
234,Madhya Pradesh,Umaria,,,0.22,0.15,,,,,,,,,,,,
