Crop: Niger seed,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
1,Chhattisgarh,Rajnandgaon,,0.33,0.25,0.25,0.2,0.25,0.17,0.2,0.18,,,,,71,0.26,0.21,0.24,0.33,0.2,,,,1
2,Chhattisgarh,Bijapur,,,,,,,,0.22,0.11,0.11,0.22,0.2,0.23,6.58,0.27,0.2,,0.3,,,,,
3,Chhattisgarh,Kabirdham,0.13,0.19,0.25,0.18,0.18,0.18,0.23,0.19,0.18,0.18,0.18,0.19,0.22,5.44,0.2,0.22,0.23,0.26,0.16,0.19,0.19,0.2,0.22
4,Dadra and Nagar Haveli,Dadra and Nagar Haveli,1,2.22,2.85,1.01,1,0.88,1,,,,0.75,0.6,0.6,,,0.59,0.37,0.68,0.37,0.37,,,
5,Nagaland,Wokha,0.53,2.39,,,1.1,1.08,0.61,,,,,,,,,,,,,,,,
6,Assam,Dima hasao,2,1,1,1,1,1,1,1,,0.5,0.5,0.5,0.5,0.57,0.54,0.5,0.54,0.5,0.5,0.5,0.53,0.54,0.54
7,Assam,Lakhimpur,0.5,0.5,0.5,0.86,0.57,0.57,0.57,0.57,0.5,0.5,0.5,1.5,0.63,0.67,0.67,0.5,0.5,0.67,0.25,0.57,0.57,0.4,
8,West Bengal,Darjeeling,0.5,1,1.4,1.41,1.41,0.52,0.6,0.63,0.59,0.63,0.64,0.65,0.62,,0.64,0.68,0.69,0.72,,,,,
9,Nagaland,Kohima,0.4,1,,,1.17,1.14,0.67,,,,,,,,,,,,,,,,
10,Nagaland,Dimapur,0.6,0.5,,,1.13,0.97,0.81,,,,,,,,,,,,,,,,
11,Assam,Nagaon,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.53,0.52,0.53,0.53,0.54,0.55,0.55,1.09,0.97,0.65,0.54,0.55,0.57,0.57,0.55
12,Madhya Pradesh,Hoshangabad,0.25,0.01,,,,0.4,,0.33,0.25,,,,,,,,,0.3,0.2,0.2,1.05,,
13,Nagaland,Mon,0.5,0.63,,,1.04,0.91,0.6,,,,,,,,,,,,,,,,
14,Assam,Hailakandi,,,,,,,0.5,0.57,0.4,0.5,0.52,,0.6,0.6,0.67,0.5,0.33,,1,1,1,1,1
15,Maharashtra,Sindhudurg,0.1,1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,,,0.3,,,,0.33,0.25,,,,,,
16,Maharashtra,Dhule,1,0.4,1,,,1,1,1,1,,,,,,,0.2,,0.25,0.14,0.15,,,
17,Assam,Sivasagar,,,,,,,0.5,,,,1,1,,0.54,,,,,,,,,
18,Maharashtra,Washim,1,,,,,,,,,,,,,,,,,,,0.17,0.04,,
19,Maharashtra,Nandurbar,0.1,0.5,0.1,1,1,1,,,1,,,,,,,0.2,,0.25,0.2,,,,
20,Jharkhand,Simdega,,,,,,,,,,,,,,,,,,1,1,,0.7,0.6,0.6
21,Maharashtra,Solapur,0.33,1,0.1,1,0.5,1,0.5,1,1,,,,0.2,,,0.2,0.18,0.14,0.11,0.11,0.42,0.17,0.46
22,Madhya Pradesh,Betul,0.17,0.22,0.22,0.23,0.22,0.24,0.25,0.25,0.26,0.25,0.26,0.21,0.29,0.3,1,0.33,0.33,0.31,0.2,0.14,0.35,0.32,
23,Assam,Jorhat,,,,,,,,,0.47,,,,,,,,1,,,0.44,0.5,0.5,0.5
24,Maharashtra,Hingoli,0.1,1,0.17,0.33,0.17,0.33,0.2,0.2,0.2,0.33,0.33,0.25,0.33,0.33,0.2,0.08,,,,0.14,0.04,,
25,Assam,Karimganj,1,,,,,,,,,,,,,,,,,,,,0.5,,
26,Maharashtra,Sangli,0.2,0.2,0.5,0.5,0.33,0.33,0.25,0.33,1,,0.5,0.5,0.3,,,0.5,0.17,,,,,,
