Crop: Moth,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
32,Rajasthan,Sawai madhopur,0.15,0.24,0.04,0.53,0.13,0.13,0.17,0.31,0.27,0.03,0.49,0.34,0.27,0.28,0.39,0.27,0.3,0.5,0.2,,0.33,0.2,1
33,Rajasthan,Hanumangarh,0.12,0.41,0.16,0.54,0.14,0.16,0.27,0.42,0.45,0.14,0.43,0.35,0.99,0.42,0.52,0.37,0.27,0.37,0.26,0.16,0.24,0.21,0.26
34,Haryana,Mahendragarh,,,,,,,,,,,0.94,,,,,,,,,0.19,,,
35,Gujarat,Ahmadabad,0.11,0.38,0.71,0.5,,0.6,0.2,0.57,0.24,0.3,0.61,0.63,0.53,0.67,0.74,0.94,0.41,0.73,0.18,0.44,0.6,0.44,0.48
36,West Bengal,Purulia,,,,,,,,,,,,,,0.87,0.88,0.88,0.94,,,,,,
37,Rajasthan,Barmer,0.4,0.31,,0.88,0.1,0.05,0.16,0.19,0.13,0.02,0.53,0.37,0.44,0.34,0.27,0.16,0.09,0.17,0.04,0.54,0.6,0.1,0.86
38,Rajasthan,Jalore,0.06,0.11,,0.55,0.02,0.73,0.75,0.47,0.38,0.03,0.71,0.83,0.83,0.34,0.38,0.02,0.09,0.18,0,0.57,0.62,0.13,0.86
39,Himachal Pradesh,Kangra,,,,,,,,0.33,,,,,,,,,,,,0.85,,,
40,Jammu and Kashmir,Pulwama,,,,,,,0.82,,,0.82,0.82,0.82,0.82,,,0.82,0.82,0.83,0.82,0.82,0.82,,
41,Jammu and Kashmir,Shopian,,,,,,,,,,0.82,0.82,0.82,0.82,,,,,,,,,,
42,Gujarat,Banas kantha,0.14,0.47,0.18,0.63,0.37,0.53,0.18,0.73,0.17,0.15,0.63,0.62,0.36,0.77,0.82,,0.46,0.65,0.08,0.46,0.52,,
43,Jammu and Kashmir,Badgam,,,0.8,,,,0.8,,,0.8,0.8,0.8,0.8,,,0.8,0.8,0.8,0.8,0.8,0.8,,
44,Jammu and Kashmir,Rajauri,,,,,,,0.55,,,,,,0.8,,,0.5,0.5,,,0.5,,,
45,Jammu and Kashmir,Kathua,,,0.67,,,,0.55,,,0.75,0.77,0.8,,,,,,,,,,,
46,Jammu and Kashmir,Ganderbal,,,,,,,,,,,0.68,0.68,0.67,,,,,,,,0.8,,
47,Jammu and Kashmir,Jammu,,,0.55,,,,0.55,,,0.55,0.55,0.77,0.77,,,,,,,,0.5,,
48,Rajasthan,Ganganagar,0.15,0.24,0.04,0.46,0.24,0.18,0.39,0.45,0.48,0.31,0.49,0.6,0.75,0.41,0.51,0.37,0.31,0.5,0.33,0.31,0.28,0.32,0.63
49,Gujarat,Patan,,,,0.74,0.7,0.61,0.13,0.45,0.33,0.21,0.61,0.48,0.43,0.75,0.63,0.44,0.65,0.65,0.08,0.46,0.07,0.44,0.5
50,Himachal Pradesh,Chamba,,,,,,0.2,0.29,,0.29,,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.6,0.6,0.75,0.65,0.67,0.5
51,Gujarat,Porbandar,,,,,,,,0.75,,,,,,,,,,,,,,,
52,Himachal Pradesh,Una,,,,,,,0.33,0.5,0.33,,0.3,0.3,0.38,0.37,0.29,0.45,0.33,0.64,0.67,0.75,0.63,0.72,0.67
53,Himachal Pradesh,Bilaspur,,,,,,,,,,,,,,,,,,,,,0.75,,
54,Gujarat,Vadodara,,0.25,0.6,0.67,0.33,0.5,0.33,,0.25,0.4,0.5,0.5,0.33,0.48,0.43,0.49,0.5,0.71,,0.33,,,0.55
55,Jammu and Kashmir,Doda,,,,,,,,,,,,0.7,,,,,0.5,,,,,,
56,Jammu and Kashmir,Reasi,,,,,,,,,,0.7,,,,,,,,0.5,0.5,0.5,0.5,,
57,Jammu and Kashmir,Poonch,,,,,,,,,,,0.7,,,,,,0.5,0.5,0.5,0.5,0.5,,
58,Jammu and Kashmir,Udhampur,,,0.67,,,,0.68,,,,,,,,,,0.5,0.5,,0.5,0.5,,
59,Jammu and Kashmir,Srinagar,,,0.67,,,,0.67,,,0.68,0.68,0.68,0.68,,,,,,,,,,
60,Gujarat,Bharuch,,0.25,0.67,0.67,0.4,0.45,0.2,0.56,0.14,0.25,0.6,0.5,0.33,0.48,0.43,0.48,0.47,0.65,0.08,,0.53,,
61,Himachal Pradesh,Mandi,,,,,,,,,,,,,,0.33,0.25,,,0.5,0.5,0.67,,,
62,Gujarat,Bhavnagar,0.1,0.36,0.5,0.5,0.4,0.67,0.25,0.5,0.25,0.38,0.6,0.6,0.25,0.48,0.43,0.48,0.47,0.65,0.08,0.46,0.52,0.44,0.5
63,Gujarat,Mahesana,0.08,0.29,0.17,0.5,0.4,0.5,0.28,0.61,0.2,0.33,0.61,0.67,0.5,0.59,0.43,0.48,0.47,0.65,0.08,0.46,0.52,0.44,0.5
64,Himachal Pradesh,Solan,,,,,,,,,,,,,,,,,,,,,,0.67,0.66
65,Gujarat,Gandhinagar,,,,0.5,,,0.5,0.5,0.5,0.25,0.6,0.67,,0.48,,0.48,0.47,0.65,0.08,0.46,0.52,0.44,0.5
66,Rajasthan,Bikaner,0.09,0.17,0.04,0.52,0.09,0.09,0.16,0.24,0.19,0.04,0.66,0.28,0.15,0.25,0.39,0.28,0.46,0.38,0.28,0.22,0.18,0.28,0.46
67,Gujarat,Devbhumi dwarka,,,,,,,,,,,,,,,0.4,,0.5,0.65,0.09,,,,
68,Gujarat,Surendranagar,0.13,0.57,0.28,0.5,0.44,0.37,0.46,0.61,0.62,0.27,0.38,0.59,0.29,0.48,0.45,0.48,0.47,0.65,0.09,0.5,0.52,0.44,
69,Gujarat,Gir somnath,,,,,,,,,,,,,,,0.43,0.48,0.48,0.65,0.08,0.45,0.57,,
70,Himachal Pradesh,Shimla,,,,,,,,,,,,,,,,,,,,,,0.62,0.64
71,Gujarat,Kachchh,0.03,0.17,0.05,0.54,0.26,0.52,0.41,0.51,0.19,0.4,0.45,0.42,0.3,0.34,0.28,0.41,0.48,0.62,0.02,0.46,0.5,0.44,0.55
72,Rajasthan,Udaipur,,0.05,,0.6,0.17,,,,0.27,,0.33,,,,,0.29,,0.5,0.5,0.33,0.5,,
73,Rajasthan,Jodhpur,0.06,0.22,0.02,0.28,0.28,0.07,0.06,0.25,0.25,0.01,0.53,0.5,0.21,0.43,0.59,0.38,0.37,0.48,0.31,0.58,0.53,0.36,0.46
74,Rajasthan,Alwar,,0.25,,0.57,0.12,0.15,0.15,0.33,0.27,,0.48,0.4,0.25,0.28,0.4,,0.5,,,,,,
75,Haryana,Hisar,,,0.07,0.05,0.12,0.13,,,0.15,0.19,0.26,0.36,,,,,0.2,0.24,0.56,0.2,0.21,0.2,
76,Rajasthan,Dholpur,0.13,0.25,0.09,0.56,,0.1,0.2,0.31,0.25,,0.5,0.25,0.5,,,,0.31,,0.23,,0.33,,
77,Rajasthan,Bhilwara,,0.33,,0.56,,0.13,0.19,,,,,,0.33,,0.5,0.2,,,0.33,0.3,,,0.5
78,Gujarat,Botad,,,,,,,,,,,,,,,0.43,0.48,0.47,,0.08,0.46,0.55,0.33,0.56
79,Rajasthan,Ajmer,0.04,0.13,0.01,0.44,0.09,0.14,0.11,0.21,0.39,,0.55,0.31,0.17,0.17,0.19,0.31,0.31,0.31,0.22,0.35,0.34,0.18,0.5
80,Haryana,Mewat,,,,,,,,,,,,,0.54,,,,,,,,,,
