State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Haryana,Bhiwani,,,,,,,,,,,,,,,,,,,,1.58,,1.75,
Haryana,Faridabad,,,,,,,,,,,,,,,,,,,,,,1.8,
Haryana,Fatehabad,,,,,,,,,,,,,,,,,,,,1.0,,1.73,
Haryana,Gurugram,,,,,,,,,,,,,,,,,,,,,,1.73,
Haryana,Hisar,,,,,,,,,,,,,,,,,,,,2.0,1.8,1.74,
Haryana,Jind,,,,,,,,,,,,,,,,,,,,,,1.8,
Haryana,Karnal,,,,,,,,,,,,,,,,,,1.0,,,,,
Haryana,Kurukshetra,,,,,,,,,,,,,,,,,1.0,1.0,1.67,1.5,1.78,1.74,
Haryana,Mahendragarh,,,,,,,,,,,,,,,,,,1.0,,1.86,,1.75,
Haryana,Nuh,,,,,,,,,,,,,,,,,,,,,2.0,,
Haryana,Panchkula,,,,,,,,,,,,,,1.0,1.0,1.0,1.2,2.0,0.88,0.86,1.0,,
Haryana,Rewari,,,,,,,,,,,,,,,,,,,,2.0,2.5,2.0,
Haryana,Rohtak,,,,,,,,,,,,,,,,,,,,,,2.0,
Haryana,Sirsa,,,,,,,,,,,,,,,,,,,,2.0,1.9,1.74,
Haryana,Yamunanagar,,,,,,,,,,,,,,1.0,,,,,1.25,1.57,,1.75,
Himachal Pradesh,Solan,,,,,,,,,,,,,,,,,,,,,,0.88,
Jammu & Kashmir,Baramulla,0.35,,,,,,,,,,,,,,,,,,,,,,
Jammu & Kashmir,Budgam,,,,,,,,,,,,,,,,,,0.59,0.59,,,,0.2
Jammu & Kashmir,Doda,,,,,,,,,,,,1.4,,,,,0.78,,,,,0.14,0.14
Jammu & Kashmir,Jammu,0.5,,0.43,,,0.43,0.46,0.44,0.55,0.45,0.45,1.38,,,,,,,,,,,
Jammu & Kashmir,Kathua,,,,,,,,,,,,1.38,,,,0.78,,0.33,0.23,0.5,0.85,0.85,0.85
Jammu & Kashmir,Kulgam,,,,,,,,,,,,,,,,,,,,,,0.16,0.17
Jammu & Kashmir,Poonch,,,,,,,,,,,,,,,,0.78,,,,,,,
Jammu & Kashmir,Rajouri,,,,,,0.4,0.4,,,,,,,,,,,0.3,,,,,
Jammu & Kashmir,Reasi,,,,,,,,,,,0.46,1.4,,,,,,,,,,,
Jammu & Kashmir,Samba,,,,,,,,0.45,0.54,,,,,,,,0.78,,,,,,
Jammu & Kashmir,Srinagar,0.33,,0.5,0.4,,,,,,,,,,,,,,,,,,,
Jammu & Kashmir,Udhampur,,,,0.5,,,,,,,,,0.57,,,,,,,,,,
Ladakh,Leh Ladakh,,,,,,,,,,,,,,,,,0.8,0.92,1.13,,,,
Maharashtra,Ahmednagar,,,,,,,,,,,,,,,,0.13,,,,0.16,0.2,0.39,0.54
Maharashtra,Akola,,,,,,,,,,,,,,,,,,,,,0.31,,
Maharashtra,Amravati,,,,0.26,,,,,,,,,,,,,,0.2,0.18,0.4,0.44,0.4,0.4
Maharashtra,Aurangabad,,,,0.5,,,,,,,,,,,,0.1,,,,0.22,0.29,0.19,0.29
Maharashtra,Beed,,,,0.15,,,,,,,,,,,,0.15,,,,0.21,0.51,2.0,0.35
Maharashtra,Bhandara,,,,,,,,,,,,,,,,0.08,,,,1.0,0.33,0.7,0.3
Maharashtra,Buldhana,,,,0.33,,,,,,,,,,,,1.0,0.13,0.2,0.18,0.48,0.32,0.38,0.41
Maharashtra,Chandrapur,,,,,,,,,,,,,,,,0.43,,,,0.35,0.31,0.22,0.25
Maharashtra,Dhule,,,,0.5,,,,,,,,,,,,,,,,0.4,0.44,0.28,0.22
Maharashtra,Gadchiroli,,,,,,,,,,,,,,,,0.22,0.22,,,0.28,0.3,0.27,0.31
Maharashtra,Gondia,,,,,,,,,,,,,,,,0.17,,,,0.38,0.38,0.38,0.34
Maharashtra,Hingoli,,,,0.33,,,,,,,,,,,,0.05,,,,0.03,0.26,0.13,0.19
Maharashtra,Jalgaon,,,,0.5,,,,,,,,,,,,0.5,,,,0.53,0.65,0.63,0.6
Maharashtra,Jalna,,,,0.25,,,,,,,,,,,,,,,,0.13,0.45,0.35,0.42
Maharashtra,Kolhapur,,,,,,,,,,,,,,,,2.0,0.5,5.0,,0.17,0.4,0.2,0.18
Maharashtra,Latur,,,,,,,,,,,,,,,,0.07,,,,0.32,0.34,0.19,0.3
