Crop: Sugarcane,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
28,Rajasthan,Jaipur,41.65,47.69,48.6,69.69,66.04,76.1,57.72,57.09,59.44,57.55,67.03,70.35,73.09,68.97,136.11,86.51,71.28,70.35,83.44,73.05,60.66,106.02,70.47
29,Karnataka,Shimoga,118.75,105.45,131.1,123.5,,109.25,105.45,87.4,99.75,121.6,110.2,105.45,114,95.95,99.75,90.25,86.45,88.35,95,106.37,120,135.93,127.02
30,Karnataka,Davangere,125.4,97.85,107.35,85.5,,111.15,123.5,112.1,106.4,122.55,135.85,133,110.2,114.95,128.25,128.25,107.35,108.3,112.1,104.86,113,108.02,109.04
31,Tamil Nadu,Thiruvallur,120.67,131.03,111.06,101.12,101.68,102.61,135.54,116.97,111.64,101.58,110.11,108.13,97.28,94.99,98.62,100,95.25,96,82.92,102.7,102.73,110.49,114.91
32,Tamil Nadu,Tiruppur,,,,,,,,,,110.85,122.3,121.14,91.89,98.01,105.23,123,52.87,112,134.55,129.34,132.53,117.49,126.09
33,Tamil Nadu,Thanjavur,91.25,95.7,102.31,124.19,113.55,99.64,105.38,108.04,99.69,106.87,134.39,111.35,110.43,118,108.28,86,88.45,101,93.66,106.5,75,101.08,112.77
34,Tamil Nadu,Salem,133.61,85.92,64.26,94.65,91.24,93.8,105.39,92.39,93.01,82.39,105.55,100.07,85.34,96.08,98.36,85,71.67,97,95.45,83.98,94.7,97.28,119.8
35,Tamil Nadu,Villupuram,108.87,118.7,87.16,103.22,114.38,110.2,132.9,102.07,109.48,107.07,112.46,109.75,109.58,119.38,117.53,111,105.32,106,101.52,105.53,110.47,104.57,114.72
36,Kerala,Idukki,84.47,84.46,84.47,84.4,84.39,67.89,62.43,60.93,76.94,100.88,100.03,106.98,104.46,105.78,107.7,112.21,112.8,112.3,110.1,132.9,12.03,11.8,11.26
37,Karnataka,Mandya,131.1,121.6,113.05,113.05,,105.45,110.2,97.85,118.75,110.2,132.05,132.05,120.65,128.25,117.8,110.2,124.45,112.1,107.35,107.09,111,118,112
38,Andhra Pradesh,Kurnool,71.89,86.98,73.83,72.5,87.52,96.66,93.8,71.5,89.84,82.62,97.19,101.79,69,107.08,116.79,99.6,105.19,130.81,90.36,86.48,109.66,111.75,96.08
39,Telangana,Mahbubnagar,,,69.6,80,72,94,89.79,,81.42,88,83.02,82.08,130.5,71.61,82.7,60.59,40.45,81.97,80.64,84.03,91.44,101.96,91.03
40,Kerala,Ernakulam,125.71,125.83,126.25,130,130,66.67,,28.75,,,,,,,,,,,85,,5,2.5,7.12
41,Bihar,Purbi champaran,33.49,36.26,35.62,44,40.06,33.08,,36.82,44.6,129.23,40.64,,47.57,41.9,50.81,18.41,54.48,43.32,45.19,53.07,44.73,41.67,80.95
42,Karnataka,Bellary,109.25,97.85,72.2,66.5,,95.95,90.25,84.55,129.2,96.9,95.95,83.6,85.5,80.75,102.6,102.6,73.15,84.55,57,101.05,80,96,90.04
43,Tamil Nadu,Dharmapuri,89.51,83.84,69.43,61.58,79.76,86.43,104.28,107.73,94.38,72.84,87.83,112.55,80.73,73.01,84.5,79,64.33,73,91.57,87.13,96.35,123.9,128.99
44,Tamil Nadu,Cuddalore,109,113.12,114.2,118.67,119.37,98.55,128.19,110.19,106.61,107.6,107.67,94.91,112.47,108.43,120.12,95,96.66,112,116.55,121.43,102.34,110.17,126.26
45,Bihar,Siwan,35.89,47.16,35.34,38.63,35.72,35.87,,32.39,44.15,46.54,46.23,,35.81,54.42,55.13,66.1,127.99,61.25,54.24,49.11,39.83,53.84,58.72
46,Odisha,Sundargarh,71.02,67.14,68.02,60.88,73.38,48.62,70.16,64.48,56.44,56.6,93.04,54.23,100.25,82,93.6,69.05,82,,109.6,125.96,99.43,104.85,98.08
47,Rajasthan,Dungarpur,21.35,60.13,38.47,39.12,67.13,85.93,53.76,88.72,42.86,37.1,125.93,36,103.47,73.04,75.28,52,53.13,58.11,58.29,62.9,73.08,75.86,89.25
48,Karnataka,Chamarajanagar,120.65,95.95,100.7,82.65,,92.15,87.4,95,82.65,84.55,104.5,125.4,74.1,95,83.6,88.35,69.35,110.2,97.85,84.76,105,94,70
49,Maharashtra,Satara,91.49,94.62,93.05,67.29,80.83,88.79,83.68,84.47,83.93,89.45,94.1,98.62,93.27,100.59,98.96,96.64,124.38,99,97.45,106.87,110.26,112.55,109.3
50,Tamil Nadu,Sivaganga,89.29,86.61,91.84,101.68,86.97,95.59,106.11,100.51,110.73,97.88,87.4,123.93,90.11,63.09,89.76,97,50.38,57,48.23,77.53,105.06,81.72,109.84
51,Tamil Nadu,Madurai,123.83,105.25,106.59,76.44,122.14,89.75,109.26,97.46,119.25,67.79,101.77,112.93,100.07,97.97,80.3,88,64.64,84,80.12,91.51,88.98,95.93,65.77
52,Tamil Nadu,The nilgiris,107.14,100,92.14,,110.09,104.73,122.8,107.5,106.2,,,,97.75,103.67,106.75,101,87,100,95,86,83,,
53,Tamil Nadu,Ramanathapuram,106.33,100.17,91.84,101.68,110.07,104.69,122.79,107.54,106.21,101.45,108.41,112.53,97.64,103.57,106.79,101,86.99,100,103.28,108.12,104.39,108.75,111.01
54,Tamil Nadu,Thiruvarur,91.25,100.17,91.84,101.68,110.07,104.69,122.79,107.54,106.21,101.45,108.41,112.53,97.64,103.57,106.79,101,86.99,100,102.52,107.92,102.44,108.82,111.09
55,Tamil Nadu,Tirunelveli,99.81,100.19,91.84,101.68,110.07,76.59,122.79,102.36,100.37,87.04,101.27,85.58,77.42,63.82,78.04,106,40.17,100,102.73,84.81,104.27,111.68,111.04
56,Tamil Nadu,Krishnagiri,,,,,53.64,63.45,122.79,107.54,107.54,88.5,81,104.7,93.3,96.66,95.45,101,86.99,100,102.77,107.61,104.19,109.32,111.09
57,Bihar,Jehanabad,45.01,44.49,46.15,42.52,35.96,26.31,,37.08,35,48.78,86.74,,60.46,24.73,113.28,110.5,122.53,40.69,,60.59,,,
