State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Bihar,Madhubani,0.66,0.74,0.8,0.74,0.49,0.62,,,,0.96,0.94,0.95,0.97,0.95,0.96,0.93,0.92,0.93,0.92,0.92,0.93,0.93,0.92
Bihar,Munger,0.77,0.8,0.79,0.74,0.81,0.86,,,,0.96,0.94,0.95,0.97,0.95,0.96,0.87,0.87,0.88,0.87,0.88,0.88,0.92,0.91
Bihar,Nalanda,,,,0.8,,,,,,,,,,,,,,,,,,,
Bihar,Nawada,0.77,0.8,0.8,0.74,0.81,0.86,,,,0.96,0.94,0.95,0.97,0.95,0.96,0.93,0.92,0.92,0.92,0.92,0.92,0.92,0.99
Bihar,Pashchim Champaran,,,,,,,,,,,,0.96,0.98,0.95,0.97,0.94,0.93,,,,,,
Bihar,Purnia,0.92,0.99,0.8,0.74,0.99,0.89,,,,0.96,0.94,0.95,0.97,0.95,0.96,0.96,0.94,0.93,0.94,0.93,0.93,0.94,0.93
Bihar,Rohtas,0.77,0.8,0.8,0.74,0.81,0.89,,,,0.97,0.95,0.95,0.97,0.95,,,,,,,,,
Bihar,Saharsa,0.49,0.49,0.8,0.74,0.81,0.86,,,,0.96,0.94,0.95,0.97,0.95,0.96,0.93,0.92,0.93,,0.92,0.92,0.91,0.89
Bihar,Samastipur,0.86,,0.75,0.75,0.67,0.67,,,,,,,1,,,,,,1,1,1,1,1
Bihar,Sheikhpura,,,,,,,,,,,,,0.96,,,,,,,,,,
Bihar,Sitamarhi,0.79,0.82,0.8,0.74,,,,,,,,,,,,,,,,,,,
Bihar,Siwan,,,,,,,,,,1,,,,,,,,,,,,,
Bihar,Supaul,0.49,0.49,0.8,0.74,0.81,0.86,,,,0.96,0.94,0.95,0.97,0.95,0.96,0.93,0.92,0.92,0.92,0.92,0.92,0.91,0.89
Chhattisgarh,Balod,,,,,,,,,,,,0.34,0.31,0.32,0.3,0.34,0.42,0.45,0.45,0.46,0.45,0.52,0.49
Chhattisgarh,Baloda Bazar,,,,,,,,,,,,0.35,0.34,0.37,0.34,0.51,0.41,0.41,0.44,0.5,0.41,0.43,1
Chhattisgarh,Balrampur,,,,,,,,,,,,0.24,0.28,0.2,0.28,0.62,0.65,0.6,0.6,0.6,0.64,0.64,0.64
Chhattisgarh,Bastar,0.39,0.41,0.24,0.38,0.35,0.36,0.45,0.4,0.35,0.3,0.37,0.37,0.37,0.37,0.37,0.3,0.32,0.44,0.43,0.35,0.34,0.31,0.34
Chhattisgarh,Bemetara,,,,,,,,,,,,,0.5,,,0.2,,,,,0.25,1,
Chhattisgarh,Bijapur,,,,,,,,0.31,0.24,0.27,0.27,0.3,0.4,0.36,0.31,0.29,0.4,0.4,0.4,0.38,0.37,0.43,0.32
Chhattisgarh,Bilaspur,0.21,0.29,0.25,0.29,0.27,0.3,0.32,0.33,0.3,0.32,0.32,0.32,0.34,0.35,0.35,0.42,0.38,0.38,0.39,0.38,0.36,0.39,0.38
Chhattisgarh,Dantewada,0.32,0.34,0.26,0.35,0.26,0.3,0.42,0.33,0.3,0.24,0.31,0.29,0.43,0.39,0.37,0.27,0.39,0.25,0.29,0.35,0.39,0.36,0.35
Chhattisgarh,Dhamtari,0.3,0.36,0.25,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.34,0.34,0.34,0.37,0.36,0.28,0.29,0.35,0.38,0.38,0.41
Chhattisgarh,Durg,0.26,0.32,0.28,0.34,0.33,0.33,0.36,0.32,0.32,0.28,0.33,0.33,0.25,0.29,0.33,0.33,0.5,0.5,0.33,,,,
Chhattisgarh,Gariyaband,,,,,,,,,,,,0.44,0.33,0.29,0.31,0.38,0.36,0.31,0.36,0.37,0.37,0.39,0.38
Chhattisgarh,Gaurella Pendra Marwahi,,,,,,,,,,,,,,,,,,,,0.37,0.42,0.4,0.41
Chhattisgarh,Janjgir-Champa,0.33,0.35,0.3,0.36,0.33,2.58,0.31,0.35,0.32,0.32,0.36,0.35,0.33,0.34,0.33,0.59,0.59,0.61,0.49,0.53,0.67,1,
Chhattisgarh,Jashpur,0.27,0.29,0.28,0.3,0.25,0.33,0.27,0.28,0.29,0.27,0.27,0.27,0.28,0.29,0.28,0.24,0.24,0.28,0.29,0.29,0.29,0.29,0.3
Chhattisgarh,Kabirdham,0.22,0.28,0.29,0.38,0.3,0.2,0.25,,,,,,,,,,,,,,0.5,0.5,
Chhattisgarh,Kanker,0.31,0.44,0.17,0.43,0.41,0.41,0.41,0.38,0.38,0.32,0.32,0.27,0.32,0.29,0.32,0.22,0.32,0.3,0.26,0.27,0.31,0.34,0.32
Chhattisgarh,Kondagaon,,,,,,,,,,,,0.37,0.34,0.34,0.35,0.36,0.48,0.46,0.44,0.52,0.48,0.48,0.48
Chhattisgarh,Korba,0.24,0.31,0.27,0.27,0.24,0.28,0.24,0.27,0.27,0.27,0.3,0.27,0.3,0.33,0.33,0.32,0.38,0.38,0.35,0.35,0.35,0.38,0.38
Chhattisgarh,Korea,0.31,0.27,0.27,0.26,0.22,0.21,0.25,0.24,0.28,0.23,0.16,0.29,0.25,0.29,0.28,0.42,0.38,0.4,0.32,0.38,0.37,0.36,0.45
Chhattisgarh,Mahasamund,0.25,0.37,0.28,0.29,0.29,0.32,0.33,0.32,0.33,0.34,0.31,0.36,0.32,0.33,0.3,0.46,0.31,0.25,0.38,0.17,0.4,0.5,
Chhattisgarh,Manendragarh Chirimiri Bharatpur,,,,,,,,,,,,,,,,,,,,,,,0.45
