Crop: Mesta,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare)
1,Bihar,Bhagalpur,7.71,6.5,,6.94,7.97,,8.53,9.28,8.69,7.18,,12.37,2.96,24.95,14.89,19.52,2.36,1.48,1.93,2.05,13.12,10.96,11.9
2,Bihar,Saharsa,8.31,6.5,7.39,8.37,7.98,17.51,11.5,11.43,10.67,7.81,10.78,13.16,,,13.82,22.76,2.23,1.44,1.82,1.69,13.19,11.11,11.99
3,Bihar,Supaul,8.15,6.5,6.72,6.82,7.98,8.26,12.96,10.83,10.32,9.56,15.23,14.68,3,14.84,13.88,22.76,2.23,0.92,1.39,1.59,11.95,10.91,12.41
4,Bihar,Madhepura,9.22,6.5,8.17,10.47,7.98,6.65,9.26,13.72,11.39,5.04,5.04,7.22,1.45,14.84,13.78,22.76,2.25,2.35,3.74,2.1,16.5,11.14,11.17
5,Bihar,Katihar,5.39,6.79,4.19,6.05,7.2,,9.38,7.68,8.79,9.19,8.5,17.04,2.71,15,11.56,16.38,2.01,1.13,2.46,4.38,20.12,13.04,11.23
6,West Bengal,24 paraganas north,8.36,10.55,8.6,8.45,9.97,15.14,13.33,14.29,12.38,14.21,13,17.29,14.48,,10.9,11.8,14.08,12.09,12.18,17.61,12.05,19.94,19.17
7,Bihar,Sheohar,,,,,,5.9,6.33,,,,,,,,,19.54,,,,,,,
8,Bihar,Jehanabad,,,,,,,8.5,9.5,,,8,,,,13.5,19.53,,,,,,,
9,Bihar,Pashchim champaran,,,4.68,,,,,,,7.14,17.14,,,6.57,12.92,19.53,2.33,,,,,,
10,Bihar,Sitamarhi,5.29,3.27,4.69,4.46,7.97,5.89,6.25,6.42,6.62,7.07,17.18,12.36,,,,19.53,,,,,,,
11,Bihar,Khagaria,7.71,,,,,9.86,,,,,8.44,,2.33,15.33,13.33,19.5,,,,2,13.33,11.11,12.04
12,Bihar,Purnia,6.64,6.84,5.96,6.86,9.18,6.76,6.6,7.39,7.68,7.34,7.04,15,2.8,16.51,18.14,14.78,3.67,1.6,2.27,3,,,
13,West Bengal,Nadia,7.18,10.55,8.6,8.02,9.97,17.08,6.8,8.29,7.09,10.15,9.72,17.07,11.91,13.18,10.9,13.11,15.08,15.86,12.18,14.17,11.88,15.17,17.96
14,Bihar,Vaishali,5.29,3.27,4.68,4.47,7.98,,6.24,6.42,6.62,7.07,17.19,12.37,3.38,6.6,12.91,,2.37,1.48,1.94,2.37,12.49,9.42,
15,Bihar,Muzaffarpur,5.3,3.26,4.69,4.46,7.98,5.9,6.25,6.42,6.62,7.07,17.19,12.36,3.38,6.59,12.94,13.99,,,,,,,
