Crop: Other Kharif pulses,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
19,Karnataka,Ramanagara,,,,,,,,1.01,1.01,0.85,0.73,1.44,0.84,1.04,1.41,2.4,0.94,1.06,0.68,1.05,0.92,0.75,1
20,Bihar,Katihar,,,,2.3,,0.5,,0.57,0.5,0.67,,,,,,,,,0.76,,0.67,0.92,0.88
21,Rajasthan,Dungarpur,0.05,0.18,0.15,0.78,0.23,0.19,0.17,0.7,0.3,0.04,0.56,0.34,0.39,0.3,2.3,0.25,,0.49,0.75,0.52,0.79,0.35,0.55
22,Mizoram,Lunglei,1.31,,0.94,1.37,,1.24,1.82,0.28,0.23,1.07,0.83,0.64,1.45,2.23,2,1.42,1.58,1.69,1.75,1.59,1.4,1.41,1.33
23,Mizoram,Champhai,0.86,,0.52,0.8,,1.11,0.96,0.26,1.12,1.07,1.25,1.2,1.2,1.27,1.42,2.22,1.39,1.11,1.32,1.56,1.72,1.75,0.96
24,Karnataka,Bangalore rural,0.18,0.17,0.17,0.18,0.18,0.17,1.66,1.05,0.88,0.78,1.32,1.16,0.64,0.65,1.47,2.14,0.45,0.75,0.62,0.82,0.82,0.55,0.59
25,Rajasthan,Baran,0.17,0.25,0.1,0.5,0.5,,1,0.33,,,0.5,,2.14,,,,,,0.5,,,,
26,Kerala,Kasaragod,,,,,,,,,,,,,,,,0.93,2.04,2.05,1.38,,,,
27,Maharashtra,Wardha,0.35,0.27,0.25,0.25,0.33,0.5,0.5,2,0.5,,0.4,0.3,,,,,,,,,,,0.56
28,Arunachal Pradesh,Kamle,,,,,,,,,,,,,,,,,,,1.96,1.96,1.88,1.88,1.08
29,Andhra Pradesh,Visakhapatanam,0.49,0.59,0.47,0.52,0.42,0.42,0.45,,0.49,0.96,0.96,0.7,1.28,1.14,1.82,,1.18,1.22,0.33,1.04,1,0.97,
30,Karnataka,Chamarajanagar,0.44,0.44,0.45,0.44,0.45,0.47,0.3,0.5,0.53,0.74,1.16,1.77,0.64,0.73,0.4,0.32,0.37,0.68,0.62,0.82,0.82,0.55,0.59
31,Karnataka,Chitradurga,0.32,0.32,0.32,0.32,0.32,0.32,1.54,1.76,1.46,0.88,1.62,1.02,1.55,1.01,0.9,1.03,0.29,1,0.61,0.82,1.04,0.81,0.71
32,Arunachal Pradesh,West siang,,,,,,,,,,,,,,,,,0.87,0.8,1.66,1.68,1.55,1.55,1.28
33,Sikkim,Mangan,0.93,0.92,1,,0.67,1,1.67,0.74,0.9,0.91,0.91,0.94,0.92,0.92,0.93,0.94,0.94,0.95,0.94,0.95,0.96,0.96,0.98
34,Arunachal Pradesh,Upper subansiri,,,,,,,,,,,,,,,,,1.18,1.48,1.62,1.63,1.64,1.64,1.23
35,Mizoram,Kolasib,1.51,,0.87,0.63,,1.31,1.59,0.36,1.14,1.04,1.15,1.15,1.33,1.29,1.3,1.34,1.35,0.86,1.4,1.12,1.2,1.21,1.6
36,Rajasthan,Dholpur,0.19,0.35,0.08,0.71,0.31,0.21,0.4,0.38,0.53,0.07,0.54,0.71,0.38,0.57,0.66,0.47,1.6,0.44,,,,,
37,Maharashtra,Jalna,0.32,0.23,0.17,0.2,0.13,0.25,0.23,0.32,0.21,0.24,0.25,0.5,0.2,0.2,0.2,0.33,0.33,0.25,0.19,0.06,1.54,0.3,0.55
38,Uttarakhand,Champawat,0.69,0.7,0.7,0.91,0.74,0.53,0.34,0.63,0.65,0.72,0.85,0.97,0.97,0.91,0.92,1.11,0.99,1.2,1.28,1.24,1.27,1.53,1.31
39,Arunachal Pradesh,Shi yomi,,,,,,,,,,,,,,,,,,,,1.52,1.39,1.39,1.06
40,Himachal Pradesh,Kinnaur,1.48,1.48,1.19,,,0.82,0.91,,,,,,,,,,,,,,1.5,1.5,1.51
41,Mizoram,Saiha,,,,0.56,,1.14,0.71,0.31,0.88,0.85,0.3,0.26,0.8,0.7,0.75,0.8,1.2,1.2,1.33,1.28,1.5,1.5,1.14
42,Himachal Pradesh,Solan,1.5,1,1,,,,,,,0.53,,,,,,,,,,,0.8,,
43,Uttarakhand,Nainital,0.54,0.59,0.57,0.59,0.66,0.66,0.65,0.75,0.75,0.87,0.87,0.66,0.64,0.73,0.83,0.71,0.83,0.89,0.92,0.98,1.4,1.5,1.32
44,Tamil Nadu,Namakkal,0.2,,0.2,0.2,0.2,1.45,,,,,,,,,,0.58,,0.66,0.78,0.6,0.52,0.52,0.53
45,Sikkim,Namchi,1.18,1.31,1.31,,1.32,1.39,1.44,0.82,1.13,1.12,1,1,0.99,1.01,1.01,1.02,1.03,1.03,1.02,1.03,1.04,1.04,1.09
46,Andhra Pradesh,Chittoor,0.22,0.28,0.28,0.3,0.23,0.24,0.24,0.5,0.49,0.29,0.28,0.32,0.27,0.29,0.31,,0.29,0.48,0.33,0.43,0.71,1.44,1.22
47,Arunachal Pradesh,Tawang,,,,,,,,,,,,,,,,,1.3,1.35,1.35,1.4,1.44,1.43,1.08
48,Maharashtra,Chandrapur,0.37,0.29,0.24,0.26,0.68,0.44,0.39,0.6,0.35,0.33,0.6,0.23,0.26,0.5,0.27,0.23,0.5,0.14,0.55,0.55,1.43,0.36,0.65
49,Arunachal Pradesh,Namsai,,,,,,,,,,,,,,,,,1.42,1.05,1.04,1.04,1.04,1.04,1.2
