Crop: Jute,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare)
28,Assam,Udalguri,,,,,,13.01,6.72,11.24,9.68,13.18,12.25,7.68,7.06,11.09,10.6,16.75,10.49,13.06,11.24,12.95,10.92,13.83,11.13
29,West Bengal,Murshidabad,13.49,14.06,13.88,13.45,14.92,14.62,14.61,12.93,12.13,15.06,14.86,13.93,13.65,14.79,14.38,13.84,16.62,13.52,13.17,15.11,13.41,13.2,13.92
30,Assam,Darrang,7.56,10.71,14.81,13.55,7.38,8.77,6.48,7.01,6.56,10.04,7.41,9.94,8.04,8.78,10.67,16.07,15.98,11.76,14.14,16.54,12.64,13.55,11.99
31,West Bengal,Dinajpur uttar,7.75,9.69,9.35,10.27,9.96,11.97,12.21,12.03,12.39,12.5,12.95,13.43,12.99,13.38,16.44,12.52,13.58,13.36,13.43,14.44,13.78,15.98,14.67
32,West Bengal,Coochbehar,9.31,10.56,10.31,10.43,9.46,10.92,10.42,11.23,11.48,12.43,9.49,12.96,13,12.03,13.79,11.61,13.52,13.25,12.95,13.62,12.1,16.33,11.21
33,Assam,Hojai,,,,,,,,,,,,,,,,,,,,,11.51,16.3,16.27
34,Assam,Dhubri,9.13,8.12,7.39,6.4,6.01,8.24,8.69,9.35,9.02,8.43,7.64,9.58,8.33,10.17,10.11,9.73,10.45,16.27,13.43,14.63,14.85,12.74,12.56
35,Assam,Goalpara,12.69,6.3,7.44,7.85,9.85,9.89,9.08,12.73,15.42,13.45,16.25,9.57,9.36,7.28,8.83,13.28,8.29,8.99,9.96,9.02,8.76,8.47,9.69
36,Odisha,Kendujhar,11.09,5.6,6.25,7.77,9.07,8.96,12.1,9.03,10.67,10.51,9.57,7.47,1.6,1.82,1.69,2.75,0.52,2.75,1.74,1.67,14.57,15.96,0.16
37,Assam,Baksa,,,,,,9.27,9.69,6.99,8.86,9.15,15.35,7.51,5.72,6.64,5.37,6.42,5.8,5.44,7.24,6.14,7.39,7.93,11.87
38,Assam,Kamrup,10.63,10.62,9.32,8.42,5.54,13.82,14.64,15.19,15.29,14.3,15.33,8.29,6.4,6.99,9.89,12.67,6.41,6.45,8.76,5.27,9.27,9.33,9.63
39,Assam,Marigaon,9.69,10.28,9.78,9.2,6.26,8.42,10.69,10.23,12.02,9.88,7.67,7.22,9.75,9.51,8.78,6.68,7.33,11.55,9.83,15.17,14.06,14.49,13.8
40,Bihar,Gaya,,,,,,,,9.5,8,,,,,14,15,,,,,,,,
41,Bihar,Khagaria,,,6.6,7.4,7.83,,10,,8,9,9,12,,14.5,15,,,,,,,14.2,13.33
42,Bihar,Samastipur,8.38,6.7,,,,,,,,9.18,9.14,,,14.28,14.97,13.93,14.83,,11,,14.57,13.96,13.12
43,Bihar,Vaishali,8.38,6.68,,7.42,8,10.14,10.21,9.46,8,,,,,14.29,14.94,,,,,,,,
44,Bihar,Kishanganj,8.48,6.8,6.71,6.93,7.81,6.8,6.84,6.76,6.59,7.2,7.24,9.88,8.42,14.35,14.84,10.37,12.94,7.74,10.27,1.49,9.39,12.26,12.3
45,West Bengal,Alipurduar,,,,,,,,,,,,,,,,,14.36,14.55,12.58,13.82,13.19,11.79,12.44
46,Assam,Barpeta,7.36,9.12,8.92,9.97,0.74,9.38,10.1,10.39,8.12,8.5,7.81,9.99,4.5,8.67,10.35,10.94,9.32,14.46,12.07,12.27,11.69,12.64,13.04
47,Bihar,Madhubani,,6.6,6.5,7.43,,,,,,,9.2,11.5,11,14.33,,,,,,,,,
48,Bihar,Nawada,,,,,,,,,,,,,,14.25,,,,,,,,,
49,West Bengal,Darjeeling,8.13,10.79,9.59,10.57,11.29,12.18,12.67,10.69,11.59,12.37,9.9,11.09,12.15,12.88,13.95,11.58,11.31,11.35,11.18,13.77,12.72,14.25,12.01
50,Assam,Kamrup metro,,,,,,14.04,9.69,10.98,10.77,10.93,10.04,9.28,8.56,10.28,10.9,12,10.68,12.03,11.59,12.32,12.29,12.08,11.88
51,Nagaland,Mokokchung,,,,,13.57,11.33,7.77,1.31,2.33,1.6,1.76,1.8,1.89,1.89,1.89,1.9,1.9,1.9,1.9,1.9,1.91,,0
52,Assam,Kokrajhar,7.87,8.35,10.74,10.56,8.52,9.52,10.1,11.54,8.89,11.37,8.79,10.85,8.57,13.52,11.87,11.32,11.65,10.86,9.2,8.01,8.29,8.11,11.67
53,Odisha,Jajapur,7.59,4.41,7.72,5.44,9.07,6.18,7.21,6.24,5.52,7.83,10.35,4.92,1.19,1.72,0.27,1.62,2.15,1.72,1.78,2.18,10.6,13.52,0.14
54,Assam,Karbi anglong,13.01,10.84,12.02,11.99,7.08,12.79,10.75,10.98,11.11,10.1,9.52,9.27,8.57,10.27,10.9,12.01,10.68,12.03,11.58,12.32,12.31,12.08,11.87
55,Assam,Tinsukia,9.55,9.92,10.17,10.42,7.05,10.16,9.65,11,10.83,10.92,10,9.22,8.56,10.29,11,12,10.63,12,11.5,12.5,12.5,12,12
56,Bihar,Arwal,,,,,,,,,,,,11.5,12.5,,,,,,,,,,
57,Assam,Majuli,,,,,,,,,,,,,,,,,,,,,12.4,12.1,11.85
58,Assam,Jorhat,9.61,9.9,10.17,10.38,7.08,10.2,9.68,10.98,10.77,10.92,10.05,9.35,8.58,10.28,10.89,12,10.69,12.02,11.63,12.35,12.27,12.09,11.9
59,Assam,Dibrugarh,9.63,9.88,10.2,10.4,7.1,10.19,9.67,11,10.75,11,10,9.33,8.38,10.2,11.14,12,10.73,12,11.6,12.33,12.33,12.07,11.89
60,Assam,Cachar,9.61,9.9,10.17,10.39,7.09,10.21,9.67,10.98,10.77,10.92,10.04,9.25,8.56,10.27,10.88,12,10.68,12.03,11.56,12.33,12.31,12.09,11.88
61,Assam,Lakhimpur,10.25,6.86,5.71,5.78,7.03,8.18,5.6,5.44,5.97,6.55,6.57,7.43,8.56,10.27,10.97,12,10.67,12.03,11.56,12.33,12.32,12.08,11.86
62,Assam,Dhemaji,9.61,9.9,10.17,10.39,7.08,10.2,9.68,10.98,10.78,10.93,10.05,9.28,8.59,10.28,10.91,12,10.69,12.03,11.59,12.33,12.3,12.1,11.87
63,Assam,Karimganj,9.62,9.9,10.16,10.38,7.08,10.2,9.69,10.97,10.77,10.92,10.05,9.27,8.62,10.28,10.91,12,10.69,12.02,11.58,12.33,12.31,12.08,11.88
64,Assam,Golaghat,9.98,9.6,9.55,8.63,8.55,11.02,6.55,8.95,9.17,10.93,10.05,9.27,8.57,10.27,10.89,12.01,10.68,12.03,11.58,12.32,12.31,12.08,11.88
65,Assam,Dima hasao,9.61,9.89,10.17,10.39,7.07,10.2,9.69,10.98,10.77,10.93,10.05,9.27,8.58,10.26,10.89,12.01,10.68,12.03,11.57,12.32,12.31,12.06,11.9
66,Assam,West karbi anglong,,,,,,,,,,,,,,,,,,,,,12.31,12.08,11.87
67,Odisha,Kendrapara,8.45,8.3,10.1,7.04,9.48,8.25,8.3,9.36,6.98,9.43,11.26,9.3,2.12,2.3,2,2.02,2.5,2.32,1.59,2.45,11.76,12.3,0.11
68,Assam,Sivasagar,9.6,9.89,10.19,10.4,7.06,10.21,9.68,10.98,10.78,10.93,10.03,9.26,8.44,10.25,10.84,12,10.67,12,11.58,12.29,12.29,12.08,11.92
69,Assam,Charaideo,,,,,,,,,,,,,,,,,,,,,12.25,12,11.8
70,Odisha,Khordha,4,11,12,,,,,,,,,,,,,,,,,,,,
71,Nagaland,Kohima,,,5.13,11.8,8.16,6.92,4.97,0.62,1.69,1.62,1.82,1.81,1.91,1.89,1.89,,,,,,,,
72,Meghalaya,East garo hills,8.82,8.87,8.22,8.06,6.38,8.37,8.15,6.38,4.92,6.37,6.37,6.38,11.12,11.29,11.51,11.62,11.67,11.69,11.69,11.72,11.72,11.76,10
73,Assam,Biswanath,,,,,,,,,,,,,,,,,,,,,8.19,7.76,11.66
74,Bihar,Bhagalpur,,,6.6,7.5,8,,,,8,9.18,9.1,11.57,,,,,,,,,,,
75,Bihar,Purbi champaran,8.38,6.68,6.59,7.4,7.88,10.12,10.2,9.43,8,9.14,9.14,11.55,,,,,,,,,,,
76,Meghalaya,North garo hills,,,,,,,,,,,,,,11.21,11.32,11.39,11.4,11.41,11.42,11.42,11.42,11.42,6.16
77,Assam,South salmara mancachar,,,,,,,,,,,,,,,,,,,,,9.44,10,11.36
78,Tripura,West tripura,,,,,6.68,7.83,9.11,8.37,8.45,7.9,8.45,8.59,7.3,7.35,7.74,7.5,8.69,8.35,9.33,11.13,9.83,10.08,10.57
79,Tripura,Dhalai,,,,,7.58,7.85,8.58,7.72,7.62,8.27,8.71,8.54,8.24,8.96,8.77,8.43,9.41,9.98,10.96,11.12,10.18,10.5,10.98
80,Madhya Pradesh,Seoni,,,,,,,2.11,,,,,,,,,,,,0.44,11,,,
81,Meghalaya,South west garo hills,,,,,,,,,,,,,,10.57,10.66,10.75,10.75,10.76,10.76,10.76,10.76,10.76,9.63
82,Meghalaya,West garo hills,8.96,6.18,9.37,9.4,5.12,9.37,9.43,9.37,9.36,9.39,9.4,9.41,10.35,10.39,10.28,10.55,10.55,10.56,10.56,10.56,10.56,10.56,9.14
83,Assam,Chirang,,,,,,9.97,9.69,10.39,10.06,10,9.41,9.37,8.57,10.27,8.79,9.62,8.73,9.24,9.34,9.58,9.91,9.26,9.97
84,Bihar,Begusarai,,6.6,,,8,10,10.33,9.33,,,,,,,,,,,,,,,
85,Bihar,Jehanabad,,,,,,,10.25,,,,,,,,,,,,,,,,
86,Odisha,Baleshwar,6.47,6.93,8.11,6.26,7.06,6.96,6.01,4.82,4.8,6.1,6.45,6.83,0.95,1,1.96,1.62,1.66,1.46,1.41,1.78,6.75,10.21,0.14
87,Assam,Sonitpur,10.18,9.29,9.46,9.57,8.75,9.31,6,6.79,8.34,7.89,7.86,8.4,8.46,6.52,7.94,9.49,9.09,8.17,9.56,9.28,8.88,8.61,9.09
