Crop: Potato,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
1,Delhi,Delhi_total,,,,,,,,,16.77,249.99,311.02,311,21.27,21.27,21.27,,,,,,,,
2,Haryana,Panipat,21.05,28.21,213.85,23.91,23.79,24.04,23.91,18.18,2.7,17.54,18.9,25.17,20.22,20.83,22.03,23.83,19.22,25.69,25.06,22.94,,16,
3,Mizoram,Saitual,,,,,,,,,,,,,,,,,,,,,80,2,2
4,Rajasthan,Udaipur,2.62,1.25,,2,1.57,2.4,72.57,1.43,2.25,2,2.33,5.67,,1.5,,2.5,2.24,1.33,1.83,2,1.92,1.05,1.62
5,Rajasthan,Chittorgarh,2.13,5.45,1.2,2.54,3.69,5,9.34,5,6.3,4,7.36,5.42,7.94,4.83,5.83,4.9,10.77,8.3,8.92,13.68,29.55,11.1,63.75
6,Jammu and Kashmir,Rajauri,,,5.33,6.5,,,,,,,,,50.1,,,,,11.4,,,,11.5,12.49
7,West Bengal,Bankura,26.62,26.2,19.44,23.65,20.83,23.18,12.81,22.48,7.15,41.15,39.3,30.53,26.33,16.12,37.28,14.54,41,40.74,45.01,17.09,33.8,22.12,35.46
8,Rajasthan,Banswara,,2,1.4,2.43,1.44,1,1,1.33,,1,,45,45,45,,,,45,5,1,1.92,1,5
9,Haryana,Sirsa,16.67,15,,26.67,,26.32,26.25,10.75,18.52,15.09,18.33,27.69,22.37,22.38,23.98,24.49,44.32,25.85,24.59,29.97,,13,
10,West Bengal,Maldah,17.64,17.84,21.81,20.44,19.34,15.24,16.74,26.41,14.78,34.38,29.15,38.05,36.08,32.18,36.9,33.9,38.91,43.69,42.52,20.53,35.68,36.12,33.74
11,Uttar Pradesh,Kanpur nagar,24.15,24.39,24.82,22.52,21.06,25.93,23.66,22.81,26.59,26.6,17.52,16.97,11.18,10.45,9.29,14.54,15.09,37.68,41.92,23.18,26.95,35.3,35.3
12,West Bengal,Purba bardhaman,26.45,29.97,27.75,27.14,26.7,21.25,14.22,24.52,8.91,41.12,37.65,27.67,32.58,22.34,31.97,19.72,35.51,35.31,26.9,29.53,32.1,22.01,28.45
13,West Bengal,Nadia,27,24.05,24.16,24.76,25.06,26.84,21.24,20.49,16.91,30.68,27.3,30.96,31.91,30.59,40.78,25.24,31.57,38.05,36.04,34.81,37.44,32.06,32.46
14,West Bengal,Medinipur west,28.99,28.33,27.47,25.34,22.39,21.3,10.62,26.53,8.76,39.06,38.38,19.16,24.97,19.97,38,17.96,40.54,34.61,22.05,22.79,33.79,25.07,26.78
15,Uttar Pradesh,Aligarh,26.35,26.15,24.52,22.52,28.38,23.24,23.83,21.19,21.86,27.4,25.72,22.89,27.38,21.9,25.92,25.7,24.86,32.63,40.18,28.78,35.38,36.6,36.6
16,Rajasthan,Barmer,,1,,,,,,,,,1,,,,1,,,,,,,,40
17,West Bengal,24 paraganas north,22.36,19.55,23.17,22.65,21.07,22.15,17.22,21.77,18.37,33.58,36.16,29.24,31.85,32.15,33.09,33.26,39.9,33.6,30.39,32.68,33.2,30.71,31.49
18,Uttar Pradesh,Barabanki,19.38,24.17,19.96,39.81,16.96,19.58,11.58,13.12,11.97,19.58,20.34,19.14,17.66,17.63,25.11,29.09,28.73,26.75,29.2,32.79,31.61,36.9,36.9
19,Uttar Pradesh,Kanpur dehat,,,,22.42,29.34,39.42,25.48,22.39,23.42,25.22,20.41,20.24,26.48,20.88,21.57,21.81,25.39,31.03,34.97,28.56,29.84,28.9,28.9
20,Uttar Pradesh,Meerut,21.62,25.83,26,20.92,26.4,16.19,14.8,17.15,21.64,22.25,18.97,23.51,24.86,20.02,20.73,21.09,27.31,34.43,38.94,34.56,34.32,31.4,31.4
21,West Bengal,Paschim bardhaman,,,,,,,,,,,,,,,,,35.03,35.84,30.03,33.58,38.75,36.38,35.78
22,Telangana,Vikarabad,,,,,,,,,,,,,,,,,11.89,13.79,16.6,3.24,8.74,38.65,22.74
23,Uttar Pradesh,Moradabad,27.66,22.02,28.4,28.43,28.16,25.63,28.71,24.78,21.29,24.44,26.3,25.62,23.12,19.21,27.61,24.58,24.33,36.39,25.14,38.3,26.52,28.7,28.7
24,Uttar Pradesh,Agra,30.49,35.28,29.43,24.91,27.83,24.72,23.26,25.17,24.13,25.13,26.47,23.49,25.36,23.99,27.32,24.43,25.52,26.9,33.4,28.46,31.91,38.2,38.2
25,West Bengal,Jhargram,,,,,,,,,,,,,,,,,33.35,31.49,16.92,26.09,38.12,30.7,28.64
26,Tamil Nadu,The nilgiris,20.5,,19.44,19.22,19.05,22.54,20.18,24.01,30.68,25.03,,25.44,,26.55,38.06,29.87,35.5,22.3,25.45,20.66,22.37,20.81,24.42
27,Uttar Pradesh,Kannauj,24.87,26.81,22.05,21.63,21.14,18.03,25.29,20.35,21.53,23.72,23.49,20.1,31.49,20.81,22.05,20.3,24.78,31.22,33.1,27.76,29.37,37.9,37.9
28,Uttar Pradesh,Firozabad,23.5,29.41,25.55,22.16,26,25.41,26.17,28.14,25.96,29.79,28.8,26.33,28.77,24.88,25.17,22.91,24.74,24.16,26.19,31.63,35.03,37.8,37.8
29,Jammu and Kashmir,Bandipora,,,,,,,,7.14,37.75,6.12,1.91,11.14,11.09,10.56,12.3,10.41,10.4,10.74,12.37,11.64,7.59,9.46,9.41
30,Rajasthan,Ganganagar,20,20,20,6.74,0.17,2.64,29.75,13.34,11.56,37.72,19.69,18,20.06,3.29,31.1,4.34,34.15,28.07,11.33,26.47,17.08,31.11,4.05
31,West Bengal,Hooghly,29,29.63,8.41,26.69,20.55,25.5,11.02,26,9.3,37.62,35.16,25.84,32.41,20.81,34.8,12.66,36.59,34.94,9.91,33.02,37.24,26.16,29.34
32,Uttar Pradesh,Hathras,29.55,31.69,32.97,28.55,32.95,28.61,29.48,26.97,21.06,28.72,29.86,22.32,32.57,26.75,23.3,25.49,25.21,26.5,30.28,28.26,33.33,37.5,37.5
