Crop: Coriander,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
39,Meghalaya,South west garo hills,,,,,,,,,,,,,,,,,,2.9,2.9,2.91,2.91,,
40,Haryana,Palwal,,,,,,,,,,,,,,2.9,1.67,1.59,0.68,,1.8,1.6,,,
41,Madhya Pradesh,Dindori,0.14,0.19,0.14,0.19,0.19,,0.14,0.11,0.12,0.12,0.12,0.12,0.18,0.25,,,2.89,2.9,2.8,2.8,,,
42,Madhya Pradesh,Mandla,0.1,0.19,0.19,0.23,0.23,,0.23,0.23,0.23,0.21,0.21,0.21,0.22,0.37,,2.87,1.37,1.44,1.45,1.46,,,
43,Meghalaya,South west khasi hills,,,,,,,,,,,,,,,,,,2.86,2.86,2.86,2.86,,
44,Haryana,Yamunanagar,,,,,,,,,,,,,,1,1.54,1.81,0.95,1.01,2.15,2.8,,,
45,Haryana,Rohtak,,,,,,,,,,,,,,1.43,2.8,2.76,1.17,,,2,,,
46,Haryana,Kurukshetra,,,,,,,,,,,,,1,1.18,2.75,1.67,1.71,,,,,,
47,Madhya Pradesh,Alirajpur,,,,,,,,,,,0.5,0.43,0.43,0.73,,1.2,2.5,2.7,2.72,1.74,,,
48,Meghalaya,West jaintia hills,,,,,,,,,,,,,,,,,,2.7,2.7,2.7,2.7,,
49,Himachal Pradesh,Hamirpur,,2.67,,,,,0.33,,,0.67,0.6,0.33,0.33,,,0.5,,,0.5,0.67,1.14,1,
50,Haryana,Rewari,,,,,,,,,,,,,,2,2.17,1.94,2,2.18,2.38,2.63,,,
51,Madhya Pradesh,Panna,0.32,0.44,0.4,0.45,0.34,,0.4,0.41,0.55,0.55,0.55,0.6,0.67,0.76,,2.62,2.24,2.23,2.23,2.23,,,
52,Madhya Pradesh,Rewa,0.25,0.25,0.23,0.24,0.24,,0.35,0.35,0.39,0.38,0.38,0.41,0.32,0.32,,1.5,2.6,2.6,2.5,2.5,,,
53,Meghalaya,East khasi hills,,,,,,,,,,,,,,,,,,2.47,2.47,2.47,2.47,,
54,Telangana,Adilabad,0.26,0.49,0.42,0.27,0.6,0.42,0.56,,0.54,1.13,0.68,0.59,,0.72,0.24,0.34,0.7,1.04,1,2.27,1.06,0.82,0.33
55,Madhya Pradesh,Dewas,0.23,0.29,0.32,0.33,0.32,,0.38,0.41,0.35,0.37,0.41,0.41,0.48,0.26,,2.04,2.03,2.1,2.11,2.11,,,
56,Madhya Pradesh,Umaria,0.3,0.26,0.28,0.26,0.27,,0.26,0.27,0.25,0.27,0.25,0.33,0.34,0.47,,2,2,1.3,1.3,1.3,,,
57,Rajasthan,Hanumangarh,,,,,1,1,,,1,,,,,,,1,,,,,2,,
58,Madhya Pradesh,Agar malwa,,,,,,,,,,,,,,0.48,,0.77,2,2,0.77,0.77,,,
59,Madhya Pradesh,Hoshangabad,0.44,0.43,0.41,0.36,0.4,,0.46,0.46,0.46,0.46,0.46,0.52,0.47,0.43,,2,1.1,1.1,1.1,1.1,,,
60,Rajasthan,Jaisalmer,,,0.13,1.22,1.15,1,1,0.8,1,2,1.11,1.27,1,1,0.5,1.05,1.17,1.33,1.4,2,,1.5,
61,Rajasthan,Dausa,1,1.07,1,1.24,1,1,1,0.8,1,1,1,1.25,,,,,,,1,2,,,1.33
62,Rajasthan,Bikaner,2,0.5,0.5,1.24,1.15,1.03,1.19,0.73,1.13,1.21,1.1,1.24,1.18,0.65,0.8,1.07,1.14,1.33,1.3,1.49,1.49,1.48,1.37
63,Rajasthan,Karauli,0.23,0.02,0.53,1.25,1.17,1,1.2,1,1.13,1.19,1.1,1.22,1.33,0.75,0.75,1,1.1,1,1.33,,1.33,2,1
64,Rajasthan,Jhunjhunu,0.5,0.5,0.5,,1,1,1.14,0.83,1.11,1.25,1,1.33,1,0.63,0.67,,1,1.5,1,2,1.43,1.46,1.39
65,Himachal Pradesh,Kangra,,2,0.33,,,,,,,0.64,0.58,0.5,0.33,,,,,,0.33,0.57,1,1.5,
66,Himachal Pradesh,Mandi,,2,0.33,,,0.29,0.38,0.3,0.06,0.6,0.58,0.3,0.25,0.33,0.27,0.33,0.08,0.08,0.33,0.58,1.27,1.36,
67,Madhya Pradesh,Katni,0.19,0.21,0.19,0.23,0.23,,0.15,0.17,0.19,0.19,0.17,0.2,0.21,0.48,,1.99,0.83,1.13,1.13,1.13,,,
68,Haryana,Jind,,,,,,,,,,,,,,1.25,1.15,0.63,0.99,1.99,0.79,1.03,,,
69,Haryana,Fatehabad,,,,,,,,,,,,,,1.75,1.92,0.75,1.67,1.5,,,,,
70,Rajasthan,Kota,1.14,1.16,1.18,1.07,1.31,1.1,1.26,1.07,1.28,1.33,1.26,1.44,1.37,0.67,0.62,1.06,1.32,1.22,1.86,1.84,1.65,1.85,1.66
71,Madhya Pradesh,Singrauli,,,,,,,,,0.53,0.51,0.51,0.65,0.63,0.63,,1,1,1.64,1.74,1.82,,,
72,Madhya Pradesh,Anuppur,,,,0.26,0.27,,0.26,0.26,0.26,0.26,0.17,0.18,0.3,0.33,,1.5,1.66,1.66,1.7,1.8,,,
73,Rajasthan,Baran,1.42,1.51,1.13,1.56,1.27,1.16,1.26,0.98,1.22,1.29,1.44,1.35,1.44,0.57,0.94,1.42,1.57,1.76,1.77,1.73,1.64,1.68,1.57
74,Madhya Pradesh,Sheopur,0.56,0.61,0.34,0.47,0.47,,0.53,0.58,0.58,0.58,0.56,0.58,0.93,0.86,,1.6,1.75,1.75,1.75,1.75,,,
75,Rajasthan,Chittorgarh,1.09,0.99,1.11,0.44,0.77,0.9,1.33,0.91,0.99,0.58,0.65,1.14,0.59,0.72,0.45,1.09,0.99,1.04,1.24,1.71,1.45,1.75,1.31
76,Madhya Pradesh,Sidhi,0.45,0.5,0.4,0.49,0.49,,0.47,0.43,0.53,0.51,0.5,0.66,0.74,0.91,,1.53,1.7,1.69,1.7,1.7,,,
77,Madhya Pradesh,Dhar,0.23,0.35,0.31,0.37,0.37,,0.41,0.38,0.37,0.36,0.4,0.39,0.4,0.61,,0.8,1,1.01,1.53,1.69,,,
78,Rajasthan,Dholpur,,,1,1.17,1,1,1.2,0.75,1.25,1,,1,,0.67,1,1.13,,1.25,,,1.67,,1.5
79,Himachal Pradesh,Bilaspur,,,,,,,,,,1,0.67,,0.25,0.4,,1.67,,,0.5,0.67,1.35,1.5,
80,Rajasthan,Sawai madhopur,0.32,0.4,0.5,1.24,1.16,1.05,1.17,0.78,1.11,1.19,1.11,1.23,1.18,0.64,0.8,1.07,1.34,1.1,1.66,1.49,1.49,1.4,1.35
81,Tamil Nadu,Ramanathapuram,0.25,,0.07,0.1,0.34,0.3,0.41,0.46,0.23,0.42,,0.28,,0.38,1.62,0.61,,0.7,0.36,0.4,0.13,0.26,0.19
