Crop: Dry chillies,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
37,Rajasthan,Kota,2.35,2.44,1.4,2.64,2.3,8.51,0.82,0.99,0.98,0.86,1,1,1.03,0.57,0.6,0.6,0.6,0.67,0.67,0.36,0.12,0.6,
38,Madhya Pradesh,Rewa,0.27,0.46,0.61,0.59,,,0.63,,,1.11,1.92,0.92,1.57,0.64,,8.46,4.75,4.75,4.25,,,,
39,Andhra Pradesh,Guntur,2.93,3.98,2.02,5.03,4.9,4.69,4.82,4.92,4.94,5.4,3.39,4.29,4.32,5.13,6.46,4.03,5.75,5.84,3.23,5.95,5.27,1.52,8.35
40,Telangana,Bhadradri,,,,,,,,,,,,,,,,,4.7,6.06,5.86,4.92,8.33,4.01,5.95
41,Andhra Pradesh,Bapatla,,,,,,,,,,,,,,,,,,,,,,,8.14
42,Arunachal Pradesh,Tirap,1.59,1.33,1.1,1.2,6.92,,1.24,1.2,5.25,1.83,1.85,1.94,8,8.11,5.35,2.76,2.77,2.9,2.92,3.01,3.06,3.31,3.31
43,Arunachal Pradesh,Longding,,,,,,,,,,,,,,8.1,5.98,3.3,3.13,3.23,3.25,3.33,3.37,3.56,3.57
44,Manipur,Bishnupur,0.58,0.6,0.6,0.6,0.6,0.59,0.6,0.6,7.84,7.9,7.95,7.6,7.9,7.89,7.89,7.76,8,7.99,7.95,7.97,,,
45,Manipur,Imphal west,0.63,0.6,0.61,0.61,0.61,0.59,0.6,0.59,7.51,7.6,7.12,7.6,7.9,7.89,7.93,7.73,7.77,7.77,7.28,7.28,,,
46,Manipur,Thoubal,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,7.53,7.6,7.65,7.6,7.9,7.89,7.87,6.66,6.66,6.76,6.75,6.78,,,
47,Telangana,Jangoan,,,,,,,,,,,,,,,,,4.61,5.73,7.79,4.24,3.28,4,2.53
48,Madhya Pradesh,Anuppur,,,,0.38,,,0.46,,,0.85,1.08,0.71,0.95,0.54,,5,7.78,2.5,2.5,,,,
49,Andhra Pradesh,Kadapa,1.46,1.46,1.56,2.43,2.32,2.04,2.87,1.67,1.79,3.08,2.77,3.93,3,3.46,4.99,4.35,7.72,5.11,4.37,7.16,2.42,3.11,3.83
50,Madhya Pradesh,Umaria,0.27,0.29,0.48,0.31,,,0.43,,,0.78,1.13,0.67,0.8,0.59,,1,7.71,2.49,2.5,,,,
51,Telangana,Khammam,2.99,3.99,2.94,3.64,4.11,4.04,4.47,3.6,4.56,4.75,3.57,3.45,4.57,4.18,4.28,3.09,3.91,7.08,4.45,7.18,7.7,2.44,3.56
52,Arunachal Pradesh,Papum pare,1.71,1.68,1.47,1.38,1.06,1.46,1.48,1.4,1.44,6.2,6.4,6.69,6.7,7.5,6.2,3.41,3.29,3.28,3.29,3.32,3.34,3.49,3.49
53,Chhattisgarh,Narayanpur,,,,,,,,0.61,0.38,0.4,0.4,0.82,1.1,0.75,0.35,0.2,0.44,7.48,0.52,0.57,1,,
54,Andhra Pradesh,Krishna,3.12,3.37,2.45,2.99,3.86,3.23,4.29,3.56,3.67,3.02,3.41,3.11,3.45,4.93,5.78,5.94,6.48,6.78,5.4,7.43,7.4,2.76,6.23
55,Madhya Pradesh,Panna,0.12,0.24,0.24,0.28,,,0.44,,,1.31,1.22,1.01,1.18,1.52,,7.34,5.74,5.74,5.74,,,,
56,Telangana,Kamareddy,,,,,,,,,,,,,,,,,5.49,5.62,5.38,5.8,7.33,4.65,4.8
57,Andhra Pradesh,Ntr,,,,,,,,,,,,,,,,,,,,,,,7.25
58,Madhya Pradesh,Tikamgarh,0.41,0.6,0.6,0.59,,,0.63,,,1.11,1.44,0.98,1.41,0.74,,2.5,7.25,2,2.2,,,,
59,Telangana,Nalgonda,1.22,2.78,1.01,2.7,1.93,2.22,2.53,2.38,2.96,2.18,2.22,2.75,2.5,3.2,3.09,2.02,2.47,2.99,3.56,7.25,7.11,4.75,4.95
60,Madhya Pradesh,Narsinghpur,0.6,0.77,0.96,0.93,,,1.28,,,2.45,3.91,2.36,4.14,2.16,,7.17,2.54,2.54,2.75,,,,
