Crop: Small millets,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
1,Tamil Nadu,The nilgiris,,,,21.67,1.25,1.5,1,1,,,,,,,,,0.2,,,,,0.5,2
2,Tamil Nadu,Thoothukudi,,,0.57,0.49,0.65,0.58,0.56,0.57,17,0.58,,0.56,,0.57,0.8,0.85,0.86,1.69,0.83,0.5,1.14,0.5,0.5
3,Chhattisgarh,Raigarh,0.15,0.28,0.17,0.25,0.04,0.21,16.4,0.32,0.26,0.23,0.25,0.25,0.28,0.27,0.34,0.29,0.44,0.32,0.44,0.35,0.4,1.31,0.39
4,Tamil Nadu,Theni,,,0.57,15.75,0.92,0.69,0.01,0.99,0.01,0.79,,0.47,,1.58,1.31,1.31,1,1.07,1.67,1.29,1.35,1.19,1.22
5,Chhattisgarh,Surguja,0.24,0.28,0.22,0.28,0.65,0.15,0.08,0.25,0.24,0.22,0.19,0.26,0.25,0.24,0.16,0.16,0.22,15.26,0.15,0.21,0.24,0.28,0.28
6,Tamil Nadu,Sivaganga,,,0.62,14.21,0.57,0.56,0.6,0.64,0.01,0.89,,1.71,,0.5,2.08,2,,2,2,,1.25,1.54,1.86
7,Sikkim,Gangtok,0.89,0.95,0.88,0.81,0.86,8.8,0.86,0.09,0.94,0.95,0.99,0.99,1.03,1.04,1.04,1.05,1.06,1.06,1.07,1.07,1.08,1.08,1.07
8,Uttar Pradesh,Kushi nagar,0.7,7.78,0.59,,0.34,0.77,0.6,0.61,0.6,0.43,0.84,,1.04,0.73,0.75,,0.37,0.67,0.81,0.63,0.85,,0.63
9,Tamil Nadu,Ramanathapuram,,,0.56,0.01,0.56,0.56,0.58,0.56,7.38,0.56,,0.56,,0.56,2,1.56,0.81,1.92,1,,0.95,1.21,1.67
10,Assam,Jorhat,0.46,0.39,0.36,0.41,0.38,0.38,0.4,0.38,0.4,6.5,0.49,,0.4,0.51,0.64,0.64,,0.4,,0.5,,,0.5
11,Madhya Pradesh,Khandwa,0.13,0.19,0.2,0.25,0.18,0.24,0.23,0.22,0.26,0.24,0.31,0.26,0.22,0.22,0.5,,5,0.65,0.48,0.44,,0.25,0.61
12,Rajasthan,Jhunjhunu,,,,,,,,,,,,,,5,,,,,,,,,
13,Jammu and Kashmir,Kathua,,,,5,,,,,,,0.43,0.42,0.42,,,0.46,0.43,0.44,0.46,0.42,0.55,0.7,0.7
14,Madhya Pradesh,Jabalpur,0.14,0.24,0.24,0.42,0.37,4.79,0.36,,0.33,0.3,0.53,0.39,0.37,0.75,0.43,0.33,1,1.09,0.71,0.93,,0.85,0.92
15,Tamil Nadu,Perambalur,,,,1.55,1.3,1.44,1.28,1.74,4.23,1.17,,2.01,,1.64,3.27,1.65,0.84,2.27,2,2.18,2.18,2.1,2.07
16,Tamil Nadu,Ariyalur,,,,,,,,,,1.61,,2.72,,2.63,3.83,2.72,1.32,2.96,2.33,2.13,1.55,1.69,1.98
17,Tamil Nadu,Cuddalore,,,,1.01,1.02,1.01,3.58,1.58,1.55,1.72,,2.46,,1.92,2.26,1.62,0.81,2.22,2.09,1.82,0.88,1.42,1.76
18,Gujarat,Kheda,,,0.27,,,,,,,,,,,,1.36,1.34,,2,2,1.8,0.75,1.42,3.18
19,Gujarat,Mahisagar,,,,,,,,,,,,,,,3.09,,,,,,,,
20,Gujarat,Banas kantha,0.18,0.25,0.36,0.33,0.33,,,,,,,,,,1.44,1.44,,1.87,1.87,1.65,1.85,1.67,3.06
21,Gujarat,Mahesana,0.24,0.33,0.42,,0.5,,,,,,,,,,1.1,1.11,,3,,,,1.45,2.5
22,Rajasthan,Chittorgarh,0.01,3,,1,,,0.71,0.67,,,,,,,,,,,,,,,
23,Tamil Nadu,Coimbatore,,,,0.63,1.38,0.68,1,1.33,0.75,1,,1,,,1.75,1.27,1,1.25,0.6,3,1.33,1,
24,Chhattisgarh,Bemetara,,,,,,,,,,,,0.13,0.2,0.23,0.22,0.2,0.29,2.88,0.4,0.31,0.37,0.35,0.41
25,Rajasthan,Pratapgarh,,,,,,,,,0.43,0.5,2.78,0.15,,,,0.08,,,,,,,
26,Tamil Nadu,Thanjavur,,,,1.27,1.22,1,2.75,1.33,0.25,,,2,,,,,,1.79,,0.43,1.33,2,2
