state,district,year,rice_autumn_yield_tonne_per_hectare
,,2011 - 2012,1.22
,,2012 - 2013,0.97
,,2013 - 2014,1.32
,,2014 - 2015,1.43
,,2015 - 2016,1.34
,,2016 - 2017,2.04
,,2017 - 2018,2.37
,,2018 - 2019,1.63
,,2019 - 2020,0.5
,,2020 - 2021,1.55
,,2021 - 2022,
,,2022 - 2023,
,Karbi anglong,2000 - 2001,1.13
,,2001 - 2002,0.97
,,2002 - 2003,1.14
,,2003 - 2004,1.15
,,2004 - 2005,0.97
,,2005 - 2006,1.18
,,2006 - 2007,1.25
,,2007 - 2008,1.29
,,2008 - 2009,1.28
,,2009 - 2010,1.3
,,2010 - 2011,1.44
,,2011 - 2012,1.38
,,2012 - 2013,1.37
,,2013 - 2014,1.36
,,2014 - 2015,1.46
,,2015 - 2016,1.47
,,2016 - 2017,1.55
,,2017 - 2018,1.63
,,2018 - 2019,1.52
,,2019 - 2020,1.64
,,2020 - 2021,1.77
,,2021 - 2022,1.62
,,2022 - 2023,0.99
,Karimganj,2000 - 2001,1.92
,,2001 - 2002,1.8
,,2002 - 2003,1.89
,,2003 - 2004,1.84
,,2004 - 2005,0.96
,,2005 - 2006,1.77
,,2006 - 2007,1.55
,,2007 - 2008,1.47
,,2008 - 2009,1.66
,,2009 - 2010,1.72
,,2010 - 2011,1.7
,,2011 - 2012,1.89
,,2012 - 2013,1.84
,,2013 - 2014,1.26
,,2014 - 2015,1.65
,,2015 - 2016,1.46
,,2016 - 2017,1.6
,,2017 - 2018,1.47
,,2018 - 2019,1.2
,,2019 - 2020,1.56
,,2020 - 2021,1.42
,,2021 - 2022,1.99
,,2022 - 2023,1.54
,Kokrajhar,2000 - 2001,0.82
,,2001 - 2002,0.82
,,2002 - 2003,1.08
,,2003 - 2004,0.88
,,2004 - 2005,0.85
,,2005 - 2006,0.77
,,2006 - 2007,0.94
,,2007 - 2008,0.86
,,2008 - 2009,0.82
,,2009 - 2010,0.95
,,2010 - 2011,1.17
,,2011 - 2012,1.57
,,2012 - 2013,1.3
,,2013 - 2014,1.19
,,2014 - 2015,1.57
,,2015 - 2016,1.11
,,2016 - 2017,1.06
,,2017 - 2018,1.17
,,2018 - 2019,1.17
,,2019 - 2020,1.29
,,2020 - 2021,0.97
,,2021 - 2022,1.14
,,2022 - 2023,1.15
,Lakhimpur,2000 - 2001,0.77
,,2001 - 2002,0.73
,,2002 - 2003,0.52
,,2003 - 2004,0.67
,,2004 - 2005,0.6
,,2005 - 2006,0.74
,,2006 - 2007,0.74
,,2007 - 2008,0.63
,,2008 - 2009,0.28
,,2009 - 2010,0.79
,,2010 - 2011,0.71
,,2011 - 2012,0.96
,,2012 - 2013,1.14
,,2013 - 2014,1.51
,,2014 - 2015,1.46
,,2015 - 2016,1.48
,,2016 - 2017,1.21
,,2017 - 2018,0.4
,,2018 - 2019,1.09
,,2019 - 2020,1.52
,,2020 - 2021,1.16
,,2021 - 2022,1.17
,,2022 - 2023,1.03
,Majuli,2020 - 2021,2.22
,,2021 - 2022,1.08
,,2022 - 2023,0.98
,Marigaon,2000 - 2001,0.76
,,2001 - 2002,0.56
,,2002 - 2003,0.24
,,2003 - 2004,0.24
,,2004 - 2005,0.02
,,2005 - 2006,0.51
,,2006 - 2007,0.66
,,2007 - 2008,0.36
,,2008 - 2009,0.72
,,2009 - 2010,0.38
,,2010 - 2011,0.6
,,2011 - 2012,0.77
,,2012 - 2013,1.45
,,2013 - 2014,1.65
,,2014 - 2015,2.31
,,2015 - 2016,1.22
,,2016 - 2017,1.73
,,2017 - 2018,1.65
,,2018 - 2019,1.52
,,2019 - 2020,1.53
,,2020 - 2021,1.61
,,2021 - 2022,1.39
,,2022 - 2023,1.22
,Nagaon,2000 - 2001,1.39
,,2001 - 2002,1.17
,,2002 - 2003,1.08
,,2003 - 2004,1.1
,,2004 - 2005,1.04
,,2005 - 2006,0.95
,,2006 - 2007,1.24
,,2007 - 2008,1.33
,,2008 - 2009,1.48
,,2009 - 2010,1.42
,,2010 - 2011,1.52
,,2011 - 2012,1.52
,,2012 - 2013,1.54
,,2013 - 2014,1.49
,,2014 - 2015,1.65
,,2015 - 2016,1.31
,,2016 - 2017,1.65
,,2017 - 2018,1.93
,,2018 - 2019,2.1
,,2019 - 2020,2.2
,,2020 - 2021,1.56
,,2021 - 2022,1.56
,,2022 - 2023,1.51
,Nalbari,2000 - 2001,0.96
,,2001 - 2002,0.78
,,2002 - 2003,0.82
,,2003 - 2004,0.88
,,2004 - 2005,0.52
,,2005 - 2006,0.81
,,2006 - 2007,0.8
,,2007 - 2008,1.03
,,2008 - 2009,1.03
,,2009 - 2010,0.47
,,2010 - 2011,0.94
,,2011 - 2012,0.85
,,2012 - 2013,1.39
,,2013 - 2014,1.16
,,2014 - 2015,1.58
,,2015 - 2016,1.53
,,2016 - 2017,1.24
,,2017 - 2018,1.63
,,2018 - 2019,2.24
,,2019 - 2020,1.92
,,2020 - 2021,2.81
,,2021 - 2022,2.42
,,2022 - 2023,1.51
,Sivasagar,2000 - 2001,1.5
,,2001 - 2002,1.5
,,2002 - 2003,0.96
,,2003 - 2004,1.37
,,2004 - 2005,1.34
,,2005 - 2006,1.7
,,2006 - 2007,1.66
,,2007 - 2008,1.08
,,2008 - 2009,0.88
,,2009 - 2010,1.34
,,2010 - 2011,1.04
,,2011 - 2012,0.84
,,2012 - 2013,1.16
,,2013 - 2014,1.5
,,2014 - 2015,1.56
,,2015 - 2016,1.36
,,2016 - 2017,1.35
,,2017 - 2018,1.77
,,2018 - 2019,1.44
,,2019 - 2020,1.52
,,2020 - 2021,1.78
,,2021 - 2022,1.55
,,2022 - 2023,1.51
,Sonitpur,2000 - 2001,1.04
,,2001 - 2002,0.81
,,2002 - 2003,1.07
,,2003 - 2004,0.99
,,2004 - 2005,0.9
,,2005 - 2006,1.06
,,2006 - 2007,0.95
,,2007 - 2008,1.15
,,2008 - 2009,1.03
,,2009 - 2010,0.91
,,2010 - 2011,1.16
,,2011 - 2012,1.47
,,2012 - 2013,1.51
,,2013 - 2014,1.59
,,2014 - 2015,1.79
,,2015 - 2016,1.67
,,2016 - 2017,1.97
,,2017 - 2018,2.03
,,2018 - 2019,1.56
,,2019 - 2020,1.53
,,2020 - 2021,2.32
,,2021 - 2022,1.8
,,2022 - 2023,1.49
,South salmara mancachar,2020 - 2021,1.56
,,2021 - 2022,0.64
,,2022 - 2023,0.91
,Tinsukia,2000 - 2001,1.46
,,2001 - 2002,1.34
,,2002 - 2003,1.2
,,2003 - 2004,1.38
,,2004 - 2005,1.32
,,2005 - 2006,1.25
,,2006 - 2007,1.02
,,2007 - 2008,1.0
,,2008 - 2009,1.14
,,2009 - 2010,0.97
,,2010 - 2011,2.0
,,2011 - 2012,1.89
,,2012 - 2013,1.37
,,2013 - 2014,1.42
,,2014 - 2015,1.35
,,2015 - 2016,1.58
,,2016 - 2017,1.08
,,2017 - 2018,0.92
,,2018 - 2019,0.93
,,2019 - 2020,1.55
,,2020 - 2021,1.52
,,2021 - 2022,1.22
,,2022 - 2023,1.16
,Udalguri,2005 - 2006,0.67
,,2006 - 2007,0.59
,,2007 - 2008,0.93
,,2008 - 2009,1.16
,,2009 - 2010,0.83
,,2010 - 2011,0.87
,,2011 - 2012,0.98
,,2012 - 2013,1.17
,,2013 - 2014,0.96
,,2014 - 2015,0.96
,,2015 - 2016,1.27
,,2016 - 2017,1.0
,,2017 - 2018,1.08
,,2018 - 2019,1.66
,,2019 - 2020,1.58
,,2020 - 2021,1.81
,,2021 - 2022,1.81
,,2022 - 2023,1.51
,West karbi anglong,2020 - 2021,1.63
,,2021 - 2022,2.01
,,2022 - 2023,1.93
Bihar,Araria,2000 - 2001,0.95
,,2001 - 2002,1.08
,,2002 - 2003,0.86
,,2003 - 2004,1.16
,,2004 - 2005,0.62
,,2005 - 2006,1.33
,,2006 - 2007,1.11
,,2007 - 2008,0.97
,,2008 - 2009,1.12
,,2009 - 2010,0.94
,,2010 - 2011,1.27
,,2011 - 2012,1.19
,,2012 - 2013,1.91
,,2013 - 2014,2.12
,,2014 - 2015,1.37
,,2015 - 2016,2.07
,,2016 - 2017,1.52
,,2017 - 2018,1.83
,,2018 - 2019,1.03
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Arwal,2003 - 2004,1.3
,,2004 - 2005,
,,2005 - 2006,0.88
,,2007 - 2008,0.8
,,2008 - 2009,1.3
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.5
,,2012 - 2013,1.83
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Aurangabad,2000 - 2001,1.96
,,2001 - 2002,2.11
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Banka,2000 - 2001,1.13
,,2001 - 2002,1.27
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.68
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Begusarai,2000 - 2001,0.99
,,2001 - 2002,1.29
,,2002 - 2003,1.05
,,2003 - 2004,1.38
,,2004 - 2005,0.9
,,2005 - 2006,0.8
,,2006 - 2007,0.8
,,2007 - 2008,0.11
,,2008 - 2009,1.33
,,2009 - 2010,0.68
,,2010 - 2011,0.47
,,2011 - 2012,1.27
,,2012 - 2013,1.95
,,2013 - 2014,0.8
,,2014 - 2015,1.4
,,2015 - 2016,1.11
,,2016 - 2017,3.67
,,2017 - 2018,2.33
,,2018 - 2019,
,,2019 - 2020,1.35
,,2020 - 2021,1.58
,,2021 - 2022,
,,2022 - 2023,
,Bhagalpur,2000 - 2001,1.1
,,2001 - 2002,1.24
,,2002 - 2003,1.14
,,2003 - 2004,1.23
,,2004 - 2005,0.89
,,2005 - 2006,0.89
,,2006 - 2007,1.0
,,2007 - 2008,0.59
,,2008 - 2009,1.28
,,2009 - 2010,0.89
,,2010 - 2011,0.87
,,2011 - 2012,1.61
,,2012 - 2013,1.77
,,2013 - 2014,1.48
,,2014 - 2015,1.74
,,2015 - 2016,1.29
,,2016 - 2017,1.7
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhojpur,2000 - 2001,2.33
,,2001 - 2002,2.19
,,2002 - 2003,1.2
,,2003 - 2004,1.25
,,2004 - 2005,0.89
,,2005 - 2006,1.02
,,2006 - 2007,1.06
,,2007 - 2008,0.7
,,2008 - 2009,1.33
,,2009 - 2010,0.9
,,2010 - 2011,0.89
,,2011 - 2012,1.6
,,2012 - 2013,1.78
,,2013 - 2014,1.37
,,2014 - 2015,1.73
,,2015 - 2016,1.51
,,2016 - 2017,1.69
,,2017 - 2018,1.73
,,2018 - 2019,1.4
,,2019 - 2020,1.83
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Buxar,2000 - 2001,2.67
,,2001 - 2002,2.5
,,2002 - 2003,
,,2003 - 2004,1.2
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.5
,,2012 - 2013,
,,2013 - 2014,1.5
,,2014 - 2015,1.5
,,2015 - 2016,1.0
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Darbhanga,2000 - 2001,0.94
,,2001 - 2002,0.85
,,2002 - 2003,0.55
,,2003 - 2004,0.64
,,2004 - 2005,0.19
,,2005 - 2006,1.07
,,2006 - 2007,0.92
,,2007 - 2008,0.32
,,2008 - 2009,1.03
,,2009 - 2010,1.09
,,2010 - 2011,1.0
,,2011 - 2012,1.67
,,2012 - 2013,1.6
,,2013 - 2014,1.72
,,2014 - 2015,1.53
,,2015 - 2016,1.32
,,2016 - 2017,1.86
,,2017 - 2018,2.02
,,2018 - 2019,1.28
,,2019 - 2020,1.46
,,2020 - 2021,1.36
,,2021 - 2022,1.39
,,2022 - 2023,1.85
,Gaya,2000 - 2001,1.6
,,2001 - 2002,1.68
,,2002 - 2003,
,,2003 - 2004,1.23
,,2004 - 2005,0.92
,,2005 - 2006,1.02
,,2006 - 2007,0.96
,,2007 - 2008,0.57
,,2008 - 2009,1.32
,,2009 - 2010,0.94
,,2010 - 2011,0.96
,,2011 - 2012,1.61
,,2012 - 2013,1.78
,,2013 - 2014,1.54
,,2014 - 2015,1.74
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gopalganj,2000 - 2001,1.32
,,2001 - 2002,1.67
,,2002 - 2003,1.23
,,2003 - 2004,1.5
,,2004 - 2005,1.29
,,2005 - 2006,0.67
,,2006 - 2007,1.25
,,2007 - 2008,0.87
,,2008 - 2009,1.26
,,2009 - 2010,0.88
,,2010 - 2011,1.01
,,2011 - 2012,1.85
,,2012 - 2013,2.16
,,2013 - 2014,1.61
,,2014 - 2015,1.87
,,2015 - 2016,0.83
,,2016 - 2017,1.63
,,2017 - 2018,1.87
,,2018 - 2019,1.3
,,2019 - 2020,2.02
,,2020 - 2021,1.62
,,2021 - 2022,1.51
,,2022 - 2023,1.77
,Jamui,2000 - 2001,1.07
,,2001 - 2002,0.73
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.0
,,2008 - 2009,
,,2009 - 2010,0.96
,,2010 - 2011,1.08
,,2011 - 2012,1.59
,,2012 - 2013,1.25
,,2013 - 2014,1.22
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.53
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jehanabad,2000 - 2001,1.55
,,2001 - 2002,1.95
,,2002 - 2003,1.1
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kaimur (bhabua),2000 - 2001,1.94
,,2001 - 2002,2.5
,,2002 - 2003,1.09
,,2003 - 2004,1.21
,,2004 - 2005,0.89
,,2005 - 2006,1.13
,,2006 - 2007,
,,2007 - 2008,0.71
,,2008 - 2009,1.33
,,2009 - 2010,0.95
,,2010 - 2011,1.04
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Katihar,2000 - 2001,1.01
,,2001 - 2002,1.16
,,2002 - 2003,0.94
,,2003 - 2004,0.58
,,2004 - 2005,0.57
,,2005 - 2006,0.67
,,2006 - 2007,0.8
,,2007 - 2008,0.68
,,2008 - 2009,0.87
,,2009 - 2010,1.08
,,2010 - 2011,1.14
,,2011 - 2012,1.76
,,2012 - 2013,2.37
,,2013 - 2014,2.42
,,2014 - 2015,2.68
,,2015 - 2016,1.92
,,2016 - 2017,1.52
,,2017 - 2018,1.78
,,2018 - 2019,2.01
,,2019 - 2020,2.26
,,2020 - 2021,1.96
,,2021 - 2022,2.42
,,2022 - 2023,2.68
,Khagaria,2000 - 2001,0.48
,,2001 - 2002,0.46
,,2002 - 2003,0.27
,,2003 - 2004,0.74
,,2004 - 2005,0.07
,,2005 - 2006,0.97
,,2006 - 2007,0.85
,,2007 - 2008,0.05
,,2008 - 2009,0.71
,,2009 - 2010,0.72
,,2010 - 2011,0.8
,,2011 - 2012,0.99
,,2012 - 2013,1.25
,,2013 - 2014,0.67
,,2014 - 2015,0.95
,,2015 - 2016,1.08
,,2016 - 2017,0.52
,,2017 - 2018,2.24
,,2018 - 2019,0.91
,,2019 - 2020,1.25
,,2020 - 2021,1.71
,,2021 - 2022,1.72
,,2022 - 2023,1.9
,Kishanganj,2000 - 2001,1.15
,,2001 - 2002,0.94
,,2002 - 2003,0.73
,,2003 - 2004,0.83
,,2004 - 2005,0.96
,,2005 - 2006,1.01
,,2006 - 2007,0.71
,,2007 - 2008,0.66
,,2008 - 2009,0.83
,,2009 - 2010,0.47
,,2010 - 2011,0.53
,,2011 - 2012,0.99
,,2012 - 2013,0.46
,,2013 - 2014,2.46
,,2014 - 2015,1.57
,,2015 - 2016,1.94
,,2016 - 2017,1.52
,,2017 - 2018,1.62
,,2018 - 2019,1.41
,,2019 - 2020,1.68
,,2020 - 2021,2.41
,,2021 - 2022,2.3
,,2022 - 2023,2.67
,Lakhisarai,2000 - 2001,1.51
,,2001 - 2002,1.42
,,2002 - 2003,0.55
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,1.89
,Madhepura,2000 - 2001,1.29
,,2001 - 2002,1.1
,,2002 - 2003,1.37
,,2003 - 2004,1.5
,,2004 - 2005,0.88
,,2005 - 2006,1.07
,,2006 - 2007,1.17
,,2007 - 2008,1.3
,,2008 - 2009,1.21
,,2009 - 2010,1.09
,,2010 - 2011,1.11
,,2011 - 2012,0.87
,,2012 - 2013,1.59
,,2013 - 2014,1.52
,,2014 - 2015,2.05
,,2015 - 2016,1.59
,,2016 - 2017,2.55
,,2017 - 2018,2.04
,,2018 - 2019,2.18
,,2019 - 2020,2.12
,,2020 - 2021,1.9
,,2021 - 2022,1.99
,,2022 - 2023,1.95
,Madhubani,2000 - 2001,1.17
,,2001 - 2002,0.97
,,2002 - 2003,0.89
,,2003 - 2004,0.92
,,2004 - 2005,0.27
,,2005 - 2006,0.69
,,2006 - 2007,0.99
,,2007 - 2008,0.6
,,2008 - 2009,0.99
,,2009 - 2010,0.96
,,2010 - 2011,0.66
,,2011 - 2012,1.75
,,2012 - 2013,1.35
,,2013 - 2014,0.8
,,2014 - 2015,1.45
,,2015 - 2016,1.23
,,2016 - 2017,1.74
,,2017 - 2018,1.73
,,2018 - 2019,1.08
,,2019 - 2020,0.91
,,2020 - 2021,1.29
,,2021 - 2022,1.58
,,2022 - 2023,1.62
,Munger,2000 - 2001,1.5
,,2001 - 2002,1.44
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,0.9
,,2006 - 2007,0.88
,,2007 - 2008,0.78
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,2.0
,,2013 - 2014,0.9
,,2014 - 2015,1.75
,,2015 - 2016,1.17
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Muzaffarpur,2000 - 2001,1.3
,,2001 - 2002,1.05
,,2002 - 2003,1.12
,,2003 - 2004,1.16
,,2004 - 2005,0.68
,,2005 - 2006,0.83
,,2006 - 2007,0.65
,,2007 - 2008,0.1
,,2008 - 2009,1.26
,,2009 - 2010,0.45
,,2010 - 2011,0.7
,,2011 - 2012,1.67
,,2012 - 2013,2.03
,,2013 - 2014,0.34
,,2014 - 2015,2.22
,,2015 - 2016,0.9
,,2016 - 2017,1.27
,,2017 - 2018,1.38
,,2018 - 2019,1.28
,,2019 - 2020,1.6
,,2020 - 2021,1.07
,,2021 - 2022,1.57
,,2022 - 2023,1.73
,Nalanda,2000 - 2001,0.94
,,2001 - 2002,1.51
,,2002 - 2003,
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.02
,,2006 - 2007,1.09
,,2007 - 2008,0.58
,,2008 - 2009,1.34
,,2009 - 2010,0.96
,,2010 - 2011,
,,2011 - 2012,1.59
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,1.75
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.5
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nawada,2000 - 2001,1.1
,,2001 - 2002,1.63
,,2002 - 2003,
,,2003 - 2004,1.21
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.38
,,2014 - 2015,1.74
,,2015 - 2016,1.56
,,2016 - 2017,1.78
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pashchim champaran,2000 - 2001,1.94
,,2001 - 2002,1.89
,,2002 - 2003,1.78
,,2003 - 2004,1.69
,,2004 - 2005,1.44
,,2005 - 2006,1.24
,,2006 - 2007,1.33
,,2007 - 2008,0.58
,,2008 - 2009,2.11
,,2009 - 2010,1.64
,,2010 - 2011,1.13
,,2011 - 2012,1.98
,,2012 - 2013,1.93
,,2013 - 2014,1.96
,,2014 - 2015,1.83
,,2015 - 2016,2.08
,,2016 - 2017,1.3
,,2017 - 2018,1.48
,,2018 - 2019,1.19
,,2019 - 2020,2.79
,,2020 - 2021,1.95
,,2021 - 2022,2.11
,,2022 - 2023,2.16
,Patna,2000 - 2001,2.04
,,2001 - 2002,1.98
,,2002 - 2003,1.15
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,1.12
,,2006 - 2007,0.95
,,2007 - 2008,
,,2008 - 2009,1.33
,,2009 - 2010,0.86
,,2010 - 2011,1.03
,,2011 - 2012,1.6
,,2012 - 2013,1.8
,,2013 - 2014,1.54
,,2014 - 2015,1.74
,,2015 - 2016,1.28
,,2016 - 2017,1.69
,,2017 - 2018,1.74
,,2018 - 2019,1.37
,,2019 - 2020,1.5
,,2020 - 2021,1.54
,,2021 - 2022,
,,2022 - 2023,1.92
,Purbi champaran,2000 - 2001,1.36
,,2001 - 2002,1.21
,,2002 - 2003,1.48
,,2003 - 2004,1.46
,,2004 - 2005,1.25
,,2005 - 2006,1.19
,,2006 - 2007,0.92
,,2007 - 2008,0.4
,,2008 - 2009,1.52
,,2009 - 2010,0.82
,,2010 - 2011,0.62
,,2011 - 2012,1.43
,,2012 - 2013,1.94
,,2013 - 2014,1.45
,,2014 - 2015,1.61
,,2015 - 2016,0.95
,,2016 - 2017,1.95
,,2017 - 2018,1.64
,,2018 - 2019,1.25
,,2019 - 2020,1.34
,,2020 - 2021,1.65
,,2021 - 2022,1.99
,,2022 - 2023,1.85
,Purnia,2000 - 2001,1.21
,,2001 - 2002,0.81
,,2002 - 2003,1.17
,,2003 - 2004,1.11
,,2004 - 2005,0.61
,,2005 - 2006,0.94
,,2006 - 2007,0.75
,,2007 - 2008,0.65
,,2008 - 2009,1.07
,,2009 - 2010,1.06
,,2010 - 2011,1.6
,,2011 - 2012,1.15
,,2012 - 2013,1.32
,,2013 - 2014,1.88
,,2014 - 2015,1.95
,,2015 - 2016,1.81
,,2016 - 2017,1.52
,,2017 - 2018,1.97
,,2018 - 2019,1.34
,,2019 - 2020,2.89
,,2020 - 2021,1.47
,,2021 - 2022,
,,2022 - 2023,
,Rohtas,2000 - 2001,2.55
,,2001 - 2002,2.49
,,2002 - 2003,1.16
,,2003 - 2004,1.25
,,2004 - 2005,0.9
,,2005 - 2006,0.97
,,2006 - 2007,0.9
,,2007 - 2008,0.58
,,2008 - 2009,1.33
,,2009 - 2010,0.94
,,2010 - 2011,0.98
,,2011 - 2012,1.59
,,2012 - 2013,1.76
,,2013 - 2014,1.33
,,2014 - 2015,
,,2015 - 2016,1.0
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Saharsa,2000 - 2001,1.37
,,2001 - 2002,0.91
,,2002 - 2003,1.02
,,2003 - 2004,1.17
,,2004 - 2005,0.86
,,2005 - 2006,1.0
,,2006 - 2007,0.94
,,2007 - 2008,0.85
,,2008 - 2009,0.73
,,2009 - 2010,1.07
,,2010 - 2011,1.31
,,2011 - 2012,1.71
,,2012 - 2013,0.87
,,2013 - 2014,1.7
,,2014 - 2015,1.54
,,2015 - 2016,1.8
,,2016 - 2017,1.78
,,2017 - 2018,2.48
,,2018 - 2019,1.92
,,2019 - 2020,2.21
,,2020 - 2021,1.67
,,2021 - 2022,1.75
,,2022 - 2023,2.01
,Samastipur,2000 - 2001,1.07
,,2001 - 2002,1.06
,,2002 - 2003,0.67
,,2003 - 2004,1.08
,,2004 - 2005,0.19
,,2005 - 2006,0.32
,,2006 - 2007,0.8
,,2007 - 2008,0.17
,,2008 - 2009,1.35
,,2009 - 2010,0.8
,,2010 - 2011,0.7
,,2011 - 2012,1.94
,,2012 - 2013,1.49
,,2013 - 2014,1.23
,,2014 - 2015,2.1
,,2015 - 2016,1.57
,,2016 - 2017,1.9
,,2017 - 2018,2.27
,,2018 - 2019,1.93
,,2019 - 2020,1.68
,,2020 - 2021,1.72
,,2021 - 2022,1.48
,,2022 - 2023,
,Saran,2000 - 2001,1.48
,,2001 - 2002,1.27
,,2002 - 2003,0.98
,,2003 - 2004,0.85
,,2004 - 2005,0.63
,,2005 - 2006,1.53
,,2006 - 2007,1.39
,,2007 - 2008,1.33
,,2008 - 2009,1.36
,,2009 - 2010,1.19
,,2010 - 2011,1.09
,,2011 - 2012,1.7
,,2012 - 2013,2.1
,,2013 - 2014,1.65
,,2014 - 2015,2.01
,,2015 - 2016,0.98
,,2016 - 2017,2.5
,,2017 - 2018,1.69
,,2018 - 2019,2.2
,,2019 - 2020,1.75
,,2020 - 2021,1.53
,,2021 - 2022,1.58
,,2022 - 2023,2.08
,Sheikhpura,2000 - 2001,1.33
,,2001 - 2002,1.55
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,1.0
,,2010 - 2011,
,,2011 - 2012,1.51
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sheohar,2000 - 2001,1.41
,,2001 - 2002,1.18
,,2002 - 2003,1.37
,,2003 - 2004,0.74
,,2004 - 2005,1.08
,,2005 - 2006,0.91
