state,district,year,moong_kharif_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2010 - 2011,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,North and middle andaman,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South andamans,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,0.57
,Anakapalli,2022 - 2023,0.64
,Anantapur,2000 - 2001,0.44
,,2001 - 2002,0.48
,,2002 - 2003,0.15
,,2003 - 2004,0.54
,,2004 - 2005,0.37
,,2005 - 2006,0.69
,,2006 - 2007,0.12
,,2007 - 2008,0.0
,,2008 - 2009,0.39
,,2009 - 2010,0.26
,,2010 - 2011,0.32
,,2011 - 2012,0.64
,,2012 - 2013,0.0
,,2013 - 2014,1.11
,,2014 - 2015,1.23
,,2015 - 2016,0.13
,,2016 - 2017,0.23
,,2017 - 2018,0.22
,,2018 - 2019,0.09
,,2019 - 2020,0.23
,,2020 - 2021,0.2
,,2021 - 2022,0.11
,,2022 - 2023,0.41
,Annamayya,2022 - 2023,0.39
,Bapatla,2022 - 2023,0.58
,Chittoor,2000 - 2001,0.44
,,2001 - 2002,0.48
,,2002 - 2003,0.15
,,2003 - 2004,0.54
,,2004 - 2005,0.37
,,2005 - 2006,0.69
,,2006 - 2007,0.12
,,2007 - 2008,0.0
,,2008 - 2009,0.39
,,2009 - 2010,0.26
,,2010 - 2011,0.32
,,2011 - 2012,0.64
,,2012 - 2013,0.0
,,2013 - 2014,1.11
,,2014 - 2015,1.23
,,2015 - 2016,0.55
,,2016 - 2017,0.63
,,2017 - 2018,0.35
,,2018 - 2019,0.11
,,2019 - 2020,0.25
,,2020 - 2021,0.34
,,2021 - 2022,0.41
,,2022 - 2023,0.58
,East godavari,2000 - 2001,0.44
,,2001 - 2002,0.48
,,2002 - 2003,0.15
,,2003 - 2004,0.54
,,2004 - 2005,0.37
,,2005 - 2006,0.69
,,2006 - 2007,0.39
,,2007 - 2008,
,,2008 - 2009,0.39
,,2009 - 2010,0.18
,,2010 - 2011,0.25
,,2011 - 2012,0.58
,,2012 - 2013,
,,2013 - 2014,0.41
,,2014 - 2015,0.67
,,2015 - 2016,0.78
,,2016 - 2017,1.0
,,2017 - 2018,0.93
,,2018 - 2019,0.97
,,2019 - 2020,0.8
,,2020 - 2021,1.66
,,2021 - 2022,0.3
,,2022 - 2023,
,Eluru,2022 - 2023,0.57
,Guntur,2000 - 2001,0.7
,,2001 - 2002,0.33
,,2002 - 2003,0.12
,,2003 - 2004,0.44
,,2004 - 2005,0.36
,,2005 - 2006,0.5
,,2006 - 2007,0.31
,,2007 - 2008,0.33
,,2008 - 2009,0.3
,,2009 - 2010,0.02
,,2010 - 2011,0.15
,,2011 - 2012,0.04
,,2012 - 2013,0.33
,,2013 - 2014,0.37
,,2014 - 2015,0.29
,,2015 - 2016,0.5
,,2016 - 2017,0.17
,,2017 - 2018,0.72
,,2018 - 2019,0.77
,,2019 - 2020,1.11
,,2020 - 2021,0.83
,,2021 - 2022,0.53
,,2022 - 2023,0.56
,Kadapa,2000 - 2001,0.44
,,2001 - 2002,0.48
,,2002 - 2003,0.15
,,2003 - 2004,0.54
,,2004 - 2005,0.37
,,2005 - 2006,0.69
,,2006 - 2007,0.13
,,2008 - 2009,0.39
,,2009 - 2010,0.25
