state,district,year,moong_rabi_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2010 - 2011,0.73
,,2014 - 2015,2.0
,,2015 - 2016,2.0
,,2016 - 2017,0.4
,,2020 - 2021,3.09
,North and middle andaman,2010 - 2011,0.48
,,2011 - 2012,0.6
,,2012 - 2013,0.47
,,2013 - 2014,0.43
,,2014 - 2015,0.5
,,2015 - 2016,0.61
,,2016 - 2017,0.29
,,2017 - 2018,0.31
,,2018 - 2019,0.21
,,2019 - 2020,0.6
,,2020 - 2021,0.41
,,2021 - 2022,0.33
,,2022 - 2023,0.36
,South andamans,2010 - 2011,0.6
,,2011 - 2012,0.52
,,2012 - 2013,0.42
,,2013 - 2014,0.54
,,2014 - 2015,0.55
,,2015 - 2016,0.32
,,2016 - 2017,0.19
,,2017 - 2018,0.6
,,2019 - 2020,0.53
,,2020 - 2021,0.26
,,2021 - 2022,0.26
,,2022 - 2023,0.6
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,0.76
,Anakapalli,2022 - 2023,0.52
,Anantapur,2000 - 2001,
,,2001 - 2002,0.3
,,2002 - 2003,0.25
,,2003 - 2004,0.32
,,2004 - 2005,0.33
,,2005 - 2006,0.31
,,2006 - 2007,0.37
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.38
,,2010 - 2011,0.35
,,2011 - 2012,0.6
,,2012 - 2013,
,,2013 - 2014,0.63
,,2014 - 2015,0.82
,,2015 - 2016,0.84
,,2016 - 2017,0.4
,,2017 - 2018,0.95
,,2018 - 2019,0.63
,,2019 - 2020,0.98
,,2020 - 2021,0.24
,,2021 - 2022,0.25
,,2022 - 2023,0.38
,Annamayya,2022 - 2023,0.94
,Bapatla,2022 - 2023,1.42
,Chittoor,2000 - 2001,0.33
,,2001 - 2002,0.3
,,2002 - 2003,0.26
,,2003 - 2004,0.34
,,2004 - 2005,0.33
,,2005 - 2006,0.3
,,2006 - 2007,0.38
,,2007 - 2008,
,,2008 - 2009,0.34
,,2009 - 2010,0.4
,,2010 - 2011,0.35
,,2011 - 2012,0.6
,,2012 - 2013,
,,2013 - 2014,0.62
,,2014 - 2015,0.82
,,2015 - 2016,0.84
,,2016 - 2017,0.41
,,2017 - 2018,0.94
,,2018 - 2019,0.63
,,2019 - 2020,0.98
,,2020 - 2021,0.83
,,2021 - 2022,0.88
,,2022 - 2023,0.95
,East godavari,2000 - 2001,0.23
,,2001 - 2002,0.17
,,2002 - 2003,0.21
,,2003 - 2004,0.29
,,2004 - 2005,0.26
,,2005 - 2006,0.23
,,2006 - 2007,0.26
,,2007 - 2008,0.15
,,2008 - 2009,0.28
,,2009 - 2010,0.25
,,2010 - 2011,0.12
,,2011 - 2012,0.39
,,2012 - 2013,0.43
,,2013 - 2014,0.23
,,2014 - 2015,0.36
,,2015 - 2016,0.32
,,2016 - 2017,0.61
,,2017 - 2018,0.61
,,2018 - 2019,0.68
,,2019 - 2020,0.75
,,2020 - 2021,0.74
,,2021 - 2022,0.82
,,2022 - 2023,1.29
,Eluru,2022 - 2023,1.46
,Guntur,2000 - 2001,0.33
,,2001 - 2002,0.41
,,2002 - 2003,0.28
,,2003 - 2004,0.3
,,2004 - 2005,0.36
,,2005 - 2006,0.65
,,2006 - 2007,0.68
,,2007 - 2008,0.5
,,2008 - 2009,0.61
,,2009 - 2010,0.7
,,2010 - 2011,0.4
,,2011 - 2012,0.89
,,2012 - 2013,1.39
,,2013 - 2014,0.96
,,2014 - 2015,1.29
,,2015 - 2016,1.06
,,2016 - 2017,0.6
,,2017 - 2018,1.07
,,2018 - 2019,1.08
,,2019 - 2020,1.34
,,2020 - 2021,1.2
,,2021 - 2022,1.23
