original_state,original_district,suggested_state_key,suggested_district_key,similarity
Ladakh,Leh Ladakh,,,0.0
Jammu & Kashmir,Pulwama,,,0.0
Ladakh,Kargil,,,0.0
Lakshadweep,Lakshadweep District,,,0.0
Jammu & Kashmir,Kishtwar,,,0.0
Jammu & Kashmir,Mirpur,,,0.0
Jammu & Kashmir,Muzaffarabad,,,0.0
Jammu & Kashmir,Poonch,,,0.0
Jammu & Kashmir,Kupwara,,,0.0
Jammu & Kashmir,Jammu,,,0.0
Jammu & Kashmir,Kathua,,,0.0
Jammu & Kashmir,Kulgam,,,0.0
Jammu & Kashmir,Ramban,,,0.0
Jammu & Kashmir,Samba,,,0.0
Jammu & Kashmir,Shopian,,,0.0
Jammu & Kashmir,Srinagar,,,0.0
Jammu & Kashmir,Udhampur,,,0.0
Jammu & Kashmir,Reasi,,,0.0
Jammu & Kashmir,Rajouri,,,0.0
Jammu & Kashmir,Bandipora,,,0.0
Jammu & Kashmir,Anantnag,,,0.0
Jammu & Kashmir,Budgam,,,0.0
Jammu & Kashmir,Doda,,,0.0
Jammu & Kashmir,Ganderbal,,,0.0
Jammu & Kashmir,Baramulla,,,0.0
