location,tp_annual_total,tp_amplitude,tp_peak_month_sin,tp_peak_month_cos,tp_P90,tp_P10,tp_PCI,tp_second_peak_month_sin,tp_second_peak_month_cos,tp_CV,tp_fourier_comp1_real,tp_fourier_comp1_imag,tp_a2_a1_ratio,t2m_annual_mean,t2m_amplitude,t2m_peak_month_sin,t2m_peak_month_cos,t2m_min_month_sin,t2m_min_month_cos,t2m_P90,t2m_P10,t2m_std,t2m_GDD,t2m_fourier_comp1_real,t2m_fourier_comp1_imag,t2m_a2_a1_ratio,e_annual_mean,e_amplitude,e_peak_month_sin,e_peak_month_cos,e_P90,e_P10,e_evapor_rainfall_ratio,ro_annual_total,ro_amplitude,ro_peak_month_sin,ro_peak_month_cos,ro_P90,ro_P10,ro_runoff_efficiency,d2m_annual_mean,d2m_amplitude,d2m_peak_month_sin,d2m_peak_month_cos,d2m_P90,d2m_P10,d2m_humidity_index,stl1_mean,stl1_amplitude,stl1_peak_month_sin,stl1_peak_month_cos,stl1_P90,stl1_P10,stl1_std,stl1_fourier_comp1_real,stl1_fourier_comp1_imag,stl2_mean,stl2_amplitude,stl2_peak_month_sin,stl2_peak_month_cos,stl2_P90,stl2_P10,stl2_std,stl2_fourier_comp1_real,stl2_fourier_comp1_imag,swvl1_mean,swvl1_amplitude,swvl1_peak_month_sin,swvl1_peak_month_cos,swvl1_dry_mean,swvl1_wet_mean,swvl1_P90,swvl1_P10,swvl1_fourier_comp1_real,swvl1_fourier_comp1_imag,swvl2_mean,swvl2_amplitude,swvl2_peak_month_sin,swvl2_peak_month_cos,swvl2_dry_mean,swvl2_wet_mean,swvl2_P90,swvl2_P10,swvl2_fourier_comp1_real,swvl2_fourier_comp1_imag,cvh,cvl,slt,cluster,state,district
A & N Islands_Nicobars,2.4330504926086474,0.2386344918971493,-0.5000000000000004,0.8660254037844384,0.2740667919812646,0.10975043497819563,9.314572203592926,-2.4492935982947064e-16,1.0,0.34314525267173873,-0.14678732259883226,0.3581637620935776,1.0863828174602137,300.38063177083336,1.134985416666666,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384,300.933218375,299.8908327916667,0.4051915484550248,206.76758125000032,-1.6654402818794947,-2.9462100524293904,0.1367256271876655,-0.1301758327374247,0.05510467242371919,0.8660254037844387,-0.4999999999999998,-0.10700918911315954,-0.15015814623329782,0.6420376385918101,0.0,0.0,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,296.9713004861111,1.5307574999999929,0.49999999999999994,-0.8660254037844387,297.63314420833336,296.28316266666667,3.4093312847222137,301.95801677083335,1.5883141666666347,0.8660254037844387,-0.4999999999999998,302.66652554166666,301.51944775,0.472104174711262,-1.3664622139089304,-3.0174776433791592,301.9579382986111,1.5808616666666921,0.8660254037844387,-0.4999999999999998,302.67550066666666,301.5226172083333,0.4719456666120903,-1.3927368727230687,-3.0055533899625795,2.564384991388889e-07,5.105874331e-06,-0.4999999999999997,-0.8660254037844388,-7.593868299583332e-07,1.2722638282361112e-06,1.4107282152083333e-06,-1.5040018109833332e-06,-2.19017048579254e-06,5.569461901267143e-06,4.3446376966319445e-07,4.212390314999999e-06,-0.8660254037844385,-0.5000000000000004,-5.379768292152776e-07,1.4069043685416666e-06,2.062695678791667e-06,-1.694143023845833e-06,-8.128727593157086e-07,1.3080016379245245e-06,0.0,0.0,0.0,3,A & N Islands,Nicobars
A & N Islands_North And Middle Andaman,2.228414583650305,0.33855184922500337,-1.0,-1.8369701987210297e-16,0.33832988282665605,0.03282132505850458,12.573579999271974,1.2246467991473532e-16,-1.0,0.7133229282117864,-1.020147430648887,0.39835304001862315,0.06399290694278138,300.24311694444447,2.4312550000000215,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,301.2041349583333,299.38690275,0.6691798379537249,205.11740333333347,-3.1548252069439715,-2.441749737018072,0.9257618008409362,-0.13017566207175443,0.0417704508484652,0.8660254037844387,-0.4999999999999998,-0.11005607998619467,-0.14807263453161176,0.7009952081278372,0.3071648247442518,0.0676686993293364,-1.0,-1.8369701987210297e-16,0.065305866801403,0.00252362002608293,0.13784007114201052,296.5919810763889,3.7947712499999966,0.49999999999999994,-0.8660254037844387,298.052509375,294.4402328333333,3.6511358680555426,301.61179624999994,2.9453024999999684,0.8660254037844387,-0.4999999999999998,302.8420125416667,300.7487100416667,0.8190957898824966,-2.9527415072145775,-3.8659590992047543,301.58759920138885,2.8300908333333155,0.8660254037844387,-0.4999999999999998,302.8594998333333,300.6881985416666,0.8032682326857967,-3.1150442031988357,-3.6432072202883523,0.0958269411006944,0.08264981625000009,-1.0,-1.8369701987210297e-16,0.06927736254861105,0.12237651965277774,0.12505996044999995,0.04820983087499994,-0.18861936118741265,0.16619313501061278,0.09793786867708328,0.07567763779166661,-1.0,-1.8369701987210297e-16,0.07340073409027775,0.12247500326388883,0.12515221701249996,0.05805675557083327,-0.15150679280658752,0.16906023212378482,0.09732383,0.1410977,0.96428573,8,A & N Islands,North And Middle Andaman
A & N Islands_South Andamans,2.3220773356983946,0.3155146183638257,-1.0,-1.8369701987210297e-16,0.32719244499652017,0.04609285958605739,11.397692000300468,1.2246467991473532e-16,-1.0,0.6064017150668817,-0.8506620656152392,0.37876879867261515,0.24294939813777544,300.4637056944445,1.8434733333333497,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,301.1809146666667,299.9535861666667,0.5036279972846195,207.76446833333375,-2.0728951756750034,-2.531436237605045,0.7337844357181288,-0.1350240870977156,0.049550584187575894,0.8660254037844387,-0.4999999999999998,-0.11210291844909065,-0.15580369300247784,0.6977756598641727,0.05132870028652669,0.010371148548377599,-1.0,-1.8369701987210297e-16,0.00933443306090938,0.00045903400745139,0.022104647204219372,296.80678673611106,3.142316666666659,0.49999999999999994,-0.8660254037844387,298.00964104166667,295.17378441666665,3.6569189583333546,301.95244454861114,2.3477779166666437,0.8660254037844387,-0.4999999999999998,303.03504541666666,301.24212733333337,0.6702029947536137,-2.008371544396275,-3.0179844564154465,301.9490434027778,2.319022083333323,0.8660254037844387,-0.4999999999999998,303.05211725000004,301.22537141666663,0.6688021138784371,-2.0530757944506988,-2.976480011653925,0.0131199228381944,0.0109004423083334,-1.0,-1.8369701987210297e-16,0.0097602647631944,0.016479580913194403,0.0167737530583333,0.0066745759087499705,-0.024591889125051364,0.020979437023478712,0.013629197767013858,0.009246237599999999,-1.0,-1.8369701987210297e-16,0.010724538013194417,0.016533857520833303,0.01680262030416666,0.008823263790833329,-0.01881943842519334,0.01962338443840066,0.009017047,0.024268158,0.1764706,8,A & N Islands,South Andamans
Andhra Pradesh_Alluri Sitharama Raju,1.6599928250960818,0.3558100547231599,-0.4999999999999997,-0.8660254037844388,0.33676685372483917,0.0136727097986995,15.803011959923044,-0.8660254037844385,-0.5000000000000004,0.9467636638521596,-0.984238088196913,0.35068431794007415,0.33505685695747417,298.34454149305554,8.343843750000019,0.49999999999999994,-0.8660254037844387,-2.4492935982947064e-16,1.0,301.26392595833335,294.5824401666667,2.4950285426902488,182.33449791666692,-14.6427640299731,-11.737573467650614,0.5071590305475389,-0.08394567579550001,0.0501226421329193,0.8660254037844386,0.5000000000000001,-0.060577676808073355,-0.10214439612464038,0.6068388334676651,0.7675487786270109,0.1823313753805754,-0.8660254037844385,-0.5000000000000004,0.1778648379772979,0.00549493782018533,0.46238078082210055,293.0143285069444,7.65411958333334,-1.0,-1.8369701987210297e-16,295.9847227083334,288.838791,5.330212986111111,299.03418930555557,9.067970833333334,0.49999999999999994,-0.8660254037844387,302.5409428333333,295.16749904166664,2.720410570463057,-14.633750591408617,-14.273159944904931,298.72433673611107,8.438053749999995,0.49999999999999994,-0.8660254037844387,301.93274025000005,295.0354919583333,2.567455784158813,-14.567131371368461,-13.044985321138194,0.2871473346180555,0.23831822833333338,-0.8660254037844385,-0.5000000000000004,0.2054722123611111,0.36882245687500004,0.40551944954166663,0.17830396466666665,-0.6214446245782741,0.4301142437248842,0.29495931618055554,0.2166675441666667,-0.8660254037844385,-0.5000000000000004,0.2199520640972222,0.36996656826388885,0.406344635125,0.19621127791666662,-0.5193791606500718,0.45406338306437055,0.73743427,0.25864494,3.0560749,6,Andhra Pradesh,Alluri Sitharama Raju
Andhra Pradesh_Anakapalli,1.294317532562804,0.23824670043669968,-0.4999999999999997,-0.8660254037844388,0.24651583100639973,0.01169458094431652,14.782391082303262,-0.8660254037844385,-0.5000000000000004,0.8797084345829538,-0.6825564225415786,0.3652042117908343,0.2552811948776041,299.7017748263889,7.859465416666637,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,302.48483904166665,295.82874741666666,2.4797332768064666,198.62129791666683,-17.507784170812286,-8.395971841723359,0.40713332051517925,-0.08975419918755904,0.0522184964211192,0.8660254037844386,0.5000000000000001,-0.06476563204390295,-0.10995207049515249,0.8321376811748062,0.3342057181527773,0.0742370866776885,-1.0,-1.8369701987210297e-16,0.06743456265933974,0.00308080423810673,0.25820999078258305,294.96154277777777,7.262173749999988,0.49999999999999994,-0.8660254037844387,297.58439450000003,290.7745525,4.740232048611101,300.72008649305553,7.990513749999991,0.49999999999999994,-0.8660254037844387,303.60391358333334,297.004356125,2.4551265063403966,-15.23025266245839,-10.786316155004828,300.44498402777776,7.558174999999949,0.49999999999999994,-0.8660254037844387,303.1645152916667,297.0205335833333,2.3245924748637092,-15.005539394761032,-9.696593845683228,0.2041942467256944,0.1910111067916667,-1.0,-1.8369701987210297e-16,0.13786401886805552,0.2705244745833333,0.303919678375,0.12348694012499994,-0.4621773112962133,0.3932007029138573,0.20776210765625,0.18076140075000002,-1.0,-1.8369701987210297e-16,0.14621594163194443,0.2693082736805555,0.30173538183333337,0.1294607016625,-0.38961103520492507,0.41739033138136894,0.4030196399999999,0.54301476,2.6060605,8,Andhra Pradesh,Anakapalli
Andhra Pradesh_Anantapur,0.6697489930341137,0.1156939516765258,-1.0,-1.8369701987210297e-16,0.11340311950856015,0.006365761140176231,13.507140528877299,-0.8660254037844386,0.5000000000000001,0.7879447083807821,-0.2931574713737759,0.20866730588480908,0.15052829374181875,300.7801138194444,8.329816666666716,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0,304.5494282083333,297.6766534166667,2.520011903677175,211.56136583333353,-8.752880037619352,-15.97510948800512,0.6111598629881319,-0.05044845840802725,0.0541794799961887,0.8660254037844386,0.5000000000000001,-0.02653536981403391,-0.07557092358304833,0.9038931109904511,0.02513633170598021,0.00913250353078559,-0.8660254037844386,0.5000000000000001,0.005867672451300081,0.00011071803516949001,0.037530973495170136,291.03818791666663,8.132842499999981,1.2246467991473532e-16,-1.0,294.147908625,286.74179175,9.741925902777774,302.8849796180555,9.55513666666667,0.8660254037844387,-0.4999999999999998,307.4963245416667,299.98543366666667,2.961556596731148,-6.097028167021587,-20.468904577384606,302.3761233333334,8.753459583333381,0.8660254037844387,-0.4999999999999998,306.92107312499996,299.56942,2.7657341295428663,-7.039026144820612,-18.937982127766276,0.23277134177083333,0.15697522875,-1.0,-1.8369701987210297e-16,0.1756123654166666,0.289930318125,0.3051211755416666,0.15877758166666658,-0.3596828297015817,0.3603182446106086,0.2483435858333333,0.10519645833333333,-1.0,-1.8369701987210297e-16,0.21409076347222222,0.2825964081944445,0.29864282733333336,0.20441864174999994,-0.17211039838245468,0.2668875378782185,0.01162804,0.9866659,3.2705882,13,Andhra Pradesh,Anantapur
Andhra Pradesh_Annamayya,0.7839019820853526,0.1305993060605199,-0.8660254037844386,0.5000000000000001,0.11813130503287526,0.00878168653070446,12.34274530888499,-0.5000000000000004,0.8660254037844384,0.6936349451016712,-0.21040409547333272,0.29235820391992623,0.28493446497325026,300.07017006944443,8.679517083333337,0.49999999999999994,-0.8660254037844387,-2.4492935982947064e-16,1.0,303.661572,296.11376725,2.7322935603601275,203.04204083333343,-16.339304459470252,-13.459028199585825,0.44234581802275835,-0.06291572677602938,0.043616883427603205,0.8660254037844386,0.5000000000000001,-0.044541675135405856,-0.07694485664615053,0.9631162295366517,0.0482405420489297,0.015168560663231101,-0.8660254037844386,0.5000000000000001,0.013326347281463233,0.00024892331005,0.06153899741470125,292.1340805902778,5.498565833333373,-1.0,-1.8369701987210297e-16,293.788642375,289.499854,7.936089479166658,301.7720526041666,9.561371250000036,0.49999999999999994,-0.8660254037844387,306.2356873333334,297.847880875,2.9768142658153303,-14.795577941989272,-16.882378471310002,301.2304630555556,9.17093083333333,0.49999999999999994,-0.8660254037844387,305.256997,297.36682975,2.8311239124229006,-15.542622736537574,-14.990743532649624,0.22460366720486105,0.15498217354166668,-0.5000000000000004,0.8660254037844384,0.17541763496527774,0.2737896994444445,0.28685509374999996,0.15040093687499995,-0.17650578053828964,0.41797272838859395,0.21852328437499993,0.12474934125,-0.5000000000000004,0.8660254037844384,0.18189512312499997,0.255151445625,0.26354761995833326,0.16753496816666663,-0.012336377005333812,0.3350166697877362,0.10845981,0.87931764,2.935065,3,Andhra Pradesh,Annamayya
Andhra Pradesh_Bapatla,0.995523121190785,0.1778502119880917,-1.0,-1.8369701987210297e-16,0.16928939895030146,0.010847670065838,13.749134092587397,-0.4999999999999997,-0.8660254037844388,0.8061613306965846,-0.41871781571704375,0.36039931257184443,0.1260318564622862,301.79215493055557,8.206262500000037,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,304.95533079166665,298.04076745833333,2.569163762185035,223.70585916666704,-18.160443693425485,-9.55829398248202,0.33184382314997674,-0.09467138675568589,0.0619430852675578,0.8660254037844386,0.5000000000000001,-0.06564405179136265,-0.11732359059678844,1.1411655007161943,0.1288413068459881,0.0237615764901875,-1.0,-1.8369701987210297e-16,0.024608247753576413,0.00243502930163675,0.12942070766962788,296.1140690625,4.920410833333335,0.8660254037844387,-0.4999999999999998,297.7333104583333,293.448883,5.678085868055571,303.2695858680556,8.973146250000013,0.49999999999999994,-0.8660254037844387,306.51311150000004,299.7130413333333,2.6688060095656905,-15.241038585435245,-13.941553597515455,302.80495961805553,8.335840000000019,0.49999999999999994,-0.8660254037844387,305.90149495833333,299.3770383333333,2.524630904085614,-15.448087707142566,-12.308434684368404,0.2339348768055555,0.1621699258333334,-1.0,-1.8369701987210297e-16,0.17412727611111103,0.2937424775,0.3100456111666667,0.15960001558333328,-0.29859280811298883,0.44656048096652146,0.24750526843749998,0.12813383375,-1.0,-1.8369701987210297e-16,0.20080975493055553,0.2942007819444445,0.31263299270833333,0.1930871294583333,-0.17323552567789643,0.3806759024676495,0.0518864,0.8232152,3.1785715,8,Andhra Pradesh,Bapatla
Andhra Pradesh_Chittoor,0.912735027608438,0.1531870459712177,-0.8660254037844386,0.5000000000000001,0.13061262977862492,0.011424706609608282,11.949156976566549,-0.5000000000000004,0.8660254037844384,0.6587099795721831,-0.23587278540545925,0.31039423320133713,0.3670780435124852,299.4252479513888,7.794919166666659,0.49999999999999994,-0.8660254037844387,-2.4492935982947064e-16,1.0,302.40988295833336,295.6867667083334,2.4961818091676524,195.30297541666698,-16.254626825440187,-11.162338494549925,0.3878566884734413,-0.0758602430612679,0.04583357099909329,0.8660254037844386,0.5000000000000001,-0.05780327060177409,-0.0919242093397769,0.9973572714969168,0.0652881354995987,0.0189197917695196,-0.5000000000000004,0.8660254037844384,0.017947898635020373,0.00056430480982671,0.07153021799839068,292.38665850694446,4.945227499999987,-1.0,-1.8369701987210297e-16,293.9003980833333,289.85124358333337,7.03858944444445,301.0673946527778,8.542218333333324,0.49999999999999994,-0.8660254037844387,304.950093625,297.4060304583333,2.679375011272241,-14.393588495228055,-14.612091898012304,300.54909305555555,8.224970416666679,0.49999999999999994,-0.8660254037844387,304.03710258333336,296.9308629166666,2.5665205426651583,-15.129876122939594,-12.860336474583567,0.24952119913194445,0.16227313625,-0.5000000000000004,0.8660254037844384,0.19965708416666664,0.2993853140972222,0.32301178391666663,0.16825695975,-0.1856626312671324,0.4308412646355102,0.24637370753472218,0.13468227166666671,-0.5000000000000004,0.8660254037844384,0.20781454236111105,0.2849328727083333,0.3045195211249999,0.19088802824999992,-0.033684624841182335,0.35850811476890176,0.050153118,0.94219106,3.2000000000000006,3,Andhra Pradesh,Chittoor
Andhra Pradesh_East Godavari,1.2849816453150793,0.2827579853097671,-0.4999999999999997,-0.8660254037844388,0.2569552544795442,0.00843493750957492,16.329983957545018,-0.8660254037844385,-0.5000000000000004,0.9795907690997312,-0.7514849397703494,0.36012731089853117,0.3352650266364732,300.9926436458333,7.961503333333269,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,303.5934096666666,297.4534244166667,2.379658736661239,214.1117237500003,-15.001773121217884,-10.200303442774572,0.4700165024875286,-0.09202521877644654,0.0644978959656631,0.8660254037844386,0.5000000000000001,-0.0563791422454717,-0.11581927778606757,0.8593917503363108,0.3964925227566015,0.0972355395604155,-1.0,-1.8369701987210297e-16,0.08114152705378114,0.00294147805250295,0.30855889981166307,295.74809458333334,6.451186249999978,-1.0,-1.8369701987210297e-16,297.91226125000003,292.0243341666667,5.244549062499999,302.1109017708333,8.318319999999972,0.49999999999999994,-0.8660254037844387,305.40997500000003,298.89311991666665,2.452034285382166,-12.24387729878126,-13.510119472650722,301.7512222222222,7.745656666666719,0.49999999999999994,-0.8660254037844387,304.7271797083333,298.68067141666666,2.3207439089797908,-12.337017945337388,-12.435201836372613,0.31114739649305556,0.22381487208333337,-1.0,-1.8369701987210297e-16,0.2311304546527778,0.39116433833333336,0.42826983858333323,0.2171065897083333,-0.5537464754419316,0.4613816205590937,0.32295645784722216,0.2003415395833333,-1.0,-1.8369701987210297e-16,0.2539739514583333,0.3919389642361111,0.42795552437499995,0.2425475682083333,-0.4542802177053098,0.43563640380575913,0.45692417,0.53248197,3.590909,6,Andhra Pradesh,East Godavari
Andhra Pradesh_Eluru,1.257408579010419,0.2713999775420367,-0.4999999999999997,-0.8660254037844388,0.2536300180858233,0.00806224585005779,16.397392679750457,-0.8660254037844385,-0.5000000000000004,0.9837108932862618,-0.7385384379742731,0.35696447942414333,0.3319940576337272,301.07215430555556,8.106683750000002,0.49999999999999994,-0.8660254037844387,-2.4492935982947064e-16,1.0,303.74254020833337,297.62170466666663,2.3968777805709074,215.06585166666696,-14.603845583976945,-11.09729463237335,0.45590961777939326,-0.08748053894750119,0.0662278687862757,0.8660254037844386,0.5000000000000001,-0.051350186934966166,-0.11215667388169087,0.8348650429887959,0.38664428993662014,0.09858259960992659,-1.0,-1.8369701987210297e-16,0.08633901692249608,0.00241164919364095,0.3074929632187728,295.34654170138884,6.627821250000011,-1.0,-1.8369701987210297e-16,297.5532865,291.58181275000004,5.725612604166661,302.1763607638889,8.504121250000026,0.49999999999999994,-0.8660254037844387,305.51185362499996,299.005253,2.4946777724459976,-12.007382687502382,-14.326216607375782,301.79666663194445,7.9012754166666355,0.49999999999999994,-0.8660254037844387,304.80106779166664,298.76298691666665,2.3564897809366334,-12.148757903555904,-13.15047498507442,0.3384837311805556,0.20576607500000002,-1.0,-1.8369701987210297e-16,0.26403494791666665,0.41293251444444445,0.4476211769583333,0.2515538845833333,-0.5226197109019459,0.4184142715034885,0.35261247451388883,0.17920229125000003,-1.0,-1.8369701987210297e-16,0.2915688033333333,0.4136561456944445,0.4481677590833333,0.2826369577083333,-0.41755022797707114,0.37295783194526166,0.42945892,0.5474897,3.9019608,6,Andhra Pradesh,Eluru
