state,district,year,bajra_kharif_yield_tonne_per_hectare
,,2022 - 2023,1.13
,Narmada,2003 - 2004,1.43
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.5
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.4
,,2014 - 2015,
,,2015 - 2016,1.67
,,2016 - 2017,1.57
,,2017 - 2018,1.65
,,2018 - 2019,1.4
,,2019 - 2020,1.74
,,2020 - 2021,1.52
,,2021 - 2022,1.63
,,2022 - 2023,1.8
,Navsari,2014 - 2015,
,Panch mahals,2000 - 2001,0.81
,,2001 - 2002,0.89
,,2002 - 2003,0.75
,,2003 - 2004,0.6
,,2004 - 2005,0.63
,,2005 - 2006,0.65
,,2006 - 2007,0.11
,,2007 - 2008,0.73
,,2008 - 2009,0.78
,,2009 - 2010,0.67
,,2010 - 2011,0.75
,,2011 - 2012,0.67
,,2012 - 2013,0.87
,,2013 - 2014,0.99
,,2014 - 2015,1.63
,,2015 - 2016,1.67
,,2016 - 2017,1.53
,,2017 - 2018,1.65
,,2018 - 2019,1.4
,,2019 - 2020,1.74
,,2020 - 2021,1.53
,,2021 - 2022,1.64
,,2022 - 2023,1.77
,Patan,2003 - 2004,0.94
,,2004 - 2005,0.74
,,2005 - 2006,0.62
,,2006 - 2007,0.24
,,2007 - 2008,0.52
,,2008 - 2009,0.73
,,2009 - 2010,0.42
,,2010 - 2011,0.5
,,2011 - 2012,0.73
,,2012 - 2013,0.54
,,2013 - 2014,1.21
,,2014 - 2015,0.74
,,2015 - 2016,1.02
,,2016 - 2017,1.15
,,2017 - 2018,0.17
,,2018 - 2019,1.39
,,2019 - 2020,0.88
,,2020 - 2021,0.52
,,2021 - 2022,1.16
,,2022 - 2023,2.14
,Porbandar,2003 - 2004,2.32
,,2004 - 2005,1.75
,,2005 - 2006,1.7
,,2006 - 2007,1.17
,,2007 - 2008,2.2
,,2008 - 2009,2.0
,,2009 - 2010,1.33
,,2010 - 2011,2.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.39
,,2014 - 2015,1.64
,,2015 - 2016,1.67
,,2016 - 2017,1.54
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajkot,2000 - 2001,0.57
,,2001 - 2002,1.56
,,2002 - 2003,0.65
,,2003 - 2004,1.8
,,2004 - 2005,1.19
,,2005 - 2006,1.7
,,2006 - 2007,0.68
,,2007 - 2008,1.51
,,2008 - 2009,0.98
,,2009 - 2010,1.1
,,2010 - 2011,1.28
,,2011 - 2012,1.28
,,2012 - 2013,0.07
,,2013 - 2014,1.28
,,2014 - 2015,2.38
,,2015 - 2016,2.32
,,2016 - 2017,1.6
,,2017 - 2018,1.65
,,2018 - 2019,1.4
,,2019 - 2020,1.74
,,2020 - 2021,1.53
,,2021 - 2022,1.64
,,2022 - 2023,1.79
,Sabar kantha,2000 - 2001,0.63
,,2001 - 2002,0.73
,,2002 - 2003,1.08
,,2003 - 2004,0.81
,,2004 - 2005,0.86
,,2005 - 2006,0.97
,,2006 - 2007,0.25
,,2007 - 2008,0.62
,,2008 - 2009,0.84
,,2009 - 2010,0.47
,,2010 - 2011,0.85
,,2011 - 2012,1.21
,,2012 - 2013,0.75
,,2013 - 2014,0.64
,,2014 - 2015,0.83
,,2015 - 2016,1.27
,,2016 - 2017,1.14
,,2017 - 2018,1.48
,,2018 - 2019,1.39
,,2019 - 2020,1.25
,,2020 - 2021,1.53
,,2021 - 2022,1.64
,,2022 - 2023,2.61
,Surat,2000 - 2001,0.67
,,2001 - 2002,1.5
,,2002 - 2003,1.0
,,2003 - 2004,1.33
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,0.75
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.75
,,2010 - 2011,1.0
,,2013 - 2014,1.4
,,2014 - 2015,1.64
,,2015 - 2016,1.7
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,1.5
,,2019 - 2020,1.7
,,2020 - 2021,
,,2021 - 2022,1.67
,,2022 - 2023,
,Surendranagar,2000 - 2001,0.84
,,2001 - 2002,1.6
,,2002 - 2003,0.64
,,2003 - 2004,1.62
,,2004 - 2005,1.31
,,2005 - 2006,1.14
,,2006 - 2007,1.42
,,2007 - 2008,1.6
,,2008 - 2009,1.08
,,2009 - 2010,0.92
,,2010 - 2011,1.28
,,2011 - 2012,2.03
,,2012 - 2013,0.71
,,2013 - 2014,1.78
,,2014 - 2015,2.02
,,2015 - 2016,1.89
,,2016 - 2017,1.07
,,2017 - 2018,2.03
,,2018 - 2019,1.16
,,2019 - 2020,1.65
,,2020 - 2021,1.45
,,2021 - 2022,1.29
,,2022 - 2023,1.43
,Tapi,2009 - 2010,
,,2010 - 2011,1.0
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,1.6
,,2015 - 2016,1.67
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vadodara,2000 - 2001,0.88
,,2001 - 2002,1.06
,,2002 - 2003,1.16
,,2003 - 2004,1.3
,,2004 - 2005,0.96
,,2005 - 2006,1.03
,,2006 - 2007,0.53
,,2007 - 2008,1.37
,,2008 - 2009,1.61
,,2009 - 2010,1.29
,,2010 - 2011,1.67
,,2011 - 2012,1.67
,,2012 - 2013,1.44
,,2013 - 2014,1.31
,,2014 - 2015,1.65
,,2015 - 2016,1.47
,,2016 - 2017,2.44
,,2017 - 2018,2.02
,,2018 - 2019,1.65
,,2019 - 2020,1.93
,,2020 - 2021,1.68
,,2021 - 2022,1.85
,,2022 - 2023,
,Valsad,2003 - 2004,
Haryana,Ambala,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2014 - 2015,2.0
,,2016 - 2017,2.0
,,2017 - 2018,1.5
,,2019 - 2020,2.0
,,2020 - 2021,2.37
,,2021 - 2022,2.32
,,2022 - 2023,3.0
,Bhiwani,2000 - 2001,0.78
,,2001 - 2002,1.36
,,2002 - 2003,0.65
,,2003 - 2004,1.32
,,2004 - 2005,1.04
,,2005 - 2006,0.69
,,2006 - 2007,1.34
,,2007 - 2008,1.49
,,2008 - 2009,1.39
,,2009 - 2010,1.05
,,2010 - 2011,1.63
,,2011 - 2012,1.74
,,2012 - 2013,1.39
,,2013 - 2014,1.6
,,2014 - 2015,1.36
,,2015 - 2016,1.31
,,2016 - 2017,1.7
,,2017 - 2018,1.24
,,2018 - 2019,1.45
,,2019 - 2020,1.64
,,2020 - 2021,1.86
,,2021 - 2022,1.76
,,2022 - 2023,2.27
,Charki dadri,2017 - 2018,0.75
,,2018 - 2019,1.84
,,2019 - 2020,1.98
,,2020 - 2021,2.24
,,2021 - 2022,2.01
,,2022 - 2023,2.3
,Faridabad,2000 - 2001,1.34
,,2001 - 2002,1.46
,,2002 - 2003,1.21
,,2003 - 2004,1.37
,,2004 - 2005,1.16
,,2005 - 2006,1.5
,,2006 - 2007,1.8
,,2007 - 2008,1.74
,,2008 - 2009,1.62
,,2009 - 2010,1.64
,,2010 - 2011,1.14
,,2011 - 2012,1.53
,,2012 - 2013,1.44
,,2013 - 2014,1.75
,,2014 - 2015,1.75
,,2015 - 2016,1.67
,,2016 - 2017,2.25
,,2017 - 2018,1.86
,,2018 - 2019,3.33
,,2019 - 2020,2.23
,,2020 - 2021,2.31
,,2021 - 2022,1.65
,,2022 - 2023,2.03
,Fatehabad,2000 - 2001,1.36
,,2001 - 2002,1.49
,,2002 - 2003,1.08
,,2003 - 2004,1.23
,,2004 - 2005,1.93
,,2005 - 2006,1.92
,,2006 - 2007,2.22
,,2007 - 2008,2.66
,,2008 - 2009,2.62
,,2009 - 2010,2.69
,,2010 - 2011,2.41
,,2011 - 2012,2.25
,,2012 - 2013,2.12
,,2013 - 2014,2.0
,,2014 - 2015,2.0
,,2015 - 2016,2.0
,,2016 - 2017,2.3
,,2017 - 2018,2.08
,,2018 - 2019,2.5
,,2019 - 2020,2.36
,,2020 - 2021,2.52
,,2021 - 2022,2.28
,,2022 - 2023,2.45
,Gurgaon,2000 - 2001,1.2
,,2001 - 2002,1.44
,,2002 - 2003,0.98
,,2003 - 2004,1.5
,,2004 - 2005,1.29
,,2005 - 2006,1.07
,,2006 - 2007,1.83
,,2007 - 2008,1.84
,,2008 - 2009,1.99
,,2009 - 2010,1.84
,,2010 - 2011,1.91
,,2011 - 2012,2.26
,,2012 - 2013,2.26
,,2013 - 2014,2.06
,,2014 - 2015,1.81
,,2015 - 2016,1.91
,,2016 - 2017,1.89
,,2017 - 2018,1.91
,,2018 - 2019,2.34
,,2019 - 2020,2.77
,,2020 - 2021,2.63
,,2021 - 2022,2.71
,,2022 - 2023,2.67
,Hisar,2000 - 2001,1.28
,,2001 - 2002,1.51
,,2002 - 2003,1.25
,,2003 - 2004,0.18
,,2004 - 2005,1.65
,,2005 - 2006,1.75
,,2006 - 2007,2.3
,,2007 - 2008,2.32
,,2008 - 2009,2.23
,,2009 - 2010,2.01
,,2010 - 2011,2.24
,,2011 - 2012,2.2
,,2012 - 2013,2.11
,,2013 - 2014,1.95
,,2014 - 2015,1.57
,,2015 - 2016,1.63
,,2016 - 2017,1.92
,,2017 - 2018,1.78
,,2018 - 2019,2.0
,,2019 - 2020,1.99
,,2020 - 2021,2.13
,,2021 - 2022,2.44
,,2022 - 2023,2.69
,Jhajjar,2000 - 2001,1.09
,,2001 - 2002,1.23
,,2002 - 2003,1.18
,,2003 - 2004,1.46
,,2004 - 2005,1.42
,,2005 - 2006,1.27
,,2006 - 2007,1.3
,,2007 - 2008,1.78
,,2008 - 2009,1.61
,,2009 - 2010,1.97
,,2010 - 2011,1.71
,,2011 - 2012,1.93
,,2012 - 2013,1.95
,,2013 - 2014,1.9
,,2014 - 2015,1.75
,,2015 - 2016,2.31
,,2016 - 2017,2.21
,,2017 - 2018,1.56
,,2018 - 2019,2.42
,,2019 - 2020,2.38
,,2020 - 2021,2.51
,,2021 - 2022,2.07
,,2022 - 2023,2.37
,Jind,2000 - 2001,1.59
,,2001 - 2002,1.37
,,2002 - 2003,1.05
,,2003 - 2004,1.82
,,2004 - 2005,1.46
,,2005 - 2006,1.88
,,2006 - 2007,2.02
,,2007 - 2008,2.33
,,2008 - 2009,1.92
,,2009 - 2010,1.76
,,2010 - 2011,2.06
,,2011 - 2012,2.05
,,2012 - 2013,2.07
,,2013 - 2014,2.27
,,2014 - 2015,2.0
,,2015 - 2016,1.83
,,2016 - 2017,1.79
,,2017 - 2018,1.72
,,2018 - 2019,1.82
,,2019 - 2020,2.08
,,2020 - 2021,2.36
,,2021 - 2022,2.37
,,2022 - 2023,2.58
,Kaithal,2000 - 2001,0.93
,,2001 - 2002,1.48
,,2002 - 2003,0.93
,,2003 - 2004,1.29
,,2004 - 2005,1.57
,,2005 - 2006,1.96
,,2006 - 2007,2.08
,,2007 - 2008,3.3
,,2008 - 2009,2.3
,,2009 - 2010,1.84
,,2010 - 2011,1.52
,,2011 - 2012,2.58
,,2012 - 2013,2.83
,,2013 - 2014,2.5
,,2014 - 2015,2.5
,,2015 - 2016,2.0
,,2016 - 2017,2.08
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,,2021 - 2022,2.14
,,2022 - 2023,2.65
,Karnal,2000 - 2001,1.06
,,2001 - 2002,0.76
,,2002 - 2003,1.04
,,2003 - 2004,1.97
,,2004 - 2005,1.94
,,2005 - 2006,2.35
,,2006 - 2007,3.66
,,2007 - 2008,2.54
,,2008 - 2009,3.18
,,2009 - 2010,1.62
,,2010 - 2011,0.0
,,2011 - 2012,2.1
,,2012 - 2013,2.22
,,2013 - 2014,2.0
,,2014 - 2015,2.0
,,2015 - 2016,2.0
,,2016 - 2017,2.0
,,2017 - 2018,1.5
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,,2021 - 2022,2.34
,,2022 - 2023,2.5
,Kurukshetra,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2020 - 2021,2.0
,,2021 - 2022,0.0
,Mahendragarh,2000 - 2001,1.12
,,2001 - 2002,1.49
,,2002 - 2003,0.87
,,2003 - 2004,1.95
,,2004 - 2005,1.2
,,2005 - 2006,1.11
,,2006 - 2007,1.56
,,2007 - 2008,1.72
,,2008 - 2009,1.77
,,2009 - 2010,1.78
,,2010 - 2011,1.79
,,2011 - 2012,2.26
,,2012 - 2013,2.18
,,2013 - 2014,2.46
,,2014 - 2015,1.68
,,2015 - 2016,1.52
,,2016 - 2017,2.3
,,2017 - 2018,1.5
,,2018 - 2019,2.06
,,2019 - 2020,2.49
,,2020 - 2021,2.54
,,2021 - 2022,2.8
,,2022 - 2023,2.67
,Mewat,2005 - 2006,1.02
,,2006 - 2007,1.3
,,2007 - 2008,1.63
,,2008 - 2009,1.55
,,2009 - 2010,1.72
,,2010 - 2011,1.43
,,2011 - 2012,1.87
,,2012 - 2013,1.92
,,2013 - 2014,2.09
,,2014 - 2015,1.69
,,2015 - 2016,1.89
,,2016 - 2017,1.97
,,2017 - 2018,2.36
,,2018 - 2019,2.62
,,2019 - 2020,2.76
,,2020 - 2021,2.74
,,2021 - 2022,2.67
,,2022 - 2023,2.69
,Palwal,2008 - 2009,1.93
,,2009 - 2010,1.95
,,2010 - 2011,1.79
,,2011 - 2012,1.89
,,2012 - 2013,1.97
,,2013 - 2014,2.13
,,2014 - 2015,1.86
,,2015 - 2016,1.25
,,2016 - 2017,1.92
,,2017 - 2018,2.19
,,2018 - 2019,2.71
,,2019 - 2020,2.66
,,2020 - 2021,2.67
,,2021 - 2022,2.43
,,2022 - 2023,2.3
,Panchkula,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,1.28
,,2003 - 2004,4.01
,,2004 - 2005,6.32
,,2005 - 2006,1.41
,,2006 - 2007,3.9
,,2007 - 2008,3.71
,,2008 - 2009,2.95
,,2009 - 2010,2.75
,,2010 - 2011,1.5
,,2011 - 2012,1.78
,,2012 - 2013,2.03
,,2013 - 2014,2.0
,,2015 - 2016,2.0
,,2017 - 2018,1.78
,,2018 - 2019,3.0
,,2019 - 2020,2.5
,,2020 - 2021,2.66
,,2021 - 2022,2.57
,,2022 - 2023,3.45
,Panipat,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,1.81
,,2003 - 2004,3.48
,,2004 - 2005,4.26
,,2005 - 2006,3.24
,,2006 - 2007,2.87
,,2007 - 2008,2.94
,,2008 - 2009,3.8
,,2009 - 2010,0.0
,,2010 - 2011,4.2
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2016 - 2017,2.0
,,2017 - 2018,2.0
,,2018 - 2019,1.75
,,2019 - 2020,1.33
,,2020 - 2021,2.61
,,2021 - 2022,2.2
,,2022 - 2023,2.52
,Rewari,2000 - 2001,1.08
,,2001 - 2002,1.55
,,2002 - 2003,0.68
,,2003 - 2004,1.67
,,2004 - 2005,1.55
,,2005 - 2006,0.87
,,2006 - 2007,1.42
,,2007 - 2008,1.58
,,2008 - 2009,1.93
,,2009 - 2010,1.66
,,2010 - 2011,1.89
,,2011 - 2012,2.34
,,2012 - 2013,1.98
,,2013 - 2014,2.33
,,2014 - 2015,2.29
,,2015 - 2016,2.13
,,2016 - 2017,2.19
,,2017 - 2018,1.95
,,2018 - 2019,2.09
,,2019 - 2020,2.16
,,2020 - 2021,2.47
,,2021 - 2022,2.04
,,2022 - 2023,2.58
,Rohtak,2000 - 2001,1.55
,,2001 - 2002,1.28
,,2002 - 2003,0.97
,,2003 - 2004,1.87
,,2004 - 2005,1.79
,,2005 - 2006,1.4
,,2006 - 2007,2.07
,,2007 - 2008,2.25
,,2008 - 2009,1.79
,,2009 - 2010,1.55
,,2010 - 2011,1.41
,,2011 - 2012,1.92
,,2012 - 2013,1.75
,,2013 - 2014,1.33
,,2014 - 2015,1.69
,,2015 - 2016,1.77
,,2016 - 2017,1.94
,,2017 - 2018,1.86
,,2018 - 2019,2.25
,,2019 - 2020,2.02
,,2020 - 2021,2.18
,,2021 - 2022,1.82
,,2022 - 2023,2.1
,Sirsa,2000 - 2001,1.02
,,2001 - 2002,1.47
,,2002 - 2003,0.85
,,2003 - 2004,1.83
,,2004 - 2005,1.38
,,2005 - 2006,1.64
,,2006 - 2007,1.86
,,2007 - 2008,2.1
,,2008 - 2009,2.05
,,2009 - 2010,2.03
,,2010 - 2011,3.45
,,2011 - 2012,2.31
,,2012 - 2013,1.8
,,2013 - 2014,1.5
,,2014 - 2015,2.0
,,2015 - 2016,1.0
,,2016 - 2017,2.35
,,2017 - 2018,1.69
,,2018 - 2019,2.75
,,2019 - 2020,2.81
,,2020 - 2021,2.36
,,2021 - 2022,2.84
,,2022 - 2023,2.43
,Sonipat,2000 - 2001,1.57
,,2001 - 2002,1.43
,,2002 - 2003,1.68
,,2003 - 2004,1.6
,,2004 - 2005,1.6
,,2005 - 2006,1.57
,,2006 - 2007,2.05
,,2007 - 2008,1.89
,,2008 - 2009,1.95
,,2009 - 2010,2.16
,,2010 - 2011,1.8
,,2011 - 2012,2.2
,,2012 - 2013,2.25
,,2013 - 2014,2.25
,,2014 - 2015,1.83
,,2015 - 2016,2.17
,,2016 - 2017,2.03
,,2017 - 2018,1.27
,,2018 - 2019,1.6
,,2019 - 2020,2.57
,,2020 - 2021,2.61
,,2021 - 2022,2.23
,,2022 - 2023,2.5
,Yamunanagar,2000 - 2001,0.67
,,2001 - 2002,0.92
,,2002 - 2003,1.02
,,2003 - 2004,2.73
,,2004 - 2005,2.04
,,2005 - 2006,1.02
,,2006 - 2007,2.05
,,2007 - 2008,2.5
,,2008 - 2009,2.16
,,2009 - 2010,1.61
,,2010 - 2011,2.14
,,2011 - 2012,3.34
,,2012 - 2013,3.28
,,2017 - 2018,1.0
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,2.71
,,2021 - 2022,2.3
,,2022 - 2023,2.53
Himachal Pradesh,Bilaspur,2001 - 2002,0.4
,,2006 - 2007,0.56
,,2012 - 2013,0.5
,,2018 - 2019,0.5
,,2019 - 2020,1.0
,Chamba,2000 - 2001,0.5
,,2001 - 2002,1.0
,,2012 - 2013,0.47
,Hamirpur,2000 - 2001,0.5
,,2001 - 2002,1.0
,,2002 - 2003,0.0
,,2004 - 2005,1.0
,,2008 - 2009,0.5
,,2009 - 2010,0.44
,,2010 - 2011,0.44
,,2011 - 2012,0.5
,,2012 - 2013,0.49
,,2013 - 2014,0.68
,,2014 - 2015,0.68
,,2015 - 2016,0.4
,,2016 - 2017,0.4
,,2017 - 2018,0.6
,,2018 - 2019,0.5
,,2019 - 2020,1.0
,Kangra,2000 - 2001,0.32
,,2001 - 2002,0.56
,,2002 - 2003,0.55
,,2003 - 2004,0.56
,,2004 - 2005,0.53
,,2005 - 2006,0.47
,,2006 - 2007,0.47
,,2008 - 2009,0.55
,,2009 - 2010,0.51
,,2010 - 2011,0.53
,,2011 - 2012,0.59
,,2012 - 2013,0.51
,,2013 - 2014,0.57
,,2014 - 2015,0.5
,,2015 - 2016,0.6
,,2016 - 2017,0.48
,,2017 - 2018,0.75
,,2018 - 2019,0.82
,,2019 - 2020,1.03
,,2020 - 2021,5.54
,,2021 - 2022,0.56
,,2022 - 2023,0.56
,Mandi,2000 - 2001,0.35
,,2001 - 2002,0.36
,,2004 - 2005,0.53
,,2005 - 2006,0.43
,,2006 - 2007,0.56
,,2008 - 2009,0.56
,,2009 - 2010,0.47
,,2010 - 2011,0.58
,,2011 - 2012,0.46
,,2012 - 2013,0.52
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.57
,,2016 - 2017,0.52
,,2017 - 2018,0.74
,,2018 - 2019,0.47
,,2019 - 2020,1.0
,,2020 - 2021,0.43
,,2021 - 2022,0.44
,,2022 - 2023,0.44
,Shimla,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,2.0
,,2003 - 2004,0.57
,,2004 - 2005,0.67
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,0.5
,,2011 - 2012,0.33
,,2012 - 2013,0.49
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,0.5
,,2019 - 2020,1.0
,,2020 - 2021,0.56
,,2021 - 2022,0.54
,,2022 - 2023,0.56
,Sirmaur,2000 - 2001,0.4
,,2001 - 2002,0.5
,,2002 - 2003,0.55
,,2003 - 2004,0.56
,,2004 - 2005,0.53
,,2005 - 2006,0.55
,,2006 - 2007,0.33
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.25
,,2011 - 2012,0.57
,,2012 - 2013,0.55
,,2013 - 2014,0.41
,,2014 - 2015,0.41
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,0.53
,Solan,2000 - 2001,1.0
,,2001 - 2002,0.46
,,2003 - 2004,0.55
,,2020 - 2021,5.45
,,2021 - 2022,0.55
,,2022 - 2023,0.55
,Una,2012 - 2013,0.5
Jammu and Kashmir,Bandipora,2014 - 2015,0.29
,Doda,2000 - 2001,0.48
,,2001 - 2002,0.51
,,2003 - 2004,0.52
,,2005 - 2006,0.52
,,2016 - 2017,0.6
,,2017 - 2018,0.6
,Jammu,2000 - 2001,0.46
,,2001 - 2002,0.6
,,2002 - 2003,0.6
,,2003 - 2004,0.6
,,2004 - 2005,0.6
,,2005 - 2006,0.6
,,2006 - 2007,0.6
,,2007 - 2008,0.6
,,2009 - 2010,0.6
,,2010 - 2011,0.6
,,2011 - 2012,0.6
,,2012 - 2013,0.6
,,2014 - 2015,0.6
,,2015 - 2016,
,,2016 - 2017,0.6
,,2017 - 2018,0.6
,,2018 - 2019,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,,2022 - 2023,
,Kathua,2000 - 2001,0.47
,,2001 - 2002,0.55
,,2002 - 2003,0.55
,,2003 - 2004,0.55
,,2004 - 2005,0.55
,,2005 - 2006,0.55
,,2006 - 2007,0.55
,,2007 - 2008,0.55
,,2009 - 2010,0.55
,,2010 - 2011,0.55
,,2011 - 2012,0.55
,,2012 - 2013,0.55
,,2014 - 2015,0.55
,,2015 - 2016,0.55
,,2016 - 2017,0.55
,,2017 - 2018,0.55
,,2018 - 2019,0.55
,,2019 - 2020,0.55
,,2020 - 2021,0.55
,Kishtwar,2011 - 2012,0.35
,Kupwara,2012 - 2013,0.6
,Leh ladakh,2018 - 2019,
,Rajauri,2000 - 2001,0.67
,,2001 - 2002,0.67
,,2002 - 2003,0.67
,,2003 - 2004,0.67
,,2004 - 2005,0.67
,,2006 - 2007,0.67
,,2007 - 2008,0.67
,,2009 - 2010,0.67
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,0.67
,,2014 - 2015,0.67
,,2015 - 2016,0.67
,,2016 - 2017,0.67
,,2017 - 2018,0.67
,,2018 - 2019,0.67
,,2019 - 2020,0.67
,,2020 - 2021,0.67
,,2021 - 2022,
,,2022 - 2023,
,Reasi,2007 - 2008,0.6
,,2009 - 2010,0.6
,,2010 - 2011,0.61
,,2011 - 2012,0.61
,,2012 - 2013,0.61
,,2014 - 2015,0.61
,,2015 - 2016,0.61
,,2016 - 2017,0.61
,,2017 - 2018,0.61
,,2018 - 2019,0.61
,,2019 - 2020,0.61
,,2020 - 2021,0.61
,,2021 - 2022,
,Samba,2007 - 2008,0.6
,,2009 - 2010,0.6
,,2010 - 2011,0.6
,,2011 - 2012,0.6
,,2012 - 2013,0.6
,,2014 - 2015,0.59
,,2015 - 2016,0.59
,,2016 - 2017,0.59
,,2017 - 2018,0.59
,,2018 - 2019,0.59
,,2019 - 2020,0.59
,,2020 - 2021,0.59
,Udhampur,2000 - 2001,0.6
,,2001 - 2002,0.6
,,2002 - 2003,0.6
,,2003 - 2004,0.74
,,2004 - 2005,0.6
,,2005 - 2006,0.6
,,2006 - 2007,0.6
,,2007 - 2008,0.6
,,2009 - 2010,0.6
,,2010 - 2011,0.6
,,2011 - 2012,0.6
,,2012 - 2013,0.6
,,2014 - 2015,0.6
,,2015 - 2016,0.6
,,2016 - 2017,0.6
,,2017 - 2018,0.6
,,2018 - 2019,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.6
Jharkhand,Bokaro,2017 - 2018,0.33
,,2018 - 2019,0.32
,,2019 - 2020,0.91
,,2021 - 2022,0.88
,,2022 - 2023,1.0
,Deoghar,2021 - 2022,0.67
,,2022 - 2023,0.67
,Dhanbad,2017 - 2018,0.57
,Dumka,2017 - 2018,0.76
,,2018 - 2019,0.75
,,2019 - 2020,0.78
,,2020 - 2021,0.77
,East singhbum,2017 - 2018,0.54
,,2022 - 2023,0.5
,Giridih,2017 - 2018,1.0
,,2018 - 2019,0.86
,,2019 - 2020,0.77
,,2020 - 2021,0.81
,,2021 - 2022,0.82
,,2022 - 2023,0.86
,Godda,2019 - 2020,0.53
,,2020 - 2021,0.6
,,2021 - 2022,0.5
,,2022 - 2023,0.42
,Hazaribagh,2019 - 2020,0.54
,,2020 - 2021,0.47
,,2021 - 2022,0.48
,,2022 - 2023,0.47
,Jamtara,2019 - 2020,0.5
,Khunti,2019 - 2020,0.6
,,2021 - 2022,0.6
,Koderma,2018 - 2019,0.6
,Pakur,2022 - 2023,0.79
,Palamu,2019 - 2020,0.6
,,2020 - 2021,0.67
,,2021 - 2022,0.75
,,2022 - 2023,0.5
,Ramgarh,2019 - 2020,0.56
,,2020 - 2021,0.5
,,2021 - 2022,0.53
,,2022 - 2023,0.5
,Sahebganj,2017 - 2018,0.69
,,2018 - 2019,0.67
,,2019 - 2020,0.67
,,2020 - 2021,0.73
,,2021 - 2022,0.72
,,2022 - 2023,0.7
,Saraikela kharsawan,2017 - 2018,0.7
,,2018 - 2019,0.5
,,2019 - 2020,0.47
,,2020 - 2021,0.56
,,2021 - 2022,0.57
,Simdega,2017 - 2018,0.75
,,2018 - 2019,0.7
,,2019 - 2020,0.5
,West singhbhum,2017 - 2018,0.42
,,2018 - 2019,0.42
,,2019 - 2020,0.43
,,2020 - 2021,0.44
,,2022 - 2023,0.55
Karnataka,Bagalkot,2000 - 2001,1.0
,,2001 - 2002,0.76
,,2002 - 2003,0.3
,,2003 - 2004,0.53
,,2004 - 2005,0.65
,,2005 - 2006,1.23
,,2006 - 2007,0.34
,,2007 - 2008,1.15
,,2008 - 2009,1.1
,,2009 - 2010,0.4
,,2010 - 2011,1.46
,,2011 - 2012,1.28
,,2012 - 2013,0.95
,,2013 - 2014,0.91
,,2014 - 2015,1.1
,,2015 - 2016,0.55
,,2016 - 2017,1.12
,,2017 - 2018,1.56
,,2018 - 2019,1.53
,,2019 - 2020,1.66
,,2020 - 2021,1.91
,,2021 - 2022,1.43
,,2022 - 2023,1.52
