state,district,year,bajra_kharif_yield_tonne_per_hectare
,,2003 - 2004,1.14
,,2004 - 2005,1.05
,,2005 - 2006,0.56
,,2006 - 2007,0.92
,,2007 - 2008,0.86
,,2008 - 2009,0.81
,,2009 - 2010,1.11
,,2010 - 2011,0.87
,,2011 - 2012,1.1
,,2012 - 2013,1.0
,,2013 - 2014,0.69
,,2014 - 2015,0.91
,,2015 - 2016,0.98
,,2016 - 2017,1.05
,,2017 - 2018,1.21
,,2018 - 2019,1.13
,,2019 - 2020,1.04
,,2020 - 2021,0.96
,,2021 - 2022,0.93
,,2022 - 2023,2.31
,Vizianagaram,2000 - 2001,1.13
,,2001 - 2002,1.09
,,2002 - 2003,0.89
,,2003 - 2004,1.3
,,2004 - 2005,0.77
,,2005 - 2006,0.7
,,2006 - 2007,1.17
,,2007 - 2008,1.0
,,2008 - 2009,1.02
,,2009 - 2010,1.05
,,2010 - 2011,0.57
,,2011 - 2012,0.77
,,2013 - 2014,0.88
,,2014 - 2015,0.72
,,2015 - 2016,1.82
,,2016 - 2017,1.22
,,2017 - 2018,1.45
,,2018 - 2019,1.12
,,2019 - 2020,1.21
,,2020 - 2021,0.97
,,2021 - 2022,1.76
,,2022 - 2023,2.32
,West godavari,2003 - 2004,1.36
,,2004 - 2005,1.09
,,2005 - 2006,1.2
Bihar,Araria,2000 - 2001,0.83
,Aurangabad,2005 - 2006,1.0
,Banka,2000 - 2001,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.06
,,2004 - 2005,1.11
,Begusarai,2016 - 2017,1.1
,Bhagalpur,2000 - 2001,0.83
,,2002 - 2003,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.1
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.2
,,2011 - 2012,1.17
,,2012 - 2013,1.13
,,2013 - 2014,1.13
,,2014 - 2015,1.11
,,2015 - 2016,1.11
,,2017 - 2018,1.1
,,2018 - 2019,1.09
,,2019 - 2020,1.14
,,2020 - 2021,1.14
,,2021 - 2022,1.15
,,2022 - 2023,1.14
,Bhojpur,2000 - 2001,0.87
,,2001 - 2002,0.72
,,2002 - 2003,0.99
,,2003 - 2004,0.99
,,2004 - 2005,0.98
,,2005 - 2006,0.99
,,2006 - 2007,0.99
,,2007 - 2008,1.11
,,2008 - 2009,1.21
,,2009 - 2010,1.11
,,2010 - 2011,1.12
,,2011 - 2012,1.13
,,2012 - 2013,1.14
,,2013 - 2014,1.14
,,2014 - 2015,1.13
,,2015 - 2016,1.13
,,2016 - 2017,1.14
,,2017 - 2018,1.13
,,2018 - 2019,1.13
,,2019 - 2020,1.13
,,2020 - 2021,1.13
,,2021 - 2022,1.14
,,2022 - 2023,1.14
,Buxar,2000 - 2001,0.87
,,2001 - 2002,0.72
,,2002 - 2003,1.08
,,2003 - 2004,1.11
,,2004 - 2005,1.1
,,2005 - 2006,1.1
,,2006 - 2007,1.1
,,2007 - 2008,1.11
,,2008 - 2009,1.23
,,2009 - 2010,1.11
,,2010 - 2011,1.12
,,2011 - 2012,1.12
,,2012 - 2013,1.14
,,2013 - 2014,1.14
,,2014 - 2015,1.13
,,2015 - 2016,1.13
,,2016 - 2017,1.14
,,2017 - 2018,1.13
,,2018 - 2019,1.13
,,2019 - 2020,1.13
,,2020 - 2021,1.13
,,2021 - 2022,1.14
,,2022 - 2023,1.14
,Darbhanga,2002 - 2003,1.04
,Gaya,2003 - 2004,1.04
,,2005 - 2006,1.0
,,2006 - 2007,1.06
,,2010 - 2011,0.0
,,2011 - 2012,1.0
,,2012 - 2013,1.17
,,2014 - 2015,1.14
,Gopalganj,2000 - 2001,0.48
,,2001 - 2002,0.8
,,2002 - 2003,0.8
,,2003 - 2004,1.04
,,2004 - 2005,1.08
,,2006 - 2007,1.07
,,2007 - 2008,1.1
,,2008 - 2009,1.2
,,2009 - 2010,1.11
,,2010 - 2011,1.14
,,2011 - 2012,1.09
,,2012 - 2013,1.15
,,2015 - 2016,1.0
,Jehanabad,2002 - 2003,1.0
,,2003 - 2004,1.0
,Kaimur (bhabua),2000 - 2001,0.88
,,2001 - 2002,0.72
,,2005 - 2006,1.06
,Katihar,2018 - 2019,1.13
,Khagaria,2006 - 2007,1.0
,Madhepura,2002 - 2003,1.0
,,2014 - 2015,1.17
,Madhubani,2000 - 2001,0.74
,,2001 - 2002,0.65
,Nawada,2005 - 2006,1.06
,,2007 - 2008,1.1
,,2008 - 2009,1.2
,,2009 - 2010,1.13
,,2013 - 2014,1.14
,Pashchim champaran,2000 - 2001,0.65
,,2001 - 2002,0.73
,,2002 - 2003,1.02
,,2003 - 2004,1.05
,,2004 - 2005,1.08
,,2005 - 2006,1.06
,,2006 - 2007,1.08
,,2007 - 2008,1.04
,,2008 - 2009,1.08
,,2009 - 2010,1.11
,,2011 - 2012,1.12
,,2012 - 2013,1.12
,,2013 - 2014,1.13
,,2014 - 2015,1.0
,Patna,2002 - 2003,1.03
,,2003 - 2004,1.06
,,2005 - 2006,1.03
,,2006 - 2007,1.03
,,2007 - 2008,1.11
,,2017 - 2018,1.14
,,2020 - 2021,1.13
,,2021 - 2022,1.14
,Purbi champaran,2002 - 2003,1.03
,,2011 - 2012,1.0
,Rohtas,2000 - 2001,0.86
,,2001 - 2002,0.71
,,2002 - 2003,1.63
,,2003 - 2004,1.03
,,2004 - 2005,1.08
,,2005 - 2006,1.04
,,2009 - 2010,1.14
,,2010 - 2011,1.14
,Saharsa,2007 - 2008,0.8
,Samastipur,2009 - 2010,1.0
,Saran,2000 - 2001,0.5
,,2001 - 2002,0.76
,,2002 - 2003,0.76
,,2003 - 2004,1.04
,,2004 - 2005,1.0
,,2005 - 2006,1.06
,,2006 - 2007,1.09
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.2
,Sheohar,2001 - 2002,0.75
,,2004 - 2005,1.13
