state,district,year,khesari_rabi_yield_tonne_per_hectare
,,2013 - 2014,0.79
,,2014 - 2015,1.14
,,2015 - 2016,0.64
,,2016 - 2017,1.17
,,2017 - 2018,0.66
,,2018 - 2019,0.78
,,2019 - 2020,0.38
,,2020 - 2021,0.77
,,2021 - 2022,0.71
,,2022 - 2023,0.89
,Jashpur,2000 - 2001,0.41
,,2001 - 2002,0.45
,,2002 - 2003,0.5
,,2003 - 2004,0.52
,,2004 - 2005,0.39
,,2005 - 2006,0.35
,,2006 - 2007,0.52
,,2007 - 2008,0.41
,,2008 - 2009,0.18
,,2009 - 2010,0.5
,,2010 - 2011,0.53
,,2011 - 2012,0.44
,,2012 - 2013,0.42
,,2013 - 2014,0.48
,,2014 - 2015,0.85
,,2015 - 2016,0.49
,,2016 - 2017,1.8
,,2017 - 2018,0.42
,,2018 - 2019,0.55
,,2019 - 2020,0.2
,,2020 - 2021,0.52
,,2021 - 2022,0.47
,,2022 - 2023,0.47
,Kabirdham,2000 - 2001,0.26
,,2001 - 2002,0.49
,,2002 - 2003,0.48
,,2003 - 2004,0.5
,,2004 - 2005,0.31
,,2005 - 2006,0.33
,,2006 - 2007,0.39
,,2007 - 2008,0.43
,,2008 - 2009,0.19
,,2009 - 2010,0.4
,,2010 - 2011,0.51
,,2011 - 2012,0.5
,,2012 - 2013,0.0
,,2013 - 2014,0.39
,,2014 - 2015,0.73
,,2015 - 2016,0.35
,,2016 - 2017,1.99
,,2017 - 2018,0.39
,,2018 - 2019,0.36
,,2019 - 2020,0.19
,,2020 - 2021,0.38
,,2021 - 2022,0.4
,,2022 - 2023,0.54
,Kanker,2000 - 2001,0.54
,,2001 - 2002,0.87
,,2002 - 2003,0.52
,,2003 - 2004,0.96
,,2004 - 2005,0.66
,,2005 - 2006,0.63
,,2006 - 2007,0.74
,,2007 - 2008,0.82
,,2008 - 2009,0.36
,,2009 - 2010,0.8
,,2010 - 2011,0.95
,,2011 - 2012,0.86
,,2012 - 2013,0.67
,,2013 - 2014,0.7
,,2014 - 2015,1.25
,,2015 - 2016,0.61
,,2016 - 2017,1.06
,,2017 - 2018,0.62
,,2018 - 2019,0.73
,,2019 - 2020,0.3
,,2020 - 2021,0.79
,,2021 - 2022,0.57
,,2022 - 2023,0.83
,Khairgarh chhuikhadan gandai,2022 - 2023,0.53
,Kondagaon,2011 - 2012,0.79
,,2012 - 2013,0.54
,,2013 - 2014,0.67
,,2014 - 2015,1.11
,,2015 - 2016,0.5
,,2016 - 2017,1.18
,,2017 - 2018,0.62
,,2018 - 2019,0.9
,,2019 - 2020,0.33
,,2020 - 2021,0.75
,,2021 - 2022,0.53
,,2022 - 2023,0.84
,Korba,2000 - 2001,0.53
,,2001 - 2002,0.65
,,2002 - 2003,0.59
,,2003 - 2004,0.61
,,2004 - 2005,0.41
,,2005 - 2006,0.55
,,2006 - 2007,0.51
,,2007 - 2008,0.54
,,2008 - 2009,0.24
,,2009 - 2010,0.56
,,2010 - 2011,0.71
,,2011 - 2012,0.55
,,2012 - 2013,0.53
,,2013 - 2014,0.51
,,2014 - 2015,1.03
,,2015 - 2016,0.4
,,2016 - 2017,1.4
,,2017 - 2018,0.55
,,2018 - 2019,0.64
,,2019 - 2020,0.26
,,2020 - 2021,0.61
,,2021 - 2022,0.51
,,2022 - 2023,0.64
,Korea,2000 - 2001,0.45
,,2001 - 2002,0.54
,,2002 - 2003,0.35
,,2003 - 2004,0.5
,,2004 - 2005,0.33
,,2005 - 2006,0.34
,,2006 - 2007,0.43
,,2007 - 2008,0.42
,,2008 - 2009,0.19
,,2009 - 2010,0.41
,,2010 - 2011,0.5
,,2011 - 2012,0.43
,,2012 - 2013,0.41
,,2013 - 2014,0.4
,,2014 - 2015,0.88
,,2015 - 2016,0.36
,,2016 - 2017,1.71
,,2017 - 2018,0.36
,,2018 - 2019,0.42
,,2019 - 2020,0.22
,,2020 - 2021,0.44
,,2021 - 2022,0.37
,,2022 - 2023,0.5
,Mahasamund,2000 - 2001,0.45
,,2001 - 2002,0.57
,,2002 - 2003,0.51
,,2003 - 2004,0.62
,,2004 - 2005,0.4
,,2005 - 2006,0.39
,,2006 - 2007,0.52
,,2007 - 2008,0.55
,,2008 - 2009,0.24
,,2009 - 2010,0.56
,,2010 - 2011,0.52
,,2011 - 2012,0.48
,,2012 - 2013,0.41
,,2013 - 2014,0.57
,,2014 - 2015,0.96
,,2015 - 2016,0.49
,,2016 - 2017,1.51
,,2017 - 2018,0.42
,,2018 - 2019,0.59
,,2019 - 2020,0.22
,,2020 - 2021,0.59
,,2021 - 2022,0.5
,,2022 - 2023,0.6
,Manendragarh chirimiri bharatpur,2022 - 2023,0.52
,Mohla manpur ambagarh chouki,2022 - 2023,0.53
,Mungeli,2011 - 2012,0.77
,,2012 - 2013,0.56
,,2013 - 2014,0.67
,,2014 - 2015,0.78
,,2015 - 2016,1.12
,,2016 - 2017,0.72
,,2017 - 2018,0.86
,,2018 - 2019,1.0
,,2019 - 2020,0.51
,,2020 - 2021,0.99
,,2021 - 2022,0.83
,,2022 - 2023,1.17
,Narayanpur,2008 - 2009,1.0
,,2010 - 2011,0.47
,,2013 - 2014,0.67
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,0.75
,,2020 - 2021,0.5
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Raigarh,2000 - 2001,0.44
,,2001 - 2002,0.43
,,2002 - 2003,0.51
,,2003 - 2004,0.57
,,2004 - 2005,0.4
,,2005 - 2006,0.43
,,2006 - 2007,0.55
,,2007 - 2008,0.57
,,2008 - 2009,0.25
,,2009 - 2010,0.45
,,2010 - 2011,0.55
,,2011 - 2012,0.48
,,2012 - 2013,0.46
,,2013 - 2014,0.62
,,2014 - 2015,1.02
,,2015 - 2016,0.53
,,2016 - 2017,1.47
,,2017 - 2018,0.52
,,2018 - 2019,0.53
,,2019 - 2020,0.24
,,2020 - 2021,0.69
,,2021 - 2022,0.55
,,2022 - 2023,0.59
,Raipur,2000 - 2001,0.37
,,2001 - 2002,0.57
,,2002 - 2003,0.52
,,2003 - 2004,0.6
,,2004 - 2005,0.38
,,2005 - 2006,0.42
,,2006 - 2007,0.49
,,2007 - 2008,0.54
,,2008 - 2009,0.24
,,2009 - 2010,0.6
,,2010 - 2011,0.54
,,2011 - 2012,0.46
,,2012 - 2013,0.49
,,2013 - 2014,0.54
,,2014 - 2015,1.07
,,2015 - 2016,0.55
,,2016 - 2017,1.25
,,2017 - 2018,0.53
,,2018 - 2019,0.62
,,2019 - 2020,0.23
,,2020 - 2021,0.67
,,2021 - 2022,0.65
,,2022 - 2023,0.68
,Rajnandgaon,2000 - 2001,0.38
,,2001 - 2002,0.46
,,2002 - 2003,0.41
,,2003 - 2004,0.49
,,2004 - 2005,0.37
,,2005 - 2006,0.38
,,2006 - 2007,0.43
,,2007 - 2008,0.48
,,2008 - 2009,0.21
,,2009 - 2010,0.39
,,2010 - 2011,0.5
,,2011 - 2012,0.49
,,2012 - 2013,0.38
,,2013 - 2014,0.38
,,2014 - 2015,0.77
,,2015 - 2016,0.4
,,2016 - 2017,1.72
,,2017 - 2018,0.48
,,2018 - 2019,0.47
,,2019 - 2020,0.19
,,2020 - 2021,0.58
,,2021 - 2022,0.48
,,2022 - 2023,0.53
,Sarangarh bilaigarh,2022 - 2023,0.6
,Surajpur,2011 - 2012,0.49
,,2012 - 2013,0.46
,,2013 - 2014,0.57
,,2014 - 2015,0.93
,,2015 - 2016,0.39
,,2016 - 2017,1.37
,,2017 - 2018,0.48
,,2018 - 2019,0.59
,,2019 - 2020,0.28
,,2020 - 2021,0.69
,,2021 - 2022,0.58
,,2022 - 2023,0.57
,Surguja,2000 - 2001,0.42
,,2001 - 2002,0.48
,,2002 - 2003,0.56
,,2003 - 2004,0.54
,,2004 - 2005,0.46
,,2005 - 2006,0.4
,,2006 - 2007,0.43
,,2007 - 2008,0.45
,,2008 - 2009,0.2
,,2009 - 2010,0.45
,,2010 - 2011,0.62
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.75
,,2014 - 2015,1.08
,,2015 - 2016,0.17
,,2017 - 2018,0.5
,,2019 - 2020,0.38
,,2020 - 2021,0.73
,,2021 - 2022,0.82
,,2022 - 2023,0.55
Madhya Pradesh,Anuppur,2006 - 2007,0.42
,,2007 - 2008,0.31
,,2008 - 2009,0.37
,,2009 - 2010,
,,2010 - 2011,0.23
,,2011 - 2012,0.38
,,2012 - 2013,0.49
,,2013 - 2014,0.39
,Ashoknagar,2006 - 2007,1.15
,,2007 - 2008,0.76
,,2008 - 2009,1.03
,,2009 - 2010,
,,2010 - 2011,0.62
,,2011 - 2012,1.21
,,2012 - 2013,1.43
,,2013 - 2014,0.83
,Balaghat,2006 - 2007,0.54
,,2007 - 2008,0.43
,,2008 - 2009,0.52
,,2009 - 2010,
,,2010 - 2011,0.5
,,2011 - 2012,0.62
,,2012 - 2013,0.79
,,2013 - 2014,0.49
,Betul,2006 - 2007,0.53
,,2007 - 2008,0.33
,,2008 - 2009,0.56
,,2009 - 2010,
,,2010 - 2011,0.43
,,2011 - 2012,0.55
,,2012 - 2013,0.85
,,2013 - 2014,0.35
,Bhind,2013 - 2014,0.5
,Bhopal,2006 - 2007,0.75
,,2007 - 2008,0.62
,,2008 - 2009,0.77
,,2009 - 2010,
,,2010 - 2011,0.46
,,2011 - 2012,0.87
,,2012 - 2013,1.21
,,2013 - 2014,0.84
,Burhanpur,2012 - 2013,0.71
,Chhatarpur,2006 - 2007,0.72
,,2007 - 2008,0.4
,,2010 - 2011,0.4
,,2011 - 2012,0.43
,,2012 - 2013,0.39
,Chhindwara,2006 - 2007,0.66
,,2007 - 2008,0.6
,,2008 - 2009,0.62
,,2009 - 2010,
,,2010 - 2011,0.6
,,2011 - 2012,0.89
,,2012 - 2013,0.91
,,2013 - 2014,0.64
,Damoh,2006 - 2007,0.57
,,2007 - 2008,0.45
,,2008 - 2009,0.8
,,2009 - 2010,
,,2010 - 2011,0.64
,,2011 - 2012,0.9
,,2012 - 2013,0.85
,,2013 - 2014,0.67
,Datia,2009 - 2010,
,,2010 - 2011,0.31
,,2012 - 2013,0.61
,Dewas,2006 - 2007,0.33
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,
,Dhar,2006 - 2007,0.81
,,2007 - 2008,0.6
,,2008 - 2009,0.7
,,2009 - 2010,
,,2010 - 2011,0.6
,,2011 - 2012,1.19
,,2012 - 2013,1.04
,,2013 - 2014,1.0
,Dindori,2006 - 2007,0.48
,,2007 - 2008,0.34
,,2008 - 2009,0.44
,,2009 - 2010,
,,2010 - 2011,0.29
,,2011 - 2012,0.36
,,2012 - 2013,0.35
,,2013 - 2014,0.49
,Guna,2011 - 2012,1.0
,Harda,2006 - 2007,1.0
,,2007 - 2008,0.56
,,2009 - 2010,
,,2010 - 2011,0.92
,,2011 - 2012,1.45
,,2012 - 2013,1.0
,,2013 - 2014,0.5
,Hoshangabad,2006 - 2007,0.75
,,2007 - 2008,0.57
,,2008 - 2009,0.7
,,2009 - 2010,
,,2010 - 2011,0.65
,,2011 - 2012,0.81
,,2012 - 2013,0.9
,,2013 - 2014,0.54
,Indore,2006 - 2007,1.08
,,2007 - 2008,0.87
,,2008 - 2009,1.08
,,2009 - 2010,
,,2010 - 2011,0.75
,,2011 - 2012,1.0
,,2013 - 2014,1.0
,Jabalpur,2006 - 2007,1.03
,,2007 - 2008,0.49
,,2008 - 2009,1.0
,,2009 - 2010,
,,2010 - 2011,0.75
,,2011 - 2012,0.93
,,2012 - 2013,1.15
,,2013 - 2014,0.92
,Katni,2006 - 2007,0.43
,,2007 - 2008,0.38
,,2008 - 2009,0.63
,,2009 - 2010,
,,2010 - 2011,0.32
,,2011 - 2012,0.5
,,2012 - 2013,1.0
,,2013 - 2014,0.67
,Khandwa,2006 - 2007,0.33
,,2007 - 2008,0.0
,,2008 - 2009,0.5
,,2009 - 2010,
,,2010 - 2011,0.0
,,2011 - 2012,0.6
,,2012 - 2013,0.5
,Mandla,2006 - 2007,0.54
,,2007 - 2008,0.43
,,2008 - 2009,0.52
,,2009 - 2010,
,,2010 - 2011,0.36
,,2011 - 2012,0.46
,,2012 - 2013,0.56
,,2013 - 2014,0.7
,Narsinghpur,2006 - 2007,1.31
,,2007 - 2008,0.88
,,2008 - 2009,1.07
,,2009 - 2010,
,,2010 - 2011,1.03
,,2011 - 2012,1.33
,,2012 - 2013,1.6
,,2013 - 2014,1.12
,Panna,2006 - 2007,0.5
,Raisen,2006 - 2007,1.25
,,2007 - 2008,0.99
,,2008 - 2009,1.2
,,2009 - 2010,
,,2010 - 2011,0.93
,,2011 - 2012,1.41
,,2012 - 2013,1.1
,,2013 - 2014,0.58
,Rewa,2006 - 2007,0.4
,,2007 - 2008,0.34
,,2008 - 2009,0.49
,,2009 - 2010,
,,2010 - 2011,0.32
,,2011 - 2012,0.43
,,2012 - 2013,0.54
,,2013 - 2014,0.38
,Sagar,2006 - 2007,0.56
,,2007 - 2008,0.44
,,2008 - 2009,0.59
,,2009 - 2010,
,,2010 - 2011,0.54
,,2011 - 2012,0.54
,,2012 - 2013,0.76
,,2013 - 2014,0.55
,Sehore,2006 - 2007,0.7
,,2007 - 2008,0.68
,,2008 - 2009,0.81
,,2009 - 2010,
,,2010 - 2011,1.07
,,2011 - 2012,1.72
,,2012 - 2013,1.1
,,2013 - 2014,0.75
,Seoni,2006 - 2007,0.67
,,2007 - 2008,0.53
,,2008 - 2009,0.7
,,2009 - 2010,
,,2010 - 2011,0.57
,,2011 - 2012,0.65
,,2012 - 2013,0.84
,,2013 - 2014,0.66
,Shahdol,2006 - 2007,0.45
,,2007 - 2008,0.34
,,2008 - 2009,0.43
,,2009 - 2010,
,,2010 - 2011,0.35
,,2011 - 2012,0.34
,,2012 - 2013,0.77
,,2013 - 2014,0.63
,Shivpuri,2008 - 2009,0.6
,,2013 - 2014,0.42
,Sidhi,2006 - 2007,0.4
,,2007 - 2008,0.29
,,2008 - 2009,0.42
,,2009 - 2010,
,,2010 - 2011,0.26
,,2011 - 2012,0.48
,,2012 - 2013,0.58
,,2013 - 2014,0.41
,Singrauli,2008 - 2009,0.43
,,2009 - 2010,
,,2010 - 2011,0.41
,,2011 - 2012,0.58
,,2012 - 2013,0.9
,,2013 - 2014,0.57
,Tikamgarh,2006 - 2007,0.49
,,2007 - 2008,0.33
,,2008 - 2009,0.7
,,2009 - 2010,
,,2010 - 2011,0.32
,,2011 - 2012,0.57
,,2012 - 2013,0.41
,Ujjain,2008 - 2009,0.5
,Umaria,2009 - 2010,
,,2010 - 2011,0.21
,,2013 - 2014,0.5
,Vidisha,2006 - 2007,0.89
,,2007 - 2008,0.48
,,2008 - 2009,0.82
,,2009 - 2010,
,,2010 - 2011,0.5
,,2011 - 2012,0.79
,,2012 - 2013,0.91
,,2013 - 2014,0.53
Tripura,Dhalai,2019 - 2020,0.75
,,2020 - 2021,1.0
,,2021 - 2022,0.5
,,2022 - 2023,1.0
,Gomati,2018 - 2019,0.71
,,2019 - 2020,0.67
,,2020 - 2021,0.67
,,2021 - 2022,0.75
,,2022 - 2023,1.0
,Khowai,2019 - 2020,0.75
,,2020 - 2021,0.6
,,2022 - 2023,1.0
,North tripura,2018 - 2019,0.63
,,2019 - 2020,0.6
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Sepahijala,2018 - 2019,0.63
,,2022 - 2023,1.0
,South tripura,2018 - 2019,0.64
,,2019 - 2020,0.67
,,2020 - 2021,0.75
,,2021 - 2022,0.75
,,2022 - 2023,1.0
,Unakoti,2018 - 2019,0.65
,,2019 - 2020,0.71
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,West tripura,2019 - 2020,0.65
West Bengal,paraganas north,2000 - 2001,1.02
,,2001 - 2002,0.8
,,2002 - 2003,1.37
,,2003 - 2004,1.53
,,2004 - 2005,1.0
,,2005 - 2006,0.84
,,2006 - 2007,0.89
,,2007 - 2008,0.97
,,2008 - 2009,1.28
,,2009 - 2010,1.36
,,2010 - 2011,0.81
,,2011 - 2012,0.68
,,2012 - 2013,1.22
,,2013 - 2014,1.29
,,2014 - 2015,0.99
,,2015 - 2016,0.73
,,2016 - 2017,1.01
,,2017 - 2018,0.94
,,2018 - 2019,0.64
,,2019 - 2020,0.45
,,2020 - 2021,1.4
,,2021 - 2022,1.22
,,2022 - 2023,1.46
,paraganas south,2000 - 2001,0.91
,,2001 - 2002,0.94
,,2002 - 2003,1.15
,,2003 - 2004,1.02
,,2004 - 2005,1.26
,,2005 - 2006,1.21
,,2006 - 2007,1.02
,,2007 - 2008,0.78
,,2008 - 2009,1.14
,,2009 - 2010,1.1
,,2010 - 2011,1.4
,,2011 - 2012,0.79
,,2012 - 2013,1.1
,,2013 - 2014,1.16
,,2014 - 2015,1.16
,,2015 - 2016,0.8
,,2016 - 2017,1.02
,,2017 - 2018,0.87
,,2018 - 2019,0.64
,,2019 - 2020,0.46
,,2020 - 2021,1.5
,,2021 - 2022,1.32
,,2022 - 2023,1.48
,Alipurduar,2016 - 2017,1.21
,,2017 - 2018,0.97
,,2018 - 2019,0.85
,,2019 - 2020,1.12
,,2020 - 2021,1.29
,,2021 - 2022,1.1
,,2022 - 2023,1.27
,Bankura,2000 - 2001,0.74
,,2001 - 2002,1.0
,,2002 - 2003,0.0
,,2003 - 2004,1.28
,,2005 - 2006,0.5
,,2006 - 2007,1.25
,,2007 - 2008,1.0
,,2016 - 2017,1.3
,,2017 - 2018,1.2
,,2018 - 2019,1.43
,,2019 - 2020,1.01
,,2020 - 2021,1.24
,,2021 - 2022,1.25
,,2022 - 2023,1.99
,Birbhum,2000 - 2001,1.21
,,2001 - 2002,1.05
,,2002 - 2003,0.96
,,2003 - 2004,0.89
,,2004 - 2005,1.25
,,2005 - 2006,1.1
,,2006 - 2007,1.19
,,2007 - 2008,0.73
,,2008 - 2009,1.07
,,2009 - 2010,0.08
,,2010 - 2011,1.3
,,2011 - 2012,1.28
,,2012 - 2013,1.52
,,2013 - 2014,1.42
,,2014 - 2015,1.97
,,2015 - 2016,1.16
,,2016 - 2017,0.98
,,2017 - 2018,0.97
,,2018 - 2019,0.88
,,2019 - 2020,1.12
,,2020 - 2021,1.24
,,2021 - 2022,1.01
,,2022 - 2023,1.01
,Coochbehar,2000 - 2001,1.07
,,2001 - 2002,0.39
,,2002 - 2003,0.72
,,2003 - 2004,0.81
,,2004 - 2005,0.55
,,2005 - 2006,0.36
,,2006 - 2007,0.72
,,2007 - 2008,0.44
,,2008 - 2009,0.89
,,2009 - 2010,1.13
,,2010 - 2011,1.07
,,2011 - 2012,1.07
,,2012 - 2013,0.63
,,2013 - 2014,1.05
,,2014 - 2015,0.96
,,2015 - 2016,0.74
,,2016 - 2017,1.21
,,2017 - 2018,0.97
,,2018 - 2019,0.85
,,2019 - 2020,1.12
,,2020 - 2021,1.29
,,2021 - 2022,1.1
,,2022 - 2023,1.27
,Darjeeling,2003 - 2004,0.89
,,2004 - 2005,0.5
,,2005 - 2006,0.65
,,2006 - 2007,0.78
,,2007 - 2008,0.81
,,2008 - 2009,0.67
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.17
,,2013 - 2014,0.92
,,2014 - 2015,1.0
,,2015 - 2016,0.8
,,2016 - 2017,1.21
,,2017 - 2018,0.96
,,2018 - 2019,0.85
,,2019 - 2020,1.13
,,2020 - 2021,1.29
,,2021 - 2022,1.1
,,2022 - 2023,1.27
,Dinajpur dakshin,2000 - 2001,1.1
,,2001 - 2002,0.59
,,2002 - 2003,1.05
,,2003 - 2004,0.89
,,2004 - 2005,0.41
,,2005 - 2006,0.6
,,2006 - 2007,0.14
,,2007 - 2008,0.8
,,2008 - 2009,0.21
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2013 - 2014,0.61
,,2015 - 2016,0.8
,,2016 - 2017,1.19
,,2017 - 2018,0.9
,,2018 - 2019,0.92
,,2019 - 2020,1.06
,,2020 - 2021,1.14
,,2021 - 2022,0.9
,,2022 - 2023,1.03
,Dinajpur uttar,2000 - 2001,1.0
,,2001 - 2002,0.79
,,2002 - 2003,0.93
,,2003 - 2004,0.4
,,2004 - 2005,0.51
,,2005 - 2006,0.62
,,2006 - 2007,0.77
,,2007 - 2008,0.55
,,2008 - 2009,0.05
,,2009 - 2010,0.71
,,2010 - 2011,0.81
,,2011 - 2012,1.0
,,2012 - 2013,1.18
,,2015 - 2016,0.8
,,2016 - 2017,1.2
,,2017 - 2018,0.9
,,2018 - 2019,0.92
,,2019 - 2020,1.06
,,2020 - 2021,1.15
,,2021 - 2022,0.9
,,2022 - 2023,1.03
,Hooghly,2000 - 2001,0.48
,,2004 - 2005,1.25
,,2006 - 2007,1.24
,,2016 - 2017,1.0
,,2017 - 2018,0.97
,,2018 - 2019,0.81
,,2019 - 2020,1.12
,,2020 - 2021,0.51
,,2021 - 2022,1.04
,,2022 - 2023,1.07
,Howrah,2000 - 2001,1.14
,,2001 - 2002,1.11
,,2002 - 2003,1.07
,,2003 - 2004,1.06
,,2004 - 2005,0.84
,,2005 - 2006,0.81
,,2006 - 2007,0.77
,,2007 - 2008,0.86
,,2008 - 2009,0.95
,,2009 - 2010,1.05
,,2010 - 2011,1.11
,,2011 - 2012,0.38
,,2012 - 2013,1.53
,,2013 - 2014,1.55
,,2014 - 2015,0.86
,,2015 - 2016,0.98
,,2016 - 2017,1.01
,,2017 - 2018,1.19
,,2018 - 2019,0.62
,,2019 - 2020,0.43
,,2020 - 2021,0.79
,,2021 - 2022,0.82
,,2022 - 2023,1.23
,Jalpaiguri,2000 - 2001,1.14
,,2001 - 2002,0.95
,,2002 - 2003,0.87
,,2003 - 2004,0.7
,,2004 - 2005,0.66
,,2005 - 2006,0.84
,,2006 - 2007,0.73
,,2007 - 2008,0.76
,,2008 - 2009,0.7
,,2009 - 2010,0.41
,,2010 - 2011,0.93
,,2011 - 2012,0.71
,,2012 - 2013,0.92
,,2013 - 2014,0.86
,,2014 - 2015,0.88
,,2015 - 2016,0.9
,,2016 - 2017,1.08
,,2017 - 2018,0.97
,,2018 - 2019,0.85
,,2019 - 2020,1.12
,,2020 - 2021,1.29
,,2021 - 2022,1.1
,,2022 - 2023,1.27
,Jhargram,2016 - 2017,1.43
,,2017 - 2018,1.15
,,2018 - 2019,0.81
,,2019 - 2020,1.1
,,2020 - 2021,1.25
,,2021 - 2022,1.1
,,2022 - 2023,1.26
,Maldah,2000 - 2001,1.08
,,2001 - 2002,0.39
,,2002 - 2003,0.77
,,2003 - 2004,0.9
,,2004 - 2005,0.53
,,2005 - 2006,0.93
,,2006 - 2007,1.01
,,2007 - 2008,1.14
,,2008 - 2009,1.0
,,2009 - 2010,1.3
,,2010 - 2011,1.12
,,2011 - 2012,1.12
,,2012 - 2013,1.45
,,2013 - 2014,1.17
,,2014 - 2015,1.17
,,2015 - 2016,0.99
,,2016 - 2017,1.23
,,2017 - 2018,1.06
,,2018 - 2019,1.19
,,2019 - 2020,1.45
,,2020 - 2021,1.24
,,2021 - 2022,1.52
,,2022 - 2023,1.32
,Medinipur east,2001 - 2002,1.29
,,2002 - 2003,1.54
,,2003 - 2004,1.57
,,2004 - 2005,1.27
,,2005 - 2006,1.11
,,2006 - 2007,1.23
,,2007 - 2008,0.78
,,2008 - 2009,0.07
,,2009 - 2010,0.08
,,2010 - 2011,1.37
,,2011 - 2012,1.37
,,2012 - 2013,1.69
,,2013 - 2014,1.5
,,2014 - 2015,1.71
,,2015 - 2016,1.17
,,2016 - 2017,1.44
,,2017 - 2018,1.21
,,2018 - 2019,0.69
,,2019 - 2020,0.99
,,2020 - 2021,1.2
,,2021 - 2022,0.99
,,2022 - 2023,1.13
,Medinipur west,2000 - 2001,1.33
,,2001 - 2002,1.38
,,2002 - 2003,0.81
,,2003 - 2004,1.12
,,2004 - 2005,0.91
,,2005 - 2006,0.87
,,2006 - 2007,0.57
,,2007 - 2008,0.66
,,2008 - 2009,0.07
,,2009 - 2010,0.08
,,2010 - 2011,1.3
,,2011 - 2012,1.27
,,2012 - 2013,1.52
,,2013 - 2014,1.54
,,2014 - 2015,1.97
,,2015 - 2016,1.16
,,2016 - 2017,1.43
,,2017 - 2018,1.14
,,2018 - 2019,0.81
,,2019 - 2020,1.1
,,2020 - 2021,1.25
,,2021 - 2022,1.1
,,2022 - 2023,0.82
,Murshidabad,2000 - 2001,1.02
,,2001 - 2002,0.83
,,2002 - 2003,0.44
,,2003 - 2004,1.3
,,2004 - 2005,0.81
,,2005 - 2006,0.76
,,2006 - 2007,0.66
,,2007 - 2008,0.8
,,2008 - 2009,0.83
,,2009 - 2010,0.97
,,2010 - 2011,0.96
,,2011 - 2012,0.91
,,2012 - 2013,0.94
,,2013 - 2014,1.13
,,2014 - 2015,0.89
,,2015 - 2016,0.66
,,2016 - 2017,1.2
,,2017 - 2018,0.9
,,2018 - 2019,0.85
,,2019 - 2020,0.98
,,2020 - 2021,1.11
,,2021 - 2022,0.8
,,2022 - 2023,0.99
,Nadia,2000 - 2001,0.67
,,2001 - 2002,0.44
,,2002 - 2003,0.79
,,2003 - 2004,0.82
,,2004 - 2005,0.75
,,2005 - 2006,0.77
,,2006 - 2007,0.72
,,2007 - 2008,0.83
,,2008 - 2009,0.72
,,2009 - 2010,0.89
,,2010 - 2011,1.07
,,2011 - 2012,0.83
,,2012 - 2013,1.01
,,2013 - 2014,0.8
,,2014 - 2015,0.99
,,2015 - 2016,0.73
,,2016 - 2017,0.98
,,2017 - 2018,0.93
,,2018 - 2019,0.64
,,2019 - 2020,0.46
,,2020 - 2021,1.4
,,2021 - 2022,0.62
,,2022 - 2023,0.97
,Paschim bardhaman,2016 - 2017,1.0
,,2017 - 2018,0.97
,,2018 - 2019,0.92
,,2019 - 2020,1.12
,,2020 - 2021,1.24
,,2021 - 2022,1.03
,,2022 - 2023,1.07
,Purba bardhaman,2000 - 2001,1.21
,,2001 - 2002,0.53
,,2002 - 2003,0.89
,,2003 - 2004,0.87
,,2004 - 2005,1.25
,,2005 - 2006,0.92
,,2006 - 2007,0.42
,,2007 - 2008,0.21
,,2008 - 2009,0.26
,,2009 - 2010,0.65
,,2010 - 2011,1.3
,,2011 - 2012,1.28
,,2012 - 2013,1.5
,,2013 - 2014,0.9
,,2014 - 2015,0.92
,,2015 - 2016,1.16
,,2016 - 2017,0.99
,,2017 - 2018,0.97
,,2018 - 2019,0.82
,,2019 - 2020,1.12
,,2020 - 2021,1.24
,,2021 - 2022,1.03
,,2022 - 2023,1.45
,Purulia,2000 - 2001,0.91
,,2001 - 2002,0.74
,,2002 - 2003,0.44
,,2003 - 2004,0.57
,,2004 - 2005,0.51
,,2005 - 2006,0.38
,,2006 - 2007,0.33
,,2007 - 2008,0.42
,,2008 - 2009,0.0
,,2009 - 2010,0.38
,,2010 - 2011,1.32
,,2012 - 2013,1.15
,,2013 - 2014,0.86
,,2014 - 2015,0.86
,,2015 - 2016,0.73
,,2016 - 2017,1.13
,,2017 - 2018,0.83
,,2018 - 2019,1.03
,,2019 - 2020,1.55
,,2020 - 2021,1.01
,,2021 - 2022,1.17
,,2022 - 2023,1.44
