state,district,year,khesari_rabi_yield_tonne_per_hectare
,,2018 - 2019,0.54
,,2019 - 2020,0.69
,,2020 - 2021,0.85
,,2021 - 2022,1.37
,,2022 - 2023,0.87
,Madhubani,2000 - 2001,0.98
,,2001 - 2002,0.52
,,2002 - 2003,0.58
,,2003 - 2004,0.48
,,2004 - 2005,0.65
,,2005 - 2006,0.59
,,2006 - 2007,0.58
,,2007 - 2008,0.58
,,2008 - 2009,0.82
,,2009 - 2010,1.04
,,2010 - 2011,0.98
,,2011 - 2012,1.26
,,2012 - 2013,1.18
,,2013 - 2014,1.12
,,2014 - 2015,0.99
,,2015 - 2016,0.87
,,2016 - 2017,1.06
,,2017 - 2018,1.13
,,2018 - 2019,0.89
,,2019 - 2020,0.76
,,2020 - 2021,1.08
,,2021 - 2022,1.04
,,2022 - 2023,1.09
,Munger,2000 - 2001,0.95
,,2001 - 2002,0.75
,,2002 - 2003,0.88
,,2003 - 2004,1.0
,,2004 - 2005,0.5
,,2005 - 2006,1.21
,,2006 - 2007,1.24
,,2007 - 2008,0.96
,,2008 - 2009,0.97
,,2009 - 2010,1.0
,,2010 - 2011,0.78
,,2011 - 2012,0.92
,,2012 - 2013,1.4
,,2013 - 2014,1.49
,,2014 - 2015,0.67
,,2015 - 2016,1.12
,,2016 - 2017,1.13
,,2017 - 2018,1.13
,,2018 - 2019,1.05
,,2019 - 2020,0.76
,,2020 - 2021,1.0
,,2021 - 2022,0.86
,,2022 - 2023,1.24
,Muzaffarpur,2000 - 2001,0.61
,,2001 - 2002,0.82
,,2002 - 2003,0.61
,,2003 - 2004,0.84
,,2004 - 2005,0.52
,,2005 - 2006,0.48
,,2006 - 2007,0.79
,,2007 - 2008,0.84
,,2008 - 2009,0.82
,,2009 - 2010,1.04
,,2010 - 2011,0.98
,,2011 - 2012,0.76
,,2014 - 2015,0.99
,,2015 - 2016,0.93
,,2016 - 2017,0.54
,,2017 - 2018,0.44
,,2018 - 2019,0.64
,,2019 - 2020,0.83
,,2020 - 2021,0.86
,,2021 - 2022,1.31
,,2022 - 2023,0.56
,Nalanda,2000 - 2001,0.91
,,2001 - 2002,0.37
,,2002 - 2003,0.68
,,2003 - 2004,1.13
,,2004 - 2005,0.5
,,2005 - 2006,0.57
,,2006 - 2007,0.73
,,2007 - 2008,1.01
,,2008 - 2009,0.81
,,2009 - 2010,1.19
,,2010 - 2011,1.17
,,2011 - 2012,1.77
,,2012 - 2013,1.04
,,2013 - 2014,0.86
,,2014 - 2015,1.01
,,2015 - 2016,0.74
,,2016 - 2017,1.04
,,2017 - 2018,1.01
,,2018 - 2019,1.13
,,2019 - 2020,0.74
,,2020 - 2021,1.08
,,2021 - 2022,0.81
,,2022 - 2023,1.22
,Nawada,2000 - 2001,0.87
,,2001 - 2002,0.77
,,2002 - 2003,0.72
,,2003 - 2004,0.93
,,2004 - 2005,0.61
,,2005 - 2006,0.6
,,2006 - 2007,0.84
,,2007 - 2008,0.76
,,2008 - 2009,0.66
,,2009 - 2010,0.72
,,2010 - 2011,0.85
,,2011 - 2012,1.06
,,2012 - 2013,1.14
,,2013 - 2014,0.79
,,2014 - 2015,0.94
,,2015 - 2016,0.78
,,2016 - 2017,0.81
,,2017 - 2018,1.15
,,2018 - 2019,0.78
,,2019 - 2020,0.81
,,2020 - 2021,0.84
,,2021 - 2022,0.95
,,2022 - 2023,1.0
,Pashchim champaran,2000 - 2001,0.61
,,2001 - 2002,0.82
,,2002 - 2003,0.61
,,2003 - 2004,0.85
,,2004 - 2005,0.52
,,2005 - 2006,0.48
,,2006 - 2007,0.79
,,2007 - 2008,0.84
,,2008 - 2009,0.82
,,2009 - 2010,1.03
,,2010 - 2011,0.98
,,2011 - 2012,0.76
,,2012 - 2013,0.79
,,2013 - 2014,1.12
,,2014 - 2015,0.99
,,2015 - 2016,0.93
,,2016 - 2017,0.55
,,2017 - 2018,0.44
,,2018 - 2019,0.67
,,2019 - 2020,0.83
,,2020 - 2021,0.86
,Patna,2000 - 2001,1.36
,,2001 - 2002,0.98
,,2002 - 2003,1.27
,,2003 - 2004,1.25
,,2004 - 2005,1.07
,,2005 - 2006,1.19
,,2006 - 2007,0.75
,,2007 - 2008,1.01
,,2008 - 2009,0.91
,,2009 - 2010,1.25
,,2010 - 2011,1.43
,,2011 - 2012,2.08
,,2012 - 2013,1.31
,,2013 - 2014,1.77
,,2014 - 2015,1.65
,,2015 - 2016,1.16
,,2016 - 2017,1.37
,,2017 - 2018,1.45
,,2018 - 2019,1.65
,,2019 - 2020,0.86
,,2020 - 2021,1.14
,,2021 - 2022,1.14
,,2022 - 2023,1.11
,Purbi champaran,2000 - 2001,0.61
,,2001 - 2002,0.82
,,2003 - 2004,0.84
,,2004 - 2005,0.52
,,2005 - 2006,0.48
,,2006 - 2007,0.79
,,2007 - 2008,0.84
,,2008 - 2009,0.82
,,2009 - 2010,1.04
,,2010 - 2011,0.98
,,2011 - 2012,0.76
,,2012 - 2013,0.78
,,2013 - 2014,1.12
,,2014 - 2015,0.99
,,2015 - 2016,0.93
,,2016 - 2017,0.54
,,2017 - 2018,0.44
,,2018 - 2019,0.64
,,2019 - 2020,0.83
,,2020 - 2021,0.86
,,2021 - 2022,1.31
,,2022 - 2023,0.84
,Purnia,2000 - 2001,0.79
,,2001 - 2002,0.47
,,2002 - 2003,0.46
,,2003 - 2004,0.5
,,2004 - 2005,0.31
,,2005 - 2006,0.62
,,2006 - 2007,0.56
,,2007 - 2008,0.67
,,2008 - 2009,0.72
,,2009 - 2010,1.04
,,2010 - 2011,0.98
,,2011 - 2012,1.26
,,2012 - 2013,1.18
,,2013 - 2014,0.88
,,2014 - 2015,0.99
,,2015 - 2016,0.94
,,2016 - 2017,1.06
,,2017 - 2018,1.06
,Rohtas,2000 - 2001,0.76
,,2001 - 2002,0.86
,,2002 - 2003,0.78
,,2003 - 2004,0.6
,,2004 - 2005,0.97
,,2005 - 2006,0.85
,,2006 - 2007,0.72
,,2007 - 2008,0.99
,,2008 - 2009,0.95
,,2009 - 2010,1.65
,,2010 - 2011,1.32
,,2011 - 2012,1.62
,,2012 - 2013,1.37
,,2013 - 2014,1.43
,,2014 - 2015,1.24
,,2015 - 2016,1.58
,,2016 - 2017,1.81
,,2017 - 2018,0.77
,,2018 - 2019,0.95
,,2019 - 2020,0.67
,,2020 - 2021,0.52
,,2021 - 2022,0.71
,,2022 - 2023,1.08
,Saharsa,2000 - 2001,1.0
,,2001 - 2002,0.7
,,2002 - 2003,0.47
,,2003 - 2004,0.72
,,2004 - 2005,0.49
,,2005 - 2006,0.48
,,2006 - 2007,0.63
,,2007 - 2008,0.64
,,2008 - 2009,0.95
,,2009 - 2010,0.61
,,2010 - 2011,0.34
,,2011 - 2012,0.59
,,2012 - 2013,0.68
,,2014 - 2015,0.66
,,2015 - 2016,0.89
,,2016 - 2017,1.06
,,2017 - 2018,0.2
,,2018 - 2019,0.54
,,2019 - 2020,0.98
,,2020 - 2021,0.85
,,2021 - 2022,1.37
,,2022 - 2023,1.07
,Samastipur,2000 - 2001,0.86
,,2001 - 2002,0.52
,,2002 - 2003,0.58
,,2003 - 2004,0.48
,,2004 - 2005,0.65
,,2005 - 2006,0.59
,,2006 - 2007,0.58
,,2007 - 2008,0.58
,,2008 - 2009,0.82
,,2009 - 2010,1.03
,,2010 - 2011,0.98
,,2011 - 2012,1.26
,,2012 - 2013,1.18
,,2013 - 2014,1.12
,,2014 - 2015,0.99
,,2015 - 2016,0.94
,,2016 - 2017,1.06
