state,district,year,ragi_rabi_yield_tonne_per_hectare
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
Goa,North goa,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,South goa,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
Gujarat,Banas kantha,2012 - 2013,
,Bharuch,2006 - 2007,
,Dang,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahesana,2015 - 2016,
,Navsari,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Panch mahals,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2019 - 2020,
,,2020 - 2021,
,Surat,2000 - 2001,
,,2001 - 2002,
,Vadodara,2011 - 2012,
,,2012 - 2013,
,Valsad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Himachal Pradesh,Bilaspur,2007 - 2008,
,,2018 - 2019,
,,2019 - 2020,
,Chamba,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Hamirpur,2005 - 2006,
,,2006 - 2007,
,Kangra,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kinnaur,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Kullu,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mandi,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Shimla,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sirmaur,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Solan,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Jammu and Kashmir,Bandipora,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Kargil,2017 - 2018,0.74
,,2018 - 2019,0.74
,Kishtwar,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Leh ladakh,2017 - 2018,0.4
,,2018 - 2019,0.4
,Udhampur,2017 - 2018,
Jharkhand,Bokaro,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chatra,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Deoghar,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2014 - 2015,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dhanbad,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dumka,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East singhbum,2006 - 2007,
,,2008 - 2009,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Garhwa,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2021 - 2022,
,Giridih,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Godda,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gumla,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hazaribagh,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jamtara,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2021 - 2022,
,,2022 - 2023,
,Khunti,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Koderma,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Latehar,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lohardaga,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pakur,2006 - 2007,
,,2012 - 2013,
,Palamu,2002 - 2003,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Ramgarh,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ranchi,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sahebganj,2006 - 2007,
,,2007 - 2008,
,,2011 - 2012,
,,2021 - 2022,
,Saraikela kharsawan,2006 - 2007,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Simdega,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West singhbhum,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Karnataka,Bagalkot,2018 - 2019,
,,2019 - 2020,1.42
,,2020 - 2021,1.54
,,2021 - 2022,1.36
,,2022 - 2023,
,Bangalore rural,2000 - 2001,1.55
,,2001 - 2002,1.37
,,2002 - 2003,1.57
,,2003 - 2004,0.92
,,2004 - 2005,1.64
,,2005 - 2006,2.91
,,2006 - 2007,2.0
,,2007 - 2008,2.17
,,2008 - 2009,2.09
,,2009 - 2010,2.34
,,2010 - 2011,2.07
,,2011 - 2012,2.01
,,2012 - 2013,1.44
,,2013 - 2014,1.46
,,2014 - 2015,1.62
,,2015 - 2016,1.68
,,2016 - 2017,1.04
,,2017 - 2018,1.6
,,2018 - 2019,1.39
,,2019 - 2020,1.42
,,2020 - 2021,1.54
,,2021 - 2022,1.35
,,2022 - 2023,1.36
,Belgaum,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.45
,,2014 - 2015,1.62
,,2015 - 2016,1.69
,,2016 - 2017,1.04
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.42
,,2020 - 2021,1.54
,,2021 - 2022,1.34
,,2022 - 2023,1.36
,Bellary,2000 - 2001,
,,2001 - 2002,1.1
,,2002 - 2003,1.6
,,2003 - 2004,0.14
,,2004 - 2005,1.63
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,1.46
,,2009 - 2010,1.4
,,2010 - 2011,
,,2011 - 2012,1.85
,,2012 - 2013,1.5
,,2013 - 2014,1.46
,,2014 - 2015,1.63
,,2015 - 2016,1.7
,,2016 - 2017,1.04
,,2017 - 2018,1.6
,,2018 - 2019,1.56
,,2019 - 2020,1.36
,,2020 - 2021,1.74
,,2021 - 2022,1.47
,,2022 - 2023,1.36
,Bengaluru urban,2000 - 2001,1.55
,,2001 - 2002,1.37
,,2002 - 2003,1.57
,,2003 - 2004,0.92
,,2004 - 2005,1.65
,,2005 - 2006,2.91
,,2006 - 2007,1.99
,,2007 - 2008,2.16
,,2008 - 2009,2.09
,,2009 - 2010,2.34
,,2010 - 2011,2.08
,,2011 - 2012,2.01
,,2012 - 2013,1.44
,,2013 - 2014,1.46
,,2014 - 2015,1.62
,,2015 - 2016,1.68
,,2016 - 2017,1.04
,,2017 - 2018,1.6
,,2018 - 2019,1.4
,,2019 - 2020,1.42
,,2020 - 2021,1.54
,,2021 - 2022,1.35
,,2022 - 2023,1.36
,Bidar,2018 - 2019,
,,2019 - 2020,1.42
,,2020 - 2021,1.52
,,2021 - 2022,1.29
,,2022 - 2023,
,Bijapur,2018 - 2019,
,,2019 - 2020,1.42
,,2020 - 2021,1.54
,,2021 - 2022,1.35
,,2022 - 2023,1.36
,Chamarajanagar,2000 - 2001,1.55
,,2001 - 2002,1.17
,,2002 - 2003,1.57
,,2003 - 2004,0.78
,,2004 - 2005,1.67
,,2005 - 2006,2.76
,,2006 - 2007,1.45
,,2007 - 2008,1.6
,,2008 - 2009,1.25
,,2009 - 2010,1.59
,,2010 - 2011,0.93
,,2011 - 2012,1.71
,,2012 - 2013,2.0
,,2013 - 2014,1.89
,,2014 - 2015,1.73
,,2015 - 2016,1.69
,,2016 - 2017,1.33
,,2017 - 2018,2.96
,,2018 - 2019,1.39
,,2019 - 2020,1.42
,,2020 - 2021,1.55
,,2021 - 2022,1.35
,,2022 - 2023,1.36
,Chikballapur,2007 - 2008,2.16
,,2008 - 2009,2.08
,,2009 - 2010,2.34
,,2010 - 2011,2.07
,,2011 - 2012,2.0
,,2012 - 2013,1.44
,,2013 - 2014,1.47
,,2014 - 2015,1.62
,,2015 - 2016,1.7
,,2016 - 2017,1.04
,,2017 - 2018,1.6
,,2018 - 2019,1.38
,,2019 - 2020,1.42
,,2020 - 2021,1.54
,,2021 - 2022,1.35
,,2022 - 2023,1.36
,Chikmagalur,2000 - 2001,
,,2001 - 2002,1.12
,,2002 - 2003,0.56
,,2003 - 2004,0.09
,,2004 - 2005,1.65
,,2005 - 2006,2.89
,,2006 - 2007,2.0
,,2007 - 2008,2.18
,,2008 - 2009,1.22
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.42
,,2020 - 2021,1.54
,,2021 - 2022,1.35
,,2022 - 2023,1.36
,Chitradurga,2000 - 2001,1.55
,,2001 - 2002,1.37
,,2002 - 2003,1.13
,,2003 - 2004,0.92
,,2004 - 2005,1.65
,,2005 - 2006,2.9
,,2006 - 2007,1.25
,,2007 - 2008,1.8
,,2008 - 2009,1.29
,,2009 - 2010,1.74
,,2010 - 2011,1.77
,,2011 - 2012,1.48
,,2012 - 2013,1.29
,,2013 - 2014,1.61
,,2014 - 2015,1.53
,,2015 - 2016,2.07
,,2016 - 2017,2.37
,,2017 - 2018,2.12
,,2018 - 2019,1.33
,,2019 - 2020,1.73
,,2020 - 2021,1.45
,,2021 - 2022,1.8
,,2022 - 2023,1.41
,Davangere,2000 - 2001,1.4
,,2001 - 2002,
,,2002 - 2003,1.57
,,2003 - 2004,0.72
,,2004 - 2005,1.65
,,2005 - 2006,2.9
,,2006 - 2007,1.29
,,2007 - 2008,0.98
,,2008 - 2009,1.73
,,2009 - 2010,0.92
,,2010 - 2011,1.19
,,2011 - 2012,1.16
,,2012 - 2013,1.0
,,2013 - 2014,1.78
,,2014 - 2015,1.48
,,2015 - 2016,1.15
,,2016 - 2017,1.5
,,2017 - 2018,1.33
,,2018 - 2019,1.2
,,2019 - 2020,1.06
,,2020 - 2021,1.2
,,2021 - 2022,1.3
,,2022 - 2023,1.34
,Dharwad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,1.41
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,1.5
,,2019 - 2020,1.41
,,2020 - 2021,1.54
,,2021 - 2022,1.34
,,2022 - 2023,1.25
,Gadag,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,1.41
,,2020 - 2021,1.56
,,2021 - 2022,1.36
,,2022 - 2023,1.32
,Gulbarga,2000 - 2001,
,,2005 - 2006,
,,2018 - 2019,
,,2019 - 2020,1.41
,,2020 - 2021,1.54
,,2021 - 2022,1.36
,,2022 - 2023,1.35
,Hassan,2000 - 2001,0.58
,,2001 - 2002,0.91
,,2002 - 2003,0.43
,,2003 - 2004,0.06
,,2004 - 2005,0.44
,,2005 - 2006,1.2
,,2006 - 2007,0.82
,,2007 - 2008,1.11
,,2008 - 2009,1.05
,,2009 - 2010,1.33
,,2010 - 2011,1.45
,,2011 - 2012,1.33
,,2012 - 2013,0.63
,,2013 - 2014,1.04
,,2014 - 2015,1.28
,,2015 - 2016,1.22
,,2016 - 2017,0.14
,,2017 - 2018,1.22
,,2018 - 2019,0.78
,,2019 - 2020,1.08
,,2020 - 2021,1.13
,,2021 - 2022,0.99
,,2022 - 2023,0.77
,Haveri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.73
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,1.44
,,2019 - 2020,1.42
,,2020 - 2021,1.54
,,2021 - 2022,1.35
,,2022 - 2023,1.34
,Kodagu,2000 - 2001,0.77
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.49
,,2005 - 2006,1.69
,,2006 - 2007,1.76
,,2007 - 2008,1.5
,,2008 - 2009,1.18
,,2009 - 2010,1.4
,,2010 - 2011,1.6
,,2011 - 2012,1.65
,,2012 - 2013,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kolar,2000 - 2001,1.56
,,2001 - 2002,1.33
,,2002 - 2003,1.57
,,2003 - 2004,0.92
,,2004 - 2005,1.91
,,2005 - 2006,2.9
,,2006 - 2007,2.0
,,2007 - 2008,2.16
,,2008 - 2009,2.09
,,2009 - 2010,2.35
,,2010 - 2011,2.07
,,2011 - 2012,2.01
,,2012 - 2013,1.45
,,2013 - 2014,1.46
,,2014 - 2015,1.63
,,2015 - 2016,1.7
,,2016 - 2017,
,,2017 - 2018,1.61
,,2018 - 2019,1.41
,,2019 - 2020,1.42
,,2020 - 2021,
,,2021 - 2022,1.35
,,2022 - 2023,1.36
,Koppal,2018 - 2019,
,,2019 - 2020,1.43
,,2020 - 2021,1.54
,,2021 - 2022,1.38
,,2022 - 2023,1.38
,Mandya,2000 - 2001,1.55
,,2001 - 2002,1.2
,,2002 - 2003,1.36
,,2003 - 2004,0.9
,,2004 - 2005,1.25
,,2005 - 2006,2.53
,,2006 - 2007,2.46
,,2007 - 2008,2.17
,,2008 - 2009,2.14
,,2009 - 2010,2.19
,,2010 - 2011,2.04
,,2011 - 2012,1.96
,,2012 - 2013,1.66
,,2013 - 2014,1.97
,,2014 - 2015,2.07
,,2015 - 2016,1.76
,,2016 - 2017,1.39
,,2017 - 2018,1.8
,,2018 - 2019,1.82
,,2019 - 2020,1.6
,,2020 - 2021,1.7
,,2021 - 2022,1.42
,,2022 - 2023,1.86
,Mysore,2000 - 2001,1.13
,,2001 - 2002,1.38
,,2002 - 2003,0.86
,,2003 - 2004,0.26
,,2004 - 2005,0.76
,,2005 - 2006,2.39
,,2006 - 2007,1.34
,,2007 - 2008,1.99
,,2008 - 2009,1.78
,,2009 - 2010,1.68
,,2010 - 2011,1.66
,,2011 - 2012,1.55
,,2012 - 2013,1.77
,,2013 - 2014,1.46
,,2014 - 2015,1.74
,,2015 - 2016,1.83
,,2016 - 2017,0.64
,,2017 - 2018,1.46
,,2018 - 2019,1.53
,,2019 - 2020,1.42
,,2020 - 2021,1.54
,,2021 - 2022,1.31
,,2022 - 2023,1.41
,Raichur,2018 - 2019,
,,2019 - 2020,1.42
,,2020 - 2021,1.54
,,2021 - 2022,1.34
,,2022 - 2023,1.37
,Ramanagara,2007 - 2008,2.15
,,2008 - 2009,2.09
,,2009 - 2010,2.36
,,2010 - 2011,2.07
,,2011 - 2012,2.0
,,2012 - 2013,1.0
,,2013 - 2014,1.5
,,2014 - 2015,1.64
,,2015 - 2016,1.69
,,2016 - 2017,1.0
,,2017 - 2018,1.59
,,2018 - 2019,1.39
,,2019 - 2020,1.42
,,2020 - 2021,1.54
,,2021 - 2022,1.35
,,2022 - 2023,1.36
,Shimoga,2000 - 2001,2.0
,,2001 - 2002,1.0
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.0
,,2012 - 2013,1.5
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.0
,,2017 - 2018,1.5
,,2018 - 2019,1.33
,,2019 - 2020,1.43
,,2020 - 2021,1.53
,,2021 - 2022,1.0
,,2022 - 2023,1.5
,Tumkur,2000 - 2001,1.05
,,2001 - 2002,1.25
,,2002 - 2003,0.58
,,2003 - 2004,0.27
,,2004 - 2005,0.9
,,2005 - 2006,2.73
,,2006 - 2007,1.65
,,2007 - 2008,2.0
,,2008 - 2009,2.04
,,2009 - 2010,1.7
,,2010 - 2011,1.99
,,2011 - 2012,1.55
,,2012 - 2013,1.44
,,2013 - 2014,1.46
,,2014 - 2015,1.62
,,2015 - 2016,1.69
,,2016 - 2017,1.03
,,2017 - 2018,1.6
,,2018 - 2019,1.39
,,2019 - 2020,1.42
,,2020 - 2021,1.54
,,2021 - 2022,1.32
,,2022 - 2023,1.25
,Udupi,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,1.0
,Uttar kannad,2000 - 2001,1.77
,,2001 - 2002,1.19
,,2002 - 2003,1.5
,,2003 - 2004,1.0
,,2004 - 2005,0.83
,,2005 - 2006,1.7
,,2006 - 2007,1.0
,,2007 - 2008,1.86
,,2008 - 2009,1.5
,,2009 - 2010,
,,2010 - 2011,1.75
,,2011 - 2012,1.75
,,2012 - 2013,1.5
,,2013 - 2014,1.0
,,2014 - 2015,2.0
,,2015 - 2016,
,,2018 - 2019,1.33
,,2019 - 2020,1.4
,,2020 - 2021,1.5
,,2021 - 2022,1.33
,,2022 - 2023,1.5
,Vijayanagar,2022 - 2023,1.37
,Yadgir,2018 - 2019,
,,2019 - 2020,1.43
,,2020 - 2021,1.6
,,2021 - 2022,1.34
,,2022 - 2023,1.33
Kerala,Alappuzha,2007 - 2008,
,,2020 - 2021,
,Ernakulam,2004 - 2005,
,,2006 - 2007,
,Idukki,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kannur,2022 - 2023,
,Kasaragod,2008 - 2009,
,,2009 - 2010,
,,2020 - 2021,
,Kollam,2008 - 2009,
,Malappuram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2007 - 2008,
,,2012 - 2013,
,Palakkad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
