state,district,year,ragi_kharif_yield_tonne_per_hectare
,,2010 - 2011,0.22
,,2011 - 2012,0.24
,,2012 - 2013,0.25
,,2013 - 2014,0.26
,,2014 - 2015,0.25
,,2015 - 2016,0.15
,,2016 - 2017,0.18
,,2017 - 2018,0.17
,,2018 - 2019,0.18
,,2019 - 2020,0.15
,,2020 - 2021,0.14
,,2021 - 2022,0.25
,,2022 - 2023,0.25
,Kanker,2000 - 2001,0.23
,,2001 - 2002,0.32
,,2002 - 2003,0.14
,,2003 - 2004,0.32
,,2004 - 2005,0.27
,,2006 - 2007,0.27
,,2007 - 2008,0.3
,,2008 - 2009,0.3
,,2009 - 2010,0.3
,,2010 - 2011,0.27
,,2011 - 2012,0.19
,,2012 - 2013,0.29
,,2013 - 2014,0.25
,,2014 - 2015,0.19
,,2015 - 2016,0.14
,,2016 - 2017,0.18
,,2017 - 2018,0.15
,,2018 - 2019,0.16
,,2019 - 2020,0.13
,,2020 - 2021,0.32
,,2021 - 2022,0.33
,,2022 - 2023,0.35
,Khairgarh chhuikhadan gandai,2022 - 2023,0.25
,Kondagaon,2011 - 2012,0.27
,,2012 - 2013,0.3
,,2013 - 2014,0.25
,,2014 - 2015,0.29
,,2015 - 2016,0.26
,,2016 - 2017,0.34
,,2017 - 2018,0.32
,,2018 - 2019,0.34
,,2019 - 2020,0.37
,,2020 - 2021,0.41
,,2021 - 2022,0.41
,,2022 - 2023,0.41
,Korba,2021 - 2022,0.33
,,2022 - 2023,0.33
,Korea,2000 - 2001,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.21
,,2008 - 2009,0.17
,,2009 - 2010,0.0
,,2010 - 2011,0.33
,,2011 - 2012,0.33
,,2012 - 2013,0.33
,,2013 - 2014,0.33
,,2014 - 2015,0.0
,,2015 - 2016,0.13
,,2016 - 2017,0.0
,,2017 - 2018,0.2
,,2020 - 2021,0.0
,,2021 - 2022,0.24
,,2022 - 2023,0.17
,Mahasamund,2000 - 2001,0.17
,,2001 - 2002,0.33
,,2002 - 2003,0.33
,,2003 - 2004,0.26
,,2004 - 2005,0.33
,,2006 - 2007,0.5
,,2022 - 2023,0.19
,Manendragarh chirimiri bharatpur,2022 - 2023,0.15
,Mohla manpur ambagarh chouki,2022 - 2023,0.2
,Mungeli,2019 - 2020,0.25
,Narayanpur,2006 - 2007,0.0
,,2007 - 2008,0.27
,,2008 - 2009,0.33
,,2009 - 2010,0.27
,,2010 - 2011,0.28
,,2011 - 2012,0.27
,,2012 - 2013,0.2
,,2013 - 2014,0.25
,,2014 - 2015,0.29
,,2015 - 2016,0.13
,,2016 - 2017,0.19
,,2017 - 2018,0.21
,,2018 - 2019,0.21
,,2019 - 2020,0.29
,,2020 - 2021,0.22
,,2021 - 2022,0.2
,,2022 - 2023,0.18
,Raigarh,2000 - 2001,0.21
,,2001 - 2002,0.21
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2020 - 2021,0.23
,,2021 - 2022,0.17
,,2022 - 2023,0.2
,Raipur,2000 - 2001,0.25
,,2001 - 2002,0.27
,,2002 - 2003,0.27
,,2003 - 2004,0.27
,,2004 - 2005,0.28
,,2006 - 2007,0.28
,,2007 - 2008,0.27
,,2008 - 2009,0.33
,,2009 - 2010,0.0
,,2010 - 2011,0.36
,,2020 - 2021,0.5
,,2022 - 2023,0.23
,Rajnandgaon,2000 - 2001,0.31
,,2001 - 2002,0.31
,,2002 - 2003,0.25
,,2003 - 2004,0.33
,,2004 - 2005,0.33
,,2006 - 2007,0.28
,,2007 - 2008,0.28
,,2008 - 2009,0.27
,,2009 - 2010,0.27
,,2010 - 2011,0.29
,,2011 - 2012,0.25
,,2012 - 2013,0.27
,,2013 - 2014,0.26
,,2014 - 2015,0.24
,,2015 - 2016,0.14
,,2016 - 2017,0.22
,,2018 - 2019,0.18
,,2019 - 2020,0.24
,,2020 - 2021,0.22
,,2022 - 2023,0.26
,Sakti,2022 - 2023,0.37
,Sarangarh bilaigarh,2022 - 2023,0.25
,Sukma,2011 - 2012,0.19
,,2012 - 2013,0.29
,,2013 - 2014,0.24
,,2014 - 2015,0.23
,,2015 - 2016,0.22
,,2016 - 2017,0.2
,,2017 - 2018,0.08
,,2018 - 2019,0.17
,,2020 - 2021,0.25
,,2021 - 2022,0.33
,,2022 - 2023,0.33
,Surajpur,2011 - 2012,4.56
,,2012 - 2013,0.19
,,2013 - 2014,0.26
,,2014 - 2015,0.26
,,2015 - 2016,0.24
,,2016 - 2017,0.29
,,2017 - 2018,0.27
,,2018 - 2019,0.33
,,2019 - 2020,0.3
,,2021 - 2022,0.3
,Surguja,2000 - 2001,0.24
,,2001 - 2002,0.25
,,2002 - 2003,0.19
,,2003 - 2004,0.24
,,2004 - 2005,0.2
,,2006 - 2007,0.22
,,2007 - 2008,0.19
,,2008 - 2009,0.21
,,2009 - 2010,0.25
,,2010 - 2011,0.23
,,2011 - 2012,0.27
,,2012 - 2013,0.21
,,2013 - 2014,0.33
,,2014 - 2015,0.33
,,2015 - 2016,0.25
,,2016 - 2017,0.25
,,2017 - 2018,0.25
,,2021 - 2022,0.5
,,2022 - 2023,0.0
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2000 - 2001,1.36
,,2001 - 2002,1.1
,,2002 - 2003,1.36
,,2003 - 2004,1.11
,,2004 - 2005,1.43
,,2005 - 2006,2.19
,,2006 - 2007,1.04
,,2007 - 2008,1.4
,,2008 - 2009,1.4
,,2009 - 2010,1.08
,,2010 - 2011,1.64
,,2011 - 2012,1.03
,,2012 - 2013,1.03
,,2013 - 2014,1.03
,,2014 - 2015,1.03
,,2015 - 2016,1.02
,,2016 - 2017,1.7
,,2017 - 2018,1.04
,,2018 - 2019,1.7
,,2019 - 2020,1.65
Goa,North goa,2004 - 2005,1.03
,,2005 - 2006,1.25
,,2006 - 2007,0.95
,,2007 - 2008,0.89
,,2008 - 2009,1.03
,,2009 - 2010,1.04
,,2010 - 2011,0.92
,,2011 - 2012,0.96
,,2012 - 2013,1.23
,,2013 - 2014,1.34
,,2014 - 2015,0.75
,South goa,2004 - 2005,0.91
,,2005 - 2006,0.84
,,2006 - 2007,0.87
,,2007 - 2008,1.1
,,2008 - 2009,1.27
,,2009 - 2010,1.02
,,2010 - 2011,0.88
,,2011 - 2012,0.9
,,2012 - 2013,0.97
,,2013 - 2014,0.69
,,2014 - 2015,0.7
Gujarat,Banas kantha,2012 - 2013,0.97
,Bharuch,2006 - 2007,1.0
,Dang,2000 - 2001,0.69
,,2001 - 2002,1.08
,,2002 - 2003,0.67
,,2003 - 2004,1.25
,,2004 - 2005,1.15
,,2005 - 2006,1.24
,,2006 - 2007,1.16
,,2007 - 2008,0.96
,,2008 - 2009,1.14
,,2009 - 2010,0.82
,,2010 - 2011,0.67
,,2011 - 2012,0.89
,,2012 - 2013,0.94
,,2013 - 2014,1.01
,,2014 - 2015,0.91
,,2015 - 2016,0.82
,,2016 - 2017,1.39
,,2017 - 2018,0.99
,,2018 - 2019,0.86
,,2019 - 2020,0.9
,,2020 - 2021,1.33
,,2021 - 2022,0.95
,,2022 - 2023,0.84
,Mahesana,2015 - 2016,0.82
,Navsari,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,0.75
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.33
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.98
,,2014 - 2015,0.86
,,2016 - 2017,1.26
,,2017 - 2018,0.91
,,2018 - 2019,0.8
,,2019 - 2020,0.84
,Panch mahals,2001 - 2002,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.25
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2019 - 2020,0.87
,,2020 - 2021,1.23
,Surat,2000 - 2001,1.0
,,2001 - 2002,1.0
,Vadodara,2011 - 2012,0.75
,,2012 - 2013,1.0
,Valsad,2000 - 2001,0.74
,,2001 - 2002,0.94
,,2002 - 2003,0.63
,,2003 - 2004,1.06
,,2004 - 2005,0.96
,,2005 - 2006,0.92
,,2006 - 2007,0.84
,,2007 - 2008,0.71
,,2008 - 2009,0.9
,,2009 - 2010,0.71
,,2010 - 2011,0.72
,,2011 - 2012,0.66
,,2012 - 2013,0.97
,,2013 - 2014,0.95
,,2014 - 2015,0.72
,,2015 - 2016,0.66
,,2016 - 2017,0.75
,,2017 - 2018,0.73
,,2018 - 2019,0.7
,,2019 - 2020,0.71
,,2020 - 2021,0.68
,,2021 - 2022,0.68
,,2022 - 2023,0.68
Himachal Pradesh,Bilaspur,2007 - 2008,1.24
,,2018 - 2019,0.6
,,2019 - 2020,1.0
,Chamba,2005 - 2006,0.17
,,2006 - 2007,0.71
,,2007 - 2008,1.0
,,2008 - 2009,0.71
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.64
,,2012 - 2013,0.57
,,2013 - 2014,0.6
,,2014 - 2015,0.6
,,2015 - 2016,0.6
,,2016 - 2017,0.6
,,2017 - 2018,0.8
,,2018 - 2019,0.76
,,2019 - 2020,1.0
,Hamirpur,2005 - 2006,0.75
,,2006 - 2007,1.0
,Kangra,2005 - 2006,0.65
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.75
,,2010 - 2011,0.6
,,2011 - 2012,0.57
,,2012 - 2013,0.67
,,2013 - 2014,0.75
,,2014 - 2015,0.75
,,2015 - 2016,0.75
,,2016 - 2017,0.75
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,0.81
,,2021 - 2022,1.0
,Kinnaur,2005 - 2006,0.95
,,2006 - 2007,1.06
,,2007 - 2008,1.33
,,2008 - 2009,1.0
,,2009 - 2010,0.8
,,2010 - 2011,0.8
,,2011 - 2012,0.81
,,2012 - 2013,0.95
,,2013 - 2014,0.88
,,2014 - 2015,0.88
,,2015 - 2016,0.88
,,2016 - 2017,0.88
,,2017 - 2018,0.88
,,2018 - 2019,0.8
,,2019 - 2020,1.0
,Kullu,2005 - 2006,0.76
,,2006 - 2007,0.67
,,2007 - 2008,0.77
,,2008 - 2009,0.84
,,2009 - 2010,0.69
,,2010 - 2011,0.72
,,2011 - 2012,0.93
,,2012 - 2013,0.76
,,2013 - 2014,0.76
,,2014 - 2015,0.74
,,2015 - 2016,0.76
,,2016 - 2017,0.76
,,2017 - 2018,0.81
,,2018 - 2019,0.89
,,2019 - 2020,0.98
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Mandi,2005 - 2006,0.7
,,2006 - 2007,0.92
,,2008 - 2009,0.92
,,2009 - 2010,0.89
,,2010 - 2011,0.92
,,2011 - 2012,1.12
,,2012 - 2013,0.98
,,2013 - 2014,0.98
,,2014 - 2015,0.98
,,2015 - 2016,0.93
,,2016 - 2017,0.98
,,2017 - 2018,0.98
,,2018 - 2019,1.17
,,2019 - 2020,1.21
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Shimla,2005 - 2006,1.5
,,2006 - 2007,1.52
,,2007 - 2008,1.69
,,2008 - 2009,1.52
,,2009 - 2010,1.28
,,2010 - 2011,1.31
,,2011 - 2012,1.35
,,2012 - 2013,1.41
,,2013 - 2014,1.03
,,2014 - 2015,1.26
,,2015 - 2016,1.41
,,2016 - 2017,1.41
,,2017 - 2018,1.41
,,2018 - 2019,1.32
,,2019 - 2020,1.41
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Sirmaur,2005 - 2006,0.63
,,2006 - 2007,0.71
,,2007 - 2008,0.79
,,2008 - 2009,0.72
,,2009 - 2010,0.54
,,2010 - 2011,0.52
,,2011 - 2012,0.83
,,2012 - 2013,0.59
,,2013 - 2014,0.59
,,2014 - 2015,0.59
,,2015 - 2016,0.59
,,2016 - 2017,0.59
,,2017 - 2018,0.59
,,2018 - 2019,0.72
,,2019 - 2020,0.98
,,2020 - 2021,0.73
,,2021 - 2022,0.73
,,2022 - 2023,0.73
,Solan,2020 - 2021,0.71
,,2021 - 2022,0.78
,,2022 - 2023,0.78
Jammu and Kashmir,Bandipora,2017 - 2018,0.6
,,2018 - 2019,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,Kargil,2017 - 2018,
,,2018 - 2019,
,Kishtwar,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,Leh ladakh,2017 - 2018,
,,2018 - 2019,
,Udhampur,2017 - 2018,0.6
Jharkhand,Bokaro,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2019 - 2020,2.2
,,2020 - 2021,2.2
,,2021 - 2022,2.2
,,2022 - 2023,2.2
,Chatra,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.43
,,2018 - 2019,1.43
,,2019 - 2020,1.46
,,2020 - 2021,1.46
,,2021 - 2022,1.46
,Deoghar,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2014 - 2015,
,,2019 - 2020,0.51
,,2020 - 2021,1.81
,,2021 - 2022,0.78
,,2022 - 2023,0.78
,Dhanbad,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2017 - 2018,0.69
,,2018 - 2019,0.6
,,2019 - 2020,0.71
,,2020 - 2021,0.7
,,2021 - 2022,0.69
,,2022 - 2023,0.6
,Dumka,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.71
,,2018 - 2019,0.72
,,2019 - 2020,0.72
,,2020 - 2021,0.65
,,2021 - 2022,0.65
,,2022 - 2023,0.67
,East singhbum,2006 - 2007,
,,2008 - 2009,
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Garhwa,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2021 - 2022,1.27
,Giridih,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2019 - 2020,0.36
,,2020 - 2021,0.38
,,2021 - 2022,0.41
,,2022 - 2023,0.41
,Godda,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2019 - 2020,1.09
,,2020 - 2021,0.6
,,2021 - 2022,0.75
,,2022 - 2023,0.65
,Gumla,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.38
,,2018 - 2019,1.35
,,2019 - 2020,1.38
,,2020 - 2021,1.35
,,2021 - 2022,1.22
,,2022 - 2023,0.79
,Hazaribagh,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.71
,,2018 - 2019,0.71
,,2019 - 2020,0.69
,,2020 - 2021,0.66
,,2021 - 2022,0.69
,,2022 - 2023,0.69
,Jamtara,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2021 - 2022,1.5
,,2022 - 2023,1.0
,Khunti,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.9
,,2018 - 2019,1.18
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Koderma,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.6
,,2018 - 2019,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,,2021 - 2022,0.8
,,2022 - 2023,0.8
,Latehar,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.13
,,2018 - 2019,1.14
,,2019 - 2020,1.15
,,2020 - 2021,1.15
,,2021 - 2022,1.14
,,2022 - 2023,1.14
,Lohardaga,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.65
,,2018 - 2019,0.4
,,2019 - 2020,0.4
,,2020 - 2021,0.59
,,2021 - 2022,0.6
,,2022 - 2023,0.4
,Pakur,2006 - 2007,
,,2012 - 2013,
,Palamu,2002 - 2003,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,0.27
,,2019 - 2020,0.78
,,2020 - 2021,0.81
,,2021 - 2022,0.79
,Ramgarh,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,0.69
,,2018 - 2019,0.68
,,2019 - 2020,0.69
,,2020 - 2021,0.69
,,2021 - 2022,0.65
,,2022 - 2023,0.65
,Ranchi,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.75
,,2018 - 2019,0.75
,,2019 - 2020,0.81
,,2020 - 2021,0.81
,,2021 - 2022,0.81
,,2022 - 2023,0.8
,Sahebganj,2006 - 2007,
,,2007 - 2008,
,,2011 - 2012,
,,2021 - 2022,0.61
,Saraikela kharsawan,2006 - 2007,
,,2017 - 2018,0.75
,,2018 - 2019,0.65
,,2020 - 2021,0.65
,,2021 - 2022,0.66
,,2022 - 2023,0.65
,Simdega,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.8
,,2018 - 2019,0.8
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2021 - 2022,1.2
,,2022 - 2023,1.0
,West singhbhum,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.59
,,2018 - 2019,0.58
,,2019 - 2020,0.58
,,2020 - 2021,0.58
,,2021 - 2022,0.58
,,2022 - 2023,0.58
Karnataka,Bagalkot,2018 - 2019,1.21
,,2019 - 2020,1.74
,,2020 - 2021,1.76
,,2021 - 2022,1.32
,,2022 - 2023,1.42
,Bangalore rural,2000 - 2001,2.06
,,2001 - 2002,1.94
,,2002 - 2003,0.93
,,2003 - 2004,1.89
,,2004 - 2005,2.55
,,2005 - 2006,2.07
,,2006 - 2007,1.13
,,2007 - 2008,2.33
,,2008 - 2009,2.3
,,2009 - 2010,2.22
,,2010 - 2011,2.62
,,2011 - 2012,2.35
,,2012 - 2013,2.33
,,2013 - 2014,2.57
,,2014 - 2015,2.57
,,2015 - 2016,2.04
,,2016 - 2017,1.21
,,2017 - 2018,2.52
,,2018 - 2019,1.64
,,2019 - 2020,2.18
,,2020 - 2021,2.21
,,2021 - 2022,1.74
,,2022 - 2023,1.91
,Belgaum,2000 - 2001,1.36
,,2001 - 2002,0.96
,,2002 - 2003,0.58
,,2003 - 2004,0.79
,,2004 - 2005,1.16
,,2005 - 2006,0.48
,,2006 - 2007,0.06
,,2007 - 2008,0.45
,,2008 - 2009,0.34
,,2009 - 2010,0.37
,,2010 - 2011,0.64
,,2011 - 2012,0.71
,,2012 - 2013,0.74
,,2013 - 2014,0.88
,,2014 - 2015,1.17
,,2015 - 2016,0.21
,,2016 - 2017,1.36
,,2017 - 2018,1.38
,,2018 - 2019,1.24
,,2019 - 2020,1.18
,,2020 - 2021,1.31
,,2021 - 2022,1.33
,,2022 - 2023,1.21
,Bellary,2000 - 2001,1.07
,,2001 - 2002,1.38
,,2002 - 2003,0.44
,,2003 - 2004,0.82
,,2004 - 2005,0.83
,,2005 - 2006,0.87
,,2006 - 2007,0.45
,,2007 - 2008,0.72
,,2008 - 2009,0.5
,,2009 - 2010,0.32
,,2010 - 2011,0.6
,,2011 - 2012,0.69
,,2012 - 2013,0.49
,,2013 - 2014,0.72
,,2014 - 2015,0.7
,,2015 - 2016,0.58
,,2016 - 2017,1.05
,,2017 - 2018,1.35
,,2018 - 2019,0.74
,,2019 - 2020,1.21
,,2020 - 2021,1.33
,,2021 - 2022,1.1
,,2022 - 2023,0.55
,Bengaluru urban,2000 - 2001,2.32
,,2001 - 2002,2.34
,,2002 - 2003,1.08
,,2003 - 2004,1.78
,,2004 - 2005,2.92
,,2005 - 2006,2.45
,,2006 - 2007,1.01
,,2007 - 2008,2.47
,,2008 - 2009,2.45
,,2009 - 2010,2.25
,,2010 - 2011,2.58
,,2011 - 2012,2.87
,,2012 - 2013,2.2
,,2013 - 2014,3.15
,,2014 - 2015,2.8
,,2015 - 2016,2.26
,,2016 - 2017,0.48
,,2017 - 2018,1.84
,,2018 - 2019,1.59
,,2019 - 2020,2.05
,,2020 - 2021,2.45
,,2021 - 2022,1.7
,,2022 - 2023,1.81
,Bidar,2018 - 2019,1.17
,,2019 - 2020,1.75
,,2020 - 2021,1.76
,,2021 - 2022,1.31
,,2022 - 2023,1.4
,Bijapur,2018 - 2019,1.2
,,2019 - 2020,1.75
,,2020 - 2021,1.77
,,2021 - 2022,1.32
,,2022 - 2023,1.43
,Chamarajanagar,2000 - 2001,1.55
,,2001 - 2002,1.62
,,2002 - 2003,1.31
,,2003 - 2004,0.63
,,2004 - 2005,1.45
,,2005 - 2006,1.33
,,2006 - 2007,1.26
,,2007 - 2008,0.86
,,2008 - 2009,1.14
,,2009 - 2010,1.31
,,2010 - 2011,1.25
,,2011 - 2012,1.18
,,2012 - 2013,1.28
,,2013 - 2014,1.67
,,2014 - 2015,1.54
,,2015 - 2016,1.8
,,2016 - 2017,0.63
,,2017 - 2018,2.41
,,2018 - 2019,1.53
,,2019 - 2020,1.98
,,2020 - 2021,1.78
,,2021 - 2022,1.27
,,2022 - 2023,1.4
,Chikballapur,2007 - 2008,1.41
,,2008 - 2009,1.8
,,2009 - 2010,1.08
,,2010 - 2011,2.03
,,2011 - 2012,1.87
,,2012 - 2013,2.0
,,2013 - 2014,2.2
,,2014 - 2015,1.48
,,2015 - 2016,1.82
,,2016 - 2017,0.93
,,2017 - 2018,2.29
,,2018 - 2019,0.84
,,2019 - 2020,2.04
,,2020 - 2021,2.44
,,2021 - 2022,1.55
,,2022 - 2023,1.63
,Chikmagalur,2000 - 2001,1.79
,,2001 - 2002,1.42
,,2002 - 2003,1.12
,,2003 - 2004,0.76
,,2004 - 2005,1.77
,,2005 - 2006,1.74
,,2006 - 2007,1.23
,,2007 - 2008,1.49
,,2008 - 2009,1.64
,,2009 - 2010,1.71
,,2010 - 2011,1.77
,,2011 - 2012,1.24
,,2012 - 2013,0.98
,,2013 - 2014,1.08
,,2014 - 2015,1.19
,,2015 - 2016,1.39
,,2016 - 2017,0.6
,,2017 - 2018,1.37
,,2018 - 2019,1.22
,,2019 - 2020,1.3
,,2020 - 2021,1.22
,,2021 - 2022,1.03
,,2022 - 2023,1.03
,Chitradurga,2000 - 2001,1.85
,,2001 - 2002,1.49
,,2002 - 2003,1.05
,,2003 - 2004,0.79
,,2004 - 2005,1.52
,,2005 - 2006,1.29
,,2006 - 2007,0.98
,,2007 - 2008,1.3
,,2008 - 2009,0.94
,,2009 - 2010,1.35
,,2010 - 2011,1.64
,,2011 - 2012,0.92
,,2012 - 2013,1.13
,,2013 - 2014,1.26
,,2014 - 2015,1.6
,,2015 - 2016,1.59
,,2016 - 2017,0.57
,,2017 - 2018,1.9
,,2018 - 2019,0.96
,,2019 - 2020,1.42
,,2020 - 2021,1.58
,,2021 - 2022,0.87
,,2022 - 2023,1.14
,Davangere,2000 - 2001,2.02
,,2001 - 2002,1.4
,,2002 - 2003,0.77
,,2003 - 2004,0.95
,,2004 - 2005,1.48
,,2005 - 2006,1.19
,,2006 - 2007,0.91
,,2007 - 2008,1.58
,,2008 - 2009,1.06
,,2009 - 2010,1.54
,,2010 - 2011,1.81
,,2011 - 2012,1.07
,,2012 - 2013,1.09
,,2013 - 2014,1.47
,,2014 - 2015,1.56
,,2015 - 2016,1.48
,,2016 - 2017,1.01
,,2017 - 2018,1.91
,,2018 - 2019,1.1
,,2019 - 2020,1.55
,,2020 - 2021,1.4
,,2021 - 2022,1.54
,,2022 - 2023,1.32
,Dharwad,2000 - 2001,1.21
,,2001 - 2002,1.04
,,2002 - 2003,0.48
,,2003 - 2004,1.1
,,2004 - 2005,1.1
,,2005 - 2006,1.21
,,2006 - 2007,0.89
,,2007 - 2008,1.39
,,2008 - 2009,0.65
,,2009 - 2010,1.11
,,2010 - 2011,1.0
,,2011 - 2012,1.12
,,2012 - 2013,1.53
,,2013 - 2014,1.89
,,2014 - 2015,1.82
,,2015 - 2016,1.67
,,2016 - 2017,0.75
,,2017 - 2018,2.0
,,2018 - 2019,1.21
,,2019 - 2020,1.75
,,2020 - 2021,1.76
,,2021 - 2022,1.32
,,2022 - 2023,1.41
,Gadag,2000 - 2001,1.78
,,2001 - 2002,1.55
,,2002 - 2003,0.48
,,2003 - 2004,1.1
,,2004 - 2005,1.1
,,2005 - 2006,1.22
,,2006 - 2007,0.89
,,2007 - 2008,1.41
