state,district,year,ragi_kharif_yield_tonne_per_hectare
,,2006 - 2007,1.31
,,2007 - 2008,1.33
,,2008 - 2009,0.75
,,2009 - 2010,1.54
,,2010 - 2011,0.95
,,2011 - 2012,0.52
,,2012 - 2013,2.0
,,2013 - 2014,0.77
,,2014 - 2015,0.84
,,2015 - 2016,0.89
,,2016 - 2017,0.95
,,2017 - 2018,0.85
,,2018 - 2019,0.83
,,2019 - 2020,1.26
,,2020 - 2021,1.43
,,2021 - 2022,1.04
,,2022 - 2023,1.03
,West godavari,2003 - 2004,
,,2013 - 2014,0.84
,,2016 - 2017,1.0
Bihar,Araria,2000 - 2001,2.6
,,2001 - 2002,0.75
,,2002 - 2003,0.85
,,2003 - 2004,0.24
,,2004 - 2005,0.86
,,2005 - 2006,0.77
,,2006 - 2007,0.6
,,2007 - 2008,0.64
,,2008 - 2009,0.81
,,2009 - 2010,0.59
,,2010 - 2011,0.94
,,2011 - 2012,1.53
,,2012 - 2013,1.18
,,2013 - 2014,1.02
,,2014 - 2015,1.48
,,2016 - 2017,0.72
,Arwal,2003 - 2004,0.65
,,2004 - 2005,0.67
,,2005 - 2006,0.89
,,2007 - 2008,0.6
,,2008 - 2009,0.82
,,2009 - 2010,0.81
,,2010 - 2011,0.97
,,2011 - 2012,1.23
,,2012 - 2013,1.18
,,2013 - 2014,1.03
,,2014 - 2015,1.47
,,2015 - 2016,1.42
,,2016 - 2017,0.71
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,0.8
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Aurangabad,2000 - 2001,1.09
,,2001 - 2002,0.89
,,2002 - 2003,0.68
,,2003 - 2004,0.69
,,2004 - 2005,0.67
,,2005 - 2006,0.93
,,2006 - 2007,0.85
,,2007 - 2008,0.57
,,2008 - 2009,0.79
,,2009 - 2010,0.67
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.2
,,2013 - 2014,1.0
,,2014 - 2015,1.44
,,2015 - 2016,1.33
,,2016 - 2017,0.5
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2022 - 2023,1.0
,Banka,2002 - 2003,1.0
,,2003 - 2004,1.0
,Begusarai,2000 - 2001,1.1
,,2001 - 2002,0.88
,,2002 - 2003,0.69
,,2003 - 2004,0.68
,,2004 - 2005,0.68
,,2005 - 2006,0.9
,,2006 - 2007,0.88
,,2007 - 2008,0.6
,,2008 - 2009,0.85
,,2009 - 2010,0.81
,,2010 - 2011,0.97
,,2011 - 2012,1.21
,,2012 - 2013,1.19
,,2013 - 2014,1.03
,,2014 - 2015,1.47
,,2015 - 2016,1.43
,,2016 - 2017,0.73
,,2017 - 2018,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Bhojpur,2000 - 2001,1.0
,,2005 - 2006,0.88
,,2006 - 2007,0.88
,,2007 - 2008,0.62
,,2008 - 2009,0.81
,,2009 - 2010,0.81
,,2010 - 2011,0.97
,,2011 - 2012,1.2
,,2012 - 2013,1.13
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,Buxar,2006 - 2007,0.83
,Darbhanga,2000 - 2001,0.8
,,2001 - 2002,1.03
,,2002 - 2003,0.48
,,2003 - 2004,0.77
,,2004 - 2005,0.26
,,2005 - 2006,1.08
,,2006 - 2007,0.76
,,2007 - 2008,0.19
,,2008 - 2009,1.26
,,2009 - 2010,0.83
,,2010 - 2011,1.13
,,2011 - 2012,1.18
,,2012 - 2013,1.23
,,2013 - 2014,1.18
,,2014 - 2015,1.5
,,2015 - 2016,0.91
,,2016 - 2017,0.68
,,2017 - 2018,1.85
,,2018 - 2019,1.46
,,2019 - 2020,0.89
,,2020 - 2021,1.09
,,2021 - 2022,1.18
,,2022 - 2023,1.11
,Gaya,2000 - 2001,1.1
,,2001 - 2002,0.88
,,2002 - 2003,0.69
,,2003 - 2004,0.67
,,2004 - 2005,0.68
,,2005 - 2006,0.9
,,2006 - 2007,0.87
,,2007 - 2008,0.6
,,2008 - 2009,0.81
,,2009 - 2010,0.8
,,2010 - 2011,0.98
,,2011 - 2012,1.22
,,2012 - 2013,1.18
,,2013 - 2014,1.01
,,2014 - 2015,1.48
,,2015 - 2016,1.42
,,2016 - 2017,0.72
,,2017 - 2018,0.99
,,2018 - 2019,1.08
,,2019 - 2020,0.8
,,2020 - 2021,0.94
,,2021 - 2022,0.98
,,2022 - 2023,1.0
,Gopalganj,2000 - 2001,1.34
,,2001 - 2002,1.35
,,2002 - 2003,0.77
,,2003 - 2004,0.9
,,2004 - 2005,0.96
,,2005 - 2006,0.85
,,2006 - 2007,0.76
,,2007 - 2008,0.75
,,2008 - 2009,0.39
,,2009 - 2010,0.31
,,2010 - 2011,0.86
,,2011 - 2012,1.83
,,2012 - 2013,1.21
,,2013 - 2014,0.86
,,2014 - 2015,1.46
,,2015 - 2016,0.84
,,2016 - 2017,0.98
,,2017 - 2018,1.0
,,2018 - 2019,0.8
,,2019 - 2020,1.0
,,2020 - 2021,0.5
,,2021 - 2022,0.75
,,2022 - 2023,0.75
,Jamui,2000 - 2001,1.1
,,2001 - 2002,0.83
,,2002 - 2003,0.69
,,2003 - 2004,0.67
,,2004 - 2005,0.68
,,2005 - 2006,0.88
,,2006 - 2007,0.88
,,2007 - 2008,0.5
,Jehanabad,2000 - 2001,3.7
,,2001 - 2002,0.89
,,2002 - 2003,0.69
,,2003 - 2004,0.67
,,2004 - 2005,0.68
,,2005 - 2006,0.9
,,2006 - 2007,0.88
,,2007 - 2008,0.6
,,2008 - 2009,0.81
,,2009 - 2010,0.8
,,2010 - 2011,0.98
,,2011 - 2012,1.21
,,2012 - 2013,1.18
,,2013 - 2014,1.01
,,2014 - 2015,1.44
,,2015 - 2016,1.38
,,2016 - 2017,0.71
,,2017 - 2018,1.0
,,2018 - 2019,1.06
,,2019 - 2020,0.8
,,2020 - 2021,0.94
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Kaimur (bhabua),2000 - 2001,1.09
,,2001 - 2002,0.88
,,2002 - 2003,0.69
,,2003 - 2004,0.67
,,2004 - 2005,0.67
,,2005 - 2006,0.91
,,2006 - 2007,0.88
,,2007 - 2008,0.67
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Katihar,2000 - 2001,2.59
,,2001 - 2002,0.74
,,2002 - 2003,0.85
,,2003 - 2004,0.24
,,2006 - 2007,0.56
,,2007 - 2008,0.67
,,2021 - 2022,1.0
,Khagaria,2000 - 2001,1.1
,,2001 - 2002,0.87
,,2002 - 2003,0.69
,,2003 - 2004,0.67
,,2004 - 2005,0.68
,,2005 - 2006,0.9
,,2006 - 2007,0.87
,,2007 - 2008,0.61
,,2008 - 2009,0.82
,,2009 - 2010,0.8
,,2010 - 2011,0.98
,,2011 - 2012,1.2
,,2012 - 2013,1.22
,,2013 - 2014,1.0
,,2014 - 2015,1.48
,,2017 - 2018,0.99
,,2018 - 2019,1.07
,,2019 - 2020,0.8
,,2020 - 2021,0.94
,Kishanganj,2000 - 2001,2.6
