state,district,year,banana_whole_year_yield_tonne_per_hectare
,,2006 - 2007,19.9
,,2008 - 2009,20.62
,,2009 - 2010,23.02
,,2010 - 2011,25.49
,,2011 - 2012,26.64
,,2013 - 2014,19.63
,,2014 - 2015,0.32
,,2015 - 2016,21.53
,,2016 - 2017,33.15
,,2017 - 2018,120.58
,,2018 - 2019,113.45
,,2019 - 2020,60.0
,Visakhapatanam,2000 - 2001,18.46
,,2001 - 2002,7.73
,,2002 - 2003,17.08
,,2003 - 2004,12.33
,,2004 - 2005,21.69
,,2005 - 2006,14.62
,,2006 - 2007,7.57
,,2008 - 2009,10.31
,,2009 - 2010,29.48
,,2010 - 2011,15.62
,,2011 - 2012,16.85
,,2013 - 2014,19.63
,,2014 - 2015,21.28
,,2015 - 2016,24.02
,,2016 - 2017,31.75
,,2017 - 2018,89.47
,,2018 - 2019,94.44
,,2019 - 2020,60.0
,Vizianagaram,2000 - 2001,9.89
,,2001 - 2002,12.55
,,2002 - 2003,20.77
,,2003 - 2004,22.96
,,2004 - 2005,24.47
,,2005 - 2006,24.29
,,2006 - 2007,20.1
,,2008 - 2009,17.49
,,2009 - 2010,18.78
,,2010 - 2011,21.35
,,2011 - 2012,17.98
,,2013 - 2014,10.86
,,2014 - 2015,7.95
,,2015 - 2016,18.48
,,2016 - 2017,12.87
,,2017 - 2018,35.39
,,2018 - 2019,96.28
,,2019 - 2020,60.0
,West godavari,2000 - 2001,14.37
,,2001 - 2002,12.08
,,2002 - 2003,22.2
,,2003 - 2004,4.24
,,2004 - 2005,25.86
,,2005 - 2006,9.44
,,2006 - 2007,19.48
,,2008 - 2009,19.43
,,2009 - 2010,28.73
,,2010 - 2011,25.29
,,2011 - 2012,34.49
,,2013 - 2014,21.71
,,2014 - 2015,28.99
,,2015 - 2016,32.68
,,2016 - 2017,41.31
,,2017 - 2018,117.56
,,2018 - 2019,98.56
,,2019 - 2020,60.0
Assam,Baksa,2005 - 2006,14.64
,,2006 - 2007,14.64
,,2007 - 2008,14.64
,,2008 - 2009,14.64
,,2009 - 2010,14.64
,,2010 - 2011,14.64
,,2011 - 2012,15.54
,,2012 - 2013,16.54
,,2013 - 2014,16.54
,,2014 - 2015,16.54
,,2015 - 2016,16.55
,,2016 - 2017,17.02
,,2017 - 2018,17.03
,,2018 - 2019,18.04
,,2019 - 2020,18.17
,,2020 - 2021,17.91
,,2021 - 2022,18.38
,,2022 - 2023,18.39
,Barpeta,2000 - 2001,15.05
,,2001 - 2002,15.05
,,2002 - 2003,15.05
,,2003 - 2004,15.05
,,2005 - 2006,15.05
,,2006 - 2007,15.05
,,2007 - 2008,15.05
,,2008 - 2009,14.95
,,2009 - 2010,15.02
,,2010 - 2011,15.01
,,2011 - 2012,15.42
,,2012 - 2013,15.64
,,2013 - 2014,15.64
,,2014 - 2015,15.64
,,2015 - 2016,15.64
,,2016 - 2017,15.89
,,2017 - 2018,15.9
,,2018 - 2019,16.66
,,2019 - 2020,17.49
,,2020 - 2021,17.32
,,2021 - 2022,18.17
,,2022 - 2023,20.48
,Biswanath,2020 - 2021,18.64
,,2021 - 2022,18.92
,,2022 - 2023,18.93
,Bongaigaon,2000 - 2001,12.17
,,2001 - 2002,12.16
,,2002 - 2003,12.16
,,2003 - 2004,12.16
,,2005 - 2006,12.11
,,2006 - 2007,12.09
,,2007 - 2008,12.11
,,2008 - 2009,13.0
,,2009 - 2010,12.45
,,2010 - 2011,12.57
,,2011 - 2012,13.46
,,2012 - 2013,14.46
,,2013 - 2014,14.46
,,2014 - 2015,14.46
,,2015 - 2016,14.47
,,2016 - 2017,15.17
,,2017 - 2018,15.18
,,2018 - 2019,16.89
,,2019 - 2020,17.13
,,2020 - 2021,16.73
,,2021 - 2022,17.79
,,2022 - 2023,17.81
,Cachar,2000 - 2001,12.21
,,2001 - 2002,12.21
,,2002 - 2003,12.21
,,2003 - 2004,12.0
,,2005 - 2006,12.14
,,2006 - 2007,12.14
,,2007 - 2008,12.14
,,2008 - 2009,13.5
,,2009 - 2010,12.59
,,2010 - 2011,12.73
,,2011 - 2012,17.65
,,2012 - 2013,17.79
,,2013 - 2014,17.79
,,2014 - 2015,17.79
,,2015 - 2016,17.8
,,2016 - 2017,17.98
,,2017 - 2018,17.99
,,2018 - 2019,18.44
,,2019 - 2020,17.05
,,2020 - 2021,16.95
,,2021 - 2022,17.31
,,2022 - 2023,18.02
,Charaideo,2020 - 2021,21.49
,,2021 - 2022,21.25
,,2022 - 2023,21.5
,Chirang,2005 - 2006,12.11
,,2006 - 2007,12.09
,,2007 - 2008,12.11
,,2008 - 2009,13.15
,,2009 - 2010,12.45
,,2010 - 2011,12.58
,,2011 - 2012,13.5
,,2012 - 2013,16.46
,,2013 - 2014,16.46
,,2014 - 2015,16.46
,,2015 - 2016,16.47
,,2016 - 2017,17.15
,,2017 - 2018,17.16
,,2018 - 2019,19.57
,,2019 - 2020,19.61
,,2020 - 2021,19.5
,,2021 - 2022,14.34
,,2022 - 2023,14.36
,Darrang,2000 - 2001,12.97
,,2001 - 2002,12.97
,,2002 - 2003,12.97
,,2003 - 2004,12.97
,,2005 - 2006,13.0
,,2006 - 2007,13.0
,,2007 - 2008,13.0
,,2008 - 2009,14.2
,,2009 - 2010,13.4
,,2010 - 2011,13.51
,,2011 - 2012,14.52
,,2012 - 2013,14.63
,,2013 - 2014,14.63
,,2014 - 2015,14.63
,,2015 - 2016,14.63
,,2016 - 2017,15.0
,,2017 - 2018,19.07
,,2018 - 2019,19.07
,,2019 - 2020,14.22
,,2020 - 2021,18.02
,,2021 - 2022,18.54
,,2022 - 2023,18.55
,Dhemaji,2000 - 2001,14.97
,,2001 - 2002,15.17
,,2002 - 2003,15.11
,,2003 - 2004,15.24
,,2005 - 2006,15.36
,,2006 - 2007,15.67
,,2007 - 2008,15.59
,,2008 - 2009,14.04
,,2009 - 2010,15.39
,,2010 - 2011,15.11
,,2011 - 2012,8.16
,,2012 - 2013,16.47
,,2013 - 2014,16.47
,,2014 - 2015,16.47
,,2015 - 2016,16.47
,,2016 - 2017,10.52
,,2017 - 2018,12.74
,,2018 - 2019,14.17
,,2019 - 2020,18.7
,,2020 - 2021,19.36
,,2021 - 2022,19.63
,,2022 - 2023,19.72
,Dhubri,2000 - 2001,15.33
,,2001 - 2002,15.28
,,2002 - 2003,15.29
,,2003 - 2004,15.3
,,2005 - 2006,15.32
,,2006 - 2007,15.29
,,2007 - 2008,15.29
,,2008 - 2009,14.32
,,2009 - 2010,14.99
,,2010 - 2011,14.88
,,2011 - 2012,14.54
,,2012 - 2013,15.45
,,2013 - 2014,15.45
,,2014 - 2015,15.45
,,2015 - 2016,15.46
,,2016 - 2017,15.99
,,2017 - 2018,15.99
,,2018 - 2019,17.25
,,2019 - 2020,17.41
,,2020 - 2021,17.13
,,2021 - 2022,18.03
,,2022 - 2023,18.05
,Dibrugarh,2000 - 2001,13.14
,,2001 - 2002,13.15
,,2002 - 2003,13.14
,,2003 - 2004,13.15
,,2005 - 2006,13.15
,,2006 - 2007,13.15
,,2007 - 2008,13.14
,,2008 - 2009,15.99
,,2009 - 2010,14.09
,,2010 - 2011,14.4
,,2011 - 2012,16.24
,,2012 - 2013,17.33
,,2013 - 2014,17.33
,,2014 - 2015,17.33
,,2015 - 2016,16.47
,,2016 - 2017,17.26
,,2017 - 2018,17.27
,,2018 - 2019,18.92
,,2019 - 2020,19.11
,,2020 - 2021,18.67
,,2021 - 2022,19.21
,,2022 - 2023,19.31
,Dima hasao,2000 - 2001,14.5
,,2001 - 2002,14.5
,,2002 - 2003,14.5
,,2003 - 2004,14.5
,,2005 - 2006,14.5
,,2006 - 2007,14.5
,,2007 - 2008,14.5
,,2008 - 2009,14.5
,,2009 - 2010,14.5
,,2010 - 2011,14.5
,,2011 - 2012,15.0
,,2012 - 2013,16.21
,,2013 - 2014,16.21
,,2014 - 2015,16.21
,,2015 - 2016,18.46
,,2016 - 2017,18.76
,,2017 - 2018,18.77
,,2018 - 2019,19.34
,,2019 - 2020,20.34
,,2020 - 2021,20.12
,,2021 - 2022,20.06
,,2022 - 2023,20.26
,Goalpara,2000 - 2001,15.6
,,2001 - 2002,15.52
,,2002 - 2003,15.53
,,2003 - 2004,15.55
,,2005 - 2006,15.54
,,2006 - 2007,15.54
,,2007 - 2008,15.54
,,2008 - 2009,14.0
,,2009 - 2010,15.03
,,2010 - 2011,14.88
,,2011 - 2012,19.41
,,2012 - 2013,16.11
,,2013 - 2014,19.49
,,2014 - 2015,19.49
,,2015 - 2016,21.67
,,2016 - 2017,21.79
,,2017 - 2018,21.79
,,2018 - 2019,22.06
,,2019 - 2020,14.92
,,2020 - 2021,16.32
,,2021 - 2022,18.46
,,2022 - 2023,18.56
,Golaghat,2000 - 2001,13.86
,,2001 - 2002,13.86
,,2002 - 2003,13.86
,,2003 - 2004,13.86
,,2005 - 2006,13.85
,,2006 - 2007,13.85
,,2007 - 2008,13.86
,,2008 - 2009,13.85
,,2009 - 2010,13.86
,,2010 - 2011,13.86
,,2011 - 2012,13.22
,,2012 - 2013,18.86
,,2013 - 2014,23.04
,,2014 - 2015,23.04
