state,district,year,banana_whole_year_yield_tonne_per_hectare
,,2007 - 2008,6.72
,Nawada,2007 - 2008,13.0
,Pashchim champaran,2000 - 2001,4.21
,,2001 - 2002,14.08
,,2002 - 2003,14.51
,,2003 - 2004,12.3
,,2004 - 2005,9.1
,,2005 - 2006,8.12
,,2007 - 2008,8.44
,Purbi champaran,2000 - 2001,3.19
,,2001 - 2002,14.08
,,2002 - 2003,12.06
,,2003 - 2004,12.3
,,2004 - 2005,2.6
,,2005 - 2006,14.86
,,2007 - 2008,16.9
,Purnia,2000 - 2001,2.82
,,2001 - 2002,2.08
,,2002 - 2003,7.78
,,2003 - 2004,10.54
,,2004 - 2005,10.62
,,2005 - 2006,26.11
,,2007 - 2008,18.37
,Saharsa,2000 - 2001,43.74
,,2001 - 2002,28.05
,,2002 - 2003,30.75
,,2003 - 2004,27.95
,,2004 - 2005,37.09
,,2005 - 2006,34.73
,,2007 - 2008,35.91
,Samastipur,2000 - 2001,9.59
,,2001 - 2002,8.15
,,2002 - 2003,19.74
,,2003 - 2004,10.01
,,2004 - 2005,25.93
,,2005 - 2006,9.59
,,2007 - 2008,23.45
,Saran,2000 - 2001,21.0
,,2001 - 2002,22.45
,,2002 - 2003,19.66
,,2003 - 2004,16.54
,,2004 - 2005,12.82
,,2005 - 2006,15.33
,,2007 - 2008,13.07
,Sheohar,2000 - 2001,4.21
,,2001 - 2002,14.08
,,2002 - 2003,14.51
,,2003 - 2004,12.3
,,2004 - 2005,9.05
,,2005 - 2006,8.12
,,2007 - 2008,8.43
,Sitamarhi,2000 - 2001,4.21
,,2001 - 2002,14.08
,,2002 - 2003,14.51
,,2003 - 2004,12.3
,,2004 - 2005,9.05
,,2005 - 2006,8.12
,,2007 - 2008,8.44
,Siwan,2000 - 2001,21.0
,,2001 - 2002,14.9
,,2002 - 2003,19.66
,,2003 - 2004,16.55
,,2004 - 2005,12.82
,,2005 - 2006,15.34
,,2007 - 2008,13.08
,Supaul,2000 - 2001,42.22
,,2001 - 2002,33.87
,,2002 - 2003,39.66
,,2003 - 2004,35.86
,,2004 - 2005,37.12
,,2005 - 2006,34.74
,,2007 - 2008,35.93
,Vaishali,2000 - 2001,4.22
,,2001 - 2002,13.75
,,2002 - 2003,16.2
,,2003 - 2004,14.4
,,2004 - 2005,10.22
,,2005 - 2006,7.32
,,2007 - 2008,7.52
Chhattisgarh,Balod,2011 - 2012,30.5
,,2012 - 2013,17.22
,,2013 - 2014,23.8
,,2014 - 2015,28.6
,,2015 - 2016,13.05
,,2016 - 2017,25.46
,,2017 - 2018,6.89
,,2018 - 2019,0.0
,,2019 - 2020,11.09
,,2020 - 2021,9.57
,,2021 - 2022,17.13
,,2022 - 2023,10.93
,Baloda bazar,2011 - 2012,40.14
,,2012 - 2013,11.5
,,2013 - 2014,51.09
,,2014 - 2015,43.78
,,2015 - 2016,29.2
,,2016 - 2017,12.75
,,2017 - 2018,0.0
,,2018 - 2019,0.0
,,2020 - 2021,26.64
,,2021 - 2022,23.08
,,2022 - 2023,19.77
,Balrampur,2011 - 2012,28.07
,,2012 - 2013,13.55
,,2013 - 2014,25.79
,,2014 - 2015,25.79
,,2015 - 2016,22.92
,,2016 - 2017,12.9
,,2017 - 2018,1.92
,,2020 - 2021,19.5
,,2021 - 2022,13.0
,,2022 - 2023,0.0
,Bastar,2000 - 2001,46.61
,,2001 - 2002,46.6
,,2002 - 2003,46.6
,,2003 - 2004,46.61
,,2004 - 2005,46.6
,,2005 - 2006,46.6
,,2006 - 2007,49.3
,,2007 - 2008,46.6
,,2008 - 2009,46.6
,,2009 - 2010,97.32
,,2010 - 2011,46.61
,,2011 - 2012,36.62
,,2012 - 2013,13.36
,,2013 - 2014,39.95
,,2014 - 2015,45.27
,,2015 - 2016,24.91
,,2016 - 2017,28.09
,,2017 - 2018,17.46
,,2018 - 2019,13.44
,,2019 - 2020,17.28
,,2020 - 2021,24.39
,,2021 - 2022,10.96
,,2022 - 2023,25.39
,Bemetara,2011 - 2012,30.51
,,2012 - 2013,0.91
,,2013 - 2014,32.5
,,2014 - 2015,35.76
,,2015 - 2016,40.66
,,2016 - 2017,28.08
,,2017 - 2018,22.8
,,2018 - 2019,21.39
,,2019 - 2020,23.55
,,2020 - 2021,23.03
,,2021 - 2022,4.29
,,2022 - 2023,14.59
,Bijapur,2006 - 2007,0.0
,,2007 - 2008,36.67
,,2008 - 2009,23.33
,,2009 - 2010,81.75
,,2010 - 2011,33.33
,,2011 - 2012,36.67
,,2012 - 2013,20.0
,,2013 - 2014,46.71
,,2014 - 2015,33.33
,,2015 - 2016,16.67
,,2016 - 2017,24.0
,,2017 - 2018,23.25
,,2018 - 2019,43.0
,,2019 - 2020,18.33
,,2020 - 2021,55.5
,,2021 - 2022,0.0
,,2022 - 2023,55.0
,Bilaspur,2000 - 2001,35.75
,,2001 - 2002,35.67
,,2002 - 2003,29.0
,,2003 - 2004,34.0
,,2004 - 2005,34.0
,,2005 - 2006,40.0
,,2006 - 2007,34.0
,,2007 - 2008,34.0
,,2008 - 2009,34.14
,,2009 - 2010,73.14
,,2019 - 2020,0.0
,,2020 - 2021,22.23
,,2021 - 2022,6.13
,,2022 - 2023,1.82
,Dantewada,2000 - 2001,38.67
,,2001 - 2002,36.63
,,2002 - 2003,37.96
,,2003 - 2004,38.6
,,2004 - 2005,33.29
,,2005 - 2006,39.93
,,2006 - 2007,39.57
,,2007 - 2008,36.63
,,2008 - 2009,25.96
,,2009 - 2010,90.95
,,2010 - 2011,33.29
,,2011 - 2012,33.29
,,2012 - 2013,14.43
,,2013 - 2014,46.62
,,2014 - 2015,33.28
,,2015 - 2016,16.9
,,2016 - 2017,20.63
,,2017 - 2018,8.39
,,2018 - 2019,24.87
,,2019 - 2020,45.21
,,2020 - 2021,21.37
,,2021 - 2022,16.57
,,2022 - 2023,18.63
,Dhamtari,2000 - 2001,55.0
,,2001 - 2002,54.71
,,2002 - 2003,54.69
,,2003 - 2004,54.76
,,2004 - 2005,54.73
,,2005 - 2006,43.78
,,2006 - 2007,43.78
,,2007 - 2008,43.79
,,2008 - 2009,43.79
,,2009 - 2010,69.96
,,2010 - 2011,46.07
,,2011 - 2012,46.09
,,2012 - 2013,33.04
,,2013 - 2014,46.09
,,2014 - 2015,46.08
,,2015 - 2016,21.34
,,2016 - 2017,25.33
,,2017 - 2018,39.48
,,2018 - 2019,2.56
,,2019 - 2020,33.71
,,2020 - 2021,10.94
,,2021 - 2022,34.36
,,2022 - 2023,38.08
,Durg,2000 - 2001,32.4
,,2001 - 2002,23.83
,,2002 - 2003,31.5
,,2003 - 2004,33.38
,,2004 - 2005,32.86
,,2005 - 2006,35.76
,,2006 - 2007,32.43
,,2007 - 2008,32.42
,,2008 - 2009,33.88
,,2009 - 2010,80.37
,,2010 - 2011,28.6
,,2011 - 2012,30.52
,,2012 - 2013,8.78
,,2013 - 2014,32.42
,,2014 - 2015,33.37
,,2015 - 2016,15.11
,,2016 - 2017,8.05
,,2017 - 2018,9.93
,,2018 - 2019,3.83
,,2019 - 2020,13.29
,,2020 - 2021,12.12
,,2021 - 2022,15.66
,,2022 - 2023,26.77
,Gariyaband,2011 - 2012,40.15
,,2012 - 2013,12.88
,,2013 - 2014,43.75
,,2014 - 2015,43.75
,,2015 - 2016,29.25
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,,2021 - 2022,11.76
,,2022 - 2023,41.47
,Gaurella-pendra-marwahi,2019 - 2020,0.0
,,2020 - 2021,23.5
,Janjgir-champa,2000 - 2001,36.0
,,2001 - 2002,34.0
,,2002 - 2003,34.0
,,2003 - 2004,34.0
,,2004 - 2005,34.0
,,2005 - 2006,34.1
,,2006 - 2007,37.0
,,2007 - 2008,34.1
,,2010 - 2011,39.77
,,2011 - 2012,34.0
,,2012 - 2013,12.66
,,2013 - 2014,34.06
,,2014 - 2015,35.2
,,2015 - 2016,34.0
,,2016 - 2017,37.0
,,2020 - 2021,0.0
,,2021 - 2022,0.0
,Jashpur,2000 - 2001,32.0
,,2001 - 2002,31.68
,,2002 - 2003,31.0
,,2003 - 2004,32.21
,,2004 - 2005,31.59
,,2005 - 2006,31.18
,,2006 - 2007,31.62
,,2007 - 2008,31.14
,,2008 - 2009,29.57
,,2009 - 2010,68.94
,,2010 - 2011,31.13
,,2011 - 2012,31.13
,,2012 - 2013,12.9
,,2013 - 2014,31.15
,,2014 - 2015,31.14
,,2015 - 2016,14.46
,,2016 - 2017,17.41
,,2017 - 2018,15.56
,,2018 - 2019,13.11
,,2019 - 2020,20.8
,,2020 - 2021,0.0
,,2021 - 2022,21.8
,,2022 - 2023,4.0
,Kabirdham,2000 - 2001,36.5
,,2001 - 2002,43.2
,,2002 - 2003,45.5
,,2005 - 2006,30.0
,,2011 - 2012,30.5
,,2012 - 2013,0.0
,,2013 - 2014,42.69
,,2014 - 2015,45.72
,,2015 - 2016,22.31
,,2016 - 2017,0.0
,,2017 - 2018,29.28
,,2018 - 2019,19.51
,,2019 - 2020,26.39
,,2020 - 2021,22.82
,,2021 - 2022,12.25
,,2022 - 2023,21.61
,Kanker,2000 - 2001,46.64
,,2001 - 2002,46.63
,,2002 - 2003,26.7
,,2003 - 2004,49.93
,,2004 - 2005,46.67
,,2005 - 2006,46.56
,,2006 - 2007,46.5
,,2007 - 2008,49.91
,,2008 - 2009,46.55
,,2009 - 2010,84.73
,,2010 - 2011,46.57
,,2011 - 2012,26.63
,,2012 - 2013,14.0
,,2013 - 2014,27.31
,,2014 - 2015,33.31
,,2015 - 2016,20.0
,,2016 - 2017,20.0
,,2017 - 2018,24.2
,,2018 - 2019,26.09
,,2019 - 2020,26.89
,,2020 - 2021,34.56
,,2021 - 2022,4.05
,,2022 - 2023,0.0
,Khairgarh chhuikhadan gandai,2022 - 2023,14.63
,Kondagaon,2011 - 2012,36.63
,,2012 - 2013,17.96
,,2013 - 2014,39.96
,,2014 - 2015,39.96
,,2015 - 2016,12.47
,,2016 - 2017,22.54
,,2017 - 2018,19.97
,,2018 - 2019,22.38
,,2019 - 2020,21.12
,,2020 - 2021,16.84
,,2021 - 2022,20.0
,,2022 - 2023,21.12
,Korba,2000 - 2001,35.8
,,2001 - 2002,34.0
,,2002 - 2003,29.0
,,2003 - 2004,34.0
,,2004 - 2005,34.0
,,2005 - 2006,31.0
,,2008 - 2009,28.0
,,2011 - 2012,34.0
,,2012 - 2013,0.0
,,2013 - 2014,34.0
,,2014 - 2015,35.33
,,2015 - 2016,34.0
,,2016 - 2017,34.0
,,2017 - 2018,34.0
,,2018 - 2019,37.0
,Korea,2000 - 2001,30.0
,,2001 - 2002,32.33
,,2003 - 2004,31.0
,,2020 - 2021,0.0
,,2021 - 2022,11.0
,Mahasamund,2002 - 2003,45.0
,,2003 - 2004,45.0
,,2007 - 2008,43.75
,,2008 - 2009,37.0
,,2010 - 2011,44.0
,,2011 - 2012,51.14
,,2012 - 2013,0.0
,,2013 - 2014,51.07
,,2014 - 2015,43.79
,,2015 - 2016,19.19
,,2016 - 2017,43.83
,,2017 - 2018,43.82
,,2018 - 2019,0.0
,,2019 - 2020,18.19
,,2020 - 2021,26.45
,,2021 - 2022,30.3
,,2022 - 2023,47.76
,Manendragarh chirimiri bharatpur,2022 - 2023,38.8
,Mohla manpur ambagarh chouki,2022 - 2023,9.97
,Mungeli,2011 - 2012,34.08
,,2012 - 2013,27.58
,,2013 - 2014,34.08
,,2014 - 2015,36.93
,,2015 - 2016,15.65
,,2016 - 2017,7.4
,,2017 - 2018,0.0
,,2018 - 2019,0.0
,,2019 - 2020,29.29
,,2020 - 2021,17.0
,,2021 - 2022,8.1
,,2022 - 2023,0.0
,Narayanpur,2006 - 2007,0.0
,,2007 - 2008,43.33
,,2008 - 2009,23.33
,,2009 - 2010,81.75
,,2010 - 2011,40.0
,,2011 - 2012,33.33
,,2012 - 2013,10.0
,,2013 - 2014,38.5
,,2014 - 2015,40.0
,,2015 - 2016,24.67
,,2016 - 2017,19.56
,,2017 - 2018,11.08
,,2018 - 2019,34.5
,,2019 - 2020,27.5
,,2021 - 2022,27.5
,,2022 - 2023,27.5
,Raigarh,2000 - 2001,29.56
,,2001 - 2002,28.53
,,2002 - 2003,28.5
,,2003 - 2004,28.5
,,2004 - 2005,28.0
,,2005 - 2006,33.27
,,2006 - 2007,31.67
,,2007 - 2008,31.14
,,2008 - 2009,29.54
,,2009 - 2010,36.03
,,2010 - 2011,31.67
,,2011 - 2012,31.69
,,2012 - 2013,5.96
,,2013 - 2014,32.74
,,2014 - 2015,32.72
,,2015 - 2016,10.41
,,2016 - 2017,20.99
,,2017 - 2018,25.61
,,2018 - 2019,17.29
,,2019 - 2020,28.0
,,2020 - 2021,14.88
,,2021 - 2022,7.0
,,2022 - 2023,15.81
,Raipur,2000 - 2001,45.24
,,2001 - 2002,45.26
,,2002 - 2003,44.55
,,2003 - 2004,44.52
,,2004 - 2005,44.54
,,2005 - 2006,45.26
,,2006 - 2007,46.0
,,2007 - 2008,43.8
,,2008 - 2009,43.82
,,2009 - 2010,68.12
,,2010 - 2011,40.15
,,2011 - 2012,40.14
,,2012 - 2013,12.33
,,2013 - 2014,51.1
,,2014 - 2015,43.8
,,2015 - 2016,23.07
,,2016 - 2017,25.03
,,2017 - 2018,18.78
,,2018 - 2019,33.09
,,2019 - 2020,2.77
,,2020 - 2021,18.13
,,2021 - 2022,27.38
,,2022 - 2023,21.33
,Rajnandgaon,2000 - 2001,44.0
,,2001 - 2002,43.2
,,2002 - 2003,42.67
,,2003 - 2004,42.75
,,2004 - 2005,42.7
,,2005 - 2006,36.55
,,2006 - 2007,36.57
,,2007 - 2008,39.58
,,2008 - 2009,38.39
,,2009 - 2010,90.68
,,2010 - 2011,36.57
,,2011 - 2012,39.62
,,2012 - 2013,22.7
,,2013 - 2014,42.66
,,2014 - 2015,42.67
,,2015 - 2016,14.84
,,2016 - 2017,39.63
,,2017 - 2018,7.32
,,2018 - 2019,33.68
,,2019 - 2020,3.46
,,2020 - 2021,24.63
,,2021 - 2022,18.38
,,2022 - 2023,21.9
,Sakti,2022 - 2023,0.0
,Sarangarh bilaigarh,2022 - 2023,0.0
,Sukma,2011 - 2012,33.3
,,2012 - 2013,28.35
,,2013 - 2014,46.61
,,2014 - 2015,33.29
,,2015 - 2016,18.16
,,2016 - 2017,18.26
,,2017 - 2018,16.07
,,2018 - 2019,33.31
,,2019 - 2020,9.91
,,2020 - 2021,8.04
,,2021 - 2022,32.96
,,2022 - 2023,15.78
,Surajpur,2018 - 2019,0.0
,,2019 - 2020,19.5
,,2020 - 2021,2.79
,,2021 - 2022,26.46
,,2022 - 2023,15.25
,Surguja,2000 - 2001,30.0
,,2001 - 2002,32.29
,,2002 - 2003,31.36
,,2003 - 2004,31.33
,,2004 - 2005,28.1
,,2005 - 2006,29.48
,,2006 - 2007,35.14
,,2007 - 2008,30.42
,,2008 - 2009,23.36
,,2009 - 2010,42.2
,,2010 - 2011,28.08
,,2011 - 2012,28.08
,,2012 - 2013,8.92
,,2013 - 2014,28.53
,,2014 - 2015,23.4
,,2015 - 2016,12.43
,,2016 - 2017,25.71
,,2017 - 2018,0.0
,,2018 - 2019,23.5
,,2019 - 2020,11.09
,,2020 - 2021,16.54
,,2021 - 2022,16.64
,,2022 - 2023,13.64
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
Goa,North goa,2013 - 2014,11.36
,,2014 - 2015,11.31
,,2015 - 2016,11.32
,,2016 - 2017,11.33
,,2017 - 2018,11.13
,,2018 - 2019,11.15
,,2019 - 2020,15.68
,,2020 - 2021,12.3
,,2021 - 2022,12.14
,,2022 - 2023,12.08
,South goa,2013 - 2014,11.27
,,2014 - 2015,11.27
,,2015 - 2016,11.31
,,2016 - 2017,10.87
,,2017 - 2018,11.1
,,2018 - 2019,11.21
,,2019 - 2020,10.51
,,2020 - 2021,11.82
,,2021 - 2022,11.68
,,2022 - 2023,11.62
Gujarat,Ahmadabad,2000 - 2001,40.0
,,2006 - 2007,13.0
,,2007 - 2008,40.0
,,2008 - 2009,61.0
,,2013 - 2014,72.76
,,2020 - 2021,72.67
,Amreli,2005 - 2006,77.0
,,2015 - 2016,72.38
,,2020 - 2021,72.65
,Anand,2003 - 2004,72.51
,,2004 - 2005,52.72
,,2005 - 2006,72.56
,,2006 - 2007,80.37
,,2007 - 2008,73.95
,,2008 - 2009,76.16
,,2009 - 2010,77.9
,,2010 - 2011,76.93
,,2011 - 2012,75.57
,,2012 - 2013,79.09
,,2013 - 2014,84.09
,,2014 - 2015,80.68
,,2015 - 2016,72.35
,,2016 - 2017,83.71
,,2017 - 2018,80.95
,,2018 - 2019,85.11
,,2019 - 2020,84.16
,,2020 - 2021,81.96
,,2021 - 2022,83.25
,,2022 - 2023,83.17
,Banas kantha,2016 - 2017,81.83
,Bharuch,2000 - 2001,59.21
,,2001 - 2002,59.14
,,2003 - 2004,73.88
,,2004 - 2005,63.41
,,2005 - 2006,67.04
,,2006 - 2007,64.04
,,2007 - 2008,57.9
,,2008 - 2009,64.87
,,2009 - 2010,66.45
,,2010 - 2011,63.56
,,2011 - 2012,76.82
,,2012 - 2013,67.94
,,2013 - 2014,63.73
,,2014 - 2015,68.77
,,2015 - 2016,72.35
,,2016 - 2017,80.01
,,2017 - 2018,66.79
,,2018 - 2019,73.38
,,2019 - 2020,67.15
,,2020 - 2021,64.41
,,2021 - 2022,68.59
,,2022 - 2023,71.2
,Bhavnagar,2004 - 2005,52.5
,,2005 - 2006,70.0
,,2006 - 2007,40.0
,,2011 - 2012,68.0
,,2013 - 2014,72.77
,,2014 - 2015,73.75
,,2016 - 2017,81.8
,,2017 - 2018,71.5
,,2018 - 2019,77.33
,,2020 - 2021,72.65
,,2021 - 2022,113.58
,Chhotaudepur,2014 - 2015,75.13
,,2015 - 2016,72.35
,,2016 - 2017,87.96
,,2017 - 2018,71.73
,,2018 - 2019,77.33
,,2019 - 2020,62.7
,,2020 - 2021,72.65
,,2021 - 2022,73.39
,,2022 - 2023,89.51
,Dang,2006 - 2007,12.0
,,2007 - 2008,24.0
,,2012 - 2013,47.0
,,2013 - 2014,72.77
,,2014 - 2015,73.73
,Gandhinagar,2001 - 2002,53.19
,Gir somnath,2021 - 2022,75.72
,,2022 - 2023,79.89
,Junagadh,2000 - 2001,58.0
,,2001 - 2002,48.75
,,2003 - 2004,52.67
,,2004 - 2005,64.0
,,2006 - 2007,24.0
,,2007 - 2008,54.0
,,2008 - 2009,74.0
,,2009 - 2010,39.0
,,2010 - 2011,48.0
,,2015 - 2016,72.33
,,2020 - 2021,72.65
,,2022 - 2023,79.89
,Kachchh,2000 - 2001,52.5
,,2001 - 2002,82.0
,,2003 - 2004,71.83
,,2004 - 2005,68.0
,,2005 - 2006,72.0
,,2015 - 2016,72.35
,,2016 - 2017,81.83
,Kheda,2000 - 2001,50.77
,,2005 - 2006,41.0
,,2006 - 2007,97.0
,,2007 - 2008,34.0
,,2008 - 2009,44.0
,,2009 - 2010,57.0
,,2013 - 2014,72.67
,,2015 - 2016,72.4
,Morbi,2020 - 2021,72.65
,,2021 - 2022,75.72
,Narmada,2003 - 2004,66.15
,,2004 - 2005,70.0
,,2005 - 2006,70.14
,,2006 - 2007,70.83
,,2007 - 2008,63.67
,,2008 - 2009,70.02
,,2009 - 2010,72.19
,,2010 - 2011,68.96
,,2011 - 2012,62.66
,,2012 - 2013,64.95
,,2013 - 2014,68.61
,,2014 - 2015,73.62
,,2015 - 2016,72.35
,,2016 - 2017,77.34
,,2017 - 2018,72.26
,,2018 - 2019,68.81
,,2019 - 2020,76.83
,,2020 - 2021,72.42
,,2021 - 2022,70.36
,,2022 - 2023,72.35
,Navsari,2003 - 2004,51.5
,,2004 - 2005,55.5
,,2005 - 2006,66.0
,,2006 - 2007,79.0
,,2007 - 2008,85.0
,,2008 - 2009,69.0
,,2009 - 2010,58.67
,,2010 - 2011,103.0
,,2011 - 2012,60.0
,,2012 - 2013,62.0
,,2013 - 2014,72.78
,,2014 - 2015,73.74
,,2015 - 2016,72.35
,,2016 - 2017,81.83
,,2017 - 2018,71.73
,,2020 - 2021,72.65
,,2021 - 2022,75.72
,Panch mahals,2000 - 2001,48.0
,,2001 - 2002,42.0
,,2003 - 2004,61.67
,,2004 - 2005,66.0
,,2005 - 2006,68.0
,,2006 - 2007,60.0
,,2007 - 2008,76.0
,,2008 - 2009,116.0
,,2009 - 2010,52.0
,,2010 - 2011,84.0
,,2011 - 2012,64.0
,,2012 - 2013,52.0
,,2013 - 2014,72.77
,,2018 - 2019,77.33
,,2019 - 2020,74.62
,,2020 - 2021,73.0
,Patan,2014 - 2015,73.74
,Rajkot,2017 - 2018,71.75
,Sabar kantha,2011 - 2012,36.0
,,2012 - 2013,36.0
,Surat,2000 - 2001,45.32
,,2001 - 2002,64.69
,,2003 - 2004,73.83
,,2004 - 2005,60.94
,,2005 - 2006,72.41
,,2006 - 2007,79.74
,,2007 - 2008,66.61
,,2008 - 2009,77.52
,,2009 - 2010,72.97
,,2010 - 2011,65.73
,,2011 - 2012,64.76
,,2012 - 2013,79.3
,,2013 - 2014,69.18
,,2014 - 2015,18.96
,,2015 - 2016,72.35
,,2016 - 2017,81.83
,,2017 - 2018,71.73
,,2018 - 2019,77.33
,,2019 - 2020,74.9
,,2020 - 2021,72.65
,,2021 - 2022,71.29
,,2022 - 2023,79.37
,Surendranagar,2016 - 2017,81.83
,Tapi,2008 - 2009,90.0
,,2009 - 2010,86.33
,,2010 - 2011,66.67
,,2011 - 2012,58.5
,,2012 - 2013,70.0
,,2014 - 2015,73.73
,,2020 - 2021,72.6
,,2021 - 2022,75.75
,Vadodara,2000 - 2001,73.48
,,2001 - 2002,76.33
,,2003 - 2004,77.62
,,2004 - 2005,63.33
,,2005 - 2006,59.43
,,2006 - 2007,63.58
,,2007 - 2008,66.91
,,2008 - 2009,67.94
,,2009 - 2010,74.7
,,2010 - 2011,64.8
,,2011 - 2012,66.75
,,2012 - 2013,66.35
,,2013 - 2014,64.85
,,2014 - 2015,54.8
,,2015 - 2016,72.35
,,2016 - 2017,91.96
,,2017 - 2018,68.03
,,2018 - 2019,85.91
,,2019 - 2020,75.98
,,2020 - 2021,74.29
,,2021 - 2022,74.19
,,2022 - 2023,78.98
,Valsad,2000 - 2001,50.0
,,2001 - 2002,69.25
,,2003 - 2004,49.5
,,2004 - 2005,37.0
,,2006 - 2007,66.0
,,2007 - 2008,53.5
,,2008 - 2009,65.0
,,2009 - 2010,59.0
,,2010 - 2011,62.0
,,2020 - 2021,72.65
,,2021 - 2022,75.72
Haryana,Faridabad,2002 - 2003,0.0
,,2003 - 2004,0.0
,Jhajjar,2002 - 2003,0.0
,Kurukshetra,2002 - 2003,0.0
,,2003 - 2004,0.0
,Panipat,2003 - 2004,0.0
,Sonipat,2002 - 2003,0.0
,,2003 - 2004,0.0
Karnataka,Bagalkot,2000 - 2001,16.8
,,2002 - 2003,15.27
,,2003 - 2004,17.1
,,2004 - 2005,36.82
,,2005 - 2006,29.49
,,2006 - 2007,19.97
,,2007 - 2008,16.23
,,2008 - 2009,23.07
,,2009 - 2010,10.82
,,2010 - 2011,11.17
,,2011 - 2012,13.01
,Bangalore rural,2000 - 2001,13.58
,,2002 - 2003,12.26
,,2003 - 2004,11.45
,,2004 - 2005,17.06
,,2005 - 2006,14.14
,,2006 - 2007,79.82
,,2007 - 2008,29.11
,,2008 - 2009,24.84
,,2009 - 2010,33.92
,,2010 - 2011,35.84
,,2011 - 2012,36.47
,Belgaum,2000 - 2001,20.56
,,2002 - 2003,14.5
,,2003 - 2004,21.6
,,2004 - 2005,23.13
,,2005 - 2006,35.95
,,2006 - 2007,44.98
,,2007 - 2008,48.21
,,2008 - 2009,39.25
,,2009 - 2010,42.52
,,2010 - 2011,43.85
,,2011 - 2012,47.79
,Bellary,2000 - 2001,19.0
,,2002 - 2003,24.73
,,2003 - 2004,19.09
,,2004 - 2005,27.38
,,2005 - 2006,43.36
,,2006 - 2007,11.08
,,2007 - 2008,18.35
,,2008 - 2009,32.4
,,2009 - 2010,36.92
,,2010 - 2011,38.57
,,2011 - 2012,40.75
,Bengaluru urban,2000 - 2001,18.38
,,2002 - 2003,22.12
,,2003 - 2004,19.49
,,2004 - 2005,43.78
,,2005 - 2006,11.7
,,2006 - 2007,5.28
,,2007 - 2008,37.05
,,2008 - 2009,44.34
,,2009 - 2010,32.17
,,2010 - 2011,33.52
,,2011 - 2012,24.99
,Bidar,2000 - 2001,18.38
,,2002 - 2003,11.43
,,2003 - 2004,18.52
,,2004 - 2005,40.84
,,2005 - 2006,11.87
,,2006 - 2007,19.96
,,2007 - 2008,17.68
,,2008 - 2009,38.41
,,2009 - 2010,22.18
,,2010 - 2011,23.49
,,2011 - 2012,24.99
,Bijapur,2000 - 2001,19.38
,,2002 - 2003,18.73
,,2003 - 2004,16.47
,,2004 - 2005,20.22
,,2005 - 2006,11.27
,,2006 - 2007,27.52
,,2007 - 2008,22.52
,,2008 - 2009,24.37
,,2009 - 2010,33.58
,,2010 - 2011,33.58
,,2011 - 2012,34.8
,Chamarajanagar,2000 - 2001,21.73
,,2002 - 2003,20.5
,,2003 - 2004,12.16
,,2004 - 2005,14.46
,,2005 - 2006,14.98
,,2006 - 2007,11.49
,,2007 - 2008,17.69
,,2008 - 2009,23.58
,,2009 - 2010,33.49
,,2010 - 2011,35.98
,,2011 - 2012,36.36
,Chikballapur,2007 - 2008,12.69
,,2008 - 2009,18.26
,,2009 - 2010,18.16
,,2010 - 2011,20.96
,,2011 - 2012,23.27
,Chikmagalur,2000 - 2001,18.67
,,2002 - 2003,11.31
,,2003 - 2004,4.51
,,2004 - 2005,2.77
,,2005 - 2006,4.85
,,2006 - 2007,4.85
,,2007 - 2008,1.64
,,2008 - 2009,4.42
,,2009 - 2010,7.3
,,2010 - 2011,8.1
,,2011 - 2012,8.15
,Chitradurga,2000 - 2001,11.29
,,2002 - 2003,15.54
,,2003 - 2004,36.32
,,2004 - 2005,9.48
,,2005 - 2006,14.49
,,2006 - 2007,10.6
,,2007 - 2008,11.68
,,2008 - 2009,7.78
,,2009 - 2010,8.31
,,2010 - 2011,12.06
,,2011 - 2012,13.17
,Dakshin kannad,2000 - 2001,22.3
,,2002 - 2003,20.58
,,2003 - 2004,8.63
,,2004 - 2005,12.44
,,2005 - 2006,1.91
,,2006 - 2007,3.38
,,2007 - 2008,1.01
,,2008 - 2009,1.22
,,2009 - 2010,2.52
,,2010 - 2011,2.6
,,2011 - 2012,2.92
,Davangere,2000 - 2001,18.38
,,2002 - 2003,15.77
,,2003 - 2004,24.91
,,2004 - 2005,11.44
,,2005 - 2006,15.68
,,2006 - 2007,27.85
,,2007 - 2008,14.16
,,2008 - 2009,12.07
,,2009 - 2010,14.3
,,2010 - 2011,17.79
,,2011 - 2012,19.66
,Dharwad,2000 - 2001,18.38
,,2002 - 2003,17.12
,,2003 - 2004,12.98
,,2004 - 2005,12.55
,,2005 - 2006,11.87
,,2006 - 2007,19.97
,,2007 - 2008,17.68
,,2008 - 2009,38.23
,,2009 - 2010,22.18
,,2010 - 2011,23.49
,,2011 - 2012,24.99
,Gadag,2000 - 2001,18.38
,,2002 - 2003,17.12
,,2003 - 2004,12.99
,,2004 - 2005,12.55
,,2005 - 2006,11.88
,,2006 - 2007,19.97
,,2007 - 2008,17.69
,,2008 - 2009,17.37
,,2009 - 2010,22.18
,,2010 - 2011,23.49
,,2011 - 2012,24.99
,Gulbarga,2000 - 2001,19.88
,,2002 - 2003,23.83
,,2003 - 2004,10.61
,,2004 - 2005,19.49
,,2005 - 2006,23.81
