state,district,year,sweet_potato_whole_year_yield_tonne_per_hectare
,,2008 - 2009,
,Katihar,2000 - 2001,14.47
,,2001 - 2002,11.22
,,2002 - 2003,13.17
,,2003 - 2004,14.81
,,2004 - 2005,12.2
,,2005 - 2006,14.83
,,2007 - 2008,13.15
,,2008 - 2009,
,Khagaria,2000 - 2001,12.06
,,2001 - 2002,13.33
,,2002 - 2003,14.0
,,2004 - 2005,14.0
,,2005 - 2006,16.3
,,2007 - 2008,13.13
,,2008 - 2009,
,Kishanganj,2000 - 2001,18.45
,,2001 - 2002,11.21
,,2002 - 2003,12.33
,,2003 - 2004,14.62
,,2004 - 2005,12.03
,,2005 - 2006,15.14
,,2007 - 2008,13.31
,,2008 - 2009,
,Madhepura,2000 - 2001,5.95
,,2001 - 2002,7.39
,,2002 - 2003,8.06
,,2003 - 2004,13.13
,,2004 - 2005,9.08
,,2005 - 2006,15.37
,,2007 - 2008,13.26
,,2008 - 2009,
,Madhubani,2000 - 2001,17.78
,,2001 - 2002,12.5
,,2002 - 2003,13.43
,,2003 - 2004,14.06
,,2004 - 2005,17.46
,,2005 - 2006,18.88
,,2007 - 2008,16.84
,,2008 - 2009,
,Munger,2000 - 2001,12.18
,,2001 - 2002,13.38
,,2002 - 2003,14.72
,,2003 - 2004,13.53
,,2004 - 2005,14.72
,,2005 - 2006,14.92
,,2007 - 2008,13.32
,,2008 - 2009,
,Muzaffarpur,2000 - 2001,12.09
,,2001 - 2002,11.21
,,2002 - 2003,12.94
,,2003 - 2004,13.36
,,2004 - 2005,14.27
,,2005 - 2006,15.86
,,2007 - 2008,13.1
,,2008 - 2009,
,Nawada,2000 - 2001,12.0
,,2001 - 2002,12.78
,,2002 - 2003,14.55
,,2003 - 2004,8.1
,,2004 - 2005,8.13
,,2005 - 2006,15.98
,,2007 - 2008,13.13
,,2008 - 2009,
,Pashchim champaran,2000 - 2001,12.21
,,2001 - 2002,8.77
,,2002 - 2003,14.71
,,2003 - 2004,14.55
,,2004 - 2005,15.91
,,2005 - 2006,14.91
,,2007 - 2008,13.18
,,2008 - 2009,
,Patna,2000 - 2001,12.16
,,2001 - 2002,11.36
,,2002 - 2003,11.55
,,2003 - 2004,9.82
,,2004 - 2005,13.98
,,2007 - 2008,14.74
,,2008 - 2009,
,Purbi champaran,2000 - 2001,12.19
,,2001 - 2002,9.2
,,2002 - 2003,14.72
,,2003 - 2004,14.49
,,2004 - 2005,15.25
,,2005 - 2006,15.34
,,2007 - 2008,12.64
,,2008 - 2009,
,Purnia,2000 - 2001,17.06
,,2001 - 2002,10.91
,,2002 - 2003,12.36
,,2003 - 2004,14.82
,,2004 - 2005,13.6
,,2005 - 2006,14.96
,,2007 - 2008,13.32
,,2008 - 2009,
,Rohtas,2000 - 2001,12.0
,,2002 - 2003,12.67
,,2003 - 2004,12.86
,,2004 - 2005,15.69
,,2005 - 2006,14.93
,,2007 - 2008,14.79
,,2008 - 2009,
,Saharsa,2000 - 2001,12.0
,,2001 - 2002,7.89
,,2002 - 2003,8.8
,,2003 - 2004,13.59
,,2004 - 2005,10.23
,,2005 - 2006,16.29
,,2007 - 2008,13.18
,,2008 - 2009,
,Samastipur,2000 - 2001,20.92
,,2001 - 2002,20.85
,,2002 - 2003,22.98
,,2003 - 2004,14.4
,,2004 - 2005,23.23
,,2005 - 2006,12.55
,,2007 - 2008,12.82
,,2008 - 2009,
,Saran,2000 - 2001,5.04
,,2001 - 2002,13.38
,,2002 - 2003,10.34
,,2003 - 2004,14.43
,,2004 - 2005,10.8
,,2005 - 2006,15.7
,,2007 - 2008,13.25
,,2008 - 2009,
,Sheohar,2000 - 2001,12.07
,,2001 - 2002,11.64
,,2002 - 2003,10.53
,,2003 - 2004,13.17
,,2004 - 2005,14.6
,,2005 - 2006,16.05
,Sitamarhi,2000 - 2001,12.04
,,2001 - 2002,10.92
,,2002 - 2003,12.56
,,2003 - 2004,13.99
,,2004 - 2005,13.68
,,2005 - 2006,16.3
,,2007 - 2008,14.41
,,2008 - 2009,
,Siwan,2000 - 2001,9.18
,,2001 - 2002,12.86
,,2002 - 2003,10.14
,,2003 - 2004,13.95
,,2004 - 2005,13.35
,,2005 - 2006,15.64
,,2007 - 2008,13.25
,,2008 - 2009,
,Supaul,2000 - 2001,6.92
,,2001 - 2002,6.6
,,2002 - 2003,7.05
,,2003 - 2004,14.17
,,2004 - 2005,8.59
,,2005 - 2006,14.99
,,2007 - 2008,13.32
,,2008 - 2009,
,Vaishali,2000 - 2001,12.11
,,2001 - 2002,11.62
,,2002 - 2003,13.73
,,2003 - 2004,14.01
,,2004 - 2005,15.03
,,2005 - 2006,15.18
,,2007 - 2008,12.45
,,2008 - 2009,
Chhattisgarh,Balod,2011 - 2012,6.14
,,2012 - 2013,6.3
,,2013 - 2014,6.33
,,2014 - 2015,6.0
,,2015 - 2016,6.77
,,2016 - 2017,6.0
,,2020 - 2021,8.0
,,2022 - 2023,8.0
,Baloda bazar,2011 - 2012,4.89
,,2012 - 2013,4.88
,,2013 - 2014,5.33
,,2014 - 2015,5.79
,,2015 - 2016,6.22
,,2016 - 2017,5.77
,,2017 - 2018,4.0
,,2018 - 2019,4.44
,,2019 - 2020,4.44
,,2020 - 2021,7.36
,,2021 - 2022,7.36
,,2022 - 2023,0.0
,Balrampur,2011 - 2012,4.52
,,2012 - 2013,5.42
,,2013 - 2014,5.06
,,2014 - 2015,4.79
,,2015 - 2016,5.24
,,2016 - 2017,4.88
,,2017 - 2018,5.06
,,2018 - 2019,5.6
,,2019 - 2020,5.44
,,2020 - 2021,5.44
,,2021 - 2022,5.07
,,2022 - 2023,5.35
,Bastar,2000 - 2001,6.0
,,2001 - 2002,5.83
,,2002 - 2003,5.39
,,2003 - 2004,5.57
,,2004 - 2005,5.66
,,2005 - 2006,5.66
,,2006 - 2007,6.03
,,2007 - 2008,5.65
,,2008 - 2009,5.92
,,2009 - 2010,5.83
,,2010 - 2011,5.83
,,2011 - 2012,5.74
,,2012 - 2013,5.66
,,2013 - 2014,5.22
,,2014 - 2015,5.75
,,2015 - 2016,5.94
,,2016 - 2017,5.75
,,2017 - 2018,5.85
,,2018 - 2019,5.3
,,2019 - 2020,4.94
,,2020 - 2021,4.77
,,2021 - 2022,5.13
,,2022 - 2023,5.67
,Bemetara,2011 - 2012,6.17
,,2012 - 2013,5.0
,,2013 - 2014,6.33
,,2014 - 2015,6.33
,,2015 - 2016,7.0
,,2016 - 2017,5.8
,,2017 - 2018,6.73
,,2018 - 2019,5.8
,,2019 - 2020,5.3
,,2020 - 2021,6.27
,,2021 - 2022,5.8
,,2022 - 2023,6.0
,Bijapur,2006 - 2007,0.0
,,2007 - 2008,5.63
,,2008 - 2009,5.86
,,2009 - 2010,6.07
,,2010 - 2011,6.82
,,2011 - 2012,5.0
,,2012 - 2013,5.23
,,2013 - 2014,5.27
,,2014 - 2015,4.63
,,2015 - 2016,3.92
,,2016 - 2017,4.94
,,2017 - 2018,5.25
,,2018 - 2019,5.5
,,2019 - 2020,5.25
,,2020 - 2021,7.2
,,2021 - 2022,7.22
,,2022 - 2023,5.17
,Bilaspur,2000 - 2001,6.28
,,2001 - 2002,6.5
,,2002 - 2003,5.85
,,2003 - 2004,6.17
,,2004 - 2005,6.39
,,2005 - 2006,6.5
,,2006 - 2007,6.5
,,2007 - 2008,6.5
,,2008 - 2009,6.5
,,2009 - 2010,6.5
,,2010 - 2011,5.41
,,2011 - 2012,6.5
,,2012 - 2013,6.5
,,2013 - 2014,6.5
,,2014 - 2015,6.5
,,2015 - 2016,7.04
,,2016 - 2017,7.58
,,2017 - 2018,6.5
,,2018 - 2019,7.57
,,2019 - 2020,7.67
,,2020 - 2021,9.0
,,2021 - 2022,9.0
,Dantewada,2000 - 2001,4.78
,,2001 - 2002,4.87
,,2002 - 2003,3.67
,,2003 - 2004,5.21
,,2004 - 2005,4.7
,,2005 - 2006,5.22
,,2006 - 2007,5.38
,,2007 - 2008,5.71
,,2008 - 2009,5.0
,,2009 - 2010,0.0
,,2010 - 2011,5.83
,,2011 - 2012,3.48
,,2012 - 2013,5.23
,,2013 - 2014,5.23
,,2014 - 2015,4.61
,,2015 - 2016,5.13
,,2016 - 2017,4.96
,,2017 - 2018,5.22
,,2018 - 2019,0.0
,,2019 - 2020,7.23
,,2020 - 2021,5.3
,,2021 - 2022,0.0
,,2022 - 2023,5.54
,Dhamtari,2000 - 2001,4.98
,,2001 - 2002,5.14
,,2002 - 2003,4.44
,,2003 - 2004,4.43
,,2004 - 2005,4.44
,,2005 - 2006,5.33
,,2006 - 2007,5.32
,,2007 - 2008,5.33
,,2008 - 2009,5.32
,,2009 - 2010,5.35
,,2010 - 2011,5.36
,,2011 - 2012,5.37
,,2012 - 2013,5.35
,,2013 - 2014,5.35
,,2014 - 2015,5.37
,,2015 - 2016,5.35
,,2016 - 2017,5.37
,,2017 - 2018,5.25
,,2018 - 2019,0.0
,,2019 - 2020,5.8
,,2020 - 2021,6.0
,,2021 - 2022,8.0
,,2022 - 2023,6.5
,Durg,2000 - 2001,6.2
,,2001 - 2002,6.96
,,2002 - 2003,5.61
,,2003 - 2004,6.85
,,2004 - 2005,6.38
,,2005 - 2006,6.09
,,2006 - 2007,6.79
,,2007 - 2008,6.77
,,2008 - 2009,6.49
,,2009 - 2010,6.18
,,2010 - 2011,5.8
,,2011 - 2012,6.19
,,2012 - 2013,6.28
,,2015 - 2016,7.0
,,2018 - 2019,0.0
,,2019 - 2020,7.06
,,2020 - 2021,7.6
,,2022 - 2023,9.0
,Gariyaband,2011 - 2012,4.89
,,2012 - 2013,4.9
,,2013 - 2014,4.88
,,2014 - 2015,5.77
,,2015 - 2016,5.32
,,2016 - 2017,5.29
,,2017 - 2018,4.0
,,2018 - 2019,0.0
,,2020 - 2021,7.25
,,2021 - 2022,0.0
,,2022 - 2023,5.67
,Gaurella-pendra-marwahi,2019 - 2020,7.6
,,2020 - 2021,6.4
,,2021 - 2022,6.53
,,2022 - 2023,6.3
,Janjgir-champa,2000 - 2001,6.49
,,2001 - 2002,6.44
,,2002 - 2003,6.47
,,2003 - 2004,6.47
,,2004 - 2005,6.5
,,2005 - 2006,6.5
,,2006 - 2007,6.47
,,2007 - 2008,6.87
,,2008 - 2009,6.81
,,2009 - 2010,7.0
,,2010 - 2011,5.39
,,2011 - 2012,6.52
,,2012 - 2013,6.52
,,2013 - 2014,6.5
,,2014 - 2015,6.5
,,2015 - 2016,6.5
,,2016 - 2017,6.5
,,2017 - 2018,6.45
,,2018 - 2019,6.5
,,2019 - 2020,6.53
,,2020 - 2021,7.59
,,2021 - 2022,7.5
,Jashpur,2000 - 2001,5.98
,,2001 - 2002,5.78
,,2002 - 2003,6.07
,,2003 - 2004,5.78
,,2004 - 2005,5.78
,,2005 - 2006,5.98
,,2006 - 2007,5.59
,,2007 - 2008,5.78
,,2008 - 2009,5.69
,,2009 - 2010,5.78
,,2010 - 2011,5.59
,,2011 - 2012,5.78
,,2012 - 2013,5.59
,,2013 - 2014,5.88
,,2014 - 2015,5.88
,,2015 - 2016,5.88
,,2016 - 2017,5.69
,,2017 - 2018,5.78
,,2018 - 2019,5.68
,,2019 - 2020,5.79
,,2020 - 2021,5.78
,,2021 - 2022,5.79
,,2022 - 2023,5.78
,Kabirdham,2000 - 2001,5.85
,,2001 - 2002,6.13
,,2002 - 2003,6.36
,,2003 - 2004,5.86
,,2004 - 2005,5.46
,,2005 - 2006,4.89
,,2006 - 2007,4.9
,,2007 - 2008,4.92
,,2008 - 2009,4.88
,,2009 - 2010,5.0
,,2010 - 2011,6.0
,,2011 - 2012,4.86
,,2012 - 2013,5.75
,,2013 - 2014,5.85
,,2014 - 2015,5.8
,,2015 - 2016,5.0
,Kanker,2000 - 2001,5.22
,,2001 - 2002,6.52
,,2002 - 2003,3.49
,,2003 - 2004,5.66
,,2004 - 2005,5.22
,,2005 - 2006,5.22
,,2006 - 2007,5.22
,,2007 - 2008,5.22
,,2008 - 2009,5.91
,,2009 - 2010,6.09
,,2010 - 2011,6.79
,,2011 - 2012,3.48
,,2012 - 2013,3.75
,,2013 - 2014,3.66
,,2014 - 2015,4.61
,,2015 - 2016,4.31
,,2016 - 2017,4.88
,,2017 - 2018,4.52
,,2018 - 2019,4.91
,,2019 - 2020,5.88
,,2020 - 2021,5.84
,,2021 - 2022,5.67
,,2022 - 2023,5.67
,Khairgarh chhuikhadan gandai,2022 - 2023,6.5
,Kondagaon,2011 - 2012,5.74
,,2012 - 2013,5.66
,,2013 - 2014,5.22
,,2014 - 2015,5.22
,,2015 - 2016,10.84
,,2016 - 2017,9.04
,,2017 - 2018,9.03
,,2018 - 2019,9.03
,,2019 - 2020,9.03
,,2020 - 2021,9.04
,,2021 - 2022,9.0
,,2022 - 2023,9.04
,Korba,2000 - 2001,6.49
,,2001 - 2002,6.49
,,2002 - 2003,6.49
,,2003 - 2004,6.49
,,2004 - 2005,5.73
,,2005 - 2006,5.74
,,2006 - 2007,6.5
,,2007 - 2008,6.94
,,2008 - 2009,5.41
,,2009 - 2010,5.41
,,2010 - 2011,5.41
,,2011 - 2012,5.41
,,2012 - 2013,5.42
,,2013 - 2014,6.51
,,2014 - 2015,6.5
,,2015 - 2016,6.5
,,2016 - 2017,6.5
,,2017 - 2018,6.5
,,2018 - 2019,6.49
,,2019 - 2020,6.5
,,2020 - 2021,6.44
,,2021 - 2022,6.43
,,2022 - 2023,6.5
,Korea,2000 - 2001,5.42
,,2001 - 2002,5.43
,,2002 - 2003,6.14
,,2003 - 2004,5.6
,,2004 - 2005,5.34
,,2005 - 2006,5.06
,,2006 - 2007,5.15
,,2007 - 2008,5.24
,,2008 - 2009,5.43
,,2009 - 2010,5.16
,,2010 - 2011,4.34
,,2011 - 2012,4.98
,,2012 - 2013,5.24
,,2013 - 2014,5.51
,,2014 - 2015,5.24
,,2015 - 2016,4.52
,,2016 - 2017,3.71
,,2017 - 2018,5.51
,,2018 - 2019,5.51
,,2019 - 2020,3.98
,,2020 - 2021,4.88
,,2021 - 2022,5.2
,,2022 - 2023,6.31
,Mahasamund,2000 - 2001,5.25
,,2001 - 2002,4.5
,,2002 - 2003,4.0
,,2003 - 2004,4.0
,,2004 - 2005,3.0
,,2005 - 2006,5.0
,,2006 - 2007,5.5
,,2007 - 2008,5.5
,,2008 - 2009,5.0
,,2011 - 2012,5.0
,,2012 - 2013,5.0
,,2013 - 2014,5.33
,,2014 - 2015,0.0
,,2015 - 2016,6.25
,,2017 - 2018,5.33
,,2019 - 2020,7.5
,,2020 - 2021,7.33
,,2021 - 2022,0.0
,,2022 - 2023,7.33
,Manendragarh chirimiri bharatpur,2022 - 2023,5.83
,Mungeli,2011 - 2012,6.5
,,2012 - 2013,6.5
,,2013 - 2014,6.5
,,2014 - 2015,6.5
,,2015 - 2016,6.5
,,2016 - 2017,7.4
,,2017 - 2018,5.67
,,2018 - 2019,7.63
,,2020 - 2021,7.0
,,2021 - 2022,9.0
,,2022 - 2023,6.75
,Narayanpur,2006 - 2007,0.0
,,2007 - 2008,5.67
,,2008 - 2009,5.93
,,2009 - 2010,5.82
,,2010 - 2011,5.83
,,2011 - 2012,4.77
,,2012 - 2013,3.33
,,2013 - 2014,5.8
,,2014 - 2015,5.8
,,2015 - 2016,4.33
,,2016 - 2017,4.25
,,2017 - 2018,5.2
,,2018 - 2019,0.0
,,2019 - 2020,7.17
,,2020 - 2021,4.0
,,2021 - 2022,7.25
,,2022 - 2023,4.5
,Raigarh,2000 - 2001,5.88
,,2001 - 2002,5.59
,,2002 - 2003,5.11
,,2003 - 2004,5.88
,,2004 - 2005,5.21
,,2005 - 2006,5.3
,,2006 - 2007,5.79
,,2007 - 2008,5.79
,,2008 - 2009,5.78
,,2009 - 2010,5.78
,,2010 - 2011,5.78
,,2011 - 2012,5.59
,,2012 - 2013,5.59
,,2013 - 2014,5.97
,,2014 - 2015,5.98
,,2015 - 2016,5.97
,,2016 - 2017,5.79
,,2017 - 2018,6.07
,,2018 - 2019,5.59
,,2019 - 2020,5.3
,,2020 - 2021,5.21
,,2021 - 2022,5.4
,,2022 - 2023,5.39
,Raipur,2000 - 2001,5.33
,,2001 - 2002,5.32
,,2002 - 2003,5.24
,,2003 - 2004,5.15
,,2004 - 2005,5.15
,,2005 - 2006,5.15
,,2006 - 2007,5.33
,,2007 - 2008,5.33
,,2008 - 2009,4.88
,,2009 - 2010,4.44
,,2010 - 2011,5.33
,,2011 - 2012,4.89
,,2012 - 2013,4.86
,,2013 - 2014,5.83
,,2014 - 2015,6.0
,,2015 - 2016,6.29
,,2016 - 2017,5.8
,,2017 - 2018,6.0
,,2018 - 2019,6.0
,,2020 - 2021,5.5
,,2021 - 2022,5.0
,,2022 - 2023,5.0
,Rajnandgaon,2000 - 2001,6.44
,,2001 - 2002,6.34
,,2002 - 2003,5.45
,,2003 - 2004,6.74
,,2004 - 2005,6.04
,,2005 - 2006,5.28
,,2006 - 2007,5.67
,,2007 - 2008,6.85
,,2008 - 2009,5.36
,,2009 - 2010,5.67
,,2010 - 2011,0.58
,,2011 - 2012,5.37
,,2012 - 2013,5.57
,,2013 - 2014,6.34
,,2014 - 2015,5.86
,,2015 - 2016,7.33
,,2016 - 2017,6.83
,,2017 - 2018,6.83
,,2018 - 2019,6.52
,,2019 - 2020,7.62
,,2020 - 2021,7.09
,,2021 - 2022,6.5
,,2022 - 2023,6.5
,Sakti,2022 - 2023,9.0
,Sukma,2011 - 2012,3.49
,,2012 - 2013,5.23
,,2013 - 2014,5.21
,,2014 - 2015,4.62
,,2015 - 2016,5.13
,,2016 - 2017,4.96
,,2017 - 2018,4.0
,,2018 - 2019,5.48
,,2019 - 2020,5.21
,,2020 - 2021,7.18
,,2021 - 2022,5.57
,,2022 - 2023,5.29
,Surajpur,2011 - 2012,4.52
,,2012 - 2013,5.42
,,2013 - 2014,4.7
,,2014 - 2015,5.42
,,2015 - 2016,5.42
,,2016 - 2017,5.42
,,2017 - 2018,6.32
,,2018 - 2019,6.33
,,2019 - 2020,6.35
,,2020 - 2021,6.53
,,2021 - 2022,5.43
,,2022 - 2023,5.44
,Surguja,2000 - 2001,5.87
,,2001 - 2002,5.51
,,2002 - 2003,6.14
,,2003 - 2004,5.6
,,2004 - 2005,5.06
,,2005 - 2006,5.78
,,2006 - 2007,5.96
,,2007 - 2008,5.87
,,2008 - 2009,4.52
,,2009 - 2010,5.15
,,2010 - 2011,4.34
,,2011 - 2012,4.52
,,2012 - 2013,6.33
,,2013 - 2014,5.51
,,2014 - 2015,5.69
,,2015 - 2016,4.97
,,2016 - 2017,5.06
,,2017 - 2018,5.78
,,2018 - 2019,5.78
,,2019 - 2020,5.9
,,2020 - 2021,5.81
,,2021 - 2022,5.81
,,2022 - 2023,5.62
Goa,North goa,2016 - 2017,3.11
,,2017 - 2018,1.75
,,2018 - 2019,1.9
,,2019 - 2020,2.41
,,2020 - 2021,2.38
,,2021 - 2022,2.39
,,2022 - 2023,3.31
,South goa,2016 - 2017,3.29
,,2017 - 2018,3.07
,,2018 - 2019,2.67
,,2019 - 2020,2.65
,,2020 - 2021,3.63
,,2021 - 2022,3.68
,,2022 - 2023,2.88
Haryana,Ambala,2001 - 2002,0.0
,Faridabad,2000 - 2001,11.11
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2005 - 2006,18.18
,,2010 - 2011,0.0
,Gurgaon,2001 - 2002,0.0
,,2002 - 2003,16.67
,,2003 - 2004,13.33
,,2004 - 2005,21.88
,,2005 - 2006,14.29
,,2006 - 2007,28.57
,,2007 - 2008,20.0
,,2008 - 2009,19.67
,,2009 - 2010,20.51
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,22.22
,Hisar,2012 - 2013,12.5
,Jhajjar,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2021 - 2022,3.0
,Kaithal,2012 - 2013,16.67
,Karnal,2000 - 2001,21.43
,,2001 - 2002,0.0
,,2002 - 2003,25.0
,,2003 - 2004,21.74
,,2004 - 2005,0.0
,,2005 - 2006,14.29
,,2006 - 2007,0.0
,,2008 - 2009,14.29
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,12.5
,Kurukshetra,2012 - 2013,11.81
,Mahendragarh,2009 - 2010,20.0
,Mewat,2005 - 2006,0.0
,,2021 - 2022,0.0
,Palwal,2011 - 2012,0.0
,Panipat,2000 - 2001,20.0
,,2001 - 2002,0.0
,,2002 - 2003,22.22
,,2003 - 2004,23.53
,,2004 - 2005,18.75
,,2005 - 2006,25.0
,,2006 - 2007,22.22
,,2007 - 2008,11.11
,,2008 - 2009,14.29
,,2009 - 2010,14.29
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,25.0
,,2020 - 2021,0.0
,Rewari,2000 - 2001,22.22
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,33.33
,,2006 - 2007,0.0
,Sonipat,2000 - 2001,22.64
,,2001 - 2002,0.0
,,2002 - 2003,20.0
,,2003 - 2004,23.81
,,2004 - 2005,19.05
,,2005 - 2006,19.1
,,2007 - 2008,20.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
Himachal Pradesh,Bilaspur,2001 - 2002,0.0
,Kangra,2001 - 2002,0.0
Karnataka,Bagalkot,2000 - 2001,3.18
,,2002 - 2003,3.15
,,2003 - 2004,3.17
,,2004 - 2005,3.18
,,2005 - 2006,3.16
,,2006 - 2007,3.17
,,2007 - 2008,3.18
,,2008 - 2009,10.1
,,2009 - 2010,6.6
,,2010 - 2011,8.23
,,2011 - 2012,14.58
,,2012 - 2013,15.5
,,2017 - 2018,13.0
,,2018 - 2019,14.5
,,2019 - 2020,19.3
,,2020 - 2021,20.0
,,2021 - 2022,17.67
,Bangalore rural,2000 - 2001,6.34
,,2002 - 2003,6.31
,,2003 - 2004,6.36
,,2004 - 2005,6.35
,,2005 - 2006,6.32
,,2006 - 2007,6.33
,,2007 - 2008,6.4
,,2008 - 2009,10.11
,,2009 - 2010,6.63
,,2010 - 2011,8.2
,,2011 - 2012,14.6
,,2012 - 2013,15.54
,,2013 - 2014,14.67
,,2014 - 2015,16.95
,,2015 - 2016,15.88
,,2016 - 2017,12.0
,,2017 - 2018,13.0
,,2018 - 2019,14.52
,,2019 - 2020,19.29
,,2020 - 2021,19.91
,,2021 - 2022,18.0
,,2022 - 2023,21.1
,Belgaum,2000 - 2001,9.48
,,2002 - 2003,9.48
,,2003 - 2004,9.48
,,2004 - 2005,9.48
,,2005 - 2006,9.48
,,2006 - 2007,9.48
,,2007 - 2008,9.48
,,2008 - 2009,10.21
,,2009 - 2010,6.27
,,2010 - 2011,8.24
,,2011 - 2012,16.33
,,2012 - 2013,16.34
,,2013 - 2014,15.75
,,2014 - 2015,18.21
,,2015 - 2016,18.45
,,2016 - 2017,12.93
,,2017 - 2018,14.65
,,2018 - 2019,14.6
,,2019 - 2020,20.52
,,2020 - 2021,20.59
,,2021 - 2022,18.69
,,2022 - 2023,10.29
,Bellary,2018 - 2019,14.5
,,2019 - 2020,19.0
,Bengaluru urban,2003 - 2004,6.34
,,2004 - 2005,6.31
,,2015 - 2016,15.83
,,2018 - 2019,14.67
,,2019 - 2020,19.27
,,2020 - 2021,20.0
,,2021 - 2022,17.5
,Bidar,2002 - 2003,7.5
,,2003 - 2004,8.0
,,2018 - 2019,15.0
,,2019 - 2020,19.29
,,2020 - 2021,20.0
,,2021 - 2022,17.5
,Bijapur,2000 - 2001,3.17
,,2002 - 2003,3.13
,,2003 - 2004,3.33
,,2004 - 2005,3.2
,,2005 - 2006,3.2
,,2006 - 2007,3.14
,,2007 - 2008,3.16
,,2008 - 2009,10.0
,,2009 - 2010,6.6
,,2010 - 2011,8.29
,,2016 - 2017,12.0
,,2017 - 2018,12.98
,,2018 - 2019,14.55
,,2019 - 2020,19.5
,,2020 - 2021,20.0
,,2021 - 2022,17.75
,,2022 - 2023,12.0
,Chamarajanagar,2018 - 2019,14.52
,,2019 - 2020,19.25
,,2020 - 2021,20.0
,Chikballapur,2010 - 2011,8.0
,,2011 - 2012,14.6
,,2012 - 2013,15.5
,,2013 - 2014,14.67
,,2014 - 2015,17.0
,,2015 - 2016,15.9
,,2016 - 2017,12.0
,,2017 - 2018,13.0
,,2018 - 2019,14.67
,,2019 - 2020,19.0
,,2020 - 2021,20.0
,,2021 - 2022,17.75
,,2022 - 2023,12.29
,Chikmagalur,2000 - 2001,6.54
,,2002 - 2003,6.57
,,2003 - 2004,6.56
,,2004 - 2005,6.56
,,2005 - 2006,6.57
,,2006 - 2007,6.57
,,2007 - 2008,6.55
,,2008 - 2009,10.11
,,2009 - 2010,6.56
,,2010 - 2011,8.24
,,2011 - 2012,14.58
,,2012 - 2013,15.51
,,2013 - 2014,10.15
,,2014 - 2015,9.15
,,2015 - 2016,9.63
,,2016 - 2017,8.49
,,2017 - 2018,7.87
,,2018 - 2019,9.59
,,2019 - 2020,19.29
,,2020 - 2021,20.0
,,2021 - 2022,17.67
,,2022 - 2023,13.0
,Chitradurga,2018 - 2019,14.52
,,2019 - 2020,19.5
,,2020 - 2021,20.0
,,2021 - 2022,17.8
,,2022 - 2023,11.0
,Dakshin kannad,2000 - 2001,6.19
,,2002 - 2003,6.19
,,2003 - 2004,6.19
,,2004 - 2005,6.19
,,2005 - 2006,6.19
,,2006 - 2007,6.19
,,2007 - 2008,6.19
,,2008 - 2009,7.75
,,2009 - 2010,6.57
,,2010 - 2011,8.24
,,2011 - 2012,14.57
,,2012 - 2013,15.51
,,2013 - 2014,14.68
,,2014 - 2015,16.96
,,2015 - 2016,3.73
,,2016 - 2017,5.13
,,2017 - 2018,3.94
,,2018 - 2019,10.76
,,2019 - 2020,19.0
,,2020 - 2021,20.0
,Davangere,2002 - 2003,7.94
,,2012 - 2013,15.5
,,2018 - 2019,15.0
,Dharwad,2013 - 2014,14.5
,,2017 - 2018,13.0
,,2019 - 2020,19.25
,,2020 - 2021,20.0
,,2022 - 2023,12.33
,Gadag,2000 - 2001,7.0
,,2006 - 2007,8.33
,,2007 - 2008,8.5
,,2019 - 2020,19.5
,,2020 - 2021,20.0
,,2021 - 2022,17.67
,,2022 - 2023,11.75
,Gulbarga,2000 - 2001,6.61
,,2002 - 2003,6.64
,,2003 - 2004,6.64
,,2004 - 2005,6.65
,,2005 - 2006,6.63
,,2006 - 2007,6.67
,,2007 - 2008,6.5
,,2008 - 2009,10.14
,,2009 - 2010,6.6
,,2012 - 2013,15.6
,,2018 - 2019,14.5
,,2019 - 2020,19.2
,,2020 - 2021,20.0
,,2022 - 2023,12.5
,Hassan,2000 - 2001,6.1
,,2002 - 2003,6.09
,,2003 - 2004,6.1
,,2004 - 2005,6.09
,,2005 - 2006,6.09
,,2006 - 2007,6.1
,,2007 - 2008,6.09
,,2008 - 2009,10.12
,,2009 - 2010,6.57
,,2010 - 2011,8.24
,,2011 - 2012,14.54
,,2012 - 2013,15.52
,,2013 - 2014,14.67
,,2014 - 2015,16.96
,,2015 - 2016,15.9
,,2016 - 2017,11.99
,,2017 - 2018,12.98
,,2018 - 2019,13.48
,,2019 - 2020,12.92
,,2020 - 2021,13.33
,,2021 - 2022,16.65
,,2022 - 2023,11.69
,Haveri,2013 - 2014,14.67
,,2014 - 2015,17.0
,,2015 - 2016,16.0
,,2017 - 2018,13.0
,,2018 - 2019,14.5
,,2019 - 2020,19.33
,,2021 - 2022,17.75
,Kodagu,2000 - 2001,6.25
,,2002 - 2003,6.2
,,2003 - 2004,6.2
,,2004 - 2005,6.25
,,2005 - 2006,6.25
,,2006 - 2007,6.26
,,2007 - 2008,6.24
,,2008 - 2009,12.85
,,2009 - 2010,12.18
,,2010 - 2011,8.25
