state,district,year,sweet_potato_whole_year_yield_tonne_per_hectare
,Kurnool,2000 - 2001,13.6
,,2001 - 2002,13.25
,,2002 - 2003,10.82
,,2003 - 2004,7.2
,,2004 - 2005,2.04
,,2005 - 2006,5.25
,,2006 - 2007,5.5
,,2008 - 2009,5.71
,,2009 - 2010,5.89
,,2010 - 2011,12.83
,,2011 - 2012,12.85
,,2015 - 2016,
,,2019 - 2020,
,Nandyal,2022 - 2023,
,Prakasam,2000 - 2001,18.69
,,2001 - 2002,16.25
,,2002 - 2003,10.95
,,2003 - 2004,6.62
,,2004 - 2005,10.17
,,2005 - 2006,12.91
,,2006 - 2007,15.64
,,2008 - 2009,20.98
,,2009 - 2010,19.26
,,2010 - 2011,14.0
,,2011 - 2012,15.87
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Spsr nellore,2000 - 2001,10.0
,,2001 - 2002,17.08
,,2002 - 2003,10.48
,,2003 - 2004,9.48
,,2004 - 2005,12.83
,,2005 - 2006,12.89
,,2006 - 2007,10.77
,,2008 - 2009,13.61
,,2009 - 2010,5.89
,,2010 - 2011,12.8
,,2011 - 2012,12.86
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sri sathya sai,2022 - 2023,
,Srikakulam,2000 - 2001,13.52
,,2001 - 2002,13.29
,,2002 - 2003,10.81
,,2003 - 2004,7.22
,,2004 - 2005,9.17
,,2005 - 2006,9.72
,,2006 - 2007,10.77
,,2008 - 2009,13.6
,,2009 - 2010,7.63
,,2010 - 2011,12.82
,,2011 - 2012,12.85
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirupati,2022 - 2023,
,Visakhapatanam,2000 - 2001,4.44
,,2001 - 2002,4.83
,,2002 - 2003,1.99
,,2003 - 2004,7.23
,,2004 - 2005,2.48
,,2005 - 2006,2.57
,,2006 - 2007,2.61
,,2008 - 2009,2.59
,,2009 - 2010,2.46
,,2010 - 2011,12.8
,,2011 - 2012,12.86
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vizianagaram,2000 - 2001,13.51
,,2001 - 2002,13.28
,,2002 - 2003,10.8
,,2003 - 2004,7.24
,,2004 - 2005,9.16
,,2005 - 2006,9.68
,,2006 - 2007,10.79
,,2008 - 2009,13.6
,,2009 - 2010,0.0
,,2010 - 2011,12.8
,,2011 - 2012,12.85
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West godavari,2000 - 2001,13.54
,,2001 - 2002,13.31
,,2002 - 2003,10.82
,,2003 - 2004,7.21
,,2004 - 2005,9.15
,,2005 - 2006,9.67
,,2006 - 2007,11.0
,,2008 - 2009,13.6
,,2009 - 2010,13.0
,,2012 - 2013,
Assam,Baksa,2005 - 2006,5.63
,,2006 - 2007,5.63
,,2007 - 2008,5.63
,,2008 - 2009,5.63
,,2009 - 2010,5.63
,,2010 - 2011,5.63
,,2011 - 2012,5.77
,,2012 - 2013,6.77
,,2013 - 2014,6.77
,,2014 - 2015,6.79
,,2015 - 2016,6.78
,,2016 - 2017,6.91
,,2017 - 2018,6.93
,,2018 - 2019,5.36
,,2019 - 2020,5.52
,,2020 - 2021,5.51
,,2021 - 2022,5.52
,,2022 - 2023,5.63
,Barpeta,2000 - 2001,2.5
