state,district,year,sunflower_kharif_yield_tonne_per_hectare
Andaman and Nicobar Islands,North and middle andaman,2010 - 2011,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,South andamans,2010 - 2011,
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,1.0
,Anakapalli,2022 - 2023,
,Anantapur,2000 - 2001,0.8
,,2001 - 2002,0.65
,,2002 - 2003,0.37
,,2003 - 2004,0.4
,,2004 - 2005,0.6
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.53
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,0.83
,,2013 - 2014,0.83
,,2014 - 2015,0.23
,,2015 - 2016,0.52
,,2016 - 2017,0.24
,,2017 - 2018,0.41
,,2018 - 2019,0.23
,,2019 - 2020,0.7
,,2020 - 2021,0.37
,,2021 - 2022,0.17
,,2022 - 2023,0.47
,Annamayya,2022 - 2023,0.66
,Bapatla,2022 - 2023,
,Chittoor,2000 - 2001,0.84
,,2001 - 2002,0.87
,,2002 - 2003,0.63
,,2003 - 2004,0.58
,,2004 - 2005,0.58
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.79
,,2014 - 2015,0.5
,,2015 - 2016,0.69
,,2016 - 2017,0.58
,,2017 - 2018,0.71
,,2018 - 2019,0.5
,,2019 - 2020,0.71
,,2020 - 2021,0.33
,,2021 - 2022,0.45
,,2022 - 2023,0.67
,East godavari,2000 - 2001,1.11
,,2001 - 2002,0.87
,,2002 - 2003,1.02
,,2003 - 2004,1.11
,,2004 - 2005,0.88
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Eluru,2022 - 2023,
,Guntur,2002 - 2003,1.09
,,2003 - 2004,1.1
,,2004 - 2005,0.64
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Kadapa,2000 - 2001,1.16
,,2001 - 2002,1.06
,,2002 - 2003,0.49
,,2003 - 2004,0.57
,,2004 - 2005,0.75
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,1.17
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,0.0
,,2013 - 2014,0.63
,,2014 - 2015,0.52
,,2015 - 2016,0.78
,,2016 - 2017,0.68
,,2017 - 2018,0.72
,,2018 - 2019,1.13
,,2019 - 2020,1.15
,,2020 - 2021,0.35
,,2021 - 2022,0.57
,,2022 - 2023,0.64
,Krishna,2000 - 2001,1.33
,,2001 - 2002,1.12
,,2002 - 2003,1.1
,,2003 - 2004,1.17
,,2004 - 2005,0.89
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kurnool,2000 - 2001,0.78
,,2001 - 2002,0.8
,,2002 - 2003,0.79
,,2003 - 2004,0.66
,,2004 - 2005,0.53
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.61
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,0.75
,,2013 - 2014,0.77
,,2014 - 2015,0.81
,,2015 - 2016,1.04
,,2016 - 2017,0.81
,,2017 - 2018,1.1
,,2018 - 2019,0.8
,,2019 - 2020,0.5
,,2020 - 2021,1.25
,,2021 - 2022,0.68
,,2022 - 2023,0.88
,Nandyal,2022 - 2023,1.02
,Ntr,2022 - 2023,
,Palnadu,2022 - 2023,1.0
,Parvathipuram manyam,2022 - 2023,
,Prakasam,2000 - 2001,1.52
,,2001 - 2002,1.09
,,2002 - 2003,1.08
,,2003 - 2004,1.25
,,2004 - 2005,1.17
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.67
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,1.0
,,2013 - 2014,0.79
,,2014 - 2015,1.21
,,2015 - 2016,1.38
,,2016 - 2017,1.43
,,2017 - 2018,1.27
,,2018 - 2019,1.39
,,2019 - 2020,2.0
,,2020 - 2021,1.08
,,2021 - 2022,1.09
,,2022 - 2023,1.04
,Spsr nellore,2000 - 2001,1.07
,,2001 - 2002,1.13
,,2002 - 2003,0.93
,,2003 - 2004,0.97
,,2004 - 2005,0.56
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.75
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,1.0
,,2013 - 2014,0.79
,,2014 - 2015,1.21
,,2015 - 2016,1.38
,,2016 - 2017,1.43
,,2017 - 2018,1.26
,,2018 - 2019,1.41
,,2019 - 2020,1.54
,,2020 - 2021,1.09
,,2021 - 2022,1.09
,,2022 - 2023,1.04
,Sri sathya sai,2022 - 2023,0.79
,Srikakulam,2000 - 2001,1.48
,,2001 - 2002,1.13
,,2002 - 2003,1.09
,,2003 - 2004,1.18
,,2004 - 2005,0.9
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.57
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirupati,2022 - 2023,0.67
,Visakhapatanam,2003 - 2004,1.14
,,2004 - 2005,0.83
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.75
,,2014 - 2015,1.2
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.0
,,2018 - 2019,1.5
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Vizianagaram,2004 - 2005,1.0
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
