state,district,year,sunflower_rabi_yield_tonne_per_hectare
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Gaurella-pendra-marwahi,2020 - 2021,
,Janjgir-champa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Jashpur,2001 - 2002,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Kabirdham,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,Kanker,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khairgarh chhuikhadan gandai,2022 - 2023,
,Kondagaon,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Korba,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,Korea,2001 - 2002,
,,2008 - 2009,
,,2009 - 2010,
,Mahasamund,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Mohla manpur ambagarh chouki,2022 - 2023,
,Mungeli,2019 - 2020,
,,2022 - 2023,
,Narayanpur,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Raigarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Raipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajnandgaon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sakti,2022 - 2023,
,Sarangarh bilaigarh,2022 - 2023,
,Sukma,2014 - 2015,
,,2019 - 2020,
,Surajpur,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,Surguja,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Haryana,Ambala,2000 - 2001,1.36
,,2002 - 2003,1.43
,,2003 - 2004,1.69
,,2004 - 2005,1.67
,,2005 - 2006,1.68
,,2006 - 2007,1.69
,,2007 - 2008,1.99
,,2008 - 2009,1.73
,,2009 - 2010,1.69
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Fatehabad,2010 - 2011,
,Hisar,2002 - 2003,0.0
,Jind,2002 - 2003,0.0
,Kaithal,2000 - 2001,1.39
,,2001 - 2002,1.6
,,2002 - 2003,2.13
,,2003 - 2004,1.27
,,2004 - 2005,1.59
,Karnal,2000 - 2001,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2010 - 2011,
,Kurukshetra,2001 - 2002,1.57
,,2002 - 2003,1.78
,,2003 - 2004,1.83
,,2004 - 2005,1.86
,,2005 - 2006,1.85
,,2006 - 2007,1.89
,,2007 - 2008,1.9
,,2008 - 2009,1.85
,,2009 - 2010,1.84
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Panchkula,2000 - 2001,0.91
,,2001 - 2002,1.09
,,2002 - 2003,1.1
,,2003 - 2004,1.35
,,2004 - 2005,1.05
,,2005 - 2006,1.49
,,2006 - 2007,1.54
,,2007 - 2008,0.0
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Panipat,2001 - 2002,1.49
,,2005 - 2006,0.0
,Rewari,2003 - 2004,0.0
,Rohtak,2003 - 2004,0.0
,Sonipat,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2003 - 2004,0.0
,,2004 - 2005,11.11
,Yamunanagar,2000 - 2001,0.96
,,2001 - 2002,1.3
,,2002 - 2003,1.47
,,2003 - 2004,1.56
,,2004 - 2005,1.58
,,2005 - 2006,1.65
,,2006 - 2007,1.7
,,2007 - 2008,1.68
,,2008 - 2009,1.36
,,2009 - 2010,1.48
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
Jharkhand,Bokaro,2017 - 2018,
,Chatra,2017 - 2018,0.74
,,2018 - 2019,0.53
,,2019 - 2020,
,,2021 - 2022,0.36
,Deoghar,2017 - 2018,0.55
,,2021 - 2022,
,,2022 - 2023,
,Dumka,2017 - 2018,0.21
,,2018 - 2019,0.47
,,2019 - 2020,0.51
,,2020 - 2021,0.51
,,2021 - 2022,0.31
,East singhbum,2017 - 2018,0.55
,,2018 - 2019,0.6
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,Garhwa,2018 - 2019,
,Giridih,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Godda,2017 - 2018,
,,2018 - 2019,
,Gumla,2020 - 2021,0.53
,,2021 - 2022,0.2
,,2022 - 2023,
,Khunti,2018 - 2019,0.67
,,2021 - 2022,
,Koderma,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,Latehar,2017 - 2018,0.5
,,2021 - 2022,
,Lohardaga,2022 - 2023,
,Pakur,2017 - 2018,0.6
,,2018 - 2019,1.0
,Palamu,2017 - 2018,0.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Ranchi,2017 - 2018,0.63
,,2021 - 2022,0.62
,,2022 - 2023,0.62
,Saraikela kharsawan,2017 - 2018,0.6
,,2018 - 2019,0.45
,,2019 - 2020,
,,2020 - 2021,0.7
,,2021 - 2022,
,,2022 - 2023,
,Simdega,2017 - 2018,0.55
,,2018 - 2019,1.0
,,2019 - 2020,0.94
,,2021 - 2022,0.45
,,2022 - 2023,
,West singhbhum,2020 - 2021,1.0
,,2021 - 2022,0.5
,,2022 - 2023,
Karnataka,Bagalkot,2000 - 2001,0.56
,,2001 - 2002,0.51
,,2002 - 2003,0.56
,,2003 - 2004,0.28
,,2004 - 2005,0.57
,,2005 - 2006,0.69
,,2006 - 2007,0.31
,,2007 - 2008,0.58
,,2008 - 2009,0.5
,,2009 - 2010,0.53
,,2010 - 2011,0.74
,,2011 - 2012,0.48
,,2012 - 2013,0.53
,,2013 - 2014,0.54
,,2014 - 2015,0.63
,,2015 - 2016,0.48
,,2016 - 2017,0.35
,,2017 - 2018,0.83
,,2018 - 2019,0.63
,,2019 - 2020,0.72
,,2020 - 2021,0.74
,,2021 - 2022,0.87
,,2022 - 2023,0.8
,Bangalore rural,2000 - 2001,0.75
,,2001 - 2002,1.0
,,2002 - 2003,0.7
,,2003 - 2004,0.77
,,2004 - 2005,0.9
,,2005 - 2006,1.0
,,2006 - 2007,0.8
,,2007 - 2008,0.87
,,2008 - 2009,0.78
,,2009 - 2010,0.63
,,2010 - 2011,0.87
,,2011 - 2012,0.8
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,1.0
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,
,Belgaum,2000 - 2001,0.54
,,2001 - 2002,0.54
,,2002 - 2003,0.42
,,2003 - 2004,0.39
,,2004 - 2005,0.39
,,2005 - 2006,0.43
,,2006 - 2007,0.47
,,2007 - 2008,0.64
,,2008 - 2009,0.61
,,2009 - 2010,0.46
,,2010 - 2011,0.81
,,2011 - 2012,0.65
,,2012 - 2013,0.56
,,2013 - 2014,0.65
,,2014 - 2015,0.61
,,2015 - 2016,0.4
,,2016 - 2017,0.67
,,2017 - 2018,1.1
,,2018 - 2019,0.81
,,2019 - 2020,0.78
,,2020 - 2021,0.99
,,2021 - 2022,0.89
,,2022 - 2023,0.81
,Bellary,2000 - 2001,0.31
,,2001 - 2002,0.39
,,2002 - 2003,0.26
,,2003 - 2004,0.25
,,2004 - 2005,0.32
,,2005 - 2006,0.29
,,2006 - 2007,0.32
,,2007 - 2008,0.4
,,2008 - 2009,0.34
,,2009 - 2010,0.35
,,2010 - 2011,0.5
,,2011 - 2012,0.48
,,2012 - 2013,0.52
,,2013 - 2014,0.63
,,2014 - 2015,0.59
,,2015 - 2016,0.48
,,2016 - 2017,0.14
,,2017 - 2018,0.92
,,2018 - 2019,0.64
,,2019 - 2020,0.87
,,2020 - 2021,0.87
,,2021 - 2022,0.85
,,2022 - 2023,0.78
,Bengaluru urban,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.0
,,2004 - 2005,
,,2005 - 2006,1.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.75
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,1.0
,Bidar,2000 - 2001,0.36
,,2001 - 2002,0.4
,,2002 - 2003,0.53
,,2003 - 2004,0.56
,,2004 - 2005,0.56
,,2005 - 2006,0.57
,,2006 - 2007,0.49
,,2007 - 2008,0.52
,,2008 - 2009,0.48
,,2009 - 2010,0.49
,,2010 - 2011,0.43
,,2011 - 2012,0.39
,,2012 - 2013,0.54
,,2013 - 2014,0.36
,,2014 - 2015,0.39
,,2015 - 2016,0.29
,,2016 - 2017,0.5
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.73
,,2020 - 2021,0.92
,,2021 - 2022,0.78
,,2022 - 2023,0.86
,Bijapur,2000 - 2001,0.43
,,2001 - 2002,0.37
,,2002 - 2003,0.41
,,2003 - 2004,0.14
,,2004 - 2005,0.29
,,2005 - 2006,0.46
,,2006 - 2007,0.25
,,2007 - 2008,0.35
,,2008 - 2009,0.23
,,2009 - 2010,0.18
,,2010 - 2011,0.34
,,2011 - 2012,0.2
,,2012 - 2013,0.41
,,2013 - 2014,0.53
,,2014 - 2015,0.41
,,2015 - 2016,0.22
,,2016 - 2017,0.5
,,2017 - 2018,0.43
,,2018 - 2019,0.32
,,2019 - 2020,0.49
,,2020 - 2021,0.92
,,2021 - 2022,0.93
,,2022 - 2023,0.71
,Chamarajanagar,2000 - 2001,0.75
,,2001 - 2002,0.5
,,2002 - 2003,0.67
,,2003 - 2004,0.77
,,2004 - 2005,0.9
,,2005 - 2006,0.89
,,2006 - 2007,0.81
,,2007 - 2008,0.83
,,2008 - 2009,0.65
,,2009 - 2010,0.4
,,2010 - 2011,0.86
,,2011 - 2012,0.73
,,2012 - 2013,0.5
,,2013 - 2014,0.59
,,2014 - 2015,1.0
,,2015 - 2016,0.33
,,2016 - 2017,0.22
,,2017 - 2018,
,,2018 - 2019,0.52
,,2019 - 2020,0.73
,,2020 - 2021,0.92
,,2021 - 2022,0.78
,,2022 - 2023,0.86
,Chikballapur,2007 - 2008,1.03
,,2008 - 2009,1.18
,,2009 - 2010,1.08
,,2010 - 2011,0.95
,,2011 - 2012,0.67
,,2012 - 2013,0.82
,,2013 - 2014,0.97
,,2014 - 2015,1.2
,,2015 - 2016,0.95
,,2016 - 2017,0.2
,,2017 - 2018,3.29
,,2019 - 2020,3.08
,,2020 - 2021,0.92
,,2021 - 2022,0.79
,,2022 - 2023,0.87
,Chikmagalur,2000 - 2001,0.4
,,2001 - 2002,0.35
,,2002 - 2003,0.36
,,2003 - 2004,0.18
,,2004 - 2005,0.29
,,2005 - 2006,0.4
,,2006 - 2007,0.28
,,2007 - 2008,0.37
,,2008 - 2009,0.27
,,2009 - 2010,0.39
,,2010 - 2011,0.38
,,2011 - 2012,0.31
,,2012 - 2013,0.29
,,2013 - 2014,0.4
,,2014 - 2015,0.44
,,2015 - 2016,0.46
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.8
,,2022 - 2023,
,Chitradurga,2000 - 2001,0.47
,,2001 - 2002,0.51
,,2002 - 2003,0.46
,,2003 - 2004,0.34
,,2004 - 2005,0.52
,,2005 - 2006,0.68
,,2006 - 2007,0.33
,,2007 - 2008,0.47
,,2008 - 2009,0.4
,,2009 - 2010,0.38
,,2010 - 2011,0.47
,,2011 - 2012,0.28
,,2012 - 2013,0.43
,,2013 - 2014,0.59
,,2014 - 2015,0.55
,,2015 - 2016,0.54
,,2016 - 2017,0.22
,,2017 - 2018,0.61
,,2018 - 2019,0.86
,,2019 - 2020,0.79
,,2020 - 2021,1.41
,,2021 - 2022,0.95
,,2022 - 2023,0.9
,Davangere,2000 - 2001,0.36
,,2001 - 2002,0.31
,,2002 - 2003,0.3
,,2003 - 2004,0.37
,,2004 - 2005,0.45
,,2005 - 2006,0.77
,,2006 - 2007,0.48
,,2007 - 2008,0.5
,,2008 - 2009,0.74
,,2009 - 2010,0.82
,,2010 - 2011,0.98
,,2011 - 2012,1.11
,,2012 - 2013,0.82
,,2013 - 2014,0.83
,,2014 - 2015,0.99
,,2015 - 2016,0.75
,,2016 - 2017,1.0
,,2017 - 2018,0.82
,,2018 - 2019,1.23
,,2019 - 2020,0.98
,,2020 - 2021,1.42
,,2021 - 2022,1.19
,,2022 - 2023,1.27
,Dharwad,2000 - 2001,0.58
,,2001 - 2002,0.38
,,2002 - 2003,0.4
,,2003 - 2004,0.14
,,2004 - 2005,0.38
,,2005 - 2006,0.61
,,2006 - 2007,0.43
,,2007 - 2008,0.4
,,2008 - 2009,0.36
,,2009 - 2010,0.45
,,2010 - 2011,0.67
,,2011 - 2012,0.5
,,2012 - 2013,0.22
,,2013 - 2014,0.35
,,2014 - 2015,0.44
,,2015 - 2016,0.18
,,2016 - 2017,0.04
,,2017 - 2018,0.34
,,2018 - 2019,0.34
,,2019 - 2020,0.46
,,2020 - 2021,0.49
,,2021 - 2022,0.72
,,2022 - 2023,0.7
,Gadag,2000 - 2001,0.39
,,2001 - 2002,0.33
,,2002 - 2003,0.2
,,2003 - 2004,0.17
,,2004 - 2005,0.44
,,2005 - 2006,0.56
,,2006 - 2007,0.22
,,2007 - 2008,0.42
,,2008 - 2009,0.36
,,2009 - 2010,0.25
,,2010 - 2011,0.48
,,2011 - 2012,0.35
,,2012 - 2013,0.42
,,2013 - 2014,0.59
,,2014 - 2015,0.51
,,2015 - 2016,0.31
,,2016 - 2017,0.08
,,2017 - 2018,0.43
,,2018 - 2019,0.31
,,2019 - 2020,0.52
,,2020 - 2021,0.5
,,2021 - 2022,0.58
,,2022 - 2023,0.7
,Gulbarga,2000 - 2001,0.43
,,2001 - 2002,0.44
,,2002 - 2003,0.57
,,2003 - 2004,0.43
,,2004 - 2005,0.43
,,2005 - 2006,0.48
,,2006 - 2007,0.41
,,2007 - 2008,0.44
,,2008 - 2009,0.41
,,2009 - 2010,0.34
,,2010 - 2011,0.48
,,2011 - 2012,0.55
,,2012 - 2013,0.52
,,2013 - 2014,0.62
,,2014 - 2015,0.53
,,2015 - 2016,0.18
,,2016 - 2017,0.69
,,2017 - 2018,0.67
,,2018 - 2019,0.45
,,2019 - 2020,0.42
,,2020 - 2021,0.92
,,2021 - 2022,0.78
,,2022 - 2023,0.86
,Hassan,2000 - 2001,0.6
,,2001 - 2002,0.62
,,2002 - 2003,0.44
,,2003 - 2004,0.36
,,2004 - 2005,0.35
,,2005 - 2006,0.76
,,2006 - 2007,0.77
,,2007 - 2008,0.75
,,2008 - 2009,0.98
,,2009 - 2010,0.62
,,2010 - 2011,0.74
,,2011 - 2012,0.27
,,2012 - 2013,0.47
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,1.0
,Haveri,2000 - 2001,0.57
,,2001 - 2002,0.61
,,2002 - 2003,0.42
,,2003 - 2004,0.3
,,2004 - 2005,0.75
,,2005 - 2006,0.71
,,2006 - 2007,0.61
,,2007 - 2008,0.74
,,2008 - 2009,0.6
,,2009 - 2010,0.75
,,2010 - 2011,0.74
,,2011 - 2012,0.72
,,2012 - 2013,0.68
,,2013 - 2014,0.81
,,2014 - 2015,0.81
,,2015 - 2016,0.53
,,2016 - 2017,0.72
,,2017 - 2018,1.2
,,2018 - 2019,1.02
,,2019 - 2020,0.94
,,2020 - 2021,1.43
,,2021 - 2022,0.99
,,2022 - 2023,1.25
,Kodagu,2012 - 2013,
,Kolar,2000 - 2001,0.71
,,2001 - 2002,
,,2002 - 2003,0.71
,,2003 - 2004,0.77
,,2004 - 2005,2.28
,,2005 - 2006,4.82
,,2006 - 2007,2.2
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2018 - 2019,
,,2019 - 2020,1.0
,,2020 - 2021,0.89
,,2021 - 2022,1.0
,,2022 - 2023,
,Koppal,2000 - 2001,0.31
,,2001 - 2002,0.34
,,2002 - 2003,0.14
,,2003 - 2004,0.14
,,2004 - 2005,0.29
,,2005 - 2006,0.37
,,2006 - 2007,0.11
,,2007 - 2008,0.26
,,2008 - 2009,0.22
,,2009 - 2010,0.2
,,2010 - 2011,0.39
,,2011 - 2012,0.24
,,2012 - 2013,0.71
,,2013 - 2014,0.7
,,2014 - 2015,0.74
,,2015 - 2016,0.36
,,2016 - 2017,0.1
,,2017 - 2018,0.59
,,2018 - 2019,0.32
,,2019 - 2020,0.5
,,2020 - 2021,0.6
,,2021 - 2022,0.58
,,2022 - 2023,0.56
,Mandya,2000 - 2001,0.71
,,2001 - 2002,1.0
,,2002 - 2003,0.5
,,2003 - 2004,1.0
,,2004 - 2005,0.5
,,2005 - 2006,1.0
,,2006 - 2007,
,,2007 - 2008,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Mysore,2000 - 2001,0.4
,,2001 - 2002,0.33
,,2002 - 2003,0.35
,,2003 - 2004,0.2
,,2004 - 2005,0.57
,,2005 - 2006,0.5
,,2006 - 2007,0.33
,,2007 - 2008,0.43
,,2008 - 2009,0.2
,,2009 - 2010,0.22
,,2010 - 2011,1.0
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.0
,,2022 - 2023,
,Raichur,2000 - 2001,0.37
,,2001 - 2002,0.42
,,2002 - 2003,0.39
,,2003 - 2004,0.32
,,2004 - 2005,0.27
,,2005 - 2006,0.43
,,2006 - 2007,0.3
,,2007 - 2008,0.43
,,2008 - 2009,0.31
,,2009 - 2010,0.21
,,2010 - 2011,0.46
,,2011 - 2012,0.25
,,2012 - 2013,0.51
,,2013 - 2014,0.58
,,2014 - 2015,0.5
,,2015 - 2016,0.29
,,2016 - 2017,0.19
,,2017 - 2018,0.38
,,2018 - 2019,0.39
,,2019 - 2020,0.53
,,2020 - 2021,0.28
,,2021 - 2022,0.78
,,2022 - 2023,0.87
,Ramanagara,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shimoga,2000 - 2001,0.75
,,2001 - 2002,0.86
,,2002 - 2003,0.71
,,2003 - 2004,0.77
,,2004 - 2005,0.9
,,2005 - 2006,2.03
,,2006 - 2007,2.29
,,2007 - 2008,2.35
,,2008 - 2009,1.32
,,2009 - 2010,1.85
,,2010 - 2011,1.91
,,2011 - 2012,2.09
,,2012 - 2013,1.74
,,2013 - 2014,2.3
,,2014 - 2015,2.11
,,2015 - 2016,1.95
,,2016 - 2017,1.38
,,2017 - 2018,2.03
,,2018 - 2019,2.08
,,2019 - 2020,2.3
,,2020 - 2021,2.8
,,2021 - 2022,2.07
,,2022 - 2023,1.8
,Tumkur,2000 - 2001,0.62
,,2001 - 2002,1.15
,,2002 - 2003,0.65
,,2003 - 2004,0.64
,,2004 - 2005,1.38
,,2005 - 2006,0.93
,,2006 - 2007,0.82
,,2007 - 2008,0.87
,,2008 - 2009,0.77
,,2009 - 2010,0.63
,,2010 - 2011,0.86
,,2011 - 2012,0.75
,,2012 - 2013,0.5
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.0
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,0.83
,Udupi,2005 - 2006,0.5
,,2006 - 2007,0.25
,Uttar kannad,2000 - 2001,0.37
,,2001 - 2002,0.88
,,2002 - 2003,0.71
,,2003 - 2004,0.8
,,2004 - 2005,0.89
,,2005 - 2006,0.93
,,2006 - 2007,0.81
,,2007 - 2008,0.87
,,2008 - 2009,0.78
,,2009 - 2010,0.63
,,2010 - 2011,0.86
,,2011 - 2012,0.76
,,2012 - 2013,0.5
,,2013 - 2014,0.6
,,2014 - 2015,0.57
,,2015 - 2016,0.29
,,2016 - 2017,0.29
,,2017 - 2018,0.6
,,2018 - 2019,0.67
,,2019 - 2020,0.67
,,2020 - 2021,0.89
,,2021 - 2022,1.0
,Vijayanagar,2022 - 2023,1.01
,Yadgir,2010 - 2011,0.33
,,2011 - 2012,0.22
,,2012 - 2013,0.4
,,2013 - 2014,0.48
,,2014 - 2015,0.45
,,2015 - 2016,0.22
,,2016 - 2017,0.78
,,2017 - 2018,0.59
,,2018 - 2019,0.53
,,2019 - 2020,0.67
,,2020 - 2021,0.92
,,2021 - 2022,0.77
,,2022 - 2023,0.87
Kerala,Alappuzha,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Malappuram,2022 - 2023,
,Palakkad,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Thrissur,2021 - 2022,
,Wayanad,2022 - 2023,
Madhya Pradesh,Anuppur,2006 - 2007,
,Ashoknagar,2013 - 2014,
,,2016 - 2017,1.0
,Balaghat,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Barwani,2000 - 2001,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2012 - 2013,
,Betul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,Burhanpur,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2013 - 2014,
,,2017 - 2018,1.0
,Chhindwara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,1.0
,Damoh,2000 - 2001,
,,2002 - 2003,
,,2004 - 2005,
,,2006 - 2007,
,,2016 - 2017,1.0
,Datia,2004 - 2005,
,,2007 - 2008,
,Dewas,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Dhar,2004 - 2005,
,,2007 - 2008,
,Guna,2003 - 2004,
,,2012 - 2013,
,Harda,2002 - 2003,
,,2003 - 2004,
