state,district,year,safflower_rabi_yield_tonne_per_hectare
,,2002 - 2003,0.75
,Pashchim champaran,2000 - 2001,0.78
,,2001 - 2002,0.79
,,2002 - 2003,0.81
,,2003 - 2004,0.81
,,2004 - 2005,0.8
,,2005 - 2006,0.81
,,2007 - 2008,0.82
,,2008 - 2009,0.78
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,1.0
,Patna,2020 - 2021,0.67
,Purnia,2005 - 2006,0.8
,,2008 - 2009,0.8
,Rohtas,2003 - 2004,0.82
,,2004 - 2005,0.83
,Saharsa,2000 - 2001,1.0
,,2001 - 2002,0.67
,,2010 - 2011,
,Samastipur,2001 - 2002,0.41
,,2008 - 2009,0.75
,,2013 - 2014,0.81
,Saran,2005 - 2006,1.0
,,2008 - 2009,0.75
,Sitamarhi,2001 - 2002,0.83
,,2002 - 2003,0.83
,,2007 - 2008,0.8
,,2008 - 2009,0.83
,,2010 - 2011,
,,2011 - 2012,
,Siwan,2000 - 2001,1.0
,Supaul,2004 - 2005,0.79
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,Vaishali,2002 - 2003,0.8
,,2004 - 2005,0.83
,,2011 - 2012,
Chhattisgarh,Balod,2011 - 2012,0.27
,,2012 - 2013,0.22
,,2013 - 2014,0.0
,,2014 - 2015,0.29
,,2015 - 2016,0.2
,,2016 - 2017,0.32
,,2017 - 2018,0.11
,,2020 - 2021,0.17
,,2021 - 2022,0.25
,,2022 - 2023,0.27
,Baloda bazar,2011 - 2012,0.25
,,2012 - 2013,0.27
,,2013 - 2014,0.24
,,2014 - 2015,0.3
,,2015 - 2016,0.23
,,2016 - 2017,0.32
,,2017 - 2018,0.18
,,2018 - 2019,0.25
,,2019 - 2020,0.33
,,2020 - 2021,0.25
,,2021 - 2022,0.06
,,2022 - 2023,0.0
,Bastar,2000 - 2001,0.33
,,2020 - 2021,0.5
,Bemetara,2011 - 2012,0.23
,,2012 - 2013,0.26
,,2013 - 2014,0.2
,,2014 - 2015,0.22
,,2015 - 2016,0.32
,,2016 - 2017,0.35
,,2017 - 2018,0.34
,,2018 - 2019,0.43
,,2019 - 2020,0.4
,,2020 - 2021,1.0
,,2021 - 2022,0.43
,,2022 - 2023,0.5
,Bilaspur,2000 - 2001,0.2
,,2001 - 2002,0.22
,,2002 - 2003,0.2
,,2003 - 2004,0.21
,,2004 - 2005,0.19
,,2005 - 2006,0.21
,,2006 - 2007,0.19
,,2007 - 2008,0.22
,,2008 - 2009,0.21
,,2009 - 2010,0.4
,,2010 - 2011,0.37
,,2012 - 2013,0.36
,,2013 - 2014,2.13
,,2015 - 2016,0.42
,,2016 - 2017,0.4
,,2017 - 2018,0.25
,,2018 - 2019,0.6
,,2019 - 2020,0.5
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
