state,district,year,safflower_rabi_yield_tonne_per_hectare
,,2012 - 2013,0.77
,,2016 - 2017,0.5
,Gwalior,2016 - 2017,0.2
,Harda,2000 - 2001,0.33
,,2002 - 2003,0.38
,,2016 - 2017,0.3
,Hoshangabad,2000 - 2001,0.25
,,2001 - 2002,0.4
,,2007 - 2008,0.37
,,2009 - 2010,
,,2016 - 2017,0.63
,Indore,2001 - 2002,0.6
,,2002 - 2003,0.5
,,2003 - 2004,0.63
,,2004 - 2005,0.47
,,2006 - 2007,0.55
,,2007 - 2008,0.57
,,2009 - 2010,
,,2010 - 2011,1.0
,,2012 - 2013,0.5
,Jabalpur,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2016 - 2017,0.62
,Katni,2000 - 2001,0.1
,,2004 - 2005,0.0
,,2015 - 2016,0.54
,,2016 - 2017,0.35
,Khandwa,2001 - 2002,0.25
,,2002 - 2003,0.2
,,2003 - 2004,0.33
,,2004 - 2005,0.5
,,2006 - 2007,0.0
,,2007 - 2008,0.29
,,2016 - 2017,1.0
,Khargone,2013 - 2014,0.5
,,2014 - 2015,0.9
,Mandla,2016 - 2017,1.0
,Mandsaur,2000 - 2001,0.4
,,2001 - 2002,0.5
,,2002 - 2003,0.25
,,2003 - 2004,0.42
,,2004 - 2005,0.33
,,2006 - 2007,0.5
,,2007 - 2008,0.0
,,2008 - 2009,0.5
,,2016 - 2017,0.83
,Morena,2016 - 2017,0.69
,Neemuch,2002 - 2003,0.5
,,2003 - 2004,0.42
,,2004 - 2005,0.29
,,2008 - 2009,0.0
,,2016 - 2017,0.67
,Panna,2002 - 2003,0.25
,,2003 - 2004,0.25
,,2016 - 2017,0.79
,Raisen,2000 - 2001,0.5
,,2003 - 2004,0.0
,,2016 - 2017,0.7
,Rajgarh,2000 - 2001,0.33
,,2003 - 2004,0.0
,Ratlam,2001 - 2002,0.5
,,2002 - 2003,0.41
,,2003 - 2004,0.43
,,2004 - 2005,0.47
,,2006 - 2007,0.5
,,2007 - 2008,1.0
,,2008 - 2009,0.36
,,2010 - 2011,0.0
,,2016 - 2017,0.66
,,2018 - 2019,0.0
,Rewa,2009 - 2010,
,,2016 - 2017,1.06
,Sagar,2000 - 2001,0.17
,,2001 - 2002,0.2
,,2002 - 2003,0.14
,,2003 - 2004,0.25
,,2004 - 2005,0.27
,,2006 - 2007,0.33
,,2015 - 2016,0.55
,,2016 - 2017,0.11
,,2018 - 2019,0.5
,Satna,2016 - 2017,0.12
,Sehore,2016 - 2017,0.33
,Seoni,2000 - 2001,0.17
,,2001 - 2002,0.29
,,2002 - 2003,0.25
,,2003 - 2004,0.33
,,2004 - 2005,0.2
,,2006 - 2007,0.25
,,2009 - 2010,
,,2016 - 2017,0.83
,Shahdol,2011 - 2012,0.25
,,2012 - 2013,0.25
,,2015 - 2016,0.57
,,2016 - 2017,0.45
,Shajapur,2003 - 2004,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.29
,Sheopur,2016 - 2017,0.3
,Shivpuri,2000 - 2001,0.33
,,2001 - 2002,0.01
,,2003 - 2004,0.25
,,2004 - 2005,0.17
,,2009 - 2010,
,,2012 - 2013,0.0
,,2016 - 2017,0.25
,Sidhi,2000 - 2001,0.1
,,2016 - 2017,1.18
,Singrauli,2016 - 2017,0.9
,Tikamgarh,2000 - 2001,0.1
,,2003 - 2004,0.0
,,2016 - 2017,0.33
,Ujjain,2001 - 2002,0.5
,,2002 - 2003,0.01
,,2003 - 2004,0.24
,,2004 - 2005,0.26
,,2006 - 2007,0.25
,,2016 - 2017,1.0
,Umaria,2016 - 2017,1.13
,Vidisha,2000 - 2001,0.1
,,2001 - 2002,0.01
,,2002 - 2003,0.01
,,2016 - 2017,0.25
Maharashtra,Ahilyanagar,2000 - 2001,0.48
,,2001 - 2002,0.43
,,2002 - 2003,0.32
,,2003 - 2004,0.17
,,2004 - 2005,0.6
,,2005 - 2006,0.34
,,2006 - 2007,0.54
,,2007 - 2008,0.6
,,2008 - 2009,0.63
,,2009 - 2010,0.77
,,2010 - 2011,0.6
,,2011 - 2012,0.27
,,2012 - 2013,0.05
,,2013 - 2014,0.13
,,2014 - 2015,0.0
,,2015 - 2016,0.17
,,2016 - 2017,0.08
,,2017 - 2018,0.4
,,2020 - 2021,0.23
,,2021 - 2022,0.66
,,2022 - 2023,0.45
,Akola,2000 - 2001,0.39
,,2001 - 2002,0.65
,,2002 - 2003,0.55
,,2003 - 2004,0.55
,,2004 - 2005,0.37
,,2005 - 2006,0.79
,,2006 - 2007,0.84
,,2007 - 2008,0.93
,,2008 - 2009,0.36
,,2009 - 2010,0.79
,,2010 - 2011,0.25
,,2011 - 2012,0.4
,,2012 - 2013,0.6
,,2013 - 2014,0.6
,,2014 - 2015,0.6
,,2015 - 2016,0.67
,,2016 - 2017,0.5
,,2017 - 2018,0.35
,,2019 - 2020,0.36
,,2020 - 2021,0.69
,,2021 - 2022,0.54
,,2022 - 2023,0.44
,Amravati,2000 - 2001,0.34
,,2001 - 2002,0.5
,,2002 - 2003,0.53
,,2003 - 2004,0.55
,,2004 - 2005,0.35
,,2005 - 2006,0.64
,,2006 - 2007,0.71
,,2007 - 2008,0.78
,,2008 - 2009,0.41
,,2009 - 2010,0.87
,,2010 - 2011,0.43
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2017 - 2018,0.5
,,2019 - 2020,0.67
,,2020 - 2021,0.69
,,2021 - 2022,0.82
,Beed,2000 - 2001,0.34
,,2001 - 2002,0.45
,,2002 - 2003,0.46
,,2003 - 2004,0.19
,,2004 - 2005,0.51
,,2005 - 2006,0.62
,,2006 - 2007,0.57
,,2007 - 2008,0.37
,,2008 - 2009,0.56
,,2009 - 2010,0.51
,,2010 - 2011,0.41
,,2011 - 2012,0.32
,,2012 - 2013,0.35
,,2013 - 2014,1.47
,,2014 - 2015,0.16
,,2015 - 2016,0.19
,,2016 - 2017,0.68
,,2017 - 2018,0.43
,,2018 - 2019,0.08
,,2019 - 2020,0.54
,,2020 - 2021,0.34
,,2021 - 2022,0.31
,,2022 - 2023,0.71
,Bhandara,2021 - 2022,0.82
,,2022 - 2023,0.88
,Buldhana,2000 - 2001,0.35
,,2001 - 2002,0.48
,,2002 - 2003,0.47
,,2003 - 2004,0.5
,,2004 - 2005,0.32
,,2005 - 2006,0.48
,,2006 - 2007,0.64
,,2007 - 2008,0.69
,,2008 - 2009,0.47
,,2009 - 2010,0.96
,,2010 - 2011,0.59
,,2011 - 2012,0.71
,,2012 - 2013,1.63
,,2014 - 2015,0.5
,,2015 - 2016,0.4
,,2016 - 2017,0.5
,,2017 - 2018,1.0
,,2018 - 2019,0.79
,,2019 - 2020,1.05
,,2020 - 2021,0.69
,,2021 - 2022,0.85
,,2022 - 2023,0.87
,Chandrapur,2020 - 2021,0.69
,,2021 - 2022,0.82
,,2022 - 2023,0.88
,Chhatrapati Sambhajinagar,2000 - 2001,0.21
,,2001 - 2002,0.51
,,2002 - 2003,0.29
,,2003 - 2004,0.31
,,2004 - 2005,0.53
,,2005 - 2006,0.73
,,2006 - 2007,0.86
,,2007 - 2008,0.82
,,2008 - 2009,0.73
,,2009 - 2010,0.52
,,2010 - 2011,0.8
,,2011 - 2012,0.62
,,2012 - 2013,0.3
,,2013 - 2014,1.91
,,2014 - 2015,0.33
,,2015 - 2016,0.2
,,2016 - 2017,0.43
,,2017 - 2018,0.94
,,2019 - 2020,0.42
,,2020 - 2021,0.34
,,2021 - 2022,0.53
,,2022 - 2023,0.5
,Dharashiv,2000 - 2001,0.42
,,2001 - 2002,0.3
,,2002 - 2003,0.4
,,2003 - 2004,0.19
,,2004 - 2005,0.5
,,2005 - 2006,0.69
,,2006 - 2007,0.55
,,2007 - 2008,0.66
,,2008 - 2009,0.5
,,2009 - 2010,0.54
,,2010 - 2011,0.6
,,2011 - 2012,0.51
,,2012 - 2013,0.33
,,2013 - 2014,0.58
,,2014 - 2015,0.28
,,2015 - 2016,0.21
,,2016 - 2017,0.64
,,2017 - 2018,0.63
,,2018 - 2019,0.56
,,2019 - 2020,0.58
,,2020 - 2021,0.55
,,2021 - 2022,0.82
,,2022 - 2023,0.87
,Dhule,2015 - 2016,0.2
,Gadchiroli,2021 - 2022,0.82
,,2022 - 2023,0.88
,Gondia,2021 - 2022,0.82
,,2022 - 2023,0.88
,Hingoli,2000 - 2001,0.31
,,2001 - 2002,0.38
,,2002 - 2003,0.36
,,2003 - 2004,0.46
,,2004 - 2005,0.34
,,2005 - 2006,0.44
,,2006 - 2007,0.55
,,2007 - 2008,0.74
,,2008 - 2009,0.51
,,2009 - 2010,0.67
,,2010 - 2011,0.58
,,2011 - 2012,0.63
,,2012 - 2013,0.74
,,2013 - 2014,0.7
,,2014 - 2015,0.35
,,2015 - 2016,0.26
,,2016 - 2017,0.72
,,2017 - 2018,0.44
,,2018 - 2019,0.65
,,2019 - 2020,0.6
,,2020 - 2021,0.52
,,2021 - 2022,0.4
,,2022 - 2023,0.62
,Jalgaon,2007 - 2008,0.67
,,2008 - 2009,0.54
,,2009 - 2010,0.75
,,2010 - 2011,1.0
,,2011 - 2012,0.5
,,2012 - 2013,0.33
,,2013 - 2014,0.33
,,2016 - 2017,0.45
,Jalna,2000 - 2001,0.47
,,2001 - 2002,0.63
,,2002 - 2003,0.64
,,2003 - 2004,0.54
,,2004 - 2005,0.88
,,2005 - 2006,1.17
,,2006 - 2007,0.82
,,2007 - 2008,0.84
,,2008 - 2009,0.74
,,2009 - 2010,0.59
,,2010 - 2011,0.68
,,2011 - 2012,0.64
,,2012 - 2013,0.18
,,2013 - 2014,2.15
,,2015 - 2016,0.28
,,2016 - 2017,1.0
,,2018 - 2019,0.32
,,2019 - 2020,0.3
,,2020 - 2021,0.34
,,2021 - 2022,1.22
,,2022 - 2023,0.33
,Latur,2000 - 2001,0.48
,,2001 - 2002,0.32
,,2002 - 2003,0.34
,,2003 - 2004,0.36
,,2004 - 2005,0.43
,,2005 - 2006,0.54
,,2006 - 2007,0.58
,,2007 - 2008,0.73
,,2008 - 2009,0.51
,,2009 - 2010,0.39
,,2010 - 2011,0.66
,,2011 - 2012,0.61
,,2012 - 2013,0.7
,,2013 - 2014,0.71
,,2014 - 2015,0.29
,,2015 - 2016,0.22
,,2016 - 2017,0.73
,,2017 - 2018,0.47
,,2018 - 2019,0.29
,,2019 - 2020,1.09
,,2020 - 2021,0.48
,,2021 - 2022,0.58
,,2022 - 2023,0.74
,Nagpur,2021 - 2022,0.82
,Nanded,2000 - 2001,0.35
,,2001 - 2002,0.73
,,2002 - 2003,0.67
,,2003 - 2004,0.77
,,2004 - 2005,0.47
,,2005 - 2006,0.68
,,2006 - 2007,0.54
,,2007 - 2008,0.78
,,2008 - 2009,0.54
,,2009 - 2010,0.49
,,2010 - 2011,0.54
,,2011 - 2012,0.57
,,2012 - 2013,0.75
,,2013 - 2014,0.62
,,2014 - 2015,0.29
,,2015 - 2016,0.13
,,2016 - 2017,0.95
,,2017 - 2018,0.76
,,2018 - 2019,0.3
,,2019 - 2020,0.4
,,2020 - 2021,0.59
,,2021 - 2022,0.6
,,2022 - 2023,0.78
,Nandurbar,2000 - 2001,1.0
,,2004 - 2005,0.5
,,2005 - 2006,0.33
,,2006 - 2007,0.33
,,2007 - 2008,0.67
,,2008 - 2009,0.5
,,2009 - 2010,0.8
,,2010 - 2011,1.0
,,2014 - 2015,0.5
,,2015 - 2016,0.2
,,2016 - 2017,0.44
,,2017 - 2018,0.5
,,2019 - 2020,0.38
,,2020 - 2021,0.51
,,2022 - 2023,0.64
,Nashik,2000 - 2001,0.43
,,2001 - 2002,0.43
,,2002 - 2003,0.25
,,2003 - 2004,0.5
,,2004 - 2005,1.0
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,1.0
,,2013 - 2014,0.0
,,2014 - 2015,1.0
,,2015 - 2016,0.25
,Parbhani,2000 - 2001,0.51
,,2001 - 2002,0.77
,,2002 - 2003,0.64
,,2003 - 2004,0.58
,,2004 - 2005,0.31
,,2005 - 2006,0.6
,,2006 - 2007,0.64
,,2007 - 2008,0.68
,,2008 - 2009,0.6
,,2009 - 2010,0.62
,,2010 - 2011,0.4
,,2011 - 2012,0.58
,,2012 - 2013,0.54
,,2013 - 2014,0.45
,,2014 - 2015,0.42
,,2015 - 2016,0.18
,,2016 - 2017,0.65
,,2017 - 2018,0.48
,,2018 - 2019,0.44
,,2019 - 2020,0.46
,,2020 - 2021,1.1
,,2021 - 2022,1.14
,,2022 - 2023,0.62
,Pune,2000 - 2001,0.61
,,2001 - 2002,0.59
,,2002 - 2003,0.43
,,2003 - 2004,0.04
,,2004 - 2005,0.19
,,2005 - 2006,0.73
,,2006 - 2007,0.43
,,2007 - 2008,0.6
,,2008 - 2009,0.35
,,2009 - 2010,0.27
,,2010 - 2011,0.38
,,2011 - 2012,0.17
,,2012 - 2013,0.05
,,2013 - 2014,0.0
,,2014 - 2015,0.75
,,2019 - 2020,0.8
,,2020 - 2021,0.48
,,2021 - 2022,0.97
,,2022 - 2023,0.55
,Ratnagiri,2015 - 2016,0.1
,Sangli,2000 - 2001,0.46
,,2001 - 2002,0.39
,,2002 - 2003,0.21
,,2003 - 2004,0.12
,,2004 - 2005,0.62
,,2005 - 2006,0.18
,,2006 - 2007,0.48
,,2007 - 2008,0.24
,,2008 - 2009,0.48
,,2009 - 2010,0.47
,,2010 - 2011,0.44
,,2011 - 2012,0.41
,,2012 - 2013,0.1
,,2013 - 2014,0.53
,,2014 - 2015,1.29
,,2015 - 2016,0.34
,,2016 - 2017,0.75
,,2017 - 2018,0.6
,,2018 - 2019,0.25
,,2019 - 2020,0.27
,,2020 - 2021,0.09
,,2021 - 2022,0.24
,Satara,2000 - 2001,0.53
,,2001 - 2002,0.39
,,2002 - 2003,0.2
,,2003 - 2004,0.12
,,2004 - 2005,0.62
,,2005 - 2006,0.17
,,2006 - 2007,0.5
,,2007 - 2008,0.27
,,2008 - 2009,0.45
,,2009 - 2010,0.46
,,2010 - 2011,0.45
,,2011 - 2012,0.36
,,2012 - 2013,0.4
,,2013 - 2014,1.0
,,2014 - 2015,2.0
,,2015 - 2016,0.4
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,0.19
,,2019 - 2020,0.47
,,2020 - 2021,1.12
,,2022 - 2023,0.12
,Solapur,2000 - 2001,0.32
,,2001 - 2002,0.35
,,2002 - 2003,0.27
,,2003 - 2004,0.08
,,2004 - 2005,0.52
,,2005 - 2006,0.38
,,2006 - 2007,0.43
,,2007 - 2008,0.47
,,2008 - 2009,0.67
,,2009 - 2010,0.64
,,2010 - 2011,0.64
,,2011 - 2012,0.29
,,2012 - 2013,0.44
,,2013 - 2014,0.47
,,2014 - 2015,0.9
,,2015 - 2016,0.25
,,2016 - 2017,0.58
,,2017 - 2018,0.5
,,2018 - 2019,0.26
,,2019 - 2020,0.5
,,2020 - 2021,0.52
,,2021 - 2022,0.7
,,2022 - 2023,0.65
,Wardha,2000 - 2001,1.0
,,2014 - 2015,0.0
,,2021 - 2022,0.82
,,2022 - 2023,0.88
,Washim,2000 - 2001,0.29
,,2001 - 2002,0.46
,,2002 - 2003,0.6
,,2003 - 2004,0.54
,,2004 - 2005,0.39
,,2005 - 2006,0.65
,,2006 - 2007,0.58
,,2007 - 2008,0.68
,,2008 - 2009,0.44
,,2009 - 2010,0.8
,,2010 - 2011,0.67
,,2011 - 2012,0.71
,,2012 - 2013,0.8
,,2013 - 2014,0.6
,,2014 - 2015,0.2
,,2015 - 2016,0.25
,,2016 - 2017,1.0
,,2017 - 2018,0.43
,,2018 - 2019,0.77
,,2019 - 2020,0.46
,,2020 - 2021,0.69
,,2021 - 2022,0.88
,,2022 - 2023,0.95
,Yavatmal,2000 - 2001,0.25
,,2001 - 2002,0.67
,,2002 - 2003,0.5
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,0.0
,,2015 - 2016,0.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,0.91
,,2019 - 2020,0.4
Odisha,Anugul,2000 - 2001,0.67
,Balangir,2001 - 2002,0.35
,,2002 - 2003,0.5
,,2003 - 2004,0.25
,,2004 - 2005,0.52
,Baleshwar,2001 - 2002,0.6
,Bargarh,2001 - 2002,0.4
,Cuttack,2001 - 2002,1.0
,,2002 - 2003,1.0
,Deogarh,2001 - 2002,0.38
,Dhenkanal,2000 - 2001,0.67
,,2004 - 2005,0.5
,Ganjam,2001 - 2002,0.5
,,2004 - 2005,0.6
,Jagatsinghapur,2001 - 2002,0.2
,Jajapur,2001 - 2002,0.33
,Jharsuguda,2001 - 2002,0.4
,,2002 - 2003,0.33
,Kalahandi,2000 - 2001,0.58
,,2001 - 2002,0.57
,,2002 - 2003,0.6
,,2003 - 2004,0.64
,,2004 - 2005,0.67
,,2019 - 2020,0.64
,Kendujhar,2000 - 2001,0.67
,,2001 - 2002,0.71
,,2002 - 2003,0.75
,,2003 - 2004,0.67
,,2004 - 2005,0.69
,Khordha,2001 - 2002,0.5
,,2002 - 2003,0.5
,Koraput,2001 - 2002,0.25
,,2002 - 2003,0.19
,,2003 - 2004,0.2
,,2004 - 2005,0.67
,,2019 - 2020,0.67
,Mayurbhanj,2001 - 2002,0.5
,,2002 - 2003,1.0
,Nabarangpur,2000 - 2001,0.14
,,2001 - 2002,0.22
,,2002 - 2003,0.2
,,2003 - 2004,0.2
,,2004 - 2005,0.26
,,2019 - 2020,0.56
,Nayagarh,2001 - 2002,0.4
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.42
,Nuapada,2001 - 2002,0.84
,,2002 - 2003,0.05
,,2003 - 2004,0.14
,,2004 - 2005,0.32
,Sambalpur,2001 - 2002,0.4
,Sonepur,2001 - 2002,0.43
,Sundargarh,2001 - 2002,0.83
,,2002 - 2003,0.0
,,2003 - 2004,0.33
,,2004 - 2005,0.33
Telangana,Adilabad,2000 - 2001,0.44
,,2001 - 2002,0.34
,,2002 - 2003,0.28
,,2003 - 2004,0.31
,,2004 - 2005,0.45
,,2005 - 2006,0.47
,,2006 - 2007,0.64
,,2009 - 2010,0.44
,,2010 - 2011,0.68
,,2011 - 2012,0.75
,,2013 - 2014,0.71
,,2014 - 2015,0.76
,,2015 - 2016,0.67
,,2018 - 2019,0.63
,,2019 - 2020,1.13
,,2020 - 2021,1.0
,,2021 - 2022,0.97
,,2022 - 2023,0.89
,Bhadradri,2021 - 2022,1.0
,Jagitial,2022 - 2023,1.0
,Jangoan,2021 - 2022,0.98
,,2022 - 2023,1.0
,Jogulamba,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Kamareddy,2016 - 2017,0.85
,,2017 - 2018,0.22
,,2018 - 2019,0.38
,,2019 - 2020,0.99
,,2020 - 2021,0.93
,,2021 - 2022,0.62
,,2022 - 2023,0.9
,Karimnagar,2001 - 2002,0.31
,,2002 - 2003,0.5
,,2003 - 2004,0.31
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Khammam,2005 - 2006,0.44
,,2021 - 2022,1.0
,Komaram bheem asifabad,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,0.88
,Mahabubabad,2021 - 2022,1.0
,Mahbubnagar,2000 - 2001,0.44
,,2001 - 2002,0.34
,,2002 - 2003,0.41
,,2003 - 2004,0.31
,,2004 - 2005,0.45
,,2005 - 2006,0.47
,,2006 - 2007,0.23
,,2008 - 2009,0.22
,,2009 - 2010,0.62
,,2010 - 2011,0.68
,,2011 - 2012,0.74
,,2013 - 2014,0.7
,,2014 - 2015,0.75
,,2015 - 2016,1.67
,,2016 - 2017,0.69
,,2017 - 2018,0.57
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Mancherial,2016 - 2017,0.67
,,2018 - 2019,0.5
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Medak,2000 - 2001,0.44
,,2001 - 2002,0.4
,,2002 - 2003,0.35
,,2003 - 2004,0.24
,,2004 - 2005,0.41
,,2005 - 2006,0.36
,,2006 - 2007,0.68
,,2008 - 2009,0.44
,,2009 - 2010,0.42
,,2010 - 2011,0.68
,,2011 - 2012,0.73
,,2013 - 2014,0.61
,,2014 - 2015,0.54
,,2015 - 2016,0.69
,,2016 - 2017,0.41
,,2017 - 2018,0.56
,,2018 - 2019,0.58
,,2019 - 2020,1.08
,,2020 - 2021,0.93
,,2021 - 2022,0.99
,,2022 - 2023,0.88
,Medchal,2021 - 2022,1.0
,,2022 - 2023,
,Mulugu,2021 - 2022,1.0
,Nagarkurnool,2020 - 2021,0.94
,,2021 - 2022,0.99
,,2022 - 2023,0.88
,Nalgonda,2000 - 2001,0.44
,,2001 - 2002,0.34
,,2004 - 2005,0.42
,,2008 - 2009,0.67
,,2009 - 2010,0.44
,,2011 - 2012,0.67
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Narayanapet,2018 - 2019,0.5
,,2019 - 2020,1.1
,,2020 - 2021,0.93
,,2021 - 2022,0.99
,,2022 - 2023,0.9
,Nirmal,2016 - 2017,0.66
,,2017 - 2018,0.57
,,2018 - 2019,1.13
,,2019 - 2020,1.1
,,2020 - 2021,0.92
,,2021 - 2022,1.0
,,2022 - 2023,0.91
,Nizamabad,2000 - 2001,0.44
,,2001 - 2002,0.12
,,2002 - 2003,0.28
,,2003 - 2004,0.31
,,2004 - 2005,0.51
,,2005 - 2006,0.47
,,2006 - 2007,0.56
,,2008 - 2009,0.6
,,2009 - 2010,0.43
,,2010 - 2011,0.6
,,2011 - 2012,0.59
,,2013 - 2014,0.7
,,2014 - 2015,0.97
,,2015 - 2016,0.23
,,2016 - 2017,0.85
,,2017 - 2018,0.84
,,2018 - 2019,2.21
,,2019 - 2020,2.18
,,2020 - 2021,0.72
,,2021 - 2022,0.99
,,2022 - 2023,0.9
,Peddapalli,2021 - 2022,1.0
,Rajanna,2021 - 2022,1.0
,Rangareddi,2000 - 2001,0.44
,,2001 - 2002,0.34
,,2002 - 2003,0.53
,,2003 - 2004,0.49
,,2004 - 2005,0.45
,,2005 - 2006,0.73
,,2006 - 2007,0.71
,,2008 - 2009,0.72
,,2009 - 2010,0.41
,,2010 - 2011,0.68
,,2011 - 2012,0.89
,,2013 - 2014,1.03
,,2014 - 2015,0.74
,,2015 - 2016,0.77
,,2016 - 2017,1.02
,,2017 - 2018,0.57
,,2018 - 2019,0.6
,,2019 - 2020,1.1
,,2020 - 2021,1.26
,,2021 - 2022,1.52
,,2022 - 2023,0.95
,Sangareddy,2016 - 2017,0.41
,,2017 - 2018,0.63
,,2018 - 2019,0.36
,,2019 - 2020,0.62
,,2020 - 2021,0.74
,,2021 - 2022,0.62
,,2022 - 2023,0.94
,Siddipet,2020 - 2021,0.92
,,2021 - 2022,0.99
,,2022 - 2023,1.31
,Suryapet,2021 - 2022,1.0
,Vikarabad,2016 - 2017,1.02
,,2017 - 2018,0.89
,,2018 - 2019,0.6
,,2019 - 2020,0.87
,,2020 - 2021,0.79
,,2021 - 2022,0.94
,,2022 - 2023,0.8
,Wanaparthy,2021 - 2022,1.0
,Warangal,2001 - 2002,0.33
,,2003 - 2004,0.29
,,2004 - 2005,0.44
,,2005 - 2006,0.47
,,2008 - 2009,0.57
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Warangal urban,2021 - 2022,0.98
,,2022 - 2023,0.86
,Yadadri,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,0.88
West Bengal,paraganas north,2003 - 2004,0.89
,,2007 - 2008,2.73
,,2009 - 2010,0.98
,,2010 - 2011,1.38
,,2011 - 2012,1.11
,,2012 - 2013,1.09
,,2013 - 2014,1.03
,,2014 - 2015,1.07
,,2015 - 2016,
,,2016 - 2017,
,Birbhum,2000 - 2001,0.27
,,2001 - 2002,0.29
,,2002 - 2003,0.33
,,2003 - 2004,0.22
,,2005 - 2006,0.31
,,2006 - 2007,0.5
,,2007 - 2008,0.84
,,2008 - 2009,0.77
,,2009 - 2010,0.87
,,2010 - 2011,0.8
,,2011 - 2012,0.41
,,2012 - 2013,0.43
,,2013 - 2014,0.42
,,2014 - 2015,0.4
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,0.63
,,2021 - 2022,0.6
,,2022 - 2023,0.6
,Darjeeling,2006 - 2007,0.6
,,2007 - 2008,1.4
,,2008 - 2009,1.0
,,2010 - 2011,1.38
,Dinajpur dakshin,2014 - 2015,1.0
,,2015 - 2016,
,,2016 - 2017,
,Dinajpur uttar,2004 - 2005,0.5
,,2005 - 2006,0.59
,,2006 - 2007,0.65
,,2007 - 2008,0.58
,,2008 - 2009,0.7
,,2009 - 2010,0.7
,,2010 - 2011,0.69
,,2011 - 2012,0.83
,Jalpaiguri,2006 - 2007,0.3
,,2007 - 2008,0.84
,,2008 - 2009,0.69
,,2010 - 2011,1.28
,,2012 - 2013,1.28
,,2013 - 2014,1.28
,,2014 - 2015,1.38
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,Medinipur west,2005 - 2006,0.63
,,2006 - 2007,0.65
,,2007 - 2008,0.64
,,2008 - 2009,0.68
,,2009 - 2010,0.7
,,2010 - 2011,0.72
,,2011 - 2012,0.85
,,2012 - 2013,0.78
,,2013 - 2014,0.74
,,2014 - 2015,0.79
,,2015 - 2016,
,,2016 - 2017,
,Murshidabad,2007 - 2008,1.25
,,2008 - 2009,1.0
,,2011 - 2012,1.0
,Nadia,2002 - 2003,2.8
,,2003 - 2004,0.16
,,2004 - 2005,1.42
,Purba bardhaman,2000 - 2001,0.33
,,2001 - 2002,0.48
,,2002 - 2003,0.52
,,2003 - 2004,0.7
,,2004 - 2005,0.65
,,2005 - 2006,0.68
,,2006 - 2007,0.64
,,2007 - 2008,0.55
,,2009 - 2010,0.5
,,2010 - 2011,0.6
,,2011 - 2012,0.8
,,2012 - 2013,0.75
,,2013 - 2014,0.67
,,2014 - 2015,0.6
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Purulia,2004 - 2005,0.66
,,2007 - 2008,0.97
,,2008 - 2009,0.97
,,2009 - 2010,0.83
,,2010 - 2011,0.66
,,2011 - 2012,0.76
,,2012 - 2013,0.72
,,2013 - 2014,0.7
,,2014 - 2015,0.69
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
