state,district,year,sannhamp_whole_year_yield_tonne_per_hectare
,Chikballapur,2019 - 2020,0.57
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chikmagalur,2019 - 2020,1.0
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chitradurga,2018 - 2019,0.29
,,2019 - 2020,0.63
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Davangere,2001 - 2002,0.24
,,2002 - 2003,0.29
,,2004 - 2005,0.0
,,2005 - 2006,0.17
,,2019 - 2020,0.62
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dharwad,2003 - 2004,0.25
,,2009 - 2010,0.0
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2019 - 2020,0.58
,,2020 - 2021,
,,2021 - 2022,
,Gadag,2005 - 2006,0.24
,,2006 - 2007,0.24
,,2016 - 2017,0.0
,,2018 - 2019,0.29
,,2019 - 2020,0.57
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gulbarga,2000 - 2001,0.21
,,2001 - 2002,0.18
,,2002 - 2003,0.2
,,2003 - 2004,0.25
,,2004 - 2005,0.25
,,2008 - 2009,0.25
,,2018 - 2019,0.0
,,2019 - 2020,0.67
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hassan,2006 - 2007,0.17
,,2018 - 2019,0.0
,,2019 - 2020,0.6
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Haveri,2000 - 2001,0.5
,,2002 - 2003,0.17
,,2003 - 2004,0.0
,,2004 - 2005,0.5
,,2013 - 2014,0.2
,,2014 - 2015,0.2
,,2018 - 2019,0.23
,,2019 - 2020,0.57
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kolar,2018 - 2019,0.24
,,2019 - 2020,1.0
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Koppal,2005 - 2006,0.22
,,2018 - 2019,0.25
,,2019 - 2020,0.59
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mandya,2018 - 2019,0.0
,,2019 - 2020,0.67
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mysore,2018 - 2019,0.26
,,2019 - 2020,0.59
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Raichur,2005 - 2006,0.23
,,2007 - 2008,0.23
,,2008 - 2009,0.23
,,2018 - 2019,0.0
,,2019 - 2020,0.62
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ramanagara,2018 - 2019,0.21
,,2019 - 2020,0.5
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shimoga,2019 - 2020,0.56
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tumkur,2003 - 2004,0.0
,,2006 - 2007,0.0
,,2011 - 2012,0.2
,,2012 - 2013,0.2
,,2016 - 2017,0.0
,,2017 - 2018,0.33
,,2018 - 2019,0.2
,,2019 - 2020,0.6
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Udupi,2020 - 2021,
,Uttar kannad,2003 - 2004,0.0
,,2009 - 2010,0.24
,,2010 - 2011,0.24
,,2012 - 2013,0.25
,,2014 - 2015,0.25
,,2015 - 2016,0.24
,,2016 - 2017,0.26
,,2017 - 2018,0.26
,,2018 - 2019,0.23
,,2019 - 2020,0.67
,,2020 - 2021,
,Vijayanagar,2022 - 2023,
,Yadgir,2018 - 2019,0.0
,,2021 - 2022,
Madhya Pradesh,Agar malwa,2013 - 2014,
,Alirajpur,2008 - 2009,
,,2009 - 2010,0.41
,,2010 - 2011,2.29
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Anuppur,2003 - 2004,1.74
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.21
,,2010 - 2011,0.98
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Balaghat,2000 - 2001,2.01
,,2001 - 2002,2.03
,,2002 - 2003,2.02
,,2003 - 2004,1.99
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.43
,,2010 - 2011,2.33
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Barwani,2000 - 2001,1.08
,,2001 - 2002,1.34
,,2002 - 2003,1.41
,,2003 - 2004,2.01
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.17
,,2010 - 2011,0.93
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Betul,2000 - 2001,1.48
,,2001 - 2002,1.77
,,2002 - 2003,1.64
,,2003 - 2004,1.67
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.4
,,2010 - 2011,2.42
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Bhind,2000 - 2001,1.33
,,2001 - 2002,1.85
,,2002 - 2003,1.86
,,2003 - 2004,1.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.33
,,2010 - 2011,2.2
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Bhopal,2000 - 2001,2.15
,,2001 - 2002,1.8
,,2002 - 2003,1.82
,,2003 - 2004,1.77
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.31
,,2010 - 2011,3.0
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Burhanpur,2003 - 2004,2.15
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.35
,,2010 - 2011,1.38
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Chhatarpur,2000 - 2001,1.04
,,2001 - 2002,1.46
,,2002 - 2003,1.11
,,2003 - 2004,1.5
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.28
,,2010 - 2011,1.54
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Chhindwara,2000 - 2001,1.81
,,2001 - 2002,1.53
,,2002 - 2003,1.4
,,2003 - 2004,2.45
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.44
,,2010 - 2011,2.58
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Damoh,2000 - 2001,1.5
,,2001 - 2002,1.38
,,2002 - 2003,0.92
,,2003 - 2004,2.0
,,2008 - 2009,
,Datia,2000 - 2001,3.02
,,2001 - 2002,2.94
,,2002 - 2003,2.05
,,2003 - 2004,2.29
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.39
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Dewas,2000 - 2001,1.7
,,2001 - 2002,2.41
,,2002 - 2003,2.11
,,2003 - 2004,2.3
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.51
,,2010 - 2011,3.0
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Dhar,2000 - 2001,1.04
,,2001 - 2002,1.43
,,2002 - 2003,1.98
,,2003 - 2004,2.02
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.41
,,2010 - 2011,2.27
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Dindori,2000 - 2001,1.03
,,2001 - 2002,1.56
,,2002 - 2003,1.32
,,2003 - 2004,1.26
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.17
,,2010 - 2011,1.06
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Guna,2000 - 2001,2.54
,,2001 - 2002,2.44
,,2002 - 2003,1.1
,,2003 - 2004,2.44
,,2007 - 2008,
,,2008 - 2009,
,Gwalior,2000 - 2001,2.8
,,2003 - 2004,3.4
,,2008 - 2009,
,,2013 - 2014,
,Harda,2000 - 2001,0.0
,,2001 - 2002,2.5
,,2002 - 2003,2.0
,Hoshangabad,2000 - 2001,1.83
,,2001 - 2002,1.83
,,2002 - 2003,2.32
,,2003 - 2004,2.83
,,2009 - 2010,0.5
,Indore,2000 - 2001,0.75
,,2002 - 2003,2.2
,,2011 - 2012,
,,2012 - 2013,
,Jabalpur,2000 - 2001,1.56
,,2001 - 2002,0.2
,,2002 - 2003,2.28
,,2003 - 2004,2.32
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.45
,,2010 - 2011,2.38
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Jhabua,2000 - 2001,2.05
,,2001 - 2002,1.46
,,2002 - 2003,0.91
,,2003 - 2004,2.12
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.38
,,2010 - 2011,2.29
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Katni,2000 - 2001,1.7
,,2001 - 2002,2.08
,,2002 - 2003,2.13
,,2003 - 2004,1.83
,,2007 - 2008,
,,2008 - 2009,
,,2013 - 2014,
,Khandwa,2000 - 2001,1.09
,,2001 - 2002,1.34
,,2002 - 2003,1.68
,,2003 - 2004,2.01
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.39
,,2010 - 2011,2.0
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Khargone,2000 - 2001,0.94
,,2001 - 2002,1.54
,,2002 - 2003,2.01
,,2003 - 2004,1.91
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.34
,,2010 - 2011,1.91
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Mandla,2000 - 2001,0.81
,,2001 - 2002,1.5
,,2002 - 2003,1.48
,,2003 - 2004,1.57
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.27
,,2010 - 2011,1.68
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Mandsaur,2000 - 2001,1.48
,,2001 - 2002,2.13
,,2002 - 2003,1.38
,,2003 - 2004,3.0
,,2012 - 2013,
,Morena,2000 - 2001,2.1
,,2001 - 2002,2.43
,,2002 - 2003,1.7
,,2003 - 2004,1.67
,,2007 - 2008,
,Narsinghpur,2000 - 2001,2.72
,,2001 - 2002,3.24
,,2002 - 2003,2.17
,,2003 - 2004,3.21
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.59
,,2010 - 2011,3.67
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Neemuch,2000 - 2001,2.05
,,2001 - 2002,2.29
,,2002 - 2003,1.47
,,2003 - 2004,2.93
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.33
,,2010 - 2011,1.83
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Panna,2000 - 2001,1.23
,,2001 - 2002,1.82
,,2002 - 2003,0.96
,,2003 - 2004,1.85
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.33
,,2010 - 2011,2.36
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Raisen,2000 - 2001,2.37
,,2001 - 2002,1.7
,,2002 - 2003,1.74
,,2003 - 2004,2.0
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.34
,,2010 - 2011,1.57
,,2011 - 2012,
,,2012 - 2013,
,Rajgarh,2000 - 2001,0.93
,,2001 - 2002,1.64
,,2002 - 2003,0.9
,,2003 - 2004,2.22
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.38
,,2010 - 2011,2.58
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Ratlam,2000 - 2001,2.2
,,2001 - 2002,1.22
,,2002 - 2003,1.1
,,2003 - 2004,2.2
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,0.0
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Rewa,2000 - 2001,1.94
,,2001 - 2002,1.95
,,2002 - 2003,1.95
,,2003 - 2004,1.56
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.35
,,2010 - 2011,2.3
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Sagar,2000 - 2001,2.14
,,2001 - 2002,1.95
,,2002 - 2003,1.49
,,2003 - 2004,2.16
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.5
,,2010 - 2011,2.38
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Satna,2000 - 2001,1.86
,,2001 - 2002,2.17
,,2002 - 2003,1.54
,,2003 - 2004,1.8
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.29
,,2010 - 2011,1.86
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Sehore,2000 - 2001,1.8
,,2001 - 2002,2.03
,,2002 - 2003,2.78
,,2003 - 2004,2.77
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.58
,,2010 - 2011,3.94
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Seoni,2000 - 2001,0.6
,,2001 - 2002,2.1
,,2002 - 2003,1.66
,,2003 - 2004,2.11
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.32
,,2010 - 2011,1.78
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Shahdol,2000 - 2001,1.14
,,2001 - 2002,1.67
,,2002 - 2003,1.42
,,2003 - 2004,1.8
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.28
,,2010 - 2011,1.85
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Shajapur,2000 - 2001,1.54
,,2001 - 2002,1.24
,,2002 - 2003,1.23
,,2003 - 2004,1.79
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.27
,,2010 - 2011,1.69
,,2011 - 2012,
,,2012 - 2013,
,Sheopur,2000 - 2001,0.0
,,2002 - 2003,0.0
,,2003 - 2004,2.83
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.4
,Shivpuri,2000 - 2001,1.94
,,2001 - 2002,2.0
,,2002 - 2003,0.51
,,2003 - 2004,2.24
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.35
,,2010 - 2011,1.79
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Sidhi,2000 - 2001,1.97
,,2001 - 2002,2.21
,,2002 - 2003,2.06
,,2003 - 2004,2.44
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.4
,,2010 - 2011,2.29
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Singrauli,2008 - 2009,
,,2009 - 2010,0.51
,,2010 - 2011,3.05
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Tikamgarh,2000 - 2001,2.81
,,2001 - 2002,3.07
,,2002 - 2003,1.37
,,2003 - 2004,2.64
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.33
,,2010 - 2011,1.2
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Ujjain,2000 - 2001,0.0
,,2001 - 2002,1.57
,,2003 - 2004,2.75
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,0.0
,Umaria,2000 - 2001,1.25
,,2001 - 2002,1.52
,,2002 - 2003,1.51
,,2003 - 2004,1.65
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.3
,,2010 - 2011,1.57
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Vidisha,2000 - 2001,1.8
,,2001 - 2002,1.89
,,2002 - 2003,1.45
,,2003 - 2004,1.86
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.4
,,2010 - 2011,2.06
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
Odisha,Anugul,2000 - 2001,3.5
,Balangir,2000 - 2001,3.61
,,2019 - 2020,
,Baleshwar,2000 - 2001,4.33
,Bargarh,2000 - 2001,3.5
,,2019 - 2020,
,Bhadrak,2000 - 2001,8.0
,Deogarh,2000 - 2001,3.0
,,2019 - 2020,
,Dhenkanal,2000 - 2001,5.29
,Gajapati,2000 - 2001,3.17
,,2019 - 2020,
,Ganjam,2000 - 2001,3.5
,,2019 - 2020,
,Kalahandi,2000 - 2001,4.55
,,2019 - 2020,
,Kandhamal,2000 - 2001,2.07
,,2019 - 2020,
,Kendujhar,2019 - 2020,
,Koraput,2000 - 2001,8.47
,,2019 - 2020,
,Mayurbhanj,2000 - 2001,3.57
,,2019 - 2020,
,Nabarangpur,2000 - 2001,4.7
,,2019 - 2020,
,Nayagarh,2000 - 2001,4.63
,,2019 - 2020,
,Nuapada,2000 - 2001,1.94
,,2019 - 2020,
,Rayagada,2000 - 2001,2.97
,,2019 - 2020,
,Sambalpur,2000 - 2001,3.0
,Sonepur,2000 - 2001,2.5
,Sundargarh,2000 - 2001,5.15
,,2019 - 2020,
Rajasthan,Ajmer,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2011 - 2012,1.0
,,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,Alwar,2000 - 2001,0.43
,,2001 - 2002,0.33
,,2002 - 2003,0.0
,,2003 - 2004,1.32
,,2004 - 2005,0.51
,,2005 - 2006,0.44
,,2006 - 2007,0.33
,,2007 - 2008,1.38
,,2008 - 2009,1.03
,,2009 - 2010,0.22
,,2010 - 2011,0.13
,,2011 - 2012,1.2
,,2012 - 2013,0.79
,,2013 - 2014,0.77
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,Banswara,2000 - 2001,0.05
,,2001 - 2002,0.19
,,2002 - 2003,0.13
,,2003 - 2004,0.28
,,2004 - 2005,0.16
,,2005 - 2006,0.21
,,2006 - 2007,0.06
,,2007 - 2008,0.28
,,2008 - 2009,0.23
,,2009 - 2010,0.08
,,2010 - 2011,0.13
,,2011 - 2012,0.14
,,2012 - 2013,0.14
,,2013 - 2014,0.13
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Baran,2000 - 2001,0.56
,,2001 - 2002,0.58
,,2002 - 2003,0.09
,,2003 - 2004,0.45
,,2004 - 2005,0.56
,,2005 - 2006,0.56
,,2006 - 2007,0.89
,,2007 - 2008,0.67
,,2008 - 2009,1.0
,,2009 - 2010,0.67
,,2010 - 2011,0.0
,,2012 - 2013,2.0
,,2013 - 2014,0.0
,Bharatpur,2000 - 2001,0.53
,,2001 - 2002,0.47
,,2002 - 2003,0.14
,,2003 - 2004,0.2
,,2004 - 2005,0.88
,,2005 - 2006,0.47
,,2006 - 2007,0.94
,,2007 - 2008,0.4
,,2008 - 2009,10.0
,,2009 - 2010,10.0
,,2010 - 2011,30.0
,,2012 - 2013,0.52
,,2013 - 2014,0.61
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Bhilwara,2000 - 2001,0.03
,,2001 - 2002,0.39
,,2002 - 2003,0.03
,,2003 - 2004,0.68
,,2004 - 2005,0.43
,,2005 - 2006,0.15
,,2006 - 2007,1.0
,,2007 - 2008,0.87
,,2008 - 2009,1.64
,,2009 - 2010,0.31
,,2010 - 2011,0.85
,,2011 - 2012,2.86
,,2012 - 2013,1.07
,,2013 - 2014,2.12
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bikaner,2011 - 2012,1.0
,Bundi,2000 - 2001,0.47
,,2001 - 2002,0.11
,,2002 - 2003,2.15
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,2.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.08
,,2012 - 2013,0.5
,,2013 - 2014,0.0
,,2018 - 2019,
,Chittorgarh,2000 - 2001,0.12
,,2001 - 2002,1.0
,,2002 - 2003,0.0
,,2003 - 2004,0.4
,,2004 - 2005,0.17
,,2005 - 2006,0.29
,,2006 - 2007,0.5
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.49
,,2010 - 2011,0.3
,,2011 - 2012,0.4
,,2012 - 2013,1.33
,,2013 - 2014,1.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Churu,2000 - 2001,0.0
,,2011 - 2012,0.0
,Dausa,2000 - 2001,0.6
,,2001 - 2002,0.68
,,2002 - 2003,0.0
,,2003 - 2004,0.45
,,2004 - 2005,0.05
,,2005 - 2006,1.47
,,2006 - 2007,1.61
,,2007 - 2008,1.0
,,2008 - 2009,0.86
,,2009 - 2010,0.52
,,2010 - 2011,1.45
,,2011 - 2012,0.67
,,2012 - 2013,2.1
,,2013 - 2014,1.0
,Dholpur,2000 - 2001,0.67
,,2001 - 2002,0.0
,,2003 - 2004,0.22
,,2004 - 2005,0.0
,,2005 - 2006,0.6
,,2006 - 2007,1.6
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.01
,,2010 - 2011,1.0
,,2011 - 2012,0.47
,,2012 - 2013,0.48
,,2013 - 2014,0.5
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dungarpur,2000 - 2001,0.12
,,2001 - 2002,0.28
,,2002 - 2003,0.12
,,2003 - 2004,1.2
,,2004 - 2005,0.27
,,2005 - 2006,0.3
,,2006 - 2007,0.11
,,2007 - 2008,1.2
,,2008 - 2009,0.07
,,2009 - 2010,0.13
,,2010 - 2011,0.39
,,2011 - 2012,0.27
,,2012 - 2013,0.92
,,2013 - 2014,0.43
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Ganganagar,2000 - 2001,0.57
,,2001 - 2002,0.25
,,2002 - 2003,0.0
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,1.0
,,2011 - 2012,0.35
,,2012 - 2013,0.0
,,2017 - 2018,
,Hanumangarh,2000 - 2001,0.49
,,2001 - 2002,0.5
,,2002 - 2003,0.0
,,2003 - 2004,1.5
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2016 - 2017,
,,2020 - 2021,
,Jaipur,2000 - 2001,0.0
,,2001 - 2002,0.33
,,2002 - 2003,0.0
,,2003 - 2004,0.17
,,2004 - 2005,0.71
,,2005 - 2006,1.0
,,2007 - 2008,1.0
,,2008 - 2009,0.75
,,2009 - 2010,0.0
,,2010 - 2011,0.5
,,2012 - 2013,0.0
,,2013 - 2014,0.0
,,2015 - 2016,
,Jalore,2000 - 2001,0.0
,,2001 - 2002,0.5
,,2002 - 2003,0.0
,,2004 - 2005,0.29
,,2005 - 2006,0.25
,,2006 - 2007,0.0
,,2007 - 2008,0.5
,,2008 - 2009,0.25
,,2009 - 2010,0.29
,,2010 - 2011,0.5
,,2012 - 2013,0.0
,,2015 - 2016,
,,2021 - 2022,
,Jhalawar,2000 - 2001,0.36
,,2001 - 2002,5.03
,,2002 - 2003,0.41
,,2003 - 2004,0.45
,,2004 - 2005,0.86
,,2005 - 2006,1.02
,,2006 - 2007,0.81
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.5
,,2012 - 2013,0.0
,,2017 - 2018,
,,2019 - 2020,
,,2021 - 2022,
,Jhunjhunu,2000 - 2001,0.2
,,2001 - 2002,1.0
,,2002 - 2003,0.0
,,2003 - 2004,1.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,0.33
,,2009 - 2010,0.0
,,2011 - 2012,1.0
,,2013 - 2014,1.0
,Karauli,2000 - 2001,0.19
,,2001 - 2002,0.13
,,2002 - 2003,0.0
,,2003 - 2004,0.46
,,2004 - 2005,0.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,0.6
,,2009 - 2010,0.0
,,2010 - 2011,0.43
,,2011 - 2012,0.5
,,2012 - 2013,1.0
,,2013 - 2014,0.55
,,2015 - 2016,
,,2019 - 2020,
,,2020 - 2021,
,Kota,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,0.26
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,1.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.56
,,2013 - 2014,0.0
,,2016 - 2017,
,,2017 - 2018,
,,2022 - 2023,
,Pali,2000 - 2001,0.0
,,2001 - 2002,0.57
,,2002 - 2003,0.0
,,2003 - 2004,0.51
,,2004 - 2005,0.5
,,2005 - 2006,0.21
,,2006 - 2007,0.44
,,2007 - 2008,0.59
,,2008 - 2009,0.18
,,2009 - 2010,0.0
,,2010 - 2011,0.39
,,2011 - 2012,1.0
,,2012 - 2013,0.83
,,2013 - 2014,0.14
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pratapgarh,2008 - 2009,0.9
,,2009 - 2010,0.49
,,2010 - 2011,0.52
,,2011 - 2012,0.23
,,2012 - 2013,0.53
,,2013 - 2014,1.67
,,2015 - 2016,
,,2018 - 2019,
,Rajsamand,2000 - 2001,0.01
,,2001 - 2002,0.42
,,2002 - 2003,0.0
,,2003 - 2004,0.39
,,2004 - 2005,0.23
,,2005 - 2006,0.48
,,2006 - 2007,0.38
,,2007 - 2008,0.4
,,2008 - 2009,0.45
,,2009 - 2010,0.21
,,2010 - 2011,0.47
,,2011 - 2012,0.4
,,2012 - 2013,1.0
,,2013 - 2014,2.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sawai madhopur,2000 - 2001,0.3
,,2001 - 2002,0.45
,,2002 - 2003,0.14
,,2003 - 2004,0.57
,,2004 - 2005,0.52
,,2005 - 2006,0.26
,,2006 - 2007,0.26
,,2007 - 2008,0.25
,,2008 - 2009,0.25
,,2009 - 2010,0.24
,,2010 - 2011,0.25
,,2011 - 2012,0.6
,,2012 - 2013,0.6
,,2013 - 2014,0.6
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sikar,2000 - 2001,0.13
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,1.0
,,2004 - 2005,0.2
,,2005 - 2006,0.23
,,2006 - 2007,0.36
,,2007 - 2008,0.56
,,2008 - 2009,0.6
,,2009 - 2010,0.2
,,2010 - 2011,0.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2015 - 2016,
,Sirohi,2000 - 2001,1.14
,,2001 - 2002,0.73
,,2002 - 2003,0.0
,,2003 - 2004,4.0
,,2004 - 2005,3.58
,,2005 - 2006,4.0
,,2006 - 2007,3.5
,,2007 - 2008,0.33
,,2008 - 2009,2.5
,,2009 - 2010,2.17
,,2010 - 2011,3.18
,,2013 - 2014,0.0
,,2020 - 2021,
,,2021 - 2022,
,Tonk,2000 - 2001,0.13
,,2001 - 2002,0.29
,,2002 - 2003,0.0
,,2003 - 2004,0.22
,,2004 - 2005,0.29
,,2005 - 2006,1.0
,,2006 - 2007,0.0
,,2007 - 2008,0.25
,,2009 - 2010,0.0
,,2010 - 2011,0.33
,Udaipur,2000 - 2001,0.34
,,2001 - 2002,0.53
