state,district,year,maize_rabi_yield_tonne_per_hectare
,,2021 - 2022,4.52
,,2022 - 2023,2.62
,Gadchiroli,2000 - 2001,1.0
,,2001 - 2002,2.0
,,2002 - 2003,1.0
,,2003 - 2004,2.0
,,2004 - 2005,1.5
,,2005 - 2006,2.0
,,2006 - 2007,2.5
,,2007 - 2008,2.75
,,2008 - 2009,2.0
,,2009 - 2010,0.33
,,2010 - 2011,2.08
,,2011 - 2012,2.58
,,2012 - 2013,0.78
,,2013 - 2014,2.5
,,2014 - 2015,0.0
,,2015 - 2016,1.0
,,2016 - 2017,1.67
,,2017 - 2018,1.25
,,2018 - 2019,0.65
,,2019 - 2020,1.49
,,2020 - 2021,1.29
,,2021 - 2022,2.18
,,2022 - 2023,1.98
,Gondia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.0
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,0.25
,,2015 - 2016,0.86
,,2016 - 2017,1.83
,,2017 - 2018,1.03
,,2018 - 2019,0.0
,,2019 - 2020,0.79
,,2020 - 2021,1.29
,,2021 - 2022,2.18
,,2022 - 2023,1.98
,Hingoli,2000 - 2001,1.0
,,2001 - 2002,2.0
,,2002 - 2003,1.0
,,2003 - 2004,1.5
,,2004 - 2005,
,,2005 - 2006,2.0
,,2006 - 2007,2.33
,,2007 - 2008,2.5
,,2008 - 2009,1.67
,,2009 - 2010,0.33
,,2010 - 2011,2.13
,,2011 - 2012,2.67
,,2012 - 2013,0.5
,,2013 - 2014,2.5
,,2014 - 2015,0.2
,,2015 - 2016,0.84
,,2016 - 2017,1.75
,,2017 - 2018,1.0
,,2018 - 2019,1.03
,,2019 - 2020,1.26
,,2020 - 2021,1.29
,,2021 - 2022,2.18
,,2022 - 2023,1.98
,Jalgaon,2000 - 2001,1.0
,,2001 - 2002,2.0
,,2002 - 2003,1.67
,,2003 - 2004,1.91
,,2004 - 2005,2.25
,,2005 - 2006,2.39
,,2006 - 2007,1.82
,,2007 - 2008,2.59
,,2008 - 2009,2.89
,,2009 - 2010,2.98
,,2010 - 2011,2.93
,,2011 - 2012,2.84
,,2012 - 2013,2.72
,,2013 - 2014,2.25
,,2014 - 2015,3.76
,,2015 - 2016,2.56
,,2016 - 2017,3.16
,,2017 - 2018,3.98
,,2018 - 2019,2.64
,,2019 - 2020,3.15
,,2020 - 2021,2.75
,,2021 - 2022,4.77
,,2022 - 2023,3.35
,Jalna,2000 - 2001,1.16
,,2001 - 2002,1.84
,,2002 - 2003,1.13
,,2003 - 2004,2.18
,,2004 - 2005,1.11
,,2005 - 2006,1.55
,,2006 - 2007,2.09
,,2007 - 2008,3.04
,,2008 - 2009,1.9
,,2009 - 2010,2.78
,,2010 - 2011,3.0
,,2011 - 2012,2.94
,,2012 - 2013,1.57
,,2013 - 2014,2.19
,,2014 - 2015,
,,2015 - 2016,1.65
,,2016 - 2017,4.43
,,2017 - 2018,2.38
,,2018 - 2019,1.37
,,2019 - 2020,3.84
,,2020 - 2021,4.68
,,2021 - 2022,6.16
,,2022 - 2023,4.98
,Kolhapur,2000 - 2001,1.68
,,2001 - 2002,2.15
,,2002 - 2003,1.96
,,2003 - 2004,1.91
,,2004 - 2005,2.84
,,2005 - 2006,1.98
,,2006 - 2007,2.23
,,2007 - 2008,3.15
,,2008 - 2009,2.56
,,2009 - 2010,2.82
,,2010 - 2011,2.09
,,2011 - 2012,3.43
,,2012 - 2013,2.03
,,2013 - 2014,2.7
,,2014 - 2015,2.98
,,2015 - 2016,3.01
,,2016 - 2017,3.8
,,2017 - 2018,3.37
,,2018 - 2019,4.01
,,2019 - 2020,2.85
,,2020 - 2021,2.9
,,2021 - 2022,1.99
,,2022 - 2023,4.3
,Latur,2000 - 2001,1.18
,,2001 - 2002,1.88
,,2002 - 2003,1.0
,,2003 - 2004,1.8
,,2004 - 2005,1.38
,,2005 - 2006,2.14
,,2006 - 2007,2.43
,,2007 - 2008,2.67
,,2008 - 2009,1.88
,,2009 - 2010,0.4
,,2010 - 2011,2.06
,,2011 - 2012,2.57
,,2012 - 2013,1.73
,,2013 - 2014,2.34
,,2014 - 2015,0.55
,,2015 - 2016,0.57
,,2016 - 2017,1.73
,,2017 - 2018,0.4
,,2018 - 2019,0.28
,,2019 - 2020,1.3
,,2020 - 2021,0.67
,,2021 - 2022,2.18
,,2022 - 2023,2.03
,Mumbai suburban,2016 - 2017,
,Nagpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.67
,,2017 - 2018,1.0
,,2018 - 2019,0.0
,,2019 - 2020,1.75
,,2020 - 2021,1.29
,,2021 - 2022,2.18
,,2022 - 2023,1.98
,Nanded,2000 - 2001,1.0
,,2001 - 2002,1.83
,,2002 - 2003,1.13
,,2003 - 2004,1.89
,,2004 - 2005,1.43
,,2005 - 2006,2.14
,,2006 - 2007,2.38
,,2007 - 2008,2.71
,,2008 - 2009,2.0
,,2009 - 2010,0.4
,,2010 - 2011,2.0
,,2011 - 2012,2.5
,,2012 - 2013,2.33
,,2013 - 2014,1.0
,,2014 - 2015,0.5
,,2015 - 2016,0.99
,,2016 - 2017,2.07
,,2017 - 2018,2.05
,,2018 - 2019,0.71
,,2019 - 2020,1.8
,,2020 - 2021,1.29
,,2021 - 2022,4.7
,,2022 - 2023,3.05
,Nandurbar,2000 - 2001,1.0
,,2001 - 2002,
,,2002 - 2003,1.5
,,2003 - 2004,1.63
,,2004 - 2005,2.33
,,2005 - 2006,2.33
,,2006 - 2007,1.8
,,2007 - 2008,2.6
,,2008 - 2009,2.83
,,2009 - 2010,3.0
,,2010 - 2011,2.9
,,2011 - 2012,2.85
,,2012 - 2013,2.75
,,2013 - 2014,2.26
,,2014 - 2015,3.76
,,2015 - 2016,2.57
,,2016 - 2017,3.18
,,2017 - 2018,4.0
,,2018 - 2019,2.65
,,2019 - 2020,2.88
,,2020 - 2021,2.75
,,2021 - 2022,4.77
,,2022 - 2023,3.35
,Nashik,2000 - 2001,1.06
,,2001 - 2002,1.86
,,2002 - 2003,1.67
,,2003 - 2004,1.91
,,2004 - 2005,1.56
,,2005 - 2006,2.22
,,2006 - 2007,1.77
,,2007 - 2008,2.31
,,2008 - 2009,2.83
,,2009 - 2010,2.85
,,2010 - 2011,2.69
,,2011 - 2012,2.07
,,2012 - 2013,1.89
,,2013 - 2014,3.41
,,2014 - 2015,4.72
,,2015 - 2016,1.53
,,2016 - 2017,3.17
,,2017 - 2018,5.0
,,2018 - 2019,1.48
,,2019 - 2020,2.89
,,2020 - 2021,3.71
,,2021 - 2022,5.21
,,2022 - 2023,4.6
,Palghar,2015 - 2016,3.33
,,2016 - 2017,3.57
,,2018 - 2019,2.5
,,2019 - 2020,3.5
,,2021 - 2022,2.46
,,2022 - 2023,2.75
,Parbhani,2000 - 2001,1.22
,,2001 - 2002,1.8
,,2002 - 2003,1.17
,,2003 - 2004,1.8
,,2004 - 2005,1.33
,,2005 - 2006,2.2
,,2006 - 2007,2.38
,,2007 - 2008,2.75
,,2008 - 2009,1.78
,,2009 - 2010,0.44
,,2010 - 2011,2.0
,,2011 - 2012,2.63
,,2012 - 2013,0.5
,,2013 - 2014,2.5
,,2014 - 2015,
,,2015 - 2016,0.85
,,2016 - 2017,1.75
,,2017 - 2018,1.04
,,2018 - 2019,0.73
,,2019 - 2020,1.26
,,2020 - 2021,1.29
,,2021 - 2022,2.18
,,2022 - 2023,1.98
,Pune,2000 - 2001,1.11
,,2001 - 2002,1.84
,,2002 - 2003,1.56
,,2003 - 2004,1.16
,,2004 - 2005,2.68
,,2005 - 2006,2.3
,,2006 - 2007,2.46
,,2007 - 2008,2.78
,,2008 - 2009,2.56
,,2009 - 2010,2.79
,,2010 - 2011,3.22
,,2011 - 2012,3.56
,,2012 - 2013,2.76
,,2013 - 2014,3.0
,,2014 - 2015,3.58
,,2015 - 2016,2.68
,,2016 - 2017,7.89
,,2017 - 2018,3.53
,,2018 - 2019,2.57
,,2019 - 2020,4.2
,,2020 - 2021,3.12
,,2021 - 2022,2.78
,,2022 - 2023,5.08
,Raigad,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,2.5
,,2008 - 2009,3.0
,,2011 - 2012,3.0
,Ratnagiri,2002 - 2003,1.0
,,2003 - 2004,2.0
,,2004 - 2005,1.0
,,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,3.0
,,2008 - 2009,3.0
,,2009 - 2010,3.0
,,2010 - 2011,3.0
,,2011 - 2012,3.0
,,2015 - 2016,2.0
,,2019 - 2020,2.61
,,2020 - 2021,2.75
,,2021 - 2022,2.46
,,2022 - 2023,2.75
,Sangli,2000 - 2001,1.64
,,2001 - 2002,1.64
,,2002 - 2003,1.83
,,2003 - 2004,2.68
,,2004 - 2005,1.87
,,2005 - 2006,1.96
,,2006 - 2007,2.31
,,2007 - 2008,2.71
,,2008 - 2009,2.59
,,2009 - 2010,2.55
,,2010 - 2011,3.15
,,2011 - 2012,1.78
,,2012 - 2013,1.93
,,2013 - 2014,2.83
,,2014 - 2015,3.87
,,2015 - 2016,2.01
,,2016 - 2017,3.03
,,2017 - 2018,2.59
,,2018 - 2019,2.38
,,2019 - 2020,2.1
,,2020 - 2021,3.25
,,2021 - 2022,4.36
,,2022 - 2023,3.13
,Satara,2000 - 2001,1.53
,,2001 - 2002,1.83
,,2002 - 2003,2.88
,,2003 - 2004,1.68
,,2004 - 2005,2.84
,,2005 - 2006,2.48
,,2006 - 2007,2.77
,,2007 - 2008,2.63
,,2008 - 2009,2.52
,,2009 - 2010,3.08
,,2010 - 2011,3.09
,,2011 - 2012,2.91
,,2012 - 2013,2.35
,,2013 - 2014,2.91
,,2014 - 2015,2.12
,,2015 - 2016,2.22
,,2016 - 2017,2.19
,,2017 - 2018,2.76
,,2018 - 2019,2.7
,,2019 - 2020,3.41
,,2020 - 2021,3.46
,,2021 - 2022,4.3
,,2022 - 2023,1.72
,Sindhudurg,2000 - 2001,1.0
,,2001 - 2002,2.0
,,2002 - 2003,1.0
,,2003 - 2004,2.0
,,2004 - 2005,1.0
,,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,3.0
,,2008 - 2009,3.0
,,2009 - 2010,3.0
,,2010 - 2011,3.0
,,2014 - 2015,2.0
,,2015 - 2016,1.0
,,2016 - 2017,3.51
,,2019 - 2020,3.17
,,2020 - 2021,2.75
,,2021 - 2022,2.46
,,2022 - 2023,2.75
,Solapur,2000 - 2001,1.16
,,2001 - 2002,1.84
,,2002 - 2003,2.08
,,2003 - 2004,0.35
,,2004 - 2005,1.65
,,2005 - 2006,1.98
,,2006 - 2007,1.86
,,2007 - 2008,2.14
,,2008 - 2009,2.02
,,2009 - 2010,3.38
,,2010 - 2011,2.51
,,2011 - 2012,1.82
,,2012 - 2013,1.89
,,2013 - 2014,2.41
,,2014 - 2015,2.93
,,2015 - 2016,1.44
,,2016 - 2017,1.76
,,2017 - 2018,2.01
,,2018 - 2019,1.42
,,2019 - 2020,2.33
,,2020 - 2021,1.58
,,2021 - 2022,2.23
,,2022 - 2023,2.48
,Thane,2001 - 2002,2.0
,,2002 - 2003,1.0
,,2003 - 2004,2.0
,,2004 - 2005,1.0
,,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,3.0
,,2008 - 2009,3.0
,,2009 - 2010,3.0
,,2010 - 2011,3.0
,,2011 - 2012,3.0
,,2015 - 2016,2.0
,,2017 - 2018,4.0
,,2021 - 2022,2.46
,,2022 - 2023,2.75
,Wardha,2000 - 2001,1.0
,,2001 - 2002,2.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.0
,,2017 - 2018,0.0
,,2018 - 2019,0.0
,,2019 - 2020,1.05
,,2020 - 2021,1.29
,,2021 - 2022,2.18
,,2022 - 2023,
,Washim,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,0.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.0
,,2018 - 2019,
,,2019 - 2020,0.34
,,2020 - 2021,1.29
,,2021 - 2022,2.18
,,2022 - 2023,1.98
,Yavatmal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,0.15
,,2015 - 2016,0.85
,,2016 - 2017,1.71
,,2017 - 2018,1.0
,,2018 - 2019,0.74
,,2019 - 2020,0.94
,,2020 - 2021,1.29
,,2021 - 2022,2.18
,,2022 - 2023,1.98
Manipur,Bishnupur,2008 - 2009,1.33
,,2009 - 2010,1.48
,,2010 - 2011,1.94
,,2011 - 2012,2.05
,,2012 - 2013,2.78
,,2013 - 2014,2.38
,,2014 - 2015,2.32
,,2015 - 2016,2.49
,,2016 - 2017,2.35
,,2017 - 2018,2.37
,,2018 - 2019,2.37
,,2021 - 2022,2.39
,,2022 - 2023,1.69
,Chandel,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,1.32
,,2009 - 2010,1.76
,,2010 - 2011,2.09
,,2011 - 2012,2.05
,,2012 - 2013,2.76
,,2013 - 2014,2.36
,,2014 - 2015,2.33
,,2015 - 2016,2.53
,,2016 - 2017,2.5
,,2017 - 2018,2.51
,,2018 - 2019,2.39
,,2021 - 2022,2.39
,,2022 - 2023,2.36
,Churachandpur,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,1.17
,,2009 - 2010,1.64
,,2010 - 2011,2.35
,,2011 - 2012,2.22
,,2012 - 2013,2.75
,,2013 - 2014,2.41
,,2014 - 2015,2.36
,,2015 - 2016,2.36
,,2016 - 2017,2.37
,,2017 - 2018,2.39
,,2018 - 2019,2.38
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,2.31
,,2022 - 2023,2.39
,Imphal east,2008 - 2009,1.61
,,2009 - 2010,1.42
,,2010 - 2011,1.97
,,2011 - 2012,2.08
,,2012 - 2013,2.81
,,2013 - 2014,2.42
,,2014 - 2015,2.34
,,2015 - 2016,2.57
,,2016 - 2017,2.49
,,2017 - 2018,2.49
,,2018 - 2019,2.39
,,2021 - 2022,2.4
,,2022 - 2023,2.6
,Imphal west,2008 - 2009,1.88
,,2009 - 2010,1.55
,,2010 - 2011,2.03
,,2011 - 2012,2.15
,,2012 - 2013,2.83
,,2013 - 2014,2.44
,,2014 - 2015,2.32
,,2015 - 2016,2.6
,,2016 - 2017,2.5
,,2017 - 2018,2.51
,,2018 - 2019,2.32
,,2021 - 2022,2.14
,,2022 - 2023,2.53
,Senapati,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,1.31
,,2009 - 2010,1.71
,,2010 - 2011,2.08
,,2011 - 2012,2.13
,,2012 - 2013,2.74
,,2013 - 2014,2.35
,,2014 - 2015,2.3
,,2015 - 2016,2.36
,,2016 - 2017,2.34
,,2017 - 2018,2.35
,,2018 - 2019,2.39
,,2021 - 2022,2.13
,,2022 - 2023,2.13
,Tamenglong,2008 - 2009,1.18
,,2009 - 2010,2.07
,,2010 - 2011,2.12
,,2011 - 2012,2.26
,,2012 - 2013,2.86
,,2013 - 2014,2.41
,,2014 - 2015,2.35
,,2015 - 2016,2.39
,,2016 - 2017,2.33
,,2017 - 2018,2.36
,,2018 - 2019,2.42
,,2021 - 2022,2.39
,,2022 - 2023,2.38
,Thoubal,2008 - 2009,1.8
,,2009 - 2010,1.6
,,2010 - 2011,1.83
,,2011 - 2012,2.17
,,2012 - 2013,2.82
,,2013 - 2014,2.43
,,2014 - 2015,2.23
,,2015 - 2016,2.58
,,2016 - 2017,2.54
,,2017 - 2018,2.56
,,2018 - 2019,2.35
,,2021 - 2022,2.3
,,2022 - 2023,2.88
,Ukhrul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,1.61
,,2009 - 2010,1.83
,,2010 - 2011,2.05
,,2011 - 2012,2.3
,,2012 - 2013,2.82
,,2013 - 2014,2.48
,,2014 - 2015,2.46
,,2015 - 2016,2.28
,,2016 - 2017,2.29
,,2017 - 2018,2.3
,,2018 - 2019,2.33
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.6
,,2022 - 2023,1.6
Meghalaya,East garo hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East jaintia hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East khasi hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,North garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ri bhoi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South garo hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South west garo hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South west khasi hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West garo hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West jaintia hills,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West khasi hills,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Mizoram,Aizawl,2000 - 2001,1.27
,,2001 - 2002,2.0
,,2002 - 2003,2.13
,,2003 - 2004,1.78
,,2004 - 2005,2.28
,,2005 - 2006,2.8
,,2006 - 2007,1.69
,,2007 - 2008,
,,2008 - 2009,0.22
,,2009 - 2010,2.03
,,2010 - 2011,1.5
,,2011 - 2012,1.42
,,2012 - 2013,3.43
,,2013 - 2014,1.25
,,2014 - 2015,2.5
,,2015 - 2016,4.0
,,2016 - 2017,2.63
,,2017 - 2018,1.55
,,2018 - 2019,1.58
,,2019 - 2020,1.47
,,2020 - 2021,1.56
,,2021 - 2022,1.43
,,2022 - 2023,1.21
,Champhai,2000 - 2001,
,,2001 - 2002,1.54
,,2002 - 2003,1.8
,,2003 - 2004,
,,2004 - 2005,5.0
,,2005 - 2006,
,,2006 - 2007,2.5
,,2007 - 2008,1.2
,,2008 - 2009,5.0
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.0
,,2022 - 2023,
,Hnahthial,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khawzawl,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kolasib,2000 - 2001,1.49
,,2001 - 2002,1.52
,,2002 - 2003,1.5
,,2003 - 2004,1.95
,,2004 - 2005,2.29
,,2005 - 2006,2.18
,,2006 - 2007,1.95
,,2007 - 2008,1.9
,,2008 - 2009,1.73
,,2009 - 2010,1.22
,,2010 - 2011,1.19
,,2011 - 2012,1.18
,,2012 - 2013,1.47
,,2013 - 2014,1.21
,,2014 - 2015,1.19
,,2015 - 2016,1.21
,,2016 - 2017,1.22
,,2017 - 2018,1.31
,,2018 - 2019,1.35
,,2019 - 2020,1.54
,,2020 - 2021,1.61
,,2021 - 2022,1.61
,,2022 - 2023,1.6
,Lawngtlai,2004 - 2005,1.76
,,2005 - 2006,2.04
,,2006 - 2007,0.5
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,2.86
,,2017 - 2018,2.86
,,2018 - 2019,2.98
,,2019 - 2020,2.68
,,2020 - 2021,2.64
,,2021 - 2022,1.71
,,2022 - 2023,3.0
,Lunglei,2000 - 2001,1.79
,,2001 - 2002,1.35
,,2002 - 2003,1.35
,,2003 - 2004,1.61
,,2004 - 2005,1.18
,,2005 - 2006,1.59
,,2006 - 2007,1.2
,,2007 - 2008,1.3
,,2008 - 2009,0.85
,,2009 - 2010,1.58
,,2010 - 2011,2.12
,,2011 - 2012,
,,2012 - 2013,1.81
,,2013 - 2014,1.89
,,2014 - 2015,3.0
,,2015 - 2016,4.0
,,2016 - 2017,1.6
,,2017 - 2018,0.95
,,2018 - 2019,1.52
,,2019 - 2020,1.46
,,2020 - 2021,1.51
,,2021 - 2022,1.47
,,2022 - 2023,4.12
,Mamit,2003 - 2004,1.87
,,2004 - 2005,3.97
,,2005 - 2006,5.05
,,2006 - 2007,4.8
,,2007 - 2008,0.48
,,2008 - 2009,1.62
,,2009 - 2010,
,,2010 - 2011,2.0
,,2011 - 2012,1.38
,,2012 - 2013,1.39
,,2013 - 2014,1.38
,,2014 - 2015,
,,2015 - 2016,1.07
,,2016 - 2017,1.07
,,2017 - 2018,1.56
,,2018 - 2019,1.19
,,2019 - 2020,1.1
,,2020 - 2021,1.22
,,2021 - 2022,1.08
,,2022 - 2023,0.69
,Saiha,2003 - 2004,1.8
,,2004 - 2005,1.79
,,2005 - 2006,2.09
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,5.0
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.0
,,2017 - 2018,1.43
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Saitual,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Serchhip,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.2
,,2018 - 2019,1.24
,,2019 - 2020,1.62
,,2020 - 2021,1.24
,,2021 - 2022,
,,2022 - 2023,
Nagaland,Chumoukedima,2022 - 2023,1.99
,Dimapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.92
,,2004 - 2005,1.62
,,2005 - 2006,1.59
,,2006 - 2007,1.69
,,2007 - 2008,1.9
,,2008 - 2009,1.73
,,2009 - 2010,1.46
,,2010 - 2011,1.96
,,2011 - 2012,1.96
,,2012 - 2013,1.96
,,2013 - 2014,1.97
,,2014 - 2015,1.97
,,2015 - 2016,1.99
,,2016 - 2017,1.99
,,2017 - 2018,1.99
,,2018 - 2019,1.99
,,2019 - 2020,1.99
,,2020 - 2021,1.99
,,2021 - 2022,1.9
,,2022 - 2023,1.99
,Kiphire,2008 - 2009,
,,2009 - 2010,1.54
,,2010 - 2011,1.93
,,2011 - 2012,1.93
,,2012 - 2013,1.97
,,2013 - 2014,1.97
,,2014 - 2015,1.97
,,2015 - 2016,1.97
