state,district,year,groundnut_rabi_yield_tonne_per_hectare
,,2022 - 2023,
,Dholpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dungarpur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ganganagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hanumangarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jaipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jaisalmer,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jalore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jhalawar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jhunjhunu,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jodhpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Karauli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kota,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nagaur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pali,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pratapgarh,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajsamand,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sawai madhopur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sikar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sirohi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tonk,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Udaipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Tamil Nadu,Ariyalur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,5.98
,,2012 - 2013,
,,2013 - 2014,6.09
,,2014 - 2015,5.33
,,2015 - 2016,5.08
,,2016 - 2017,4.45
,,2017 - 2018,4.16
,,2018 - 2019,4.55
,,2019 - 2020,4.52
,,2020 - 2021,3.85
,,2021 - 2022,5.45
,,2022 - 2023,4.68
,Chengalpattu,2020 - 2021,4.42
,,2021 - 2022,4.67
,,2022 - 2023,5.69
,Chennai,2022 - 2023,
,Coimbatore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.58
,,2012 - 2013,
,,2013 - 2014,2.24
,,2014 - 2015,1.23
,,2015 - 2016,3.29
,,2016 - 2017,3.23
,,2017 - 2018,3.92
,,2018 - 2019,3.49
,,2019 - 2020,3.74
,,2020 - 2021,3.23
,,2021 - 2022,3.9
,,2022 - 2023,3.49
,Cuddalore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.84
,,2012 - 2013,
,,2013 - 2014,4.35
,,2014 - 2015,5.16
,,2015 - 2016,7.39
,,2016 - 2017,8.51
,,2017 - 2018,7.9
,,2018 - 2019,6.84
,,2019 - 2020,5.42
,,2020 - 2021,6.0
,,2021 - 2022,6.79
,,2022 - 2023,6.33
,Dharmapuri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.79
,,2012 - 2013,
,,2013 - 2014,2.29
,,2014 - 2015,4.06
,,2015 - 2016,2.68
,,2016 - 2017,1.89
,,2017 - 2018,4.56
,,2018 - 2019,2.87
,,2019 - 2020,3.89
,,2020 - 2021,3.09
,,2021 - 2022,3.92
,,2022 - 2023,4.01
,Dindigul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,4.94
,,2012 - 2013,
,,2013 - 2014,2.71
,,2014 - 2015,4.07
,,2015 - 2016,3.02
,,2016 - 2017,1.6
,,2017 - 2018,2.88
,,2018 - 2019,2.64
,,2019 - 2020,2.64
,,2020 - 2021,1.73
,,2021 - 2022,3.64
,,2022 - 2023,2.16
,Erode,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,4.14
,,2012 - 2013,
,,2013 - 2014,1.68
,,2014 - 2015,2.78
,,2015 - 2016,2.55
,,2016 - 2017,1.9
,,2017 - 2018,3.55
,,2018 - 2019,2.18
,,2019 - 2020,4.19
,,2020 - 2021,2.72
,,2021 - 2022,3.08
,,2022 - 2023,3.18
,Kallakurichi,2020 - 2021,2.28
,,2021 - 2022,3.9
,,2022 - 2023,2.96
,Kanchipuram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,4.43
,,2012 - 2013,
,,2013 - 2014,4.23
,,2014 - 2015,3.8
,,2015 - 2016,3.38
,,2016 - 2017,3.8
,,2017 - 2018,4.06
,,2018 - 2019,4.41
,,2019 - 2020,5.17
,,2020 - 2021,3.98
,,2021 - 2022,3.11
,,2022 - 2023,3.76
,Kanniyakumari,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,3.62
,,2014 - 2015,3.75
,,2015 - 2016,3.2
,,2016 - 2017,3.13
,,2017 - 2018,4.0
,,2018 - 2019,3.0
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Karur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.72
,,2012 - 2013,
,,2013 - 2014,3.36
,,2014 - 2015,2.89
,,2015 - 2016,2.78
,,2016 - 2017,2.35
,,2017 - 2018,2.65
,,2018 - 2019,3.45
,,2019 - 2020,2.97
,,2020 - 2021,2.64
,,2021 - 2022,3.7
,,2022 - 2023,2.8
,Krishnagiri,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.75
,,2012 - 2013,
,,2013 - 2014,3.63
,,2014 - 2015,2.39
,,2015 - 2016,2.89
,,2016 - 2017,3.23
,,2017 - 2018,3.72
,,2018 - 2019,3.49
,,2019 - 2020,3.31
,,2020 - 2021,3.53
,,2021 - 2022,3.53
,,2022 - 2023,3.38
,Madurai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.18
,,2012 - 2013,
,,2013 - 2014,2.2
,,2014 - 2015,2.09
,,2015 - 2016,2.01
,,2016 - 2017,3.23
,,2017 - 2018,3.92
,,2018 - 2019,2.69
,,2019 - 2020,3.74
,,2020 - 2021,3.23
,,2021 - 2022,3.9
,,2022 - 2023,3.49
,Mayiladuthurai,2020 - 2021,4.08
,,2021 - 2022,3.67
,,2022 - 2023,4.49
,Nagapattinam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.9
,,2012 - 2013,
,,2013 - 2014,3.21
,,2014 - 2015,3.25
,,2015 - 2016,3.72
,,2016 - 2017,3.68
,,2017 - 2018,3.88
,,2018 - 2019,2.11
,,2019 - 2020,4.38
,,2020 - 2021,3.23
,,2021 - 2022,3.9
,,2022 - 2023,3.49
,Namakkal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.36
,,2012 - 2013,
,,2013 - 2014,3.15
,,2014 - 2015,2.22
,,2015 - 2016,2.49
,,2016 - 2017,0.88
,,2017 - 2018,3.61
,,2018 - 2019,2.15
,,2019 - 2020,3.35
,,2020 - 2021,2.94
,,2021 - 2022,3.34
,,2022 - 2023,2.94
,Perambalur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.18
,,2012 - 2013,
,,2013 - 2014,2.92
,,2014 - 2015,2.66
,,2015 - 2016,3.15
,,2016 - 2017,3.23
,,2017 - 2018,1.89
,,2018 - 2019,3.03
,,2019 - 2020,2.9
,,2020 - 2021,1.96
,,2021 - 2022,3.33
,,2022 - 2023,2.57
,Pudukkottai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.12
,,2012 - 2013,
,,2013 - 2014,2.29
,,2014 - 2015,3.79
,,2015 - 2016,3.95
,,2016 - 2017,2.76
,,2017 - 2018,3.59
,,2018 - 2019,2.44
,,2019 - 2020,3.56
,,2020 - 2021,2.63
,,2021 - 2022,4.04
,,2022 - 2023,2.64
,Ramanathapuram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.36
,,2012 - 2013,
,,2013 - 2014,0.93
,,2014 - 2015,2.25
,,2015 - 2016,1.36
,,2016 - 2017,0.39
,,2017 - 2018,1.1
,,2018 - 2019,0.92
,,2019 - 2020,2.13
,,2020 - 2021,1.76
,,2021 - 2022,1.15
,,2022 - 2023,0.3
,Ranipet,2020 - 2021,2.9
,,2021 - 2022,2.9
,,2022 - 2023,3.23
,Salem,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.49
,,2012 - 2013,
,,2013 - 2014,3.16
,,2014 - 2015,3.28
,,2015 - 2016,2.87
,,2016 - 2017,1.68
,,2017 - 2018,3.09
,,2018 - 2019,3.15
,,2019 - 2020,3.95
,,2020 - 2021,3.66
,,2021 - 2022,3.27
,,2022 - 2023,3.27
,Sivaganga,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.75
,,2012 - 2013,
,,2013 - 2014,3.63
,,2014 - 2015,1.93
,,2015 - 2016,1.14
,,2016 - 2017,3.24
,,2017 - 2018,3.92
,,2018 - 2019,3.49
,,2019 - 2020,3.74
,,2020 - 2021,3.23
,,2021 - 2022,3.9
,,2022 - 2023,3.49
,Thanjavur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.97
,,2012 - 2013,
,,2013 - 2014,3.79
,,2014 - 2015,3.9
,,2015 - 2016,5.05
,,2016 - 2017,3.88
,,2017 - 2018,4.41
,,2018 - 2019,4.65
,,2019 - 2020,5.62
,,2020 - 2021,4.59
,,2021 - 2022,3.86
,,2022 - 2023,2.74
,The nilgiris,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2009 - 2010,
,,2010 - 2011,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,4.0
,Theni,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.75
,,2012 - 2013,
,,2013 - 2014,3.63
,,2014 - 2015,3.44
,,2015 - 2016,3.29
,,2016 - 2017,3.23
,,2017 - 2018,3.92
,,2018 - 2019,3.49
,,2019 - 2020,3.74
,,2020 - 2021,3.23
,,2021 - 2022,3.9
,,2022 - 2023,3.49
,Thenkasi,2020 - 2021,3.23
,,2021 - 2022,3.9
,,2022 - 2023,3.5
,Thiruvallur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,4.46
,,2012 - 2013,
,,2013 - 2014,5.66
,,2014 - 2015,4.97
,,2015 - 2016,4.59
,,2016 - 2017,5.15
,,2017 - 2018,4.71
,,2018 - 2019,3.45
,,2019 - 2020,4.95
,,2020 - 2021,3.89
,,2021 - 2022,4.8
,,2022 - 2023,4.62
,Thiruvarur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,5.65
,,2012 - 2013,
,,2013 - 2014,5.22
,,2014 - 2015,4.95
,,2015 - 2016,5.69
,,2016 - 2017,3.67
,,2017 - 2018,4.54
,,2018 - 2019,4.4
,,2019 - 2020,4.96
,,2020 - 2021,3.33
,,2021 - 2022,3.72
,,2022 - 2023,2.66
,Thoothukudi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.75
,,2012 - 2013,
,,2013 - 2014,3.63
,,2014 - 2015,3.45
,,2015 - 2016,3.29
,,2016 - 2017,3.24
,,2017 - 2018,3.92
,,2018 - 2019,3.49
,,2019 - 2020,3.75
,,2020 - 2021,3.23
,,2021 - 2022,3.9
,,2022 - 2023,3.49
,Tiruchirappalli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.52
,,2012 - 2013,
,,2013 - 2014,3.69
,,2014 - 2015,3.14
,,2015 - 2016,2.42
,,2016 - 2017,2.07
,,2017 - 2018,2.56
,,2018 - 2019,2.71
,,2019 - 2020,2.63
,,2020 - 2021,3.41
,,2021 - 2022,3.9
,,2022 - 2023,3.48
,Tirunelveli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.75
,,2012 - 2013,
,,2013 - 2014,3.63
,,2014 - 2015,3.44
,,2015 - 2016,3.29
,,2016 - 2017,2.41
,,2017 - 2018,3.92
,,2018 - 2019,3.48
,,2019 - 2020,3.74
,,2020 - 2021,3.23
,,2021 - 2022,3.9
,,2022 - 2023,3.49
,Tirupathur,2020 - 2021,3.23
,,2021 - 2022,3.91
,,2022 - 2023,3.49
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,6.15
,,2012 - 2013,
,,2013 - 2014,4.06
,,2014 - 2015,2.95
,,2015 - 2016,3.09
,,2016 - 2017,3.45
,,2017 - 2018,3.42
,,2018 - 2019,3.49
,,2019 - 2020,2.58
,,2020 - 2021,2.62
,,2021 - 2022,3.98
,,2022 - 2023,3.78
,Tiruvannamalai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.84
,,2012 - 2013,
,,2013 - 2014,2.83
,,2014 - 2015,2.6
,,2015 - 2016,1.79
,,2016 - 2017,1.86
,,2017 - 2018,3.92
,,2018 - 2019,3.16
,,2019 - 2020,3.08
,,2020 - 2021,2.45
,,2021 - 2022,2.88
,,2022 - 2023,2.77
,Vellore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.32
,,2012 - 2013,
,,2013 - 2014,3.45
,,2014 - 2015,3.5
,,2015 - 2016,2.56
,,2016 - 2017,3.01
,,2017 - 2018,3.34
,,2018 - 2019,2.99
,,2019 - 2020,3.16
,,2020 - 2021,3.23
,,2021 - 2022,3.9
,,2022 - 2023,3.49
,Villupuram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.52
,,2012 - 2013,
,,2013 - 2014,4.28
,,2014 - 2015,3.95
,,2015 - 2016,3.72
,,2016 - 2017,2.32
,,2017 - 2018,3.5
,,2018 - 2019,3.26
