state,district,year,wheat_rabi_yield_tonne_per_hectare
,,2018 - 2019,2.09
,,2019 - 2020,2.09
,,2020 - 2021,2.09
,,2021 - 2022,2.09
,,2022 - 2023,2.1
,Pakke kessang,2019 - 2020,2.36
,,2020 - 2021,2.36
,,2021 - 2022,2.34
,,2022 - 2023,2.36
,Papum pare,2000 - 2001,1.67
,,2001 - 2002,1.67
,,2002 - 2003,1.5
,,2003 - 2004,1.68
,,2004 - 2005,1.72
,,2005 - 2006,1.75
,,2006 - 2007,1.8
,,2007 - 2008,1.6
,,2008 - 2009,1.88
,,2009 - 2010,1.9
,,2010 - 2011,1.75
,,2011 - 2012,1.93
,,2012 - 2013,1.7
,,2013 - 2014,2.05
,,2014 - 2015,2.57
,,2015 - 2016,2.47
,,2016 - 2017,2.47
,,2017 - 2018,2.47
,,2018 - 2019,2.47
,,2019 - 2020,2.47
,,2020 - 2021,2.47
,,2021 - 2022,2.45
,,2022 - 2023,2.45
,Tawang,2000 - 2001,1.55
,,2001 - 2002,1.39
,,2002 - 2003,1.45
,,2003 - 2004,1.49
,,2004 - 2005,1.53
,,2005 - 2006,1.53
,,2006 - 2007,1.54
,,2007 - 2008,1.53
,,2008 - 2009,1.64
,,2009 - 2010,1.51
,,2010 - 2011,1.53
,,2011 - 2012,1.69
,,2012 - 2013,1.43
,,2013 - 2014,1.43
,,2014 - 2015,1.61
,,2015 - 2016,1.75
,,2016 - 2017,1.75
,,2017 - 2018,1.75
,,2018 - 2019,1.75
,,2019 - 2020,1.75
,,2020 - 2021,1.75
,,2021 - 2022,1.77
,,2022 - 2023,1.78
,Tirap,2000 - 2001,1.5
,,2001 - 2002,1.67
,,2002 - 2003,1.56
,,2004 - 2005,1.69
,,2005 - 2006,1.63
,,2006 - 2007,1.63
,,2007 - 2008,1.56
,,2014 - 2015,3.37
,,2015 - 2016,1.58
,,2016 - 2017,1.58
,,2017 - 2018,1.58
,,2018 - 2019,1.58
,,2019 - 2020,1.58
,,2020 - 2021,1.58
,,2021 - 2022,1.59
,,2022 - 2023,1.59
,Upper siang,2001 - 2002,1.7
,Upper subansiri,2000 - 2001,1.0
,,2001 - 2002,1.25
,,2002 - 2003,1.22
,,2003 - 2004,1.17
,,2004 - 2005,1.17
,,2005 - 2006,1.16
,,2006 - 2007,1.16
,,2007 - 2008,1.5
,West kameng,2000 - 2001,1.13
,,2001 - 2002,0.94
,,2002 - 2003,1.42
,,2003 - 2004,1.13
,,2004 - 2005,1.13
,,2005 - 2006,1.13
,,2006 - 2007,1.14
,,2007 - 2008,1.14
,,2008 - 2009,1.19
,,2009 - 2010,1.14
,,2010 - 2011,1.15
,,2011 - 2012,1.28
,,2012 - 2013,1.15
,,2013 - 2014,1.16
,,2014 - 2015,1.44
,,2015 - 2016,1.69
,,2016 - 2017,1.69
,,2017 - 2018,1.69
,,2018 - 2019,1.69
,,2019 - 2020,1.69
,,2020 - 2021,1.69
,,2021 - 2022,1.69
,,2022 - 2023,1.7
,West siang,2000 - 2001,1.39
,,2001 - 2002,1.44
,,2002 - 2003,1.47
,,2003 - 2004,1.28
,,2004 - 2005,1.12
,,2005 - 2006,1.11
,,2006 - 2007,1.25
,,2007 - 2008,1.25
,,2008 - 2009,1.25
,,2009 - 2010,1.25
,,2010 - 2011,1.26
,,2011 - 2012,1.39
Assam,Baksa,2005 - 2006,1.14
,,2006 - 2007,1.13
,,2007 - 2008,1.37
,,2008 - 2009,0.75
,,2009 - 2010,1.09
,,2010 - 2011,1.47
,,2011 - 2012,1.52
,,2012 - 2013,1.0
,,2013 - 2014,1.47
,,2014 - 2015,1.71
,,2015 - 2016,1.93
,,2016 - 2017,1.76
,,2017 - 2018,1.81
,,2018 - 2019,2.14
,,2019 - 2020,1.27
,,2020 - 2021,1.87
,,2021 - 2022,1.72
,,2022 - 2023,1.31
,Barpeta,2000 - 2001,1.29
,,2001 - 2002,1.03
,,2002 - 2003,0.93
,,2003 - 2004,0.92
,,2004 - 2005,1.14
,,2005 - 2006,1.04
,,2006 - 2007,1.08
,,2007 - 2008,1.29
,,2008 - 2009,0.84
,,2009 - 2010,0.84
,,2010 - 2011,1.51
,,2011 - 2012,1.1
,,2012 - 2013,1.42
,,2013 - 2014,1.48
,,2014 - 2015,1.18
,,2015 - 2016,0.97
,,2016 - 2017,1.39
,,2017 - 2018,1.51
,,2018 - 2019,1.45
,,2019 - 2020,1.27
,,2020 - 2021,1.52
,,2021 - 2022,1.4
,,2022 - 2023,1.41
,Biswanath,2020 - 2021,1.3
,,2021 - 2022,1.26
,,2022 - 2023,1.09
,Bongaigaon,2000 - 2001,1.24
,,2001 - 2002,1.18
,,2002 - 2003,1.27
,,2003 - 2004,1.0
,,2004 - 2005,1.43
,,2005 - 2006,1.25
,,2006 - 2007,1.2
,,2007 - 2008,1.44
,,2008 - 2009,1.23
,,2009 - 2010,1.14
,,2010 - 2011,1.25
,,2011 - 2012,1.3
,,2012 - 2013,1.19
,,2013 - 2014,1.26
,,2014 - 2015,1.24
,,2015 - 2016,0.91
,,2016 - 2017,0.99
,,2017 - 2018,1.42
,,2018 - 2019,1.27
,,2019 - 2020,1.21
,,2020 - 2021,1.17
,,2021 - 2022,0.88
,,2022 - 2023,0.91
,Cachar,2000 - 2001,1.22
,,2001 - 2002,1.18
,,2002 - 2003,1.14
,,2003 - 2004,1.05
,,2004 - 2005,1.06
,,2005 - 2006,1.07
,,2006 - 2007,1.13
,,2007 - 2008,1.26
,,2008 - 2009,1.09
,,2009 - 2010,1.09
,,2010 - 2011,1.25
,,2011 - 2012,1.21
,,2012 - 2013,1.29
,,2013 - 2014,1.29
,,2014 - 2015,1.22
,,2015 - 2016,1.17
,,2016 - 2017,1.33
,,2017 - 2018,1.39
,,2018 - 2019,1.41
,,2019 - 2020,1.2
,,2020 - 2021,1.37
,,2021 - 2022,1.26
,,2022 - 2023,1.3
,Charaideo,2022 - 2023,1.28
,Chirang,2005 - 2006,1.16
,,2006 - 2007,1.13
,,2007 - 2008,1.67
,,2008 - 2009,1.2
,,2009 - 2010,1.39
,,2010 - 2011,1.65
,,2011 - 2012,1.02
,,2012 - 2013,1.0
,,2013 - 2014,0.98
,,2014 - 2015,1.09
,,2015 - 2016,1.31
,,2016 - 2017,1.36
,,2017 - 2018,1.35
,,2018 - 2019,1.7
,,2019 - 2020,1.57
,,2020 - 2021,1.55
,,2021 - 2022,1.52
,,2022 - 2023,1.44
,Darrang,2000 - 2001,1.31
,,2001 - 2002,1.24
,,2002 - 2003,1.19
,,2003 - 2004,0.91
,,2004 - 2005,0.88
,,2005 - 2006,1.45
,,2006 - 2007,1.23
,,2007 - 2008,1.05
,,2008 - 2009,0.86
,,2009 - 2010,0.97
,,2010 - 2011,1.79
,,2011 - 2012,1.18
,,2012 - 2013,1.14
,,2013 - 2014,1.01
,,2014 - 2015,1.22
,,2015 - 2016,1.05
,,2016 - 2017,1.45
,,2017 - 2018,0.98
,,2018 - 2019,1.69
,,2019 - 2020,1.53
,,2020 - 2021,1.43
,,2021 - 2022,1.21
,,2022 - 2023,1.42
,Dhemaji,2000 - 2001,0.99
,,2001 - 2002,1.37
,,2002 - 2003,1.23
,,2003 - 2004,0.47
,,2004 - 2005,0.98
,,2005 - 2006,0.32
,,2006 - 2007,0.35
,,2007 - 2008,0.71
,,2008 - 2009,0.56
,,2009 - 2010,1.18
,,2010 - 2011,1.09
,,2011 - 2012,0.51
,,2012 - 2013,1.3
,,2013 - 2014,0.45
,,2014 - 2015,0.43
,,2015 - 2016,0.44
,,2016 - 2017,0.4
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.26
,,2022 - 2023,1.31
,Dhubri,2000 - 2001,1.33
,,2001 - 2002,1.16
,,2002 - 2003,1.18
,,2003 - 2004,1.35
,,2004 - 2005,0.85
,,2005 - 2006,0.9
,,2006 - 2007,1.25
,,2007 - 2008,1.36
,,2008 - 2009,1.25
,,2009 - 2010,1.12
,,2010 - 2011,1.07
,,2011 - 2012,1.25
,,2012 - 2013,1.37
,,2013 - 2014,1.18
,,2014 - 2015,1.48
,,2015 - 2016,1.41
,,2016 - 2017,1.34
,,2017 - 2018,1.39
,,2018 - 2019,1.49
,,2019 - 2020,1.27
,,2020 - 2021,1.43
,,2021 - 2022,1.65
,,2022 - 2023,1.65
,Dibrugarh,2000 - 2001,0.99
,,2001 - 2002,1.5
,,2002 - 2003,1.26
,,2003 - 2004,0.99
,,2004 - 2005,0.63
,,2005 - 2006,1.07
,,2006 - 2007,0.76
,,2007 - 2008,1.27
,,2008 - 2009,1.09
,,2009 - 2010,1.09
,,2010 - 2011,1.25
,,2011 - 2012,1.19
,,2012 - 2013,1.25
,,2013 - 2014,1.25
,,2014 - 2015,1.21
,,2015 - 2016,1.33
,,2016 - 2017,1.33
,,2017 - 2018,1.5
,,2019 - 2020,1.22
,,2021 - 2022,1.25
,,2022 - 2023,1.31
,Dima hasao,2000 - 2001,1.21
,,2001 - 2002,1.19
,,2002 - 2003,1.13
,,2003 - 2004,1.05
,,2004 - 2005,1.07
,,2005 - 2006,1.09
,,2006 - 2007,1.13
,,2007 - 2008,1.28
,,2008 - 2009,1.09
,,2009 - 2010,1.1
,,2010 - 2011,1.24
,,2011 - 2012,1.2
,,2014 - 2015,1.18
,Goalpara,2000 - 2001,1.97
,,2001 - 2002,1.52
,,2002 - 2003,1.46
,,2003 - 2004,1.45
,,2004 - 2005,1.4
,,2005 - 2006,1.33
,,2006 - 2007,1.66
,,2007 - 2008,1.59
,,2008 - 2009,1.7
,,2009 - 2010,1.68
,,2010 - 2011,1.32
,,2011 - 2012,1.5
,,2012 - 2013,1.6
,,2013 - 2014,1.34
,,2014 - 2015,0.79
,,2015 - 2016,1.37
,,2016 - 2017,1.39
,,2017 - 2018,1.45
,,2018 - 2019,1.37
,,2019 - 2020,1.27
,,2020 - 2021,1.43
,,2021 - 2022,1.42
,,2022 - 2023,1.23
,Golaghat,2000 - 2001,0.96
,,2001 - 2002,0.75
,,2002 - 2003,0.91
,,2003 - 2004,1.34
,,2004 - 2005,1.02
,,2005 - 2006,0.95
,,2006 - 2007,1.28
,,2007 - 2008,0.87
,,2008 - 2009,0.48
,,2009 - 2010,0.7
,,2010 - 2011,0.69
,,2011 - 2012,1.21
,,2012 - 2013,0.62
,,2013 - 2014,0.89
,,2014 - 2015,0.48
,,2015 - 2016,0.78
,,2016 - 2017,1.34
,,2017 - 2018,1.39
,,2018 - 2019,1.4
,,2019 - 2020,1.28
,,2020 - 2021,1.38
,,2021 - 2022,1.25
,,2022 - 2023,0.89
,Hailakandi,2000 - 2001,1.2
,,2001 - 2002,1.2
,,2002 - 2003,1.2
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.14
,,2007 - 2008,1.26
,,2009 - 2010,1.09
,,2010 - 2011,1.26
,,2019 - 2020,1.27
,Hojai,2020 - 2021,1.38
,,2021 - 2022,1.25
,,2022 - 2023,1.54
,Jorhat,2000 - 2001,1.19
,,2001 - 2002,1.29
,,2002 - 2003,1.32
,,2003 - 2004,1.26
,,2004 - 2005,1.17
,,2005 - 2006,1.08
,,2006 - 2007,1.38
,,2007 - 2008,1.4
,,2008 - 2009,1.16
,,2009 - 2010,1.29
,,2010 - 2011,0.87
,,2011 - 2012,1.0
,,2012 - 2013,1.31
,,2013 - 2014,1.32
,,2014 - 2015,1.21
,,2015 - 2016,1.25
,,2016 - 2017,1.25
,,2017 - 2018,1.5
,,2018 - 2019,1.4
,,2019 - 2020,1.29
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.32
