state,district,year,wheat_rabi_yield_tonne_per_hectare
,,2009 - 2010,2.75
,,2010 - 2011,3.3
,,2011 - 2012,3.11
,,2012 - 2013,2.94
,,2013 - 2014,3.24
,,2014 - 2015,2.57
,,2015 - 2016,1.27
,,2016 - 2017,2.59
,,2017 - 2018,2.36
,,2018 - 2019,2.79
,,2019 - 2020,2.82
,,2020 - 2021,3.1
,,2021 - 2022,3.03
,,2022 - 2023,3.01
,Vadodara,2000 - 2001,2.4
,,2001 - 2002,2.14
,,2002 - 2003,2.29
,,2003 - 2004,2.4
,,2004 - 2005,2.25
,,2005 - 2006,2.25
,,2006 - 2007,2.25
,,2007 - 2008,2.58
,,2008 - 2009,2.27
,,2009 - 2010,2.56
,,2010 - 2011,2.79
,,2011 - 2012,2.72
,,2012 - 2013,3.42
,,2013 - 2014,2.43
,,2014 - 2015,2.39
,,2015 - 2016,2.64
,,2016 - 2017,2.61
,,2017 - 2018,2.67
,,2018 - 2019,2.58
,,2019 - 2020,2.35
,,2020 - 2021,2.47
,,2021 - 2022,2.39
,,2022 - 2023,2.83
,Valsad,2000 - 2001,2.5
,,2001 - 2002,2.57
,,2002 - 2003,2.2
,,2003 - 2004,3.0
,,2004 - 2005,2.6
,,2005 - 2006,2.5
,,2006 - 2007,3.0
,,2007 - 2008,3.33
,,2008 - 2009,2.67
,,2009 - 2010,2.33
,,2011 - 2012,3.5
,,2017 - 2018,3.0
Haryana,Ambala,2000 - 2001,3.48
,,2001 - 2002,3.76
,,2002 - 2003,3.56
,,2003 - 2004,3.26
,,2004 - 2005,3.24
,,2005 - 2006,3.78
,,2006 - 2007,3.82
,,2007 - 2008,3.98
,,2008 - 2009,3.69
,,2009 - 2010,3.98
,,2010 - 2011,3.62
,,2011 - 2012,4.86
,,2012 - 2013,4.2
,,2013 - 2014,4.63
,,2014 - 2015,3.66
,,2015 - 2016,4.58
,,2016 - 2017,4.51
,,2017 - 2018,4.65
,,2018 - 2019,4.75
,,2019 - 2020,4.18
,,2020 - 2021,5.06
,,2021 - 2022,4.11
,,2022 - 2023,4.64
,Bhiwani,2000 - 2001,3.29
,,2001 - 2002,3.29
,,2002 - 2003,3.33
,,2003 - 2004,3.5
,,2004 - 2005,3.28
,,2005 - 2006,0.33
,,2006 - 2007,3.96
,,2007 - 2008,3.39
,,2008 - 2009,3.95
,,2009 - 2010,3.58
,,2010 - 2011,4.47
,,2011 - 2012,4.29
,,2012 - 2013,4.04
,,2013 - 2014,4.23
,,2014 - 2015,3.85
,,2015 - 2016,3.94
,,2016 - 2017,4.32
,,2017 - 2018,4.32
,,2018 - 2019,4.42
,,2019 - 2020,4.19
,,2020 - 2021,4.24
,,2021 - 2022,4.27
,,2022 - 2023,4.1
,Charki dadri,2017 - 2018,4.12
,,2018 - 2019,5.0
,,2019 - 2020,4.57
,,2020 - 2021,4.99
,,2021 - 2022,4.12
,,2022 - 2023,3.66
,Faridabad,2000 - 2001,4.03
,,2001 - 2002,3.93
,,2002 - 2003,4.09
,,2003 - 2004,3.96
,,2004 - 2005,3.87
,,2005 - 2006,3.66
,,2006 - 2007,3.71
,,2007 - 2008,4.67
,,2008 - 2009,4.72
,,2009 - 2010,4.02
,,2010 - 2011,4.58
,,2011 - 2012,4.92
,,2012 - 2013,4.54
,,2013 - 2014,4.67
,,2014 - 2015,3.32
,,2015 - 2016,3.99
,,2016 - 2017,4.7
,,2017 - 2018,4.45
,,2018 - 2019,5.14
,,2019 - 2020,4.2
,,2020 - 2021,3.37
,,2021 - 2022,3.92
,,2022 - 2023,4.14
,Fatehabad,2000 - 2001,4.36
,,2001 - 2002,4.25
,,2002 - 2003,4.16
,,2003 - 2004,4.28
,,2004 - 2005,4.1
,,2005 - 2006,4.08
,,2006 - 2007,4.62
,,2007 - 2008,4.65
,,2008 - 2009,5.13
,,2009 - 2010,4.53
,,2010 - 2011,5.09
,,2011 - 2012,5.46
,,2012 - 2013,4.68
,,2013 - 2014,5.32
,,2014 - 2015,4.86
,,2015 - 2016,4.54
,,2016 - 2017,5.26
,,2017 - 2018,5.38
,,2018 - 2019,5.38
,,2019 - 2020,4.85
,,2020 - 2021,5.04
,,2021 - 2022,4.67
,,2022 - 2023,5.14
,Gurgaon,2000 - 2001,3.52
,,2001 - 2002,3.48
,,2002 - 2003,3.69
,,2003 - 2004,3.58
,,2004 - 2005,3.52
,,2005 - 2006,3.53
,,2006 - 2007,3.93
,,2007 - 2008,3.91
,,2008 - 2009,4.24
,,2009 - 2010,4.4
,,2010 - 2011,4.72
,,2011 - 2012,4.92
,,2012 - 2013,4.59
,,2013 - 2014,4.48
,,2014 - 2015,3.16
,,2015 - 2016,4.3
,,2016 - 2017,4.67
,,2017 - 2018,4.91
,,2018 - 2019,4.95
,,2019 - 2020,5.06
,,2020 - 2021,4.74
,,2021 - 2022,4.67
,,2022 - 2023,4.5
,Hisar,2000 - 2001,4.29
,,2001 - 2002,4.17
,,2002 - 2003,4.06
,,2003 - 2004,4.14
,,2004 - 2005,4.15
,,2005 - 2006,3.7
,,2006 - 2007,4.39
,,2007 - 2008,3.92
,,2008 - 2009,4.83
,,2009 - 2010,4.13
,,2010 - 2011,4.63
,,2011 - 2012,5.1
,,2012 - 2013,4.26
,,2013 - 2014,4.48
,,2014 - 2015,4.18
,,2015 - 2016,4.65
,,2016 - 2017,4.76
,,2017 - 2018,4.91
,,2018 - 2019,4.96
,,2019 - 2020,4.56
,,2020 - 2021,4.97
,,2021 - 2022,4.64
,,2022 - 2023,4.99
,Jhajjar,2000 - 2001,3.82
,,2001 - 2002,3.91
,,2002 - 2003,3.93
,,2003 - 2004,3.87
,,2004 - 2005,3.59
,,2005 - 2006,3.7
,,2006 - 2007,3.9
,,2007 - 2008,3.93
,,2008 - 2009,4.36
,,2009 - 2010,4.13
,,2010 - 2011,4.51
,,2011 - 2012,4.89
,,2012 - 2013,3.93
,,2013 - 2014,4.51
,,2014 - 2015,3.69
,,2015 - 2016,3.87
,,2016 - 2017,5.09
,,2017 - 2018,4.65
,,2018 - 2019,4.76
,,2019 - 2020,4.81
,,2020 - 2021,4.53
,,2021 - 2022,4.4
,,2022 - 2023,4.36
,Jind,2000 - 2001,4.31
,,2001 - 2002,4.24
,,2002 - 2003,4.2
,,2003 - 2004,3.96
,,2004 - 2005,4.15
,,2005 - 2006,4.01
,,2006 - 2007,4.21
,,2007 - 2008,4.18
,,2008 - 2009,4.79
,,2009 - 2010,4.34
,,2010 - 2011,4.55
,,2011 - 2012,5.24
,,2012 - 2013,4.27
,,2013 - 2014,4.55
,,2014 - 2015,3.65
,,2015 - 2016,4.48
,,2016 - 2017,4.87
,,2017 - 2018,5.05
,,2018 - 2019,5.24
,,2019 - 2020,4.81
,,2020 - 2021,5.01
,,2021 - 2022,4.66
,,2022 - 2023,4.87
,Kaithal,2000 - 2001,4.48
,,2001 - 2002,4.56
,,2002 - 2003,4.39
,,2003 - 2004,4.16
,,2004 - 2005,4.11
,,2005 - 2006,4.2
,,2006 - 2007,4.38
,,2007 - 2008,4.44
,,2008 - 2009,4.84
,,2009 - 2010,4.5
,,2010 - 2011,4.71
,,2011 - 2012,5.45
,,2012 - 2013,4.68
,,2013 - 2014,4.82
,,2014 - 2015,4.25
,,2015 - 2016,4.53
,,2016 - 2017,4.98
,,2017 - 2018,4.83
,,2018 - 2019,4.92
,,2019 - 2020,4.6
,,2020 - 2021,4.95
,,2021 - 2022,4.62
,,2022 - 2023,4.71
,Karnal,2000 - 2001,4.62
,,2001 - 2002,4.59
,,2002 - 2003,4.35
,,2003 - 2004,4.13
,,2004 - 2005,4.19
,,2005 - 2006,4.37
,,2006 - 2007,4.43
,,2007 - 2008,4.64
,,2008 - 2009,4.6
,,2009 - 2010,4.51
,,2010 - 2011,4.45
,,2011 - 2012,5.68
,,2012 - 2013,4.68
,,2013 - 2014,4.91
,,2014 - 2015,4.05
,,2015 - 2016,3.44
,,2016 - 2017,5.21
,,2017 - 2018,4.92
,,2018 - 2019,5.64
,,2019 - 2020,4.85
,,2020 - 2021,5.18
,,2021 - 2022,5.1
,,2022 - 2023,5.38
,Kurukshetra,2000 - 2001,4.65
,,2001 - 2002,4.45
,,2002 - 2003,4.34
,,2003 - 2004,4.03
,,2004 - 2005,4.07
,,2005 - 2006,4.57
,,2006 - 2007,4.66
,,2007 - 2008,4.76
,,2008 - 2009,4.38
,,2009 - 2010,4.61
,,2010 - 2011,4.46
,,2011 - 2012,5.44
,,2012 - 2013,4.67
,,2013 - 2014,4.88
,,2014 - 2015,4.06
,,2015 - 2016,4.42
,,2016 - 2017,4.77
,,2017 - 2018,4.82
,,2018 - 2019,4.96
,,2019 - 2020,4.71
,,2020 - 2021,5.15
,,2021 - 2022,4.26
,,2022 - 2023,4.78
,Mahendragarh,2000 - 2001,3.7
,,2001 - 2002,3.73
,,2002 - 2003,3.99
,,2003 - 2004,3.96
,,2004 - 2005,3.8
,,2005 - 2006,4.09
,,2006 - 2007,4.01
,,2007 - 2008,3.73
,,2008 - 2009,4.72
,,2009 - 2010,3.9
,,2010 - 2011,4.63
,,2011 - 2012,4.61
,,2012 - 2013,4.78
,,2013 - 2014,5.02
,,2014 - 2015,4.22
,,2015 - 2016,4.36
,,2016 - 2017,4.72
,,2017 - 2018,4.27
,,2018 - 2019,4.74
,,2019 - 2020,4.48
,,2020 - 2021,4.84
,,2021 - 2022,4.65
,,2022 - 2023,4.43
,Mewat,2005 - 2006,3.07
,,2006 - 2007,3.09
,,2007 - 2008,3.68
,,2008 - 2009,3.79
,,2009 - 2010,4.08
,,2010 - 2011,4.24
,,2011 - 2012,4.37
,,2012 - 2013,4.13
,,2013 - 2014,4.3
,,2014 - 2015,3.21
,,2015 - 2016,3.96
,,2016 - 2017,4.17
,,2017 - 2018,4.32
,,2018 - 2019,4.54
,,2019 - 2020,4.6
,,2020 - 2021,4.22
,,2021 - 2022,4.26
,,2022 - 2023,3.9
,Palwal,2008 - 2009,5.0
,,2009 - 2010,4.15
,,2010 - 2011,4.6
,,2011 - 2012,5.09
,,2012 - 2013,4.6
,,2013 - 2014,4.55
,,2014 - 2015,3.39
,,2015 - 2016,4.43
,,2016 - 2017,4.37
,,2017 - 2018,4.55
,,2018 - 2019,4.23
,,2019 - 2020,4.84
,,2020 - 2021,4.45
,,2021 - 2022,4.64
,,2022 - 2023,4.24
,Panchkula,2000 - 2001,2.66
,,2001 - 2002,2.7
,,2002 - 2003,2.66
,,2003 - 2004,2.53
,,2004 - 2005,2.23
,,2005 - 2006,1.88
,,2006 - 2007,2.37
,,2007 - 2008,2.62
,,2008 - 2009,2.51
,,2009 - 2010,2.42
,,2010 - 2011,2.58
,,2011 - 2012,3.57
,,2012 - 2013,3.51
,,2013 - 2014,3.47
,,2014 - 2015,2.94
,,2015 - 2016,4.3
,,2016 - 2017,3.83
,,2017 - 2018,3.74
,,2018 - 2019,3.94
,,2019 - 2020,4.17
,,2020 - 2021,3.6
,,2021 - 2022,3.77
,,2022 - 2023,3.83
,Panipat,2000 - 2001,4.73
,,2001 - 2002,4.37
,,2002 - 2003,4.38
,,2003 - 2004,4.22
,,2004 - 2005,4.32
,,2005 - 2006,4.4
,,2006 - 2007,4.5
,,2007 - 2008,4.38
,,2008 - 2009,4.86
,,2009 - 2010,4.46
,,2010 - 2011,4.61
,,2011 - 2012,5.56
,,2012 - 2013,4.6
,,2013 - 2014,4.9
,,2014 - 2015,3.58
,,2015 - 2016,4.93
,,2016 - 2017,5.11
,,2017 - 2018,5.19
,,2018 - 2019,5.22
,,2019 - 2020,4.75
,,2020 - 2021,4.94
,,2021 - 2022,4.63
,,2022 - 2023,4.47
,Rewari,2000 - 2001,4.16
,,2001 - 2002,4.1
,,2002 - 2003,3.88
,,2003 - 2004,3.99
,,2004 - 2005,4.15
,,2005 - 2006,4.19
,,2006 - 2007,4.01
,,2007 - 2008,4.03
,,2008 - 2009,4.54
,,2009 - 2010,4.53
,,2010 - 2011,4.81
,,2011 - 2012,4.97
,,2012 - 2013,4.97
,,2013 - 2014,4.93
,,2014 - 2015,3.62
,,2015 - 2016,4.06
,,2016 - 2017,5.02
,,2017 - 2018,4.9
,,2018 - 2019,4.95
,,2019 - 2020,4.41
,,2020 - 2021,4.7
,,2021 - 2022,4.58
,,2022 - 2023,4.15
,Rohtak,2000 - 2001,3.84
,,2001 - 2002,3.84
,,2002 - 2003,3.98
,,2003 - 2004,3.81
,,2004 - 2005,3.66
,,2005 - 2006,3.45
,,2006 - 2007,3.97
,,2007 - 2008,3.52
,,2008 - 2009,4.34
,,2009 - 2010,4.07
,,2010 - 2011,4.57
,,2011 - 2012,5.0
,,2012 - 2013,3.74
,,2013 - 2014,3.92
,,2014 - 2015,3.47
,,2015 - 2016,3.91
,,2016 - 2017,4.6
,,2017 - 2018,4.63
,,2018 - 2019,4.57
,,2019 - 2020,4.32
,,2020 - 2021,4.79
,,2021 - 2022,4.37
,,2022 - 2023,4.17
,Sirsa,2000 - 2001,4.16
,,2001 - 2002,4.16
,,2002 - 2003,4.02
,,2003 - 2004,4.12
,,2004 - 2005,3.91
,,2005 - 2006,3.43
,,2006 - 2007,4.58
,,2007 - 2008,4.26
,,2008 - 2009,4.99
,,2009 - 2010,4.02
,,2010 - 2011,5.13
,,2011 - 2012,5.36
,,2012 - 2013,4.85
,,2013 - 2014,5.35
,,2014 - 2015,4.71
,,2015 - 2016,4.84
,,2016 - 2017,5.07
,,2017 - 2018,5.06
,,2018 - 2019,5.06
,,2019 - 2020,4.86
,,2020 - 2021,4.64
,,2021 - 2022,4.29
,,2022 - 2023,4.46
,Sonipat,2000 - 2001,4.0
,,2001 - 2002,4.37
,,2002 - 2003,4.33
,,2003 - 2004,3.8
,,2004 - 2005,3.99
,,2005 - 2006,4.02
,,2006 - 2007,4.56
,,2007 - 2008,4.28
,,2008 - 2009,4.83
,,2009 - 2010,4.31
,,2010 - 2011,4.66
,,2011 - 2012,5.51
,,2012 - 2013,4.53
,,2013 - 2014,4.65
,,2014 - 2015,3.73
,,2015 - 2016,4.45
,,2016 - 2017,5.13
,,2017 - 2018,5.07
,,2018 - 2019,4.48
,,2019 - 2020,4.89
,,2020 - 2021,5.02
,,2021 - 2022,4.72
,,2022 - 2023,4.53
,Yamunanagar,2000 - 2001,3.72
,,2001 - 2002,3.71
,,2002 - 2003,3.67
,,2003 - 2004,3.39
,,2004 - 2005,3.39
,,2005 - 2006,3.67
,,2006 - 2007,4.14
,,2007 - 2008,3.75
,,2008 - 2009,4.07
,,2009 - 2010,4.14
,,2010 - 2011,4.53
,,2011 - 2012,5.38
,,2012 - 2013,4.34
,,2013 - 2014,4.53
,,2014 - 2015,3.84
,,2015 - 2016,3.33
,,2016 - 2017,4.48
,,2017 - 2018,4.78
,,2018 - 2019,4.3
,,2019 - 2020,4.89
,,2020 - 2021,5.1
,,2021 - 2022,4.51
,,2022 - 2023,5.14
Himachal Pradesh,Bilaspur,2000 - 2001,0.29
,,2001 - 2002,1.84
,,2002 - 2003,1.28
,,2003 - 2004,1.2
,,2004 - 2005,2.4
,,2005 - 2006,0.53
,,2006 - 2007,1.96
,,2007 - 2008,1.55
,,2008 - 2009,0.66
,,2009 - 2010,0.59
,,2010 - 2011,1.05
,,2011 - 2012,1.53
,,2012 - 2013,1.2
,,2013 - 2014,0.65
,,2014 - 2015,1.23
,,2015 - 2016,1.55
,,2016 - 2017,0.65
,,2017 - 2018,1.59
,,2018 - 2019,1.65
,,2019 - 2020,2.02
,,2020 - 2021,1.31
,,2021 - 2022,2.61
,,2022 - 2023,1.31
,Chamba,2000 - 2001,0.7
,,2001 - 2002,1.7
,,2002 - 2003,1.17
,,2003 - 2004,1.06
,,2004 - 2005,1.54
,,2005 - 2006,0.93
,,2006 - 2007,1.5
,,2007 - 2008,0.95
,,2008 - 2009,1.35
,,2009 - 2010,1.23
,,2010 - 2011,2.18
,,2011 - 2012,1.5
,,2012 - 2013,2.49
,,2013 - 2014,0.68
,,2014 - 2015,2.21
,,2015 - 2016,2.69
,,2016 - 2017,1.35
,,2017 - 2018,2.69
,,2018 - 2019,2.39
,,2019 - 2020,2.29
,,2020 - 2021,1.86
,,2021 - 2022,2.04
,,2022 - 2023,2.48
,Hamirpur,2000 - 2001,0.23
,,2001 - 2002,1.57
,,2002 - 2003,1.17
,,2003 - 2004,1.35
,,2004 - 2005,2.06
,,2005 - 2006,0.83
,,2006 - 2007,1.68
,,2007 - 2008,1.11
,,2008 - 2009,0.59
,,2009 - 2010,0.53
,,2010 - 2011,0.94
,,2011 - 2012,1.19
,,2012 - 2013,1.07
,,2013 - 2014,0.57
,,2014 - 2015,1.1
,,2015 - 2016,1.12
,,2016 - 2017,0.58
,,2017 - 2018,1.12
,,2018 - 2019,1.19
,,2019 - 2020,1.95
,,2020 - 2021,1.01
,,2021 - 2022,1.61
,,2022 - 2023,1.32
,Kangra,2000 - 2001,0.59
,,2001 - 2002,1.63
,,2002 - 2003,1.33
,,2003 - 2004,1.51
,,2004 - 2005,1.8
,,2005 - 2006,1.08
,,2006 - 2007,1.57
,,2007 - 2008,1.37
,,2008 - 2009,1.26
,,2009 - 2010,1.01
,,2010 - 2011,1.8
,,2011 - 2012,1.45
,,2012 - 2013,2.06
,,2013 - 2014,0.82
,,2014 - 2015,2.12
,,2015 - 2016,2.2
,,2016 - 2017,1.11
,,2017 - 2018,2.2
,,2018 - 2019,2.25
,,2019 - 2020,2.25
,,2020 - 2021,1.58
,,2021 - 2022,2.23
,,2022 - 2023,2.02
,Kinnaur,2000 - 2001,1.38
,,2001 - 2002,1.76
,,2002 - 2003,1.69
,,2003 - 2004,1.8
,,2004 - 2005,1.74
,,2005 - 2006,1.63
,,2006 - 2007,1.49
,,2007 - 2008,1.0
,,2008 - 2009,1.29
,,2009 - 2010,0.9
,,2010 - 2011,1.61
,,2011 - 2012,1.05
,,2012 - 2013,1.83
,,2013 - 2014,0.99
,,2014 - 2015,1.89
,,2015 - 2016,0.99
,,2016 - 2017,1.01
,,2017 - 2018,0.99
,,2018 - 2019,0.99
,,2019 - 2020,1.09
,,2020 - 2021,1.31
,,2021 - 2022,1.24
,,2022 - 2023,1.29
,Kullu,2000 - 2001,1.61
,,2001 - 2002,1.93
,,2002 - 2003,1.52
,,2003 - 2004,1.63
,,2004 - 2005,1.81
,,2005 - 2006,1.49
,,2006 - 2007,1.76
,,2007 - 2008,1.7
,,2008 - 2009,1.29
,,2009 - 2010,1.18
,,2010 - 2011,2.1
,,2011 - 2012,1.48
,,2012 - 2013,2.4
,,2013 - 2014,0.76
,,2014 - 2015,1.72
,,2015 - 2016,1.58
,,2016 - 2017,1.3
,,2017 - 2018,1.58
,,2018 - 2019,1.58
,,2019 - 2020,1.62
,,2020 - 2021,1.8
,,2021 - 2022,1.99
,,2022 - 2023,1.81
,Lahul and spiti,2000 - 2001,0.69
,,2001 - 2002,1.74
,,2002 - 2003,1.38
,,2003 - 2004,1.36
,,2004 - 2005,1.86
,,2005 - 2006,1.03
,,2006 - 2007,1.64
,,2007 - 2008,3.27
,,2008 - 2009,1.05
,,2009 - 2010,0.82
,,2010 - 2011,1.45
,,2011 - 2012,1.26
,,2012 - 2013,1.69
,,2013 - 2014,0.89
,,2014 - 2015,1.72
,,2015 - 2016,1.42
,,2016 - 2017,0.9
,,2017 - 2018,1.42
,,2018 - 2019,1.42
,,2019 - 2020,1.42
,,2020 - 2021,1.71
,,2021 - 2022,2.25
,,2022 - 2023,1.85
,Mandi,2000 - 2001,0.68
,,2001 - 2002,2.05
,,2002 - 2003,1.4
,,2003 - 2004,1.26
,,2004 - 2005,1.83
,,2005 - 2006,0.99
,,2006 - 2007,1.51
,,2007 - 2008,1.56
,,2008 - 2009,0.73
,,2009 - 2010,0.66
,,2010 - 2011,1.18
,,2011 - 2012,1.5
,,2012 - 2013,1.34
,,2013 - 2014,0.82
,,2014 - 2015,1.38
,,2015 - 2016,1.97
,,2016 - 2017,0.73
,,2017 - 2018,1.97
,,2018 - 2019,1.98
,,2019 - 2020,2.01
,,2020 - 2021,1.71
,,2021 - 2022,2.11
,,2022 - 2023,1.58
,Shimla,2000 - 2001,0.51
,,2001 - 2002,1.24
,,2002 - 2003,1.07
,,2003 - 2004,1.0
,,2004 - 2005,1.34
,,2005 - 2006,1.21
,,2006 - 2007,1.13
,,2007 - 2008,1.99
,,2008 - 2009,0.79
,,2009 - 2010,0.7
,,2010 - 2011,1.24
,,2011 - 2012,1.44
,,2012 - 2013,1.41
,,2013 - 2014,0.77
,,2014 - 2015,1.46
,,2015 - 2016,2.0
,,2016 - 2017,0.77
,,2017 - 2018,2.0
,,2018 - 2019,1.91
,,2019 - 2020,1.81
,,2020 - 2021,1.69
,,2021 - 2022,2.59
,,2022 - 2023,1.84
,Sirmaur,2000 - 2001,0.88
,,2001 - 2002,1.79
,,2002 - 2003,1.35
,,2003 - 2004,1.22
,,2004 - 2005,1.86
,,2005 - 2006,0.74
,,2006 - 2007,1.56
,,2007 - 2008,1.12
,,2008 - 2009,1.33
,,2009 - 2010,1.2
,,2010 - 2011,2.13
,,2011 - 2012,1.61
,,2012 - 2013,2.43
,,2013 - 2014,0.79
,,2014 - 2015,2.5
,,2015 - 2016,1.19
,,2016 - 2017,1.32
,,2017 - 2018,1.19
,,2018 - 2019,1.22
,,2019 - 2020,1.58
,,2020 - 2021,2.1
,,2021 - 2022,2.27
,,2022 - 2023,2.22
,Solan,2000 - 2001,0.8
,,2001 - 2002,1.79
,,2002 - 2003,1.44
,,2003 - 2004,1.41
,,2004 - 2005,1.92
,,2005 - 2006,1.58
,,2006 - 2007,1.88
,,2007 - 2008,0.89
,,2008 - 2009,1.44
,,2009 - 2010,1.29
,,2010 - 2011,0.86
,,2011 - 2012,1.62
,,2012 - 2013,2.61
,,2013 - 2014,0.83
,,2014 - 2015,2.69
,,2015 - 2016,1.24
,,2016 - 2017,1.42
,,2017 - 2018,1.24
,,2018 - 2019,1.24
,,2019 - 2020,1.54
,,2020 - 2021,2.37
,,2021 - 2022,2.02
,,2022 - 2023,2.14
,Una,2000 - 2001,1.28
,,2001 - 2002,1.6
,,2002 - 2003,1.87
,,2003 - 2004,1.55
,,2004 - 2005,1.96
,,2005 - 2006,0.87
,,2006 - 2007,1.97
,,2007 - 2008,1.5
,,2008 - 2009,1.19
,,2009 - 2010,1.09
,,2010 - 2011,1.93
,,2011 - 2012,1.45
,,2012 - 2013,2.2
,,2013 - 2014,0.87
,,2014 - 2015,2.14
,,2015 - 2016,1.31
,,2016 - 2017,1.19
,,2017 - 2018,1.31
,,2018 - 2019,1.31
,,2019 - 2020,1.51
,,2020 - 2021,2.12
,,2021 - 2022,2.97
,,2022 - 2023,2.52
Jammu and Kashmir,Anantnag,2000 - 2001,1.43
,,2001 - 2002,2.19
,,2002 - 2003,2.52
,,2003 - 2004,2.0
,,2004 - 2005,1.11
,,2006 - 2007,0.77
,Badgam,2000 - 2001,0.52
,,2001 - 2002,1.59
,,2002 - 2003,0.47
,,2003 - 2004,1.48
,,2004 - 2005,1.49
,,2006 - 2007,1.4
,,2007 - 2008,1.4
,,2008 - 2009,0.66
,,2009 - 2010,0.55
,,2010 - 2011,0.79
,,2011 - 2012,0.89
,,2012 - 2013,1.31
,,2013 - 2014,1.31
,,2015 - 2016,0.73
,,2016 - 2017,0.69
,,2017 - 2018,0.64
,,2018 - 2019,0.69
,,2019 - 2020,1.07
,,2020 - 2021,2.19
,,2021 - 2022,1.42
,,2022 - 2023,1.9
,Baramulla,2000 - 2001,0.72
,,2001 - 2002,1.45
,,2002 - 2003,1.01
,,2003 - 2004,1.04
,,2004 - 2005,0.87
,,2005 - 2006,0.16
,,2006 - 2007,0.74
,,2007 - 2008,0.74
,,2008 - 2009,0.82
,,2009 - 2010,0.68
,,2010 - 2011,0.67
,,2011 - 2012,1.38
,,2012 - 2013,0.81
,,2013 - 2014,0.81
,Doda,2000 - 2001,0.45
,,2001 - 2002,1.33
,,2002 - 2003,1.07
,,2003 - 2004,0.67
,,2004 - 2005,1.09
,,2005 - 2006,0.12
,,2006 - 2007,1.41
,,2007 - 2008,1.41
,,2008 - 2009,0.61
,,2009 - 2010,1.17
,,2010 - 2011,1.22
,,2011 - 2012,1.19
,,2012 - 2013,1.13
,,2013 - 2014,1.13
,,2015 - 2016,1.22
,,2016 - 2017,1.25
,,2017 - 2018,2.07
,,2018 - 2019,1.63
,,2019 - 2020,1.65
,,2020 - 2021,1.66
,,2021 - 2022,0.85
,,2022 - 2023,2.19
,Jammu,2000 - 2001,0.91
,,2001 - 2002,1.34
,,2002 - 2003,1.98
,,2003 - 2004,2.2
,,2004 - 2005,2.25
,,2006 - 2007,2.12
,,2007 - 2008,2.12
,,2008 - 2009,2.02
,,2009 - 2010,1.18
,,2010 - 2011,1.64
,,2011 - 2012,1.99
,,2012 - 2013,1.81
,,2013 - 2014,1.81
,,2015 - 2016,2.73
,,2016 - 2017,2.55
,,2017 - 2018,2.77
,,2018 - 2019,2.8
,,2019 - 2020,2.52
,,2020 - 2021,2.21
,,2021 - 2022,2.59
,,2022 - 2023,2.55
,Kargil,2000 - 2001,0.87
,,2001 - 2002,0.86
,,2002 - 2003,0.91
,,2003 - 2004,0.86
,,2004 - 2005,0.86
,,2006 - 2007,0.86
,,2007 - 2008,0.86
,,2008 - 2009,0.86
,,2009 - 2010,0.86
,,2010 - 2011,0.86
,,2011 - 2012,0.86
,,2012 - 2013,0.86
,,2013 - 2014,0.86
,,2015 - 2016,0.87
,,2016 - 2017,0.87
,,2017 - 2018,0.87
,,2018 - 2019,0.87
,Kathua,2000 - 2001,0.63
,,2001 - 2002,1.55
,,2002 - 2003,1.6
,,2003 - 2004,1.65
,,2004 - 2005,1.87
,,2006 - 2007,1.98
,,2007 - 2008,1.98
,,2008 - 2009,1.63
,,2009 - 2010,1.0
,,2010 - 2011,1.62
,,2011 - 2012,1.91
,,2012 - 2013,1.54
,,2013 - 2014,1.54
,,2015 - 2016,1.47
,,2016 - 2017,2.12
,,2017 - 2018,2.18
,,2018 - 2019,2.52
,,2019 - 2020,2.42
,,2020 - 2021,2.28
,,2021 - 2022,2.11
,,2022 - 2023,2.04
,Kishtwar,2007 - 2008,1.41
,,2008 - 2009,0.84
,,2009 - 2010,1.19
,,2010 - 2011,1.58
,,2011 - 2012,1.34
,,2012 - 2013,1.24
,,2013 - 2014,1.24
,,2015 - 2016,1.03
,,2016 - 2017,1.92
,,2017 - 2018,1.87
,,2018 - 2019,1.17
,,2019 - 2020,0.54
,,2020 - 2021,0.96
,,2021 - 2022,0.93
,,2022 - 2023,1.01
,Kulgam,2007 - 2008,0.77
,,2010 - 2011,1.25
,,2011 - 2012,1.4
,,2021 - 2022,2.06
,Kupwara,2000 - 2001,1.0
,,2001 - 2002,1.31
,,2002 - 2003,1.3
,,2003 - 2004,1.11
,Leh ladakh,2000 - 2001,0.89
,,2001 - 2002,0.89
,,2002 - 2003,0.89
,,2003 - 2004,0.89
,,2004 - 2005,0.89
,,2006 - 2007,0.89
,,2007 - 2008,0.89
,,2008 - 2009,0.89
,,2009 - 2010,0.88
,,2010 - 2011,0.92
,,2011 - 2012,0.92
,,2012 - 2013,0.92
,,2013 - 2014,0.92
,,2015 - 2016,0.92
,,2016 - 2017,0.92
,,2017 - 2018,0.92
,,2018 - 2019,0.92
,Poonch,2000 - 2001,0.33
,,2001 - 2002,1.69
,,2002 - 2003,1.43
,,2003 - 2004,1.47
,,2004 - 2005,1.55
,,2006 - 2007,1.41
,,2007 - 2008,1.41
,,2008 - 2009,1.66
,,2009 - 2010,1.16
,,2010 - 2011,1.22
,,2011 - 2012,1.25
,,2012 - 2013,1.29
,,2013 - 2014,1.29
,,2015 - 2016,1.09
,,2016 - 2017,1.42
,,2017 - 2018,2.26
