state,district,year,turmeric_whole_year_yield_tonne_per_hectare
,,2017 - 2018,0.96
,,2018 - 2019,1.01
,,2019 - 2020,1.03
,,2020 - 2021,1.03
,,2021 - 2022,1.03
,,2022 - 2023,1.06
,Nalbari,2000 - 2001,0.93
,,2001 - 2002,0.93
,,2002 - 2003,0.92
,,2003 - 2004,0.93
,,2004 - 2005,0.92
,,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,0.93
,,2008 - 2009,0.93
,,2009 - 2010,0.92
,,2010 - 2011,0.93
,,2011 - 2012,0.96
,,2012 - 2013,0.97
,,2013 - 2014,0.97
,,2014 - 2015,0.97
,,2015 - 2016,0.98
,,2016 - 2017,0.99
,,2017 - 2018,1.14
,,2018 - 2019,1.29
,,2019 - 2020,1.38
,,2020 - 2021,1.38
,,2021 - 2022,1.38
,,2022 - 2023,1.51
,Sivasagar,2000 - 2001,0.86
,,2001 - 2002,0.87
,,2002 - 2003,0.85
,,2003 - 2004,0.83
,,2004 - 2005,0.83
,,2005 - 2006,0.78
,,2006 - 2007,0.8
,,2007 - 2008,0.77
,,2008 - 2009,0.97
,,2009 - 2010,0.85
,,2010 - 2011,0.76
,,2011 - 2012,0.67
,,2012 - 2013,0.69
,,2013 - 2014,0.69
,,2014 - 2015,0.69
,,2015 - 2016,0.69
,,2016 - 2017,0.71
,,2017 - 2018,1.02
,,2018 - 2019,0.99
,,2019 - 2020,1.07
,,2020 - 2021,1.07
,,2021 - 2022,1.07
,,2022 - 2023,1.65
,Sonitpur,2000 - 2001,0.73
,,2001 - 2002,0.73
,,2002 - 2003,0.73
,,2003 - 2004,0.73
,,2004 - 2005,0.73
,,2005 - 2006,0.73
,,2006 - 2007,0.73
,,2007 - 2008,0.73
,,2008 - 2009,0.73
,,2009 - 2010,0.73
,,2010 - 2011,0.73
,,2011 - 2012,0.88
,,2012 - 2013,0.97
,,2013 - 2014,0.96
,,2014 - 2015,0.84
,,2015 - 2016,0.98
,,2016 - 2017,0.98
,,2017 - 2018,1.79
,,2018 - 2019,1.79
,,2019 - 2020,1.81
,,2020 - 2021,1.81
,,2021 - 2022,1.81
,,2022 - 2023,1.85
,South salmara mancachar,2020 - 2021,1.09
,,2021 - 2022,1.09
,,2022 - 2023,1.2
,Tinsukia,2000 - 2001,0.54
,,2001 - 2002,0.54
,,2002 - 2003,0.54
,,2003 - 2004,0.55
,,2004 - 2005,0.55
,,2005 - 2006,0.55
,,2006 - 2007,0.55
,,2007 - 2008,0.55
,,2008 - 2009,0.55
,,2009 - 2010,0.55
,,2010 - 2011,0.55
,,2011 - 2012,0.67
,,2012 - 2013,0.68
,,2013 - 2014,0.68
,,2014 - 2015,0.68
,,2015 - 2016,0.7
,,2016 - 2017,0.71
,,2017 - 2018,0.73
,,2018 - 2019,0.94
,,2019 - 2020,1.05
,,2020 - 2021,1.05
,,2021 - 2022,1.05
,,2022 - 2023,1.19
,Udalguri,2005 - 2006,0.61
,,2006 - 2007,0.61
,,2007 - 2008,0.61
,,2008 - 2009,0.61
,,2009 - 2010,0.61
,,2010 - 2011,0.61
,,2011 - 2012,0.66
,,2012 - 2013,0.68
,,2013 - 2014,0.67
,,2014 - 2015,0.79
,,2015 - 2016,0.79
,,2016 - 2017,0.8
,,2017 - 2018,0.9
,,2018 - 2019,1.01
,,2019 - 2020,1.08
,,2020 - 2021,1.08
,,2021 - 2022,1.08
,,2022 - 2023,1.16
,West karbi anglong,2020 - 2021,2.0
,,2021 - 2022,2.15
,,2022 - 2023,1.97
Bihar,Araria,2000 - 2001,0.97
,,2001 - 2002,1.95
,,2002 - 2003,0.99
,,2003 - 2004,0.99
,,2004 - 2005,0.99
,,2005 - 2006,0.97
,,2007 - 2008,0.95
,,2008 - 2009,1.27
,,2016 - 2017,1.15
,,2017 - 2018,1.13
,,2018 - 2019,1.15
,,2022 - 2023,1.0
,Arwal,2003 - 2004,1.0
,,2005 - 2006,0.91
,,2016 - 2017,1.2
,,2017 - 2018,1.2
,,2018 - 2019,1.0
,Aurangabad,2001 - 2002,1.33
,,2005 - 2006,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,Banka,2000 - 2001,1.0
,,2001 - 2002,1.0
,Begusarai,2000 - 2001,0.97
,,2001 - 2002,0.58
,,2002 - 2003,0.99
,,2003 - 2004,0.99
,,2004 - 2005,0.99
,,2005 - 2006,0.97
,,2007 - 2008,0.98
,,2016 - 2017,0.84
,,2017 - 2018,0.92
,,2018 - 2019,0.91
,,2019 - 2020,1.07
,,2020 - 2021,0.9
,,2021 - 2022,0.89
,,2022 - 2023,0.89
,Bhagalpur,2000 - 2001,0.98
,,2001 - 2002,1.04
,,2002 - 2003,0.98
,,2003 - 2004,0.98
,,2004 - 2005,0.97
,,2005 - 2006,0.98
,,2007 - 2008,1.0
,,2008 - 2009,1.17
,,2016 - 2017,1.07
,,2017 - 2018,1.07
,,2018 - 2019,1.07
,,2019 - 2020,0.89
,,2020 - 2021,1.07
,,2021 - 2022,1.08
,,2022 - 2023,1.08
,Bhojpur,2005 - 2006,1.0
,,2008 - 2009,1.33
,,2016 - 2017,0.95
,,2017 - 2018,1.0
,Darbhanga,2001 - 2002,0.67
,,2002 - 2003,1.0
,,2004 - 2005,1.0
,,2007 - 2008,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Gaya,2000 - 2001,1.0
,,2001 - 2002,1.33
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,0.9
,,2007 - 2008,1.0
,,2008 - 2009,1.18
,Gopalganj,2001 - 2002,1.0
,,2022 - 2023,1.17
,Jehanabad,2001 - 2002,1.0
,,2003 - 2004,1.0
,,2005 - 2006,1.0
,,2008 - 2009,1.0
,Katihar,2000 - 2001,0.97
,,2001 - 2002,1.95
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,0.96
,,2007 - 2008,1.0
,,2008 - 2009,1.27
,,2016 - 2017,1.33
,,2017 - 2018,1.17
,,2018 - 2019,1.2
,,2019 - 2020,1.23
,,2020 - 2021,1.21
,,2021 - 2022,1.21
,,2022 - 2023,1.21
,Khagaria,2000 - 2001,0.95
,,2001 - 2002,0.58
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,0.96
,,2007 - 2008,0.96
,,2008 - 2009,1.15
,,2016 - 2017,0.95
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Kishanganj,2000 - 2001,0.97
,,2001 - 2002,1.89
,,2002 - 2003,0.98
,,2003 - 2004,0.98
,,2004 - 2005,0.98
,,2005 - 2006,0.97
,,2007 - 2008,0.95
,,2008 - 2009,1.27
,,2016 - 2017,0.98
,,2017 - 2018,1.03
,,2018 - 2019,1.03
,,2019 - 2020,1.01
,,2020 - 2021,1.03
,,2021 - 2022,1.02
,,2022 - 2023,1.02
,Lakhisarai,2016 - 2017,1.0
,Madhepura,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,0.98
,,2007 - 2008,1.0
,,2008 - 2009,1.16
,,2016 - 2017,1.05
,,2017 - 2018,1.06
,,2018 - 2019,1.05
,,2019 - 2020,1.06
,,2020 - 2021,1.06
,,2021 - 2022,1.06
,,2022 - 2023,1.05
,Madhubani,2000 - 2001,0.92
,,2001 - 2002,0.94
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.08
,,2016 - 2017,0.58
,,2017 - 2018,0.9
,,2018 - 2019,0.84
,,2019 - 2020,0.78
,,2020 - 2021,0.83
,,2021 - 2022,0.83
,,2022 - 2023,0.82
,Muzaffarpur,2000 - 2001,0.86
,,2001 - 2002,0.93
,,2002 - 2003,0.99
,,2003 - 2004,0.99
,,2004 - 2005,0.99
,,2005 - 2006,0.97
,,2007 - 2008,1.1
,,2008 - 2009,1.22
,,2016 - 2017,1.21
,,2017 - 2018,1.17
,,2018 - 2019,1.17
,,2019 - 2020,1.18
,,2020 - 2021,1.17
,,2021 - 2022,1.16
,,2022 - 2023,1.18
,Nalanda,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2008 - 2009,1.0
,,2016 - 2017,1.0
,Nawada,2004 - 2005,1.0
,,2005 - 2006,1.0
,Pashchim champaran,2000 - 2001,1.25
,,2001 - 2002,1.09
,,2002 - 2003,0.99
,,2003 - 2004,0.99
,,2005 - 2006,0.97
,,2007 - 2008,1.08
,,2008 - 2009,1.22
,,2016 - 2017,1.15
,,2017 - 2018,1.15
,,2018 - 2019,1.14
,,2019 - 2020,1.14
,,2020 - 2021,1.14
,,2021 - 2022,1.14
,,2022 - 2023,1.14
,Patna,2016 - 2017,0.71
,,2017 - 2018,0.67
,Purbi champaran,2000 - 2001,1.11
,,2001 - 2002,1.02
,,2003 - 2004,1.0
,,2004 - 2005,0.99
,,2005 - 2006,0.97
,,2007 - 2008,1.09
,,2008 - 2009,1.23
,,2016 - 2017,1.39
,Purnia,2000 - 2001,1.0
,,2001 - 2002,2.0
,,2002 - 2003,1.0
,,2003 - 2004,0.99
,,2004 - 2005,0.99
,,2005 - 2006,0.97
,,2007 - 2008,0.94
,,2008 - 2009,1.27
,Rohtas,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2016 - 2017,1.2
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,Saharsa,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2007 - 2008,1.0
,Samastipur,2000 - 2001,0.93
,,2001 - 2002,0.96
,,2002 - 2003,0.99
,,2003 - 2004,0.99
,,2004 - 2005,0.99
,,2005 - 2006,0.97
,,2007 - 2008,1.0
,,2008 - 2009,1.08
,,2016 - 2017,0.96
,,2017 - 2018,1.03
,,2018 - 2019,1.02
,,2019 - 2020,1.01
,,2020 - 2021,1.02
,,2021 - 2022,1.02
,,2022 - 2023,1.01
,Sheohar,2000 - 2001,1.13
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2016 - 2017,0.83
,,2017 - 2018,1.04
,,2018 - 2019,0.98
,,2019 - 2020,0.96
,,2020 - 2021,1.0
,,2021 - 2022,0.95
,,2022 - 2023,0.95
,Sitamarhi,2000 - 2001,1.11
,,2001 - 2002,1.02
,,2002 - 2003,0.98
,,2003 - 2004,0.98
,,2004 - 2005,0.98
,Siwan,2000 - 2001,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2016 - 2017,1.13
,,2017 - 2018,1.19
,,2018 - 2019,1.13
,,2019 - 2020,1.13
,,2020 - 2021,1.13
,,2021 - 2022,1.13
,,2022 - 2023,1.13
,Supaul,2000 - 2001,0.97
,,2001 - 2002,1.04
,,2002 - 2003,0.99
,,2003 - 2004,1.0
,,2004 - 2005,0.98
,,2005 - 2006,0.97
,,2007 - 2008,1.0
,,2008 - 2009,1.16
,,2016 - 2017,0.37
,,2017 - 2018,0.85
,,2018 - 2019,0.77
,,2019 - 2020,0.66
,,2020 - 2021,0.76
,,2021 - 2022,0.73
,,2022 - 2023,1.02
,Vaishali,2000 - 2001,1.11
,,2001 - 2002,1.02
,,2002 - 2003,0.99
,,2003 - 2004,1.0
,,2004 - 2005,0.98
,,2005 - 2006,0.98
,,2007 - 2008,0.92
,,2008 - 2009,1.0
,,2016 - 2017,1.19
Chhattisgarh,Balod,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.5
,,2021 - 2022,1.5
,,2022 - 2023,1.5
,Baloda bazar,2011 - 2012,2.18
,,2012 - 2013,2.0
,,2013 - 2014,2.0
,,2014 - 2015,2.15
,,2015 - 2016,1.86
,,2016 - 2017,1.55
,,2017 - 2018,1.53
,,2018 - 2019,1.53
,,2019 - 2020,1.64
,,2020 - 2021,1.52
,,2021 - 2022,1.67
,,2022 - 2023,1.6
,Balrampur,2011 - 2012,0.98
,,2012 - 2013,0.95
,,2013 - 2014,0.71
,,2014 - 2015,0.78
,,2015 - 2016,0.78
,,2016 - 2017,0.89
,,2017 - 2018,0.9
,,2018 - 2019,0.87
,,2019 - 2020,0.8
,,2020 - 2021,1.29
,,2021 - 2022,1.29
,,2022 - 2023,0.8
,Bastar,2000 - 2001,0.85
,,2001 - 2002,0.85
,,2002 - 2003,0.86
,,2003 - 2004,0.86
,,2004 - 2005,0.86
,,2005 - 2006,0.86
,,2006 - 2007,0.86
,,2007 - 2008,0.86
,,2008 - 2009,0.87
,,2009 - 2010,0.86
,,2010 - 2011,0.8
,,2011 - 2012,0.89
,,2012 - 2013,0.95
,,2013 - 2014,0.94
,,2014 - 2015,0.57
,,2015 - 2016,0.79
,,2016 - 2017,0.88
,,2017 - 2018,0.67
,,2018 - 2019,0.78
,,2019 - 2020,0.77
,,2020 - 2021,0.69
,,2021 - 2022,0.69
,,2022 - 2023,0.7
,Bemetara,2011 - 2012,1.15
,,2012 - 2013,0.95
,,2013 - 2014,1.3
,,2014 - 2015,1.16
,,2015 - 2016,0.87
,,2016 - 2017,1.0
,,2017 - 2018,7.16
,,2018 - 2019,0.87
,,2019 - 2020,0.75
,,2020 - 2021,2.68
,,2021 - 2022,2.68
,,2022 - 2023,2.42
,Bijapur,2006 - 2007,0.0
,,2007 - 2008,0.82
,,2008 - 2009,0.0
,,2009 - 2010,0.83
,,2010 - 2011,0.82
,,2011 - 2012,0.5
,,2012 - 2013,0.57
,,2013 - 2014,0.56
,,2014 - 2015,0.87
,,2015 - 2016,0.71
,,2016 - 2017,0.67
,,2017 - 2018,0.64
,,2018 - 2019,0.4
,,2019 - 2020,1.13
,,2020 - 2021,1.0
,,2021 - 2022,1.17
,,2022 - 2023,1.33
,Bilaspur,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,0.5
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2009 - 2010,0.0
,,2010 - 2011,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.2
,,2021 - 2022,1.2
,,2022 - 2023,1.0
,Dantewada,2000 - 2001,0.67
,,2001 - 2002,0.76
,,2002 - 2003,0.54
,,2003 - 2004,0.69
,,2004 - 2005,0.56
,,2005 - 2006,0.53
,,2006 - 2007,0.87
,,2007 - 2008,0.85
,,2008 - 2009,0.67
,,2009 - 2010,0.0
,,2010 - 2011,0.8
,,2011 - 2012,0.79
,,2012 - 2013,0.59
,,2013 - 2014,0.55
,,2014 - 2015,0.88
,,2015 - 2016,0.73
,,2016 - 2017,0.79
,,2017 - 2018,0.63
,,2018 - 2019,1.1
,,2019 - 2020,1.11
,,2020 - 2021,0.83
,,2021 - 2022,0.81
,,2022 - 2023,1.1
,Dhamtari,2000 - 2001,1.5
,,2001 - 2002,2.0
,,2002 - 2003,1.5
,,2003 - 2004,2.0
,,2004 - 2005,2.0
,,2005 - 2006,2.0
,,2006 - 2007,0.6
,,2007 - 2008,1.67
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2015 - 2016,2.0
,,2016 - 2017,1.5
,,2018 - 2019,3.0
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,,2021 - 2022,2.17
,,2022 - 2023,2.17
,Durg,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.2
,,2004 - 2005,1.0
,,2006 - 2007,1.0
,,2007 - 2008,0.87
,,2008 - 2009,0.75
,,2010 - 2011,1.81
,,2011 - 2012,1.17
,,2012 - 2013,1.0
,,2014 - 2015,1.17
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.1
,Gariyaband,2011 - 2012,2.0
,,2012 - 2013,2.0
,,2013 - 2014,2.0
,,2014 - 2015,1.5
,,2015 - 2016,1.89
,,2019 - 2020,3.0
,,2020 - 2021,2.67
,,2021 - 2022,2.5
,,2022 - 2023,2.0
,Gaurella-pendra-marwahi,2020 - 2021,1.0
,Janjgir-champa,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.83
,,2005 - 2006,0.86
,,2006 - 2007,0.8
,,2007 - 2008,1.0
,,2008 - 2009,0.86
,,2009 - 2010,0.0
,,2010 - 2011,0.86
,,2011 - 2012,1.0
,,2012 - 2013,0.88
,,2013 - 2014,0.96
,,2014 - 2015,0.96
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.83
,Jashpur,2000 - 2001,0.7
,,2001 - 2002,0.79
,,2002 - 2003,0.75
,,2003 - 2004,0.74
,,2004 - 2005,0.75
,,2005 - 2006,0.71
,,2006 - 2007,0.76
,,2007 - 2008,0.75
,,2008 - 2009,0.78
,,2009 - 2010,0.74
,,2010 - 2011,0.73
,,2011 - 2012,0.74
,,2012 - 2013,0.73
,,2013 - 2014,0.71
,,2014 - 2015,0.72
,,2015 - 2016,0.81
,,2016 - 2017,0.71
,,2017 - 2018,1.02
,,2018 - 2019,0.7
,,2019 - 2020,0.47
,,2020 - 2021,0.78
,,2021 - 2022,0.76
,,2022 - 2023,1.63
,Kabirdham,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2014 - 2015,1.0
,Kanker,2000 - 2001,1.0
,,2001 - 2002,0.77
,,2002 - 2003,0.85
,,2003 - 2004,1.09
,,2004 - 2005,0.78
,,2005 - 2006,0.92
,,2006 - 2007,0.9
,,2007 - 2008,1.0
,,2008 - 2009,0.82
,,2009 - 2010,0.82
,,2010 - 2011,0.85
,,2011 - 2012,0.9
,,2012 - 2013,0.6
,,2013 - 2014,0.5
,,2014 - 2015,0.58
,,2015 - 2016,0.66
,,2016 - 2017,0.85
,,2017 - 2018,0.65
,,2018 - 2019,0.61
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,1.2
,Khairgarh chhuikhadan gandai,2022 - 2023,1.0
,Kondagaon,2011 - 2012,0.89
,,2012 - 2013,0.93
,,2013 - 2014,0.74
,,2014 - 2015,0.74
,,2015 - 2016,1.46
,,2016 - 2017,1.47
,,2017 - 2018,1.4
,,2018 - 2019,1.47
,,2019 - 2020,1.63
,,2020 - 2021,1.48
,,2021 - 2022,1.5
,,2022 - 2023,1.48
,Korba,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2003 - 2004,0.8
,,2004 - 2005,0.88
,,2005 - 2006,0.8
,,2006 - 2007,0.89
,,2007 - 2008,1.0
,,2008 - 2009,0.83
,,2009 - 2010,0.0
,,2010 - 2011,0.8
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.25
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Korea,2000 - 2001,1.0
,,2001 - 2002,0.88
,,2002 - 2003,0.92
,,2003 - 2004,0.9
,,2004 - 2005,0.87
,,2005 - 2006,0.85
,,2006 - 2007,0.8
,,2007 - 2008,0.73
,,2008 - 2009,0.9
,,2009 - 2010,0.89
,,2010 - 2011,0.88
,,2011 - 2012,0.75
,,2012 - 2013,0.86
,,2013 - 2014,0.79
,,2014 - 2015,0.88
,,2015 - 2016,0.61
,,2016 - 2017,0.97
,,2017 - 2018,4.34
,,2018 - 2019,0.79
,,2019 - 2020,0.69
,,2020 - 2021,1.3
,,2021 - 2022,1.27
,,2022 - 2023,0.67
,Mahasamund,2000 - 2001,1.5
,,2001 - 2002,2.0
,,2002 - 2003,1.67
,,2003 - 2004,2.0
,,2004 - 2005,2.0
,,2005 - 2006,1.5
,,2006 - 2007,2.0
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2010 - 2011,2.0
,,2012 - 2013,2.0
,,2013 - 2014,2.0
,,2014 - 2015,1.57
,,2015 - 2016,2.0
,,2016 - 2017,1.5
,,2017 - 2018,2.0
,,2018 - 2019,2.57
,,2019 - 2020,2.5
,,2020 - 2021,2.53
,,2021 - 2022,2.54
,,2022 - 2023,1.81
,Manendragarh chirimiri bharatpur,2022 - 2023,0.5
,Mohla manpur ambagarh chouki,2022 - 2023,1.0
,Mungeli,2017 - 2018,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Narayanpur,2006 - 2007,0.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.67
,,2015 - 2016,0.67
,,2016 - 2017,0.75
,,2017 - 2018,0.67
,,2018 - 2019,1.2
,,2019 - 2020,1.0
,,2021 - 2022,1.12
,,2022 - 2023,0.75
,Raigarh,2000 - 2001,0.7
,,2001 - 2002,0.8
,,2002 - 2003,0.75
,,2003 - 2004,0.78
,,2004 - 2005,0.76
,,2005 - 2006,0.79
,,2006 - 2007,0.79
,,2007 - 2008,0.79
,,2008 - 2009,0.81
,,2009 - 2010,0.72
,,2010 - 2011,0.72
,,2011 - 2012,0.75
,,2012 - 2013,0.75
,,2013 - 2014,0.78
,,2014 - 2015,0.82
,,2015 - 2016,0.82
,,2016 - 2017,0.78
,,2017 - 2018,0.15
,,2018 - 2019,0.78
,,2019 - 2020,0.75
,,2020 - 2021,0.76
,,2021 - 2022,0.76
,,2022 - 2023,0.95
,Raipur,2000 - 2001,1.73
,,2001 - 2002,1.71
,,2002 - 2003,1.69
,,2003 - 2004,1.76
,,2004 - 2005,1.69
,,2005 - 2006,1.69
,,2006 - 2007,0.03
,,2007 - 2008,1.69
,,2008 - 2009,1.7
,,2009 - 2010,1.71
,,2010 - 2011,1.84
,,2011 - 2012,2.0
,,2012 - 2013,2.0
,,2013 - 2014,2.0
,,2014 - 2015,2.0
,,2015 - 2016,2.0
,,2016 - 2017,1.5
,,2018 - 2019,2.55
,,2019 - 2020,1.86
,,2020 - 2021,2.62
,,2021 - 2022,2.59
,,2022 - 2023,1.65
,Rajnandgaon,2000 - 2001,1.0
,,2001 - 2002,0.67
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.75
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,0.83
,,2008 - 2009,0.71
,,2009 - 2010,0.89
,,2010 - 2011,0.9
,,2011 - 2012,0.88
,,2012 - 2013,0.82
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2017 - 2018,1.17
,,2018 - 2019,1.0
,,2019 - 2020,1.15
,,2020 - 2021,1.17
,,2021 - 2022,1.21
,,2022 - 2023,1.0
,Sakti,2022 - 2023,1.17
,Sarangarh bilaigarh,2022 - 2023,1.63
,Sukma,2011 - 2012,0.8
,,2012 - 2013,0.58
,,2013 - 2014,0.58
,,2014 - 2015,0.85
,,2015 - 2016,0.73
,,2016 - 2017,0.67
,,2017 - 2018,0.67
,,2018 - 2019,0.78
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.5
,,2022 - 2023,0.8
,Surajpur,2011 - 2012,0.98
,,2012 - 2013,0.9
,,2013 - 2014,0.75
,,2014 - 2015,0.9
,,2015 - 2016,0.79
,,2016 - 2017,0.98
,,2017 - 2018,0.65
,,2018 - 2019,0.98
,,2019 - 2020,0.9
,,2020 - 2021,1.16
,,2021 - 2022,1.16
,,2022 - 2023,1.27
,Surguja,2000 - 2001,1.26
,,2001 - 2002,0.9
,,2002 - 2003,0.9
,,2003 - 2004,0.95
,,2004 - 2005,0.92
,,2005 - 2006,0.97
,,2006 - 2007,0.96
,,2007 - 2008,0.95
,,2008 - 2009,0.91
,,2009 - 2010,0.9
,,2010 - 2011,0.9
,,2011 - 2012,0.98
,,2012 - 2013,0.95
,,2013 - 2014,0.97
,,2014 - 2015,0.96
,,2015 - 2016,0.87
,,2016 - 2017,0.83
,,2017 - 2018,0.81
,,2018 - 2019,1.05
,,2019 - 2020,0.43
,,2020 - 2021,0.92
,,2021 - 2022,0.92
,,2022 - 2023,0.98
Haryana,Ambala,2000 - 2001,0.0
,,2008 - 2009,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.88
,,2013 - 2014,10.05
,,2014 - 2015,10.04
,,2015 - 2016,10.25
,,2016 - 2017,19.5
,,2017 - 2018,10.5
,,2018 - 2019,6.0
,,2019 - 2020,9.84
,Bhiwani,2016 - 2017,10.0
,Fatehabad,2013 - 2014,11.0
,,2014 - 2015,10.0
,,2015 - 2016,8.0
,,2016 - 2017,9.38
,,2017 - 2018,5.11
,,2018 - 2019,12.5
,,2021 - 2022,0.0
,Hisar,2013 - 2014,10.0
,,2014 - 2015,10.5
,Jind,2011 - 2012,0.0
,,2013 - 2014,11.54
,,2014 - 2015,15.0
,,2015 - 2016,8.82
,,2016 - 2017,9.9
,,2017 - 2018,19.29
,,2018 - 2019,11.5
,,2019 - 2020,7.5
,,2021 - 2022,0.0
,Kaithal,2000 - 2001,0.0
,,2008 - 2009,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,1.0
,,2013 - 2014,10.0
,,2014 - 2015,10.5
,,2015 - 2016,11.0
,,2016 - 2017,12.0
,,2017 - 2018,11.0
,Karnal,2000 - 2001,0.0
,,2008 - 2009,9.09
,,2011 - 2012,0.0
,,2012 - 2013,0.92
,,2013 - 2014,11.43
,,2014 - 2015,15.14
,,2015 - 2016,14.67
,,2016 - 2017,15.0
,,2017 - 2018,13.0
,,2018 - 2019,15.03
,,2019 - 2020,15.4
,,2021 - 2022,0.0
,Kurukshetra,2000 - 2001,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.9
,,2013 - 2014,14.29
,,2014 - 2015,10.0
,,2015 - 2016,10.11
,,2017 - 2018,10.59
,,2018 - 2019,2.8
,,2019 - 2020,12.5
,,2021 - 2022,0.0
,Palwal,2014 - 2015,8.57
,,2015 - 2016,8.33
,Panchkula,2000 - 2001,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.78
,,2013 - 2014,11.86
,,2014 - 2015,15.0
,,2015 - 2016,15.0
,,2016 - 2017,18.4
,,2017 - 2018,18.05
,,2018 - 2019,15.76
,,2019 - 2020,15.98
,,2021 - 2022,0.0
,Panipat,2000 - 2001,0.0
,,2011 - 2012,0.0
,,2012 - 2013,1.0
,,2013 - 2014,11.39
,,2014 - 2015,13.0
,,2015 - 2016,10.72
,,2016 - 2017,11.4
,,2017 - 2018,13.9
,,2018 - 2019,13.9
,,2019 - 2020,14.8
,,2021 - 2022,0.0
,Sirsa,2011 - 2012,0.0
,,2012 - 2013,0.5
,Sonipat,2013 - 2014,10.0
,,2014 - 2015,15.0
,,2015 - 2016,11.43
,,2016 - 2017,7.43
,,2017 - 2018,10.8
,,2018 - 2019,12.0
,,2019 - 2020,15.0
