state,district,year,turmeric_whole_year_yield_tonne_per_hectare
,,2001 - 2002,4.33
,,2002 - 2003,5.37
,,2003 - 2004,6.17
,,2004 - 2005,8.09
,,2005 - 2006,6.27
,,2006 - 2007,5.88
,,2008 - 2009,6.87
,,2009 - 2010,6.23
,,2010 - 2011,6.11
,,2011 - 2012,7.51
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,West godavari,2000 - 2001,4.49
,,2001 - 2002,4.32
,,2002 - 2003,5.36
,,2003 - 2004,6.17
,,2004 - 2005,8.08
,,2005 - 2006,6.27
,,2006 - 2007,5.88
,,2008 - 2009,6.87
,,2009 - 2010,6.23
,,2010 - 2011,6.11
,,2011 - 2012,7.51
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
Arunachal Pradesh,Anjaw,2004 - 2005,2.5
,,2005 - 2006,2.5
,,2006 - 2007,5.07
,,2007 - 2008,5.0
,,2008 - 2009,4.89
,,2009 - 2010,3.0
,,2010 - 2011,2.5
,,2011 - 2012,2.55
,,2012 - 2013,2.28
,,2013 - 2014,2.22
,,2014 - 2015,22.7
,,2015 - 2016,4.0
,,2016 - 2017,3.31
,,2017 - 2018,3.38
,,2018 - 2019,3.38
,,2019 - 2020,3.34
,,2020 - 2021,3.39
,,2021 - 2022,3.4
,,2022 - 2023,3.38
,Changlang,2000 - 2001,4.6
,,2001 - 2002,4.67
,,2002 - 2003,5.2
,,2003 - 2004,5.15
,,2005 - 2006,5.1
,,2006 - 2007,5.08
,,2007 - 2008,5.21
,,2008 - 2009,5.6
,,2009 - 2010,6.8
,,2010 - 2011,6.5
,,2011 - 2012,6.54
,,2012 - 2013,6.51
,,2013 - 2014,6.5
,,2014 - 2015,0.99
,,2015 - 2016,2.85
,,2016 - 2017,2.85
,,2017 - 2018,3.0
,,2018 - 2019,3.0
,,2019 - 2020,3.01
,,2020 - 2021,3.05
,,2021 - 2022,3.04
,,2022 - 2023,3.05
,Dibang valley,2000 - 2001,8.0
,,2001 - 2002,6.67
,,2008 - 2009,1.77
,,2009 - 2010,1.77
,East kameng,2008 - 2009,3.44
,East siang,2000 - 2001,1.83
,,2001 - 2002,1.87
,,2002 - 2003,2.0
,,2003 - 2004,2.0
,,2004 - 2005,2.49
,,2005 - 2006,2.0
,,2006 - 2007,2.0
,,2007 - 2008,1.91
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2010 - 2011,2.0
,,2011 - 2012,2.02
,,2012 - 2013,1.98
,,2013 - 2014,2.0
,,2014 - 2015,2.16
,,2015 - 2016,4.15
,,2016 - 2017,3.99
,,2017 - 2018,4.27
,,2018 - 2019,4.6
,,2019 - 2020,4.58
,,2020 - 2021,4.61
,,2021 - 2022,4.61
,,2022 - 2023,4.62
,Kurung kumey,2002 - 2003,7.08
,,2003 - 2004,6.92
,,2006 - 2007,7.07
,,2008 - 2009,1.67
,,2009 - 2010,1.67
,Leparada,2019 - 2020,3.94
,,2020 - 2021,4.19
,,2021 - 2022,4.17
,,2022 - 2023,4.19
,Lohit,2000 - 2001,2.6
,,2001 - 2002,2.5
,,2002 - 2003,2.51
,,2003 - 2004,2.5
,,2004 - 2005,7.0
,,2005 - 2006,3.93
,,2006 - 2007,3.0
,,2007 - 2008,3.52
,,2008 - 2009,3.4
,,2009 - 2010,3.3
,,2010 - 2011,5.0
,,2011 - 2012,5.02
,,2012 - 2013,5.55
,,2013 - 2014,5.73
,,2014 - 2015,5.75
,,2015 - 2016,5.54
,,2016 - 2017,5.08
,,2017 - 2018,5.03
,,2018 - 2019,5.03
,,2019 - 2020,4.98
,,2020 - 2021,5.02
,,2021 - 2022,4.99
,,2022 - 2023,4.99
,Lower dibang valley,2002 - 2003,6.26
,,2003 - 2004,6.21
,,2004 - 2005,5.19
,,2005 - 2006,6.85
,,2006 - 2007,7.0
,,2007 - 2008,7.0
,,2008 - 2009,7.11
,,2009 - 2010,7.0
,,2010 - 2011,7.0
,,2011 - 2012,7.05
,,2012 - 2013,7.5
,,2013 - 2014,7.5
,,2014 - 2015,7.39
,,2015 - 2016,6.96
,,2016 - 2017,6.74
,,2017 - 2018,6.68
,,2018 - 2019,6.68
,,2019 - 2020,6.46
,,2020 - 2021,6.44
,,2021 - 2022,6.44
,,2022 - 2023,6.47
,Lower siang,2018 - 2019,3.82
,,2019 - 2020,3.79
,,2020 - 2021,3.84
,,2021 - 2022,3.85
,,2022 - 2023,3.85
,Lower subansiri,2000 - 2001,8.15
,,2001 - 2002,2.0
,,2002 - 2003,7.0
,,2004 - 2005,1.67
,Namsai,2015 - 2016,5.77
,,2016 - 2017,5.45
,,2017 - 2018,5.39
,,2018 - 2019,5.39
,,2019 - 2020,5.35
,,2020 - 2021,5.4
,,2021 - 2022,5.4
,,2022 - 2023,5.41
,Papum pare,2002 - 2003,0.0
,,2004 - 2005,2.0
,,2005 - 2006,7.0
,,2007 - 2008,6.44
,,2008 - 2009,6.8
,,2009 - 2010,7.2
,,2010 - 2011,6.91
,,2011 - 2012,6.83
,,2012 - 2013,1.41
,,2013 - 2014,7.2
,,2014 - 2015,6.92
,,2015 - 2016,5.87
,,2016 - 2017,5.28
,,2017 - 2018,5.17
,,2018 - 2019,5.17
,,2019 - 2020,5.1
,,2020 - 2021,5.19
,,2021 - 2022,5.22
,,2022 - 2023,5.22
,Shi yomi,2019 - 2020,4.33
,,2020 - 2021,4.67
,,2021 - 2022,4.67
,,2022 - 2023,4.64
,Siang,2015 - 2016,4.05
,,2016 - 2017,3.76
,,2017 - 2018,3.83
,,2018 - 2019,3.83
,,2019 - 2020,3.81
,,2020 - 2021,3.85
,,2021 - 2022,4.34
,,2022 - 2023,4.38
,Tawang,2002 - 2003,7.54
,,2003 - 2004,2.2
,,2004 - 2005,2.15
,,2005 - 2006,2.25
,,2006 - 2007,2.14
,,2007 - 2008,2.21
,,2008 - 2009,2.21
,,2009 - 2010,2.83
,,2010 - 2011,2.2
,,2011 - 2012,2.13
,,2012 - 2013,2.2
,,2013 - 2014,2.2
,,2014 - 2015,3.78
,,2015 - 2016,3.9
,,2016 - 2017,3.1
,,2017 - 2018,3.0
,,2018 - 2019,3.0
,,2019 - 2020,2.97
,,2020 - 2021,3.09
,,2021 - 2022,3.08
,,2022 - 2023,3.1
,Tirap,2000 - 2001,5.0
,,2001 - 2002,5.4
,,2002 - 2003,4.8
,,2004 - 2005,7.1
,Upper subansiri,2001 - 2002,7.17
,,2002 - 2003,2.8
,,2003 - 2004,1.73
,,2004 - 2005,4.06
,West siang,2000 - 2001,3.75
,,2001 - 2002,1.93
,,2002 - 2003,3.86
,,2003 - 2004,3.86
,,2006 - 2007,4.04
,,2007 - 2008,4.25
,,2008 - 2009,4.51
,,2009 - 2010,4.53
,,2010 - 2011,4.56
,,2011 - 2012,4.62
,,2012 - 2013,4.78
,,2013 - 2014,4.8
,,2014 - 2015,4.95
,,2015 - 2016,4.73
,,2016 - 2017,4.3
,,2017 - 2018,4.23
,,2018 - 2019,4.27
,,2019 - 2020,4.21
,,2020 - 2021,4.5
,,2021 - 2022,4.53
,,2022 - 2023,4.55
Assam,Baksa,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,0.24
,,2008 - 2009,0.93
,,2009 - 2010,0.93
,,2010 - 2011,0.93
,,2011 - 2012,1.24
,,2012 - 2013,1.26
,,2013 - 2014,1.26
,,2014 - 2015,1.26
,,2015 - 2016,1.27
,,2016 - 2017,1.27
,,2017 - 2018,1.29
,,2018 - 2019,1.39
,,2019 - 2020,1.45
,,2020 - 2021,1.45
,,2021 - 2022,1.45
,,2022 - 2023,1.5
,Barpeta,2000 - 2001,0.8
,,2001 - 2002,0.8
,,2002 - 2003,0.8
,,2003 - 2004,0.8
,,2004 - 2005,0.8
,,2005 - 2006,0.8
,,2006 - 2007,0.8
,,2007 - 2008,0.8
,,2008 - 2009,0.8
,,2009 - 2010,0.8
,,2010 - 2011,0.8
,,2011 - 2012,0.83
,,2012 - 2013,0.87
,,2013 - 2014,0.88
,,2014 - 2015,0.88
,,2015 - 2016,0.88
,,2016 - 2017,0.89
,,2017 - 2018,1.34
,,2018 - 2019,1.4
,,2019 - 2020,1.43
,,2020 - 2021,1.44
,,2021 - 2022,1.39
,,2022 - 2023,1.48
,Biswanath,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,1.05
,Bongaigaon,2000 - 2001,0.59
,,2001 - 2002,0.59
,,2002 - 2003,0.59
,,2003 - 2004,0.58
,,2004 - 2005,0.58
,,2005 - 2006,0.59
,,2006 - 2007,0.58
,,2007 - 2008,0.59
,,2008 - 2009,0.59
,,2009 - 2010,0.59
,,2010 - 2011,0.59
,,2011 - 2012,0.69
,,2012 - 2013,0.8
,,2013 - 2014,0.8
,,2014 - 2015,0.81
,,2015 - 2016,0.82
,,2016 - 2017,0.83
,,2017 - 2018,0.86
,,2018 - 2019,1.1
,,2019 - 2020,1.22
,,2020 - 2021,1.23
,,2021 - 2022,1.23
,,2022 - 2023,1.38
,Cachar,2000 - 2001,0.94
,,2001 - 2002,0.95
,,2002 - 2003,0.94
,,2003 - 2004,0.94
,,2004 - 2005,2.12
,,2005 - 2006,2.09
,,2006 - 2007,2.04
,,2007 - 2008,1.91
,,2008 - 2009,1.99
,,2009 - 2010,1.95
,,2010 - 2011,2.09
,,2011 - 2012,2.12
,,2012 - 2013,2.12
,,2013 - 2014,2.12
,,2014 - 2015,2.13
,,2015 - 2016,2.13
,,2016 - 2017,2.13
,,2017 - 2018,2.13
,,2018 - 2019,2.29
,,2019 - 2020,2.38
,,2020 - 2021,2.38
,,2021 - 2022,2.38
,,2022 - 2023,2.5
,Charaideo,2020 - 2021,1.03
,,2021 - 2022,1.03
,,2022 - 2023,1.04
,Chirang,2005 - 2006,0.58
,,2006 - 2007,0.59
,,2007 - 2008,0.59
,,2008 - 2009,0.59
,,2009 - 2010,0.59
,,2010 - 2011,0.59
,,2011 - 2012,0.66
,,2012 - 2013,0.67
,,2013 - 2014,0.68
,,2014 - 2015,0.68
,,2015 - 2016,0.69
,,2016 - 2017,0.7
,,2017 - 2018,0.73
,,2018 - 2019,0.89
,,2019 - 2020,0.98
,,2020 - 2021,0.98
,,2021 - 2022,1.19
,,2022 - 2023,1.27
,Darrang,2000 - 2001,0.61
,,2001 - 2002,0.61
,,2002 - 2003,0.61
,,2003 - 2004,0.61
,,2004 - 2005,0.61
,,2005 - 2006,0.6
,,2006 - 2007,0.6
,,2007 - 2008,0.6
,,2008 - 2009,0.61
,,2009 - 2010,0.6
,,2010 - 2011,0.6
,,2011 - 2012,0.64
,,2012 - 2013,0.66
,,2013 - 2014,0.65
,,2014 - 2015,0.67
,,2015 - 2016,0.67
,,2016 - 2017,0.68
,,2017 - 2018,0.77
,,2018 - 2019,0.89
,,2019 - 2020,0.95
,,2020 - 2021,0.95
,,2021 - 2022,0.95
,,2022 - 2023,1.05
,Dhemaji,2000 - 2001,0.65
,,2001 - 2002,0.65
,,2002 - 2003,0.65
,,2003 - 2004,0.65
,,2004 - 2005,0.66
,,2005 - 2006,0.66
,,2006 - 2007,0.66
,,2007 - 2008,0.64
,,2008 - 2009,0.66
,,2009 - 2010,0.66
,,2010 - 2011,0.66
,,2011 - 2012,0.68
,,2012 - 2013,0.78
,,2013 - 2014,0.78
,,2014 - 2015,0.79
,,2015 - 2016,0.8
,,2016 - 2017,0.81
,,2017 - 2018,0.83
,,2018 - 2019,1.0
,,2019 - 2020,1.1
,,2020 - 2021,1.1
,,2021 - 2022,1.1
