state,district,year,cotton_kharif_yield_tonne_per_hectare
,,2012 - 2013,0.84
,,2013 - 2014,5.52
,,2014 - 2015,1.82
,,2015 - 2016,2.8
,,2016 - 2017,1.68
,,2017 - 2018,2.23
,,2018 - 2019,1.37
,,2019 - 2020,3.64
,,2020 - 2021,2.45
,,2021 - 2022,0.03
,,2022 - 2023,3.46
,Anand,2003 - 2004,3.25
,,2004 - 2005,4.05
,,2005 - 2006,3.76
,,2006 - 2007,3.03
,,2007 - 2008,3.86
,,2008 - 2009,3.58
,,2009 - 2010,3.64
,,2010 - 2011,4.36
,,2011 - 2012,4.28
,,2012 - 2013,2.74
,,2013 - 2014,4.86
,,2014 - 2015,5.18
,,2015 - 2016,4.17
,,2016 - 2017,3.86
,,2017 - 2018,3.71
,,2018 - 2019,3.83
,,2019 - 2020,2.61
,,2020 - 2021,3.11
,,2021 - 2022,0.03
,,2022 - 2023,3.25
,Aravalli,2014 - 2015,3.21
,,2015 - 2016,3.29
,,2016 - 2017,3.06
,,2017 - 2018,3.33
,,2018 - 2019,4.05
,,2019 - 2020,2.94
,,2020 - 2021,3.34
,,2021 - 2022,0.03
,,2022 - 2023,3.17
,Banas kantha,2000 - 2001,0.68
,,2001 - 2002,0.93
,,2002 - 2003,0.91
,,2003 - 2004,4.0
,,2004 - 2005,4.25
,,2005 - 2006,4.0
,,2006 - 2007,5.17
,,2007 - 2008,3.52
,,2008 - 2009,4.06
,,2009 - 2010,3.3
,,2010 - 2011,3.51
,,2011 - 2012,3.78
,,2012 - 2013,3.52
,,2013 - 2014,1.38
,,2014 - 2015,3.17
,,2015 - 2016,2.35
,,2016 - 2017,3.87
,,2017 - 2018,4.15
,,2018 - 2019,3.31
,,2019 - 2020,2.91
,,2020 - 2021,3.29
,,2021 - 2022,0.04
,,2022 - 2023,3.56
,Bharuch,2000 - 2001,0.94
,,2001 - 2002,1.07
,,2002 - 2003,1.32
,,2003 - 2004,1.44
,,2004 - 2005,2.58
,,2005 - 2006,2.09
,,2006 - 2007,1.68
,,2007 - 2008,1.68
,,2008 - 2009,1.53
,,2009 - 2010,2.03
,,2010 - 2011,1.88
,,2011 - 2012,2.08
,,2012 - 2013,2.29
,,2013 - 2014,2.2
,,2014 - 2015,2.3
,,2015 - 2016,2.33
,,2016 - 2017,2.21
,,2017 - 2018,2.48
,,2018 - 2019,3.03
,,2019 - 2020,2.67
,,2020 - 2021,2.78
,,2021 - 2022,0.03
,,2022 - 2023,3.14
,Bhavnagar,2000 - 2001,0.46
,,2001 - 2002,0.65
,,2002 - 2003,1.53
,,2003 - 2004,2.17
,,2004 - 2005,2.6
,,2005 - 2006,4.73
,,2006 - 2007,4.64
,,2007 - 2008,4.83
,,2008 - 2009,3.48
,,2009 - 2010,2.73
,,2010 - 2011,4.73
,,2011 - 2012,3.58
,,2012 - 2013,1.61
,,2013 - 2014,3.44
,,2014 - 2015,2.66
,,2015 - 2016,2.59
,,2016 - 2017,2.56
,,2017 - 2018,3.95
,,2018 - 2019,2.12
,,2019 - 2020,3.73
,,2020 - 2021,3.27
,,2021 - 2022,0.03
,,2022 - 2023,3.11
,Botad,2014 - 2015,4.52
,,2015 - 2016,3.75
,,2016 - 2017,2.42
,,2017 - 2018,4.12
,,2018 - 2019,2.01
,,2019 - 2020,2.26
,,2020 - 2021,3.11
,,2021 - 2022,0.04
,,2022 - 2023,5.25
,Chhotaudepur,2014 - 2015,4.76
,,2015 - 2016,3.84
,,2016 - 2017,4.5
,,2017 - 2018,4.68
,,2018 - 2019,5.4
,,2019 - 2020,4.49
,,2020 - 2021,3.91
,,2021 - 2022,0.04
,,2022 - 2023,3.77
,Devbhumi dwarka,2014 - 2015,4.33
,,2015 - 2016,0.96
,,2016 - 2017,2.64
,,2017 - 2018,4.84
,,2018 - 2019,1.48
,,2019 - 2020,4.19
,,2020 - 2021,3.64
,,2021 - 2022,0.03
,,2022 - 2023,3.82
,Dohad,2003 - 2004,2.43
,,2004 - 2005,4.06
,,2005 - 2006,3.0
,,2006 - 2007,1.92
,,2007 - 2008,3.67
,,2008 - 2009,1.0
,,2009 - 2010,2.0
,,2010 - 2011,1.0
,,2011 - 2012,1.5
,,2012 - 2013,0.56
,,2013 - 2014,2.28
,,2014 - 2015,1.74
,,2015 - 2016,2.02
,,2016 - 2017,1.69
,,2017 - 2018,2.14
,,2018 - 2019,1.31
,,2019 - 2020,2.38
,,2020 - 2021,3.58
,,2021 - 2022,0.02
,,2022 - 2023,2.33
,Gandhinagar,2000 - 2001,1.33
,,2001 - 2002,1.58
,,2002 - 2003,3.34
,,2003 - 2004,2.81
,,2004 - 2005,3.58
,,2005 - 2006,3.82
,,2006 - 2007,3.76
,,2007 - 2008,3.81
,,2008 - 2009,3.68
,,2009 - 2010,3.86
,,2010 - 2011,3.72
,,2011 - 2012,4.12
,,2012 - 2013,3.93
,,2013 - 2014,3.86
,,2014 - 2015,3.98
,,2015 - 2016,4.1
,,2016 - 2017,4.31
,,2017 - 2018,4.18
,,2018 - 2019,4.13
,,2019 - 2020,3.21
,,2020 - 2021,3.89
,,2021 - 2022,0.04
,,2022 - 2023,3.7
,Gir somnath,2014 - 2015,2.42
,,2015 - 2016,2.25
,,2016 - 2017,0.73
,,2017 - 2018,4.45
,,2018 - 2019,1.1
,,2019 - 2020,3.7
,,2020 - 2021,4.14
,,2021 - 2022,0.06
,,2022 - 2023,5.21
,Jamnagar,2000 - 2001,0.7
,,2001 - 2002,1.37
,,2002 - 2003,0.83
,,2003 - 2004,5.87
,,2004 - 2005,5.5
,,2005 - 2006,5.37
,,2006 - 2007,5.1
,,2007 - 2008,4.5
,,2008 - 2009,4.13
,,2009 - 2010,4.43
,,2010 - 2011,3.96
,,2011 - 2012,4.66
,,2012 - 2013,0.48
,,2013 - 2014,6.36
,,2014 - 2015,3.6
,,2015 - 2016,2.68
,,2016 - 2017,0.85
,,2017 - 2018,5.83
,,2018 - 2019,2.2
,,2019 - 2020,3.42
,,2020 - 2021,4.15
,,2021 - 2022,0.03
,,2022 - 2023,5.62
,Junagadh,2000 - 2001,1.55
,,2001 - 2002,1.63
,,2002 - 2003,1.91
,,2003 - 2004,5.17
,,2004 - 2005,5.63
,,2005 - 2006,6.89
,,2006 - 2007,4.95
,,2007 - 2008,4.09
,,2008 - 2009,4.54
,,2009 - 2010,5.11
,,2010 - 2011,3.77
,,2011 - 2012,4.21
,,2012 - 2013,2.09
,,2013 - 2014,6.83
,,2014 - 2015,6.13
,,2015 - 2016,2.13
,,2016 - 2017,3.07
,,2017 - 2018,2.32
,,2018 - 2019,2.06
,,2019 - 2020,2.27
,,2020 - 2021,2.36
,,2021 - 2022,0.03
,,2022 - 2023,3.98
,Kachchh,2000 - 2001,1.58
,,2001 - 2002,1.64
,,2002 - 2003,1.51
,,2003 - 2004,2.47
,,2004 - 2005,2.22
,,2005 - 2006,3.45
,,2006 - 2007,3.16
,,2007 - 2008,4.24
,,2008 - 2009,3.88
,,2009 - 2010,4.96
,,2010 - 2011,4.38
,,2011 - 2012,4.49
,,2012 - 2013,4.65
,,2013 - 2014,5.19
,,2014 - 2015,5.35
,,2015 - 2016,5.4
,,2016 - 2017,4.95
,,2017 - 2018,4.28
,,2018 - 2019,3.02
,,2019 - 2020,3.04
,,2020 - 2021,2.76
,,2021 - 2022,0.04
,,2022 - 2023,4.74
,Kheda,2000 - 2001,1.29
,,2001 - 2002,1.2
,,2002 - 2003,2.62
,,2003 - 2004,2.22
,,2004 - 2005,3.17
,,2005 - 2006,3.06
,,2006 - 2007,2.8
,,2007 - 2008,3.54
,,2008 - 2009,3.21
,,2009 - 2010,3.56
,,2010 - 2011,3.97
,,2011 - 2012,2.41
,,2012 - 2013,2.76
,,2013 - 2014,2.89
,,2014 - 2015,3.54
,,2015 - 2016,3.56
,,2016 - 2017,3.31
,,2017 - 2018,2.88
,,2018 - 2019,4.17
,,2019 - 2020,3.15
,,2020 - 2021,3.21
,,2021 - 2022,0.03
,,2022 - 2023,3.46
,Mahesana,2000 - 2001,0.96
,,2001 - 2002,1.3
,,2002 - 2003,1.2
,,2003 - 2004,2.18
,,2004 - 2005,2.4
,,2005 - 2006,2.75
,,2006 - 2007,2.59
,,2007 - 2008,2.77
,,2008 - 2009,3.49
,,2009 - 2010,3.76
,,2010 - 2011,3.92
,,2011 - 2012,4.46
,,2012 - 2013,4.13
,,2013 - 2014,3.61
,,2014 - 2015,3.81
,,2015 - 2016,3.5
,,2016 - 2017,4.26
,,2017 - 2018,4.34
,,2018 - 2019,4.18
,,2019 - 2020,3.21
,,2020 - 2021,3.86
,,2021 - 2022,0.04
,,2022 - 2023,4.09
,Mahisagar,2014 - 2015,3.32
,,2015 - 2016,3.42
,,2016 - 2017,2.67
,,2017 - 2018,4.0
,,2018 - 2019,2.09
,,2019 - 2020,3.53
,,2020 - 2021,3.3
,,2021 - 2022,0.04
,,2022 - 2023,3.86
,Morbi,2014 - 2015,3.48
,,2015 - 2016,3.44
,,2016 - 2017,4.55
,,2017 - 2018,4.47
,,2018 - 2019,3.52
,,2019 - 2020,3.41
,,2020 - 2021,2.51
,,2021 - 2022,0.03
,,2022 - 2023,3.88
,Narmada,2003 - 2004,1.76
,,2004 - 2005,3.47
,,2005 - 2006,2.9
,,2006 - 2007,2.23
,,2007 - 2008,1.93
,,2008 - 2009,2.21
,,2009 - 2010,2.37
,,2010 - 2011,2.88
,,2011 - 2012,2.92
,,2012 - 2013,2.84
,,2013 - 2014,2.5
,,2014 - 2015,2.42
,,2015 - 2016,2.68
,,2016 - 2017,2.55
,,2017 - 2018,2.78
,,2018 - 2019,3.18
,,2019 - 2020,3.32
,,2020 - 2021,3.34
,,2021 - 2022,0.03
,,2022 - 2023,3.39
,Panch mahals,2000 - 2001,0.68
,,2001 - 2002,0.97
,,2002 - 2003,1.16
,,2003 - 2004,2.56
,,2004 - 2005,3.24
,,2005 - 2006,2.45
,,2006 - 2007,1.55
,,2007 - 2008,2.76
,,2008 - 2009,2.11
,,2009 - 2010,2.6
,,2010 - 2011,1.87
,,2011 - 2012,1.75
,,2012 - 2013,2.46
,,2013 - 2014,4.41
,,2014 - 2015,4.32
,,2015 - 2016,2.88
,,2016 - 2017,1.68
,,2017 - 2018,3.54
,,2018 - 2019,3.95
,,2019 - 2020,3.24
,,2020 - 2021,3.58
,,2021 - 2022,0.04
,,2022 - 2023,3.9
,Patan,2003 - 2004,1.01
,,2004 - 2005,1.09
,,2005 - 2006,1.61
,,2006 - 2007,1.29
,,2007 - 2008,1.55
,,2008 - 2009,2.12
,,2009 - 2010,1.82
,,2010 - 2011,2.2
,,2011 - 2012,2.73
,,2012 - 2013,2.91
,,2013 - 2014,2.87
,,2014 - 2015,3.18
,,2015 - 2016,3.47
,,2016 - 2017,3.22
,,2017 - 2018,3.36
,,2018 - 2019,1.98
,,2019 - 2020,1.96
,,2020 - 2021,2.17
,,2021 - 2022,0.03
,,2022 - 2023,3.64
,Porbandar,2003 - 2004,2.24
,,2004 - 2005,2.25
,,2005 - 2006,3.22
,,2006 - 2007,4.19
,,2007 - 2008,4.97
,,2008 - 2009,6.31
,,2009 - 2010,3.02
,,2010 - 2011,3.01
,,2011 - 2012,2.63
,,2012 - 2013,2.29
,,2013 - 2014,3.01
,,2014 - 2015,3.58
,,2015 - 2016,1.18
,,2016 - 2017,5.05
,,2017 - 2018,4.15
,,2018 - 2019,2.91
,,2019 - 2020,2.61
,,2020 - 2021,2.7
,,2021 - 2022,0.02
,,2022 - 2023,2.26
,Rajkot,2000 - 2001,0.39
,,2001 - 2002,1.05
,,2002 - 2003,0.41
,,2003 - 2004,6.02
,,2004 - 2005,5.27
,,2005 - 2006,6.04
,,2006 - 2007,4.96
,,2007 - 2008,5.28
,,2008 - 2009,4.58
,,2009 - 2010,4.41
,,2010 - 2011,4.65
,,2011 - 2012,4.71
,,2012 - 2013,1.6
,,2013 - 2014,5.43
,,2014 - 2015,3.91
,,2015 - 2016,0.77
,,2016 - 2017,0.39
,,2017 - 2018,5.59
,,2018 - 2019,2.23
,,2019 - 2020,4.3
,,2020 - 2021,3.91
,,2021 - 2022,0.03
,,2022 - 2023,4.67
,Sabar kantha,2000 - 2001,1.13
,,2001 - 2002,1.47
,,2002 - 2003,0.93
,,2003 - 2004,3.72
,,2004 - 2005,3.41
,,2005 - 2006,4.51
,,2006 - 2007,2.29
,,2007 - 2008,2.99
,,2008 - 2009,3.28
,,2009 - 2010,2.64
,,2010 - 2011,3.24
,,2011 - 2012,3.13
,,2012 - 2013,2.86
,,2013 - 2014,2.24
,,2014 - 2015,3.38
,,2015 - 2016,3.32
,,2016 - 2017,3.01
,,2017 - 2018,4.14
,,2018 - 2019,3.02
,,2019 - 2020,2.51
,,2020 - 2021,3.66
,,2021 - 2022,0.03
,,2022 - 2023,3.74
,Surat,2000 - 2001,1.0
,,2001 - 2002,1.03
,,2002 - 2003,0.86
,,2003 - 2004,2.36
,,2004 - 2005,2.57
,,2005 - 2006,3.29
,,2006 - 2007,2.35
,,2007 - 2008,3.21
,,2008 - 2009,2.53
,,2009 - 2010,3.5
,,2010 - 2011,3.08
,,2011 - 2012,3.76
,,2012 - 2013,2.08
,,2013 - 2014,4.01
,,2014 - 2015,3.28
,,2015 - 2016,3.3
,,2016 - 2017,3.68
,,2017 - 2018,7.28
,,2018 - 2019,6.43
,,2019 - 2020,3.91
,,2020 - 2021,2.93
,,2021 - 2022,0.04
,,2022 - 2023,2.89
,Surendranagar,2000 - 2001,0.48
,,2001 - 2002,0.94
,,2002 - 2003,0.6
,,2003 - 2004,1.59
,,2004 - 2005,2.4
,,2005 - 2006,2.33
,,2006 - 2007,2.48
,,2007 - 2008,2.61
,,2008 - 2009,1.85
,,2009 - 2010,2.25
,,2010 - 2011,3.25
,,2011 - 2012,3.59
,,2012 - 2013,1.2
,,2013 - 2014,3.3
,,2014 - 2015,3.21
,,2015 - 2016,3.46
,,2016 - 2017,2.17
,,2017 - 2018,3.36
,,2018 - 2019,2.23
,,2019 - 2020,2.52
,,2020 - 2021,2.89
,,2021 - 2022,0.04
,,2022 - 2023,3.43
,Tapi,2008 - 2009,2.14
,,2009 - 2010,1.33
,,2010 - 2011,1.77
,,2011 - 2012,3.19
,,2012 - 2013,1.26
,,2013 - 2014,3.17
,,2014 - 2015,3.1
,,2015 - 2016,2.44
,,2016 - 2017,3.41
,,2017 - 2018,4.11
,,2018 - 2019,3.92
,,2019 - 2020,4.13
,,2020 - 2021,3.25
,,2021 - 2022,0.04
,,2022 - 2023,3.7
,Vadodara,2000 - 2001,1.1
,,2001 - 2002,0.89
,,2002 - 2003,1.54
,,2003 - 2004,2.0
,,2004 - 2005,2.6
,,2005 - 2006,2.6
,,2006 - 2007,2.24
,,2007 - 2008,2.63
,,2008 - 2009,3.33
,,2009 - 2010,3.43
,,2010 - 2011,3.98
,,2011 - 2012,3.25
,,2012 - 2013,4.14
,,2013 - 2014,3.76
,,2014 - 2015,3.5
,,2015 - 2016,3.03
,,2016 - 2017,3.79
,,2017 - 2018,5.54
,,2018 - 2019,4.98
,,2019 - 2020,4.59
,,2020 - 2021,4.93
,,2021 - 2022,0.05
,,2022 - 2023,5.36
Haryana,Ambala,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,Bhiwani,2000 - 2001,2.3
,,2001 - 2002,1.24
,,2002 - 2003,1.3
,,2003 - 2004,1.95
,,2004 - 2005,2.41
,,2005 - 2006,1.74
,,2006 - 2007,2.12
,,2007 - 2008,2.65
,,2008 - 2009,2.48
,,2009 - 2010,2.68
,,2010 - 2011,3.04
,,2011 - 2012,3.63
,,2012 - 2013,3.69
,,2013 - 2014,3.08
,,2014 - 2015,2.6
,,2015 - 2016,1.97
,,2016 - 2017,3.05
,,2017 - 2018,2.36
,,2018 - 2019,1.89
,,2019 - 2020,2.63
,,2020 - 2021,0.0
,,2021 - 2022,1.38
,,2022 - 2023,1.97
,Charki dadri,2017 - 2018,1.64
,,2018 - 2019,1.89
,,2019 - 2020,2.31
,,2020 - 2021,0.0
,,2021 - 2022,1.9
,,2022 - 2023,2.09
,Faridabad,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2016 - 2017,4.0
,,2017 - 2018,2.5
,,2018 - 2019,2.4
,,2019 - 2020,3.0
,,2020 - 2021,0.0
,,2021 - 2022,3.59
,,2022 - 2023,2.0
,Fatehabad,2000 - 2001,2.68
,,2001 - 2002,1.18
,,2002 - 2003,2.12
,,2003 - 2004,3.08
,,2004 - 2005,4.2
,,2005 - 2006,3.22
,,2006 - 2007,4.1
,,2007 - 2008,4.41
,,2008 - 2009,4.48
,,2009 - 2010,4.36
,,2010 - 2011,3.67
,,2011 - 2012,4.84
,,2012 - 2013,4.19
,,2013 - 2014,4.52
,,2014 - 2015,3.84
,,2015 - 2016,1.22
,,2016 - 2017,4.04
,,2017 - 2018,2.66
,,2018 - 2019,3.48
,,2019 - 2020,3.84
,,2020 - 2021,0.0
,,2021 - 2022,3.55
,,2022 - 2023,2.16
,Gurgaon,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2012 - 2013,0.0
,,2015 - 2016,2.0
,,2016 - 2017,1.71
,,2017 - 2018,2.39
,,2018 - 2019,3.0
,,2019 - 2020,3.17
,,2020 - 2021,0.0
,,2021 - 2022,3.18
,,2022 - 2023,2.56
,Hisar,2000 - 2001,2.46
,,2001 - 2002,1.05
,,2002 - 2003,2.31
,,2003 - 2004,2.5
,,2004 - 2005,3.0
,,2005 - 2006,2.14
,,2006 - 2007,3.05
,,2007 - 2008,3.94
,,2008 - 2009,4.17
,,2009 - 2010,3.59
,,2010 - 2011,3.47
,,2011 - 2012,4.34
,,2012 - 2013,3.63
,,2013 - 2014,2.95
,,2014 - 2015,2.19
,,2015 - 2016,1.62
,,2016 - 2017,3.66
,,2017 - 2018,2.88
,,2018 - 2019,2.95
,,2019 - 2020,3.21
,,2020 - 2021,0.0
,,2021 - 2022,2.23
,,2022 - 2023,1.29
,Jhajjar,2000 - 2001,1.27
,,2001 - 2002,1.59
,,2002 - 2003,1.09
,,2003 - 2004,2.36
,,2004 - 2005,1.31
,,2005 - 2006,1.94
,,2006 - 2007,2.88
,,2007 - 2008,2.17
,,2008 - 2009,5.37
,,2009 - 2010,3.3
,,2010 - 2011,1.95
,,2011 - 2012,3.15
,,2012 - 2013,2.44
,,2013 - 2014,2.5
,,2014 - 2015,3.0
,,2015 - 2016,2.57
,,2016 - 2017,3.07
,,2017 - 2018,2.95
,,2018 - 2019,3.04
,,2019 - 2020,2.93
,,2020 - 2021,0.0
,,2021 - 2022,3.2
,,2022 - 2023,2.63
,Jind,2000 - 2001,1.98
,,2001 - 2002,1.64
,,2002 - 2003,1.3
,,2003 - 2004,2.57
,,2004 - 2005,2.96
,,2005 - 2006,2.6
,,2006 - 2007,2.99
,,2007 - 2008,3.72
,,2008 - 2009,3.4
,,2009 - 2010,3.07
,,2010 - 2011,3.41
,,2011 - 2012,4.05
,,2012 - 2013,3.65
,,2013 - 2014,3.16
,,2014 - 2015,2.82
,,2015 - 2016,1.04
,,2016 - 2017,2.96
,,2017 - 2018,2.76
,,2018 - 2019,2.65
,,2019 - 2020,3.4
,,2020 - 2021,0.0
,,2021 - 2022,3.29
,,2022 - 2023,1.46
,Kaithal,2000 - 2001,2.55
,,2001 - 2002,0.9
,,2002 - 2003,1.52
,,2003 - 2004,2.99
,,2004 - 2005,3.83
,,2005 - 2006,2.24
,,2006 - 2007,2.56
,,2007 - 2008,2.89
,,2008 - 2009,4.75
,,2009 - 2010,3.45
,,2010 - 2011,3.27
,,2011 - 2012,4.38
,,2012 - 2013,4.63
,,2013 - 2014,4.27
,,2014 - 2015,3.3
,,2015 - 2016,1.27
,,2016 - 2017,2.26
,,2017 - 2018,3.08
,,2018 - 2019,2.85
,,2019 - 2020,2.81
,,2020 - 2021,0.0
,,2021 - 2022,3.36
,,2022 - 2023,2.52
,Karnal,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2016 - 2017,4.0
,,2021 - 2022,3.57
,,2022 - 2023,2.0
,Kurukshetra,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2005 - 2006,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,Mahendragarh,2000 - 2001,1.34
,,2001 - 2002,2.97
,,2002 - 2003,1.38
,,2003 - 2004,3.31
,,2004 - 2005,2.12
,,2005 - 2006,1.16
,,2006 - 2007,1.96
,,2007 - 2008,1.42
,,2008 - 2009,2.23
,,2009 - 2010,2.23
,,2010 - 2011,7.07
,,2011 - 2012,2.6
,,2012 - 2013,2.24
,,2013 - 2014,3.0
,,2014 - 2015,3.14
,,2015 - 2016,2.06
,,2016 - 2017,3.46
,,2017 - 2018,3.02
,,2018 - 2019,3.12
,,2019 - 2020,3.19
,,2020 - 2021,0.0
,,2021 - 2022,2.08
,,2022 - 2023,3.09
,Mewat,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2014 - 2015,3.0
,,2015 - 2016,1.67
,,2016 - 2017,2.48
,,2017 - 2018,3.12
,,2018 - 2019,3.32
,,2019 - 2020,3.49
,,2020 - 2021,0.0
,,2021 - 2022,3.29
,,2022 - 2023,3.14
,Palwal,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,4.57
,,2013 - 2014,4.0
,,2014 - 2015,3.0
,,2015 - 2016,1.67
,,2016 - 2017,3.1
,,2017 - 2018,2.32
,,2018 - 2019,3.12
,,2019 - 2020,3.42
,,2020 - 2021,0.0
,,2021 - 2022,3.43
,,2022 - 2023,1.85
,Panchkula,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,Panipat,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2016 - 2017,4.0
,,2020 - 2021,0.0
,,2021 - 2022,3.9
,,2022 - 2023,3.4
,Rewari,2000 - 2001,3.07
,,2001 - 2002,1.69
,,2002 - 2003,1.43
,,2003 - 2004,2.78
,,2004 - 2005,3.46
,,2005 - 2006,2.02
,,2006 - 2007,2.08
,,2007 - 2008,2.3
,,2008 - 2009,1.96
,,2009 - 2010,1.68
,,2010 - 2011,6.28
,,2011 - 2012,1.86
,,2012 - 2013,3.36
,,2013 - 2014,3.0
,,2014 - 2015,2.5
,,2015 - 2016,1.14
,,2016 - 2017,2.73
,,2017 - 2018,2.83
,,2018 - 2019,1.3
,,2019 - 2020,2.48
,,2020 - 2021,0.0
,,2021 - 2022,1.7
,,2022 - 2023,1.92
,Rohtak,2000 - 2001,1.17
,,2001 - 2002,0.73
,,2002 - 2003,1.24
,,2003 - 2004,1.74
,,2004 - 2005,1.76
,,2005 - 2006,1.79
,,2006 - 2007,2.53
,,2007 - 2008,2.71
,,2008 - 2009,2.45
,,2009 - 2010,2.17
,,2010 - 2011,1.81
,,2011 - 2012,3.75
,,2012 - 2013,3.25
,,2013 - 2014,2.07
,,2014 - 2015,2.0
,,2015 - 2016,1.88
,,2016 - 2017,2.43
,,2017 - 2018,2.71
,,2018 - 2019,2.94
,,2019 - 2020,2.82
,,2020 - 2021,0.0
,,2021 - 2022,3.08
,,2022 - 2023,2.05
,Sirsa,2000 - 2001,0.82
,,2001 - 2002,1.08
,,2002 - 2003,2.22
,,2003 - 2004,2.99
,,2004 - 2005,3.84
,,2005 - 2006,3.01
,,2006 - 2007,3.91
,,2007 - 2008,4.04
,,2008 - 2009,4.38
,,2009 - 2010,4.15
,,2010 - 2011,3.74
,,2011 - 2012,4.52
,,2012 - 2013,4.52
,,2013 - 2014,4.1
,,2014 - 2015,3.66
,,2015 - 2016,1.74
,,2016 - 2017,4.08
,,2017 - 2018,1.88
,,2018 - 2019,3.29
,,2019 - 2020,4.2
,,2020 - 2021,0.0
,,2021 - 2022,2.39
,,2022 - 2023,1.55
,Sonipat,2000 - 2001,2.42
,,2001 - 2002,1.22
,,2002 - 2003,2.78
,,2003 - 2004,1.02
,,2004 - 2005,3.59
,,2005 - 2006,1.84
,,2006 - 2007,1.39
,,2007 - 2008,3.64
,,2008 - 2009,0.0
,,2009 - 2010,3.45
,,2010 - 2011,0.0
,,2011 - 2012,4.98
,,2012 - 2013,4.53
,,2013 - 2014,3.33
,,2014 - 2015,2.75
,,2015 - 2016,2.5
,,2016 - 2017,3.59
,,2017 - 2018,4.0
,,2018 - 2019,3.28
,,2019 - 2020,2.81
,,2020 - 2021,0.0
,,2021 - 2022,3.61
,,2022 - 2023,2.51
,Yamunanagar,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
Himachal Pradesh,Bilaspur,2001 - 2002,1.0
,,2002 - 2003,0.0
,,2006 - 2007,0.5
,Hamirpur,2002 - 2003,0.67
,Kangra,2001 - 2002,0.59
,,2002 - 2003,0.6
,,2005 - 2006,0.5
,,2006 - 2007,0.2
,,2007 - 2008,0.4
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,1.0
,,2011 - 2012,2.0
,,2012 - 2013,0.0
,,2013 - 2014,0.5
,,2014 - 2015,0.39
,,2016 - 2017,0.33
,,2018 - 2019,0.36
,,2019 - 2020,0.47
,Mandi,2001 - 2002,1.0
,Sirmaur,2006 - 2007,1.0
,,2007 - 2008,0.67
,Solan,2001 - 2002,1.0
,,2002 - 2003,0.44
,,2005 - 2006,0.45
,,2006 - 2007,0.43
,,2007 - 2008,0.45
,,2008 - 2009,0.46
,,2009 - 2010,0.17
,,2010 - 2011,1.71
,,2011 - 2012,2.42
,,2012 - 2013,0.5
,,2013 - 2014,0.33
,,2016 - 2017,0.41
Jammu and Kashmir,Jammu,2001 - 2002,0.5
,,2002 - 2003,0.52
,,2003 - 2004,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2009 - 2010,0.51
