state,district,year,horse_gram_rabi_yield_tonne_per_hectare
,,2012 - 2013,0.26
,,2013 - 2014,0.24
,,2014 - 2015,0.3
,,2015 - 2016,0.26
,,2016 - 2017,0.29
,,2017 - 2018,0.29
,,2018 - 2019,0.29
,,2019 - 2020,0.33
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.33
,Sakti,2022 - 2023,0.5
,Sarangarh bilaigarh,2022 - 2023,
,Sukma,2011 - 2012,0.32
,,2012 - 2013,0.32
,,2013 - 2014,0.31
,,2014 - 2015,0.26
,,2015 - 2016,0.29
,,2016 - 2017,0.21
,,2017 - 2018,0.26
,,2018 - 2019,0.33
,,2019 - 2020,0.2
,,2020 - 2021,0.43
,,2021 - 2022,0.5
,,2022 - 2023,2.0
,Surajpur,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Surguja,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Haryana,Ambala,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2019 - 2020,
,Bhiwani,2003 - 2004,
,,2005 - 2006,
,,2007 - 2008,
,,2013 - 2014,
,,2014 - 2015,
,Faridabad,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2013 - 2014,
,Hisar,2006 - 2007,
,Karnal,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2008 - 2009,
,Mahendragarh,2002 - 2003,
,Mewat,2005 - 2006,
,,2006 - 2007,
,Palwal,2010 - 2011,
,Panchkula,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Rohtak,2001 - 2002,
,Yamunanagar,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
Himachal Pradesh,Bilaspur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Chamba,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hamirpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Kangra,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kullu,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lahul and spiti,2000 - 2001,
,,2002 - 2003,
,Mandi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shimla,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sirmaur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Solan,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Una,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
Jammu and Kashmir,Doda,2001 - 2002,
,,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,
,,2017 - 2018,0.4
,,2018 - 2019,
,,2019 - 2020,0.4
,,2020 - 2021,
,Jammu,2001 - 2002,
,,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,0.4
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.3
,Kathua,2001 - 2002,
,,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2015 - 2016,0.4
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Kishtwar,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Leh ladakh,2010 - 2011,0.48
,,2018 - 2019,1.3
,Rajauri,2001 - 2002,
,,2015 - 2016,
,Reasi,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Samba,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2015 - 2016,
,,2020 - 2021,
,Udhampur,2001 - 2002,
,,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
Jharkhand,Bokaro,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chatra,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Deoghar,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dhanbad,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dumka,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East singhbum,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Garhwa,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,Giridih,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Godda,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gumla,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hazaribagh,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jamtara,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Khunti,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Koderma,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Latehar,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lohardaga,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pakur,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Palamu,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Ramgarh,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ranchi,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Sahebganj,2017 - 2018,
,Saraikela kharsawan,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Simdega,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West singhbhum,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Karnataka,Bagalkot,2000 - 2001,0.32
,,2001 - 2002,0.59
,,2002 - 2003,0.4
,,2003 - 2004,0.08
,,2004 - 2005,0.31
,,2005 - 2006,0.51
,,2006 - 2007,0.12
,,2007 - 2008,0.58
,,2008 - 2009,0.57
,,2009 - 2010,0.38
,,2010 - 2011,0.61
,,2011 - 2012,0.28
,,2012 - 2013,0.19
,,2013 - 2014,0.2
,,2014 - 2015,0.36
,,2015 - 2016,0.3
,,2016 - 2017,0.07
,,2017 - 2018,0.35
,,2018 - 2019,0.21
,,2019 - 2020,0.39
,,2020 - 2021,0.49
,,2021 - 2022,0.46
,,2022 - 2023,0.46
,Bangalore rural,2000 - 2001,0.28
,,2001 - 2002,0.89
,,2002 - 2003,0.4
,,2003 - 2004,0.64
,,2004 - 2005,0.66
,,2005 - 2006,0.59
,,2006 - 2007,0.49
,,2007 - 2008,0.47
,,2008 - 2009,0.37
,,2009 - 2010,0.47
,,2010 - 2011,0.61
,,2011 - 2012,0.5
,,2012 - 2013,0.38
,,2013 - 2014,0.51
,,2014 - 2015,0.49
,,2015 - 2016,0.48
,,2016 - 2017,0.07
,,2017 - 2018,0.63
,,2018 - 2019,0.5
,,2019 - 2020,0.66
,,2020 - 2021,0.66
,,2021 - 2022,0.61
,,2022 - 2023,0.59
,Belgaum,2000 - 2001,0.32
,,2001 - 2002,0.2
,,2002 - 2003,0.4
,,2003 - 2004,0.06
,,2004 - 2005,0.36
,,2005 - 2006,0.49
,,2006 - 2007,0.27
,,2007 - 2008,0.26
,,2008 - 2009,0.58
,,2009 - 2010,0.21
,,2010 - 2011,0.36
,,2011 - 2012,0.44
,,2012 - 2013,0.16
,,2013 - 2014,0.3
,,2014 - 2015,0.27
,,2015 - 2016,0.13
,,2016 - 2017,0.34
,,2017 - 2018,0.5
,,2018 - 2019,0.42
,,2019 - 2020,0.76
,,2020 - 2021,0.6
,,2021 - 2022,0.48
,,2022 - 2023,0.35
,Bellary,2000 - 2001,0.41
,,2001 - 2002,0.23
,,2002 - 2003,0.82
,,2003 - 2004,0.06
,,2004 - 2005,0.34
,,2005 - 2006,0.51
,,2006 - 2007,0.38
,,2007 - 2008,0.45
,,2008 - 2009,0.32
,,2009 - 2010,0.25
,,2010 - 2011,0.72
,,2011 - 2012,0.5
,,2012 - 2013,0.22
,,2013 - 2014,0.42
,,2014 - 2015,0.48
,,2015 - 2016,0.63
,,2016 - 2017,0.12
,,2017 - 2018,0.77
,,2018 - 2019,0.53
,,2019 - 2020,0.65
,,2020 - 2021,0.66
,,2021 - 2022,0.61
,,2022 - 2023,0.51
,Bengaluru urban,2000 - 2001,0.59
,,2001 - 2002,0.89
,,2002 - 2003,0.84
,,2003 - 2004,0.49
,,2004 - 2005,0.6
,,2005 - 2006,0.59
,,2006 - 2007,0.31
,,2007 - 2008,0.7
,,2008 - 2009,0.38
,,2009 - 2010,0.48
,,2010 - 2011,0.48
,,2011 - 2012,0.55
,,2012 - 2013,0.62
,,2013 - 2014,0.55
,,2014 - 2015,0.68
,,2015 - 2016,0.39
,,2016 - 2017,0.39
,,2017 - 2018,0.63
,,2018 - 2019,0.5
,,2019 - 2020,0.67
,,2020 - 2021,0.6
,,2021 - 2022,0.62
,,2022 - 2023,0.62
,Bidar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.0
,,2020 - 2021,0.71
,,2021 - 2022,0.63
,,2022 - 2023,0.57
,Bijapur,2000 - 2001,0.41
,,2001 - 2002,0.36
,,2002 - 2003,0.82
,,2003 - 2004,0.06
,,2004 - 2005,0.39
,,2005 - 2006,0.6
,,2006 - 2007,0.59
,,2007 - 2008,0.23
,,2008 - 2009,0.21
,,2009 - 2010,0.23
,,2010 - 2011,0.36
,,2011 - 2012,0.16
,,2012 - 2013,0.14
,,2013 - 2014,0.11
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.7
,,2020 - 2021,0.67
,,2021 - 2022,0.6
,,2022 - 2023,0.62
,Chamarajanagar,2000 - 2001,0.32
,,2001 - 2002,0.19
,,2002 - 2003,0.2
,,2003 - 2004,0.15
,,2004 - 2005,0.37
,,2005 - 2006,0.37
,,2006 - 2007,0.33
,,2007 - 2008,0.57
,,2008 - 2009,0.38
,,2009 - 2010,0.59
,,2010 - 2011,0.62
,,2011 - 2012,0.67
,,2012 - 2013,0.47
,,2013 - 2014,0.58
,,2014 - 2015,0.44
,,2015 - 2016,0.53
,,2016 - 2017,0.02
,,2017 - 2018,0.69
,,2018 - 2019,0.55
,,2019 - 2020,0.77
,,2020 - 2021,0.78
,,2021 - 2022,0.73
,,2022 - 2023,0.79
,Chikballapur,2007 - 2008,0.26
,,2008 - 2009,0.39
,,2009 - 2010,0.44
,,2010 - 2011,0.54
,,2011 - 2012,0.29
,,2012 - 2013,0.26
,,2013 - 2014,0.43
,,2014 - 2015,0.34
,,2015 - 2016,0.25
,,2016 - 2017,0.03
,,2017 - 2018,1.0
,,2018 - 2019,0.32
,,2019 - 2020,0.76
,,2020 - 2021,0.98
,,2021 - 2022,0.58
,,2022 - 2023,0.78
,Chikmagalur,2000 - 2001,0.44
,,2001 - 2002,0.34
,,2002 - 2003,0.48
,,2003 - 2004,0.33
,,2004 - 2005,0.43
,,2005 - 2006,0.51
,,2006 - 2007,0.38
,,2007 - 2008,0.57
,,2008 - 2009,0.6
,,2009 - 2010,0.69
,,2010 - 2011,0.68
,,2011 - 2012,0.47
,,2012 - 2013,0.41
,,2013 - 2014,0.53
,,2014 - 2015,0.65
,,2015 - 2016,0.68
,,2016 - 2017,0.12
,,2017 - 2018,0.84
,,2018 - 2019,0.8
,,2019 - 2020,1.04
,,2020 - 2021,0.97
,,2021 - 2022,0.96
,,2022 - 2023,0.79
,Chitradurga,2000 - 2001,0.09
,,2001 - 2002,0.23
,,2002 - 2003,0.31
,,2003 - 2004,0.21
,,2004 - 2005,0.46
,,2005 - 2006,0.35
,,2006 - 2007,0.4
,,2007 - 2008,0.41
,,2008 - 2009,0.32
,,2009 - 2010,0.34
,,2010 - 2011,0.45
,,2011 - 2012,0.29
,,2012 - 2013,0.28
,,2013 - 2014,0.32
,,2014 - 2015,0.42
,,2015 - 2016,0.36
,,2016 - 2017,0.09
,,2017 - 2018,0.69
,,2018 - 2019,0.64
,,2019 - 2020,0.86
,,2020 - 2021,0.75
,,2021 - 2022,0.69
,,2022 - 2023,0.61
,Dakshin kannad,2001 - 2002,0.35
,,2003 - 2004,0.24
,,2004 - 2005,0.33
,,2005 - 2006,0.4
,,2006 - 2007,0.3
,,2007 - 2008,0.46
,,2008 - 2009,0.36
,,2009 - 2010,0.47
,,2010 - 2011,0.6
,,2011 - 2012,0.51
,,2012 - 2013,0.38
,,2013 - 2014,0.51
,,2014 - 2015,0.49
,,2015 - 2016,0.48
,,2016 - 2017,0.07
,,2017 - 2018,0.63
,,2018 - 2019,0.52
,Davangere,2000 - 2001,0.4
,,2001 - 2002,0.34
,,2002 - 2003,0.64
,,2003 - 2004,0.64
,,2004 - 2005,0.33
,,2005 - 2006,0.7
,,2006 - 2007,0.52
,,2007 - 2008,0.73
,,2008 - 2009,0.71
,,2009 - 2010,0.63
,,2010 - 2011,0.65
,,2011 - 2012,0.54
,,2012 - 2013,0.43
,,2013 - 2014,0.62
,,2014 - 2015,0.74
,,2015 - 2016,0.66
,,2016 - 2017,0.1
,,2017 - 2018,0.68
,,2018 - 2019,0.65
,,2019 - 2020,0.28
,,2020 - 2021,0.38
,,2021 - 2022,0.68
,,2022 - 2023,0.45
,Dharwad,2000 - 2001,0.4
,,2001 - 2002,0.15
,,2002 - 2003,0.14
,,2003 - 2004,0.23
,,2004 - 2005,0.17
,,2005 - 2006,0.47
,,2006 - 2007,0.64
,,2007 - 2008,0.58
,,2008 - 2009,0.43
,,2009 - 2010,0.53
,,2010 - 2011,0.44
,,2011 - 2012,0.29
,,2012 - 2013,0.27
,,2013 - 2014,0.33
,,2014 - 2015,0.39
,,2015 - 2016,0.25
,,2016 - 2017,0.07
,,2017 - 2018,0.37
,,2018 - 2019,0.51
,,2019 - 2020,0.46
,,2020 - 2021,0.43
,,2021 - 2022,0.65
,,2022 - 2023,0.61
,Gadag,2000 - 2001,0.32
,,2001 - 2002,0.2
,,2002 - 2003,0.64
,,2003 - 2004,0.24
,,2004 - 2005,0.36
,,2005 - 2006,0.41
,,2006 - 2007,0.26
,,2007 - 2008,0.53
,,2008 - 2009,0.34
,,2009 - 2010,0.57
,,2010 - 2011,0.39
,,2011 - 2012,0.22
,,2012 - 2013,0.42
,,2013 - 2014,0.39
,,2014 - 2015,0.51
,,2015 - 2016,0.21
,,2016 - 2017,0.03
,,2017 - 2018,0.45
,,2018 - 2019,0.37
,,2019 - 2020,0.5
,,2020 - 2021,0.43
,,2021 - 2022,0.45
,,2022 - 2023,0.44
,Gulbarga,2000 - 2001,0.32
,,2001 - 2002,0.34
,,2002 - 2003,0.21
,,2003 - 2004,0.23
,,2004 - 2005,0.27
,,2005 - 2006,0.29
,,2006 - 2007,0.24
,,2007 - 2008,0.49
,,2008 - 2009,0.36
,,2009 - 2010,0.44
,,2010 - 2011,0.61
,,2011 - 2012,0.51
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.67
,,2020 - 2021,0.71
,,2021 - 2022,0.5
,,2022 - 2023,0.59
,Hassan,2000 - 2001,0.42
,,2001 - 2002,0.37
,,2002 - 2003,0.19
,,2003 - 2004,0.23
,,2004 - 2005,0.34
,,2005 - 2006,0.37
,,2006 - 2007,0.39
,,2007 - 2008,0.41
,,2008 - 2009,0.39
,,2009 - 2010,0.48
,,2010 - 2011,0.66
,,2011 - 2012,0.44
,,2012 - 2013,0.28
,,2013 - 2014,0.43
,,2014 - 2015,0.51
,,2015 - 2016,0.49
,,2016 - 2017,0.02
,,2017 - 2018,0.48
,,2018 - 2019,0.33
,,2019 - 2020,0.62
,,2020 - 2021,0.57
,,2021 - 2022,0.58
,,2022 - 2023,0.66
,Haveri,2000 - 2001,0.59
,,2001 - 2002,0.22
,,2002 - 2003,0.3
,,2003 - 2004,0.18
,,2004 - 2005,0.24
,,2005 - 2006,0.41
,,2006 - 2007,0.55
,,2007 - 2008,0.61
,,2008 - 2009,0.42
,,2009 - 2010,0.57
,,2010 - 2011,0.47
,,2011 - 2012,0.39
,,2012 - 2013,0.27
,,2013 - 2014,0.46
,,2014 - 2015,0.65
,,2015 - 2016,0.31
,,2016 - 2017,0.12
,,2017 - 2018,0.33
,,2018 - 2019,0.56
,,2019 - 2020,0.52
,,2020 - 2021,0.71
,,2021 - 2022,0.63
,,2022 - 2023,0.58
,Kodagu,2003 - 2004,0.23
,,2004 - 2005,
,,2005 - 2006,0.4
,,2006 - 2007,0.3
,,2007 - 2008,0.5
,,2008 - 2009,0.37
,,2009 - 2010,0.47
,,2010 - 2011,0.61
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Kolar,2000 - 2001,0.39
,,2001 - 2002,0.38
,,2002 - 2003,0.22
,,2003 - 2004,0.29
,,2004 - 2005,0.27
,,2005 - 2006,0.47
,,2006 - 2007,0.26
,,2007 - 2008,0.38
,,2008 - 2009,0.24
,,2009 - 2010,0.3
,,2010 - 2011,0.59
,,2011 - 2012,0.69
,,2012 - 2013,0.48
,,2013 - 2014,0.83
,,2014 - 2015,0.64
,,2015 - 2016,0.76
,,2016 - 2017,0.12
,,2017 - 2018,0.69
,,2018 - 2019,0.36
,,2019 - 2020,0.69
,,2020 - 2021,0.76
,,2021 - 2022,0.65
,,2022 - 2023,0.81
,Koppal,2000 - 2001,0.48
,,2001 - 2002,0.16
,,2002 - 2003,0.21
,,2003 - 2004,0.09
,,2004 - 2005,0.19
,,2005 - 2006,0.29
,,2006 - 2007,0.19
,,2007 - 2008,0.27
,,2008 - 2009,0.22
,,2009 - 2010,0.18
,,2010 - 2011,0.52
,,2011 - 2012,0.07
,,2012 - 2013,0.21
,,2013 - 2014,0.29
,,2014 - 2015,0.5
,,2015 - 2016,0.21
,,2016 - 2017,0.1
,,2017 - 2018,0.45
,,2018 - 2019,0.4
,,2019 - 2020,0.38
,,2020 - 2021,0.49
,,2021 - 2022,0.42
,,2022 - 2023,0.42
,Mandya,2000 - 2001,0.71
,,2001 - 2002,0.49
,,2002 - 2003,0.26
,,2003 - 2004,0.23
,,2004 - 2005,0.46
,,2005 - 2006,0.42
,,2006 - 2007,0.14
,,2007 - 2008,0.51
,,2008 - 2009,0.34
,,2009 - 2010,0.43
,,2010 - 2011,0.58
,,2011 - 2012,0.49
,,2012 - 2013,0.28
,,2013 - 2014,0.42
,,2014 - 2015,0.48
,,2015 - 2016,0.48
,,2016 - 2017,0.07
,,2017 - 2018,0.65
,,2018 - 2019,0.42
,,2019 - 2020,0.71
,,2020 - 2021,0.77
,,2021 - 2022,0.81
,,2022 - 2023,0.7
,Mysore,2000 - 2001,0.7
,,2001 - 2002,0.44
,,2002 - 2003,0.23
,,2003 - 2004,0.17
,,2004 - 2005,0.25
,,2005 - 2006,0.34
,,2006 - 2007,0.36
,,2007 - 2008,0.39
,,2008 - 2009,0.32
,,2009 - 2010,0.55
,,2010 - 2011,0.63
,,2011 - 2012,0.54
,,2012 - 2013,0.37
,,2013 - 2014,0.46
,,2014 - 2015,0.44
,,2015 - 2016,0.44
,,2016 - 2017,0.01
,,2017 - 2018,0.61
,,2018 - 2019,0.55
,,2019 - 2020,0.58
,,2020 - 2021,0.57
,,2021 - 2022,0.53
,,2022 - 2023,0.5
,Raichur,2000 - 2001,0.48
,,2001 - 2002,0.16
,,2002 - 2003,0.26
,,2003 - 2004,0.1
,,2004 - 2005,0.19
,,2005 - 2006,0.28
,,2006 - 2007,0.37
,,2007 - 2008,0.37
,,2008 - 2009,0.26
,,2009 - 2010,0.25
,,2010 - 2011,0.36
,,2011 - 2012,0.22
,,2012 - 2013,0.22
,,2013 - 2014,0.47
,,2014 - 2015,0.43
,,2015 - 2016,0.16
,,2016 - 2017,0.32
,,2017 - 2018,0.49
,,2018 - 2019,0.42
,,2019 - 2020,0.55
,,2020 - 2021,0.31
,,2021 - 2022,0.61
,,2022 - 2023,0.59
,Ramanagara,2007 - 2008,0.57
,,2008 - 2009,0.46
,,2009 - 2010,0.51
,,2010 - 2011,0.93
,,2011 - 2012,0.72
,,2012 - 2013,0.57
,,2013 - 2014,0.65
,,2014 - 2015,0.7
,,2015 - 2016,0.82
,,2016 - 2017,0.09
,,2017 - 2018,0.42
,,2018 - 2019,0.53
,,2019 - 2020,0.67
,,2020 - 2021,0.85
,,2021 - 2022,0.77
,,2022 - 2023,0.96
,Shimoga,2000 - 2001,0.48
,,2001 - 2002,0.36
,,2002 - 2003,0.29
,,2003 - 2004,0.24
,,2004 - 2005,0.34
,,2005 - 2006,0.4
,,2006 - 2007,0.29
,,2007 - 2008,0.47
