state,district,year,gram_rabi_yield_tonne_per_hectare
,Srikakulam,2006 - 2007,1.93
,,2008 - 2009,1.75
,,2009 - 2010,1.63
,,2010 - 2011,1.67
,,2014 - 2015,2.0
,Visakhapatanam,2000 - 2001,2.37
,,2001 - 2002,1.88
,,2002 - 2003,1.31
,,2003 - 2004,1.79
,,2004 - 2005,1.53
,,2005 - 2006,1.9
,,2006 - 2007,1.91
,,2008 - 2009,1.74
,,2009 - 2010,1.65
,,2010 - 2011,1.66
,,2011 - 2012,1.51
,,2013 - 2014,1.93
,,2014 - 2015,1.93
,,2015 - 2016,1.85
,,2016 - 2017,1.5
,,2017 - 2018,1.43
,,2018 - 2019,1.08
,,2019 - 2020,1.45
,Vizianagaram,2000 - 2001,2.38
,,2001 - 2002,1.87
,,2002 - 2003,1.31
,,2003 - 2004,1.79
,,2004 - 2005,1.53
,,2005 - 2006,1.91
,,2006 - 2007,1.91
,,2008 - 2009,1.74
,,2009 - 2010,1.64
,,2010 - 2011,1.66
,,2011 - 2012,1.52
,,2013 - 2014,1.93
,,2014 - 2015,1.93
,,2015 - 2016,1.85
,,2016 - 2017,1.51
,,2017 - 2018,1.43
,,2018 - 2019,1.07
,,2019 - 2020,1.45
,,2020 - 2021,1.55
,,2021 - 2022,1.58
,,2022 - 2023,1.75
,West godavari,2000 - 2001,2.4
,,2001 - 2002,1.83
,,2002 - 2003,1.3
,,2009 - 2010,1.64
,,2014 - 2015,1.93
,,2015 - 2016,1.84
,,2016 - 2017,1.6
,,2017 - 2018,1.42
,,2018 - 2019,1.08
,,2019 - 2020,1.5
,,2020 - 2021,1.5
,,2021 - 2022,
Assam,Baksa,2005 - 2006,0.45
,,2006 - 2007,0.45
,,2007 - 2008,0.45
,,2008 - 2009,0.46
,,2009 - 2010,0.45
,,2010 - 2011,0.44
,,2011 - 2012,0.45
,,2012 - 2013,0.49
,,2013 - 2014,0.5
,,2014 - 2015,0.63
,,2015 - 2016,0.8
,,2016 - 2017,0.62
,,2017 - 2018,0.82
,,2018 - 2019,0.79
,,2019 - 2020,0.89
,,2020 - 2021,0.89
,,2021 - 2022,0.89
,,2022 - 2023,0.89
,Barpeta,2000 - 2001,0.4
,,2001 - 2002,0.4
,,2002 - 2003,0.4
,,2003 - 2004,0.44
,,2004 - 2005,0.42
,,2005 - 2006,0.42
,,2006 - 2007,0.42
,,2007 - 2008,0.42
,,2008 - 2009,0.42
,,2009 - 2010,0.42
,,2010 - 2011,0.42
,,2011 - 2012,0.44
,,2012 - 2013,0.47
,,2013 - 2014,0.47
,,2014 - 2015,0.61
,,2015 - 2016,0.63
,,2016 - 2017,0.54
,,2017 - 2018,0.7
,,2018 - 2019,0.68
,,2019 - 2020,0.68
,,2020 - 2021,0.68
,,2021 - 2022,0.72
,,2022 - 2023,0.72
,Biswanath,2020 - 2021,0.5
,,2021 - 2022,0.63
,,2022 - 2023,0.67
,Bongaigaon,2000 - 2001,0.53
,,2001 - 2002,0.58
,,2002 - 2003,0.51
,,2003 - 2004,0.55
,,2004 - 2005,0.54
,,2005 - 2006,0.48
,,2006 - 2007,0.45
,,2007 - 2008,0.48
,,2008 - 2009,0.5
,,2009 - 2010,0.52
,,2010 - 2011,0.5
,,2011 - 2012,0.65
,,2012 - 2013,0.65
,,2013 - 2014,0.76
,,2014 - 2015,0.96
,,2015 - 2016,0.6
,,2016 - 2017,0.62
,,2017 - 2018,0.6
,,2018 - 2019,0.54
,,2019 - 2020,0.55
,,2020 - 2021,0.76
,,2021 - 2022,0.76
,,2022 - 2023,0.6
,Cachar,2000 - 2001,0.52
,,2001 - 2002,0.51
,,2002 - 2003,0.52
,,2003 - 2004,0.52
,,2004 - 2005,0.52
,,2005 - 2006,0.52
,,2006 - 2007,0.52
,,2007 - 2008,0.52
,,2008 - 2009,0.52
,,2009 - 2010,0.54
,,2010 - 2011,0.52
,,2011 - 2012,0.54
,,2012 - 2013,0.57
,,2013 - 2014,0.59
,,2014 - 2015,0.75
,,2015 - 2016,0.55
,,2016 - 2017,0.56
,,2017 - 2018,0.56
,,2018 - 2019,0.67
,,2019 - 2020,0.67
,,2020 - 2021,0.65
,,2021 - 2022,0.64
,,2022 - 2023,0.76
,Chirang,2005 - 2006,0.48
,,2006 - 2007,0.47
,,2007 - 2008,0.47
,,2008 - 2009,0.47
,,2009 - 2010,0.5
,,2010 - 2011,0.47
,,2011 - 2012,0.52
,,2012 - 2013,0.52
,,2013 - 2014,0.53
,,2014 - 2015,0.67
,,2015 - 2016,0.49
,,2016 - 2017,0.47
,,2017 - 2018,0.74
,,2018 - 2019,0.9
,,2019 - 2020,0.48
,,2020 - 2021,0.49
,,2021 - 2022,0.47
,,2022 - 2023,0.68
,Darrang,2000 - 2001,0.65
,,2001 - 2002,0.65
,,2002 - 2003,0.65
,,2003 - 2004,0.65
,,2004 - 2005,0.65
,,2005 - 2006,0.65
,,2006 - 2007,0.64
,,2007 - 2008,0.67
,,2008 - 2009,0.64
,,2009 - 2010,0.64
,,2010 - 2011,0.66
,,2011 - 2012,0.65
,,2012 - 2013,0.73
,,2013 - 2014,0.73
,,2014 - 2015,0.88
,,2015 - 2016,0.68
,,2016 - 2017,0.68
,,2017 - 2018,0.79
,,2018 - 2019,0.81
,,2019 - 2020,0.79
,,2020 - 2021,0.68
,,2021 - 2022,0.75
,,2022 - 2023,0.68
,Dhemaji,2000 - 2001,0.43
,,2001 - 2002,0.38
,,2002 - 2003,0.43
,,2003 - 2004,0.43
,,2004 - 2005,0.38
,,2005 - 2006,0.44
,,2006 - 2007,0.5
,,2007 - 2008,0.57
,,2008 - 2009,0.57
,,2009 - 2010,0.57
,,2010 - 2011,0.33
,,2011 - 2012,0.67
,,2012 - 2013,0.67
,,2013 - 2014,0.67
,,2014 - 2015,0.8
,,2015 - 2016,0.8
,,2016 - 2017,0.8
,,2017 - 2018,0.75
,,2018 - 2019,0.6
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,Dhubri,2000 - 2001,0.65
,,2001 - 2002,0.66
,,2002 - 2003,0.65
,,2003 - 2004,0.65
,,2004 - 2005,0.66
,,2005 - 2006,0.65
,,2006 - 2007,0.66
,,2007 - 2008,0.65
,,2008 - 2009,0.65
,,2009 - 2010,0.65
,,2010 - 2011,0.65
,,2011 - 2012,0.66
,,2012 - 2013,0.71
,,2013 - 2014,0.73
,,2014 - 2015,2.98
,,2015 - 2016,1.22
,,2016 - 2017,0.73
,,2017 - 2018,0.76
,,2018 - 2019,0.82
,,2019 - 2020,0.81
,,2020 - 2021,0.76
,,2021 - 2022,0.76
,,2022 - 2023,0.77
,Dibrugarh,2000 - 2001,0.47
,,2001 - 2002,0.47
,,2002 - 2003,0.47
,,2003 - 2004,0.47
,,2004 - 2005,0.46
,,2005 - 2006,0.43
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2012 - 2013,1.0
,,2015 - 2016,0.5
,,2016 - 2017,0.33
,,2017 - 2018,0.33
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Dima hasao,2000 - 2001,0.25
,,2001 - 2002,0.25
,,2002 - 2003,0.25
,,2003 - 2004,0.25
,,2004 - 2005,0.25
,,2005 - 2006,0.4
,,2006 - 2007,0.4
,,2007 - 2008,0.33
,,2008 - 2009,0.33
,,2009 - 2010,0.33
,,2010 - 2011,0.29
,,2011 - 2012,0.29
,,2012 - 2013,0.38
,Goalpara,2000 - 2001,0.43
,,2001 - 2002,0.43
,,2002 - 2003,0.45
,,2003 - 2004,0.43
,,2004 - 2005,0.44
,,2005 - 2006,0.44
,,2006 - 2007,0.44
,,2007 - 2008,0.44
,,2008 - 2009,0.39
,,2009 - 2010,0.42
,,2010 - 2011,0.43
,,2011 - 2012,0.43
,,2012 - 2013,0.45
,,2013 - 2014,1.73
,,2014 - 2015,0.59
,,2015 - 2016,0.66
,,2016 - 2017,0.65
,,2017 - 2018,0.7
,,2018 - 2019,0.7
,,2019 - 2020,0.69
,,2020 - 2021,0.7
,,2021 - 2022,0.71
,,2022 - 2023,0.71
,Golaghat,2000 - 2001,0.47
,,2001 - 2002,0.47
,,2002 - 2003,0.47
,,2003 - 2004,0.43
,,2004 - 2005,0.45
,,2005 - 2006,0.44
,,2006 - 2007,0.48
,,2007 - 2008,0.43
,,2008 - 2009,0.46
,,2009 - 2010,0.43
,,2010 - 2011,0.5
,,2011 - 2012,0.49
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.56
,,2015 - 2016,0.5
,,2017 - 2018,0.67
,,2018 - 2019,0.67
,,2019 - 2020,0.67
,,2020 - 2021,0.67
,,2021 - 2022,0.63
,,2022 - 2023,0.53
,Hailakandi,2000 - 2001,0.4
,,2001 - 2002,0.4
,,2002 - 2003,0.4
,,2003 - 2004,0.4
,,2004 - 2005,0.4
,,2005 - 2006,0.4
,,2006 - 2007,0.4
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.4
,,2010 - 2011,0.33
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,1.0
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.33
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Hojai,2020 - 2021,1.1
,,2021 - 2022,0.76
,,2022 - 2023,1.16
,Jorhat,2000 - 2001,0.4
,,2001 - 2002,0.4
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.4
,,2005 - 2006,0.0
,,2006 - 2007,0.67
,,2008 - 2009,1.0
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2012 - 2013,0.6
,,2013 - 2014,0.5
,,2014 - 2015,0.75
,,2015 - 2016,0.71
,,2016 - 2017,0.67
,,2017 - 2018,0.56
,,2018 - 2019,0.71
,,2019 - 2020,0.68
,,2020 - 2021,0.71
,,2021 - 2022,0.71
,,2022 - 2023,0.75
,Kamrup,2000 - 2001,0.32
,,2001 - 2002,0.32
,,2002 - 2003,0.32
,,2003 - 2004,0.32
,,2004 - 2005,0.3
,,2005 - 2006,0.3
,,2006 - 2007,0.35
,,2007 - 2008,0.34
,,2008 - 2009,0.34
,,2009 - 2010,0.34
,,2010 - 2011,0.35
,,2011 - 2012,0.34
,,2012 - 2013,0.51
,,2013 - 2014,0.51
,,2014 - 2015,0.64
,,2015 - 2016,0.33
,,2016 - 2017,0.32
,,2017 - 2018,0.33
,,2018 - 2019,0.33
,,2019 - 2020,0.33
,,2020 - 2021,0.33
,,2021 - 2022,0.34
,,2022 - 2023,0.95
,Kamrup metro,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.33
,,2010 - 2011,0.33
,,2011 - 2012,0.33
,,2012 - 2013,0.4
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.6
,,2016 - 2017,0.33
,,2017 - 2018,0.33
,,2018 - 2019,0.36
,,2019 - 2020,0.4
,,2020 - 2021,0.5
,,2021 - 2022,0.42
,,2022 - 2023,1.13
,Karbi anglong,2000 - 2001,0.5
,,2001 - 2002,0.59
,,2002 - 2003,0.5
,,2003 - 2004,0.56
,,2004 - 2005,0.51
,,2005 - 2006,0.52
,,2006 - 2007,0.53
,,2007 - 2008,0.51
,,2008 - 2009,0.52
,,2009 - 2010,0.52
,,2010 - 2011,0.52
,,2011 - 2012,0.54
,,2012 - 2013,0.56
,,2013 - 2014,0.52
,,2014 - 2015,0.72
,,2015 - 2016,0.77
,,2016 - 2017,0.77
,,2017 - 2018,0.77
,,2018 - 2019,0.71
,,2019 - 2020,0.77
,,2020 - 2021,0.77
,,2021 - 2022,0.77
,,2022 - 2023,0.77
,Karimganj,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.43
,,2007 - 2008,0.33
,,2008 - 2009,0.5
,,2009 - 2010,0.4
,,2010 - 2011,0.4
,,2011 - 2012,0.33
,,2012 - 2013,0.5
,,2013 - 2014,0.57
,,2014 - 2015,0.71
,,2015 - 2016,0.57
,,2016 - 2017,0.57
,,2017 - 2018,0.29
,,2018 - 2019,0.38
,,2019 - 2020,0.43
,,2020 - 2021,0.2
,,2021 - 2022,0.8
,,2022 - 2023,0.75
,Kokrajhar,2000 - 2001,0.51
,,2001 - 2002,0.51
,,2002 - 2003,0.51
,,2003 - 2004,0.51
,,2004 - 2005,0.51
,,2005 - 2006,0.51
,,2006 - 2007,0.5
,,2007 - 2008,0.51
,,2008 - 2009,0.52
,,2009 - 2010,0.52
,,2010 - 2011,0.51
,,2011 - 2012,0.53
,,2012 - 2013,0.55
,,2013 - 2014,0.56
,,2014 - 2015,0.69
,,2015 - 2016,0.54
,,2016 - 2017,0.57
,,2017 - 2018,0.56
,,2018 - 2019,0.56
,,2019 - 2020,0.55
,,2020 - 2021,0.58
,,2021 - 2022,0.55
,,2022 - 2023,1.1
,Lakhimpur,2000 - 2001,0.4
,,2001 - 2002,0.4
,,2002 - 2003,0.46
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.46
,,2007 - 2008,0.4
,,2008 - 2009,0.44
,,2009 - 2010,0.4
,,2010 - 2011,0.39
,,2011 - 2012,0.45
,,2012 - 2013,0.46
,,2013 - 2014,0.43
,,2014 - 2015,0.57
,,2015 - 2016,0.81
,,2016 - 2017,0.7
,,2017 - 2018,0.56
,,2018 - 2019,0.5
,,2019 - 2020,0.55
,,2020 - 2021,0.5
,,2021 - 2022,0.55
,,2022 - 2023,0.74
,Majuli,2020 - 2021,0.72
,,2021 - 2022,0.7
,,2022 - 2023,0.72
,Marigaon,2000 - 2001,0.27
,,2001 - 2002,0.27
,,2002 - 2003,0.27
,,2003 - 2004,0.27
,,2004 - 2005,0.27
,,2005 - 2006,0.27
,,2006 - 2007,0.27
,,2007 - 2008,0.27
,,2008 - 2009,0.27
,,2009 - 2010,0.27
,,2010 - 2011,0.27
,,2011 - 2012,0.41
,,2012 - 2013,0.44
,,2013 - 2014,0.47
,,2014 - 2015,0.57
,,2015 - 2016,0.63
,,2016 - 2017,0.64
,,2017 - 2018,0.65
,,2018 - 2019,0.65
,,2019 - 2020,0.6
,,2020 - 2021,0.71
,,2021 - 2022,0.71
,,2022 - 2023,1.15
,Nagaon,2000 - 2001,0.43
,,2001 - 2002,0.43
,,2002 - 2003,0.42
,,2003 - 2004,0.43
,,2004 - 2005,0.43
,,2005 - 2006,0.44
,,2006 - 2007,0.44
,,2007 - 2008,0.43
,,2008 - 2009,0.44
,,2009 - 2010,0.42
,,2010 - 2011,0.44
,,2011 - 2012,0.43
,,2012 - 2013,0.47
,,2013 - 2014,0.49
,,2014 - 2015,0.6
,,2015 - 2016,0.59
,,2016 - 2017,0.68
,,2017 - 2018,0.76
,,2018 - 2019,0.82
,,2019 - 2020,0.74
,,2020 - 2021,0.95
,,2021 - 2022,0.92
,,2022 - 2023,0.68
,Nalbari,2000 - 2001,0.45
,,2001 - 2002,0.44
,,2002 - 2003,0.45
,,2003 - 2004,0.44
,,2004 - 2005,0.44
,,2005 - 2006,0.46
,,2006 - 2007,0.42
,,2007 - 2008,0.42
,,2008 - 2009,0.5
,,2009 - 2010,0.44
,,2010 - 2011,0.5
,,2011 - 2012,0.47
,,2012 - 2013,0.47
,,2013 - 2014,0.5
,,2014 - 2015,0.65
,,2015 - 2016,0.47
,,2016 - 2017,0.7
,,2017 - 2018,0.78
,,2018 - 2019,0.72
,,2019 - 2020,0.71
,,2020 - 2021,0.72
,,2021 - 2022,0.83
,,2022 - 2023,0.8
,Sivasagar,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.56
,,2005 - 2006,0.43
,,2006 - 2007,0.25
,,2007 - 2008,0.36
,,2008 - 2009,0.33
,,2009 - 2010,0.67
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,0.75
,,2013 - 2014,0.63
,,2014 - 2015,0.83
,,2015 - 2016,0.6
,,2016 - 2017,0.6
,,2017 - 2018,0.6
,,2018 - 2019,0.67
,Sonitpur,2000 - 2001,0.73
,,2001 - 2002,0.73
,,2002 - 2003,0.73
,,2003 - 2004,0.68
,,2004 - 2005,0.71
,,2005 - 2006,0.72
,,2006 - 2007,0.73
,,2007 - 2008,0.74
,,2008 - 2009,0.74
,,2009 - 2010,0.74
,,2010 - 2011,0.74
,,2011 - 2012,0.75
,,2012 - 2013,0.8
,,2013 - 2014,0.8
,,2014 - 2015,1.01
,,2015 - 2016,0.71
,,2016 - 2017,0.72
,,2017 - 2018,0.62
,,2018 - 2019,0.69
,,2019 - 2020,0.7
,,2020 - 2021,0.71
,,2021 - 2022,0.75
,,2022 - 2023,0.75
,South salmara mancachar,2020 - 2021,0.85
,,2021 - 2022,0.83
,,2022 - 2023,0.8
,Tinsukia,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.52
,,2005 - 2006,0.52
,,2006 - 2007,0.67
,,2007 - 2008,0.5
,,2008 - 2009,0.57
,,2009 - 2010,0.67
,,2010 - 2011,0.5
,,2011 - 2012,0.71
,,2012 - 2013,0.67
,,2013 - 2014,0.67
,,2014 - 2015,0.71
,,2015 - 2016,0.45
,,2016 - 2017,0.67
,,2017 - 2018,0.67
,,2018 - 2019,0.67
,,2019 - 2020,0.67
,,2020 - 2021,0.6
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,Udalguri,2005 - 2006,0.61
,,2006 - 2007,0.59
,,2007 - 2008,0.6
,,2008 - 2009,0.67
,,2009 - 2010,0.57
,,2010 - 2011,0.57
,,2011 - 2012,0.57
,,2012 - 2013,0.63
,,2013 - 2014,0.67
,,2014 - 2015,0.8
,,2015 - 2016,0.68
,,2016 - 2017,0.7
,,2017 - 2018,0.65
,,2018 - 2019,0.82
,,2019 - 2020,0.84
,,2020 - 2021,0.83
,,2021 - 2022,0.87
,,2022 - 2023,0.8
,West karbi anglong,2020 - 2021,0.76
,,2021 - 2022,0.76
,,2022 - 2023,0.77
Bihar,Araria,2000 - 2001,0.9
,,2001 - 2002,0.61
,,2002 - 2003,0.52
,,2003 - 2004,0.51
,,2004 - 2005,0.83
,,2005 - 2006,0.94
,,2006 - 2007,0.95
,,2007 - 2008,0.96
,,2008 - 2009,0.56
,,2009 - 2010,0.57
,,2010 - 2011,0.56
,,2011 - 2012,0.69
,,2012 - 2013,3.65
,,2013 - 2014,1.15
,,2014 - 2015,0.96
,,2015 - 2016,0.98
,,2016 - 2017,1.12
,,2017 - 2018,1.15
,,2018 - 2019,1.21
,Arwal,2003 - 2004,1.07
,,2004 - 2005,0.71
,,2005 - 2006,0.69
,,2007 - 2008,0.8
,,2008 - 2009,0.83
,,2009 - 2010,0.85
,,2010 - 2011,0.86
,,2011 - 2012,1.29
,,2012 - 2013,1.4
,,2013 - 2014,1.12
,,2014 - 2015,1.1
,,2015 - 2016,0.79
,,2016 - 2017,1.26
,,2017 - 2018,1.13
,,2018 - 2019,1.78
,,2019 - 2020,0.61
,,2020 - 2021,1.13
,,2021 - 2022,1.08
,,2022 - 2023,1.05
,Aurangabad,2000 - 2001,1.0
,,2001 - 2002,1.22
,,2002 - 2003,0.87
,,2003 - 2004,0.95
,,2004 - 2005,0.75
,,2005 - 2006,0.68
,,2006 - 2007,1.14
,,2007 - 2008,1.08
,,2008 - 2009,0.79
,,2009 - 2010,0.92
,,2010 - 2011,0.85
,,2011 - 2012,1.27
,,2012 - 2013,0.96
,,2013 - 2014,0.78
,,2014 - 2015,0.86
,,2015 - 2016,0.81
,,2016 - 2017,0.88
,,2017 - 2018,1.06
,,2018 - 2019,0.92
,,2019 - 2020,0.52
,,2020 - 2021,0.61
,,2021 - 2022,0.9
,,2022 - 2023,0.98
,Banka,2000 - 2001,0.77
,,2001 - 2002,0.65
,,2002 - 2003,0.47
,,2003 - 2004,0.68
,,2004 - 2005,0.67
,,2005 - 2006,0.89
,,2006 - 2007,0.83
,,2007 - 2008,0.89
,,2008 - 2009,1.01
,,2009 - 2010,0.87
,,2010 - 2011,0.67
,,2011 - 2012,0.92
,,2012 - 2013,0.96
,,2013 - 2014,1.27
,,2014 - 2015,0.95
,,2015 - 2016,0.85
,,2016 - 2017,1.37
,,2017 - 2018,0.82
,,2018 - 2019,0.82
,,2019 - 2020,0.77
,,2020 - 2021,0.72
,,2021 - 2022,0.74
,,2022 - 2023,0.87
,Begusarai,2000 - 2001,1.05
,,2001 - 2002,0.7
,,2002 - 2003,0.96
,,2003 - 2004,0.96
,,2004 - 2005,0.61
,,2005 - 2006,0.88
,,2006 - 2007,0.75
,,2007 - 2008,1.11
,,2008 - 2009,0.88
,,2009 - 2010,1.29
,,2010 - 2011,0.93
,,2011 - 2012,1.07
,,2012 - 2013,1.08
,,2013 - 2014,1.46
,,2014 - 2015,0.86
,,2015 - 2016,1.07
,,2016 - 2017,1.07
,,2017 - 2018,1.24
,,2018 - 2019,1.24
,,2021 - 2022,0.89
,,2022 - 2023,1.0
,Bhagalpur,2000 - 2001,0.88
,,2001 - 2002,0.88
,,2002 - 2003,0.73
,,2003 - 2004,0.83
,,2004 - 2005,0.67
,,2005 - 2006,0.49
,,2006 - 2007,0.6
,,2007 - 2008,0.71
,,2008 - 2009,0.97
,,2009 - 2010,0.84
,,2010 - 2011,1.07
,,2011 - 2012,1.03
,,2012 - 2013,1.06
,,2013 - 2014,1.29
,,2014 - 2015,0.7
,,2015 - 2016,0.78
,,2016 - 2017,0.83
