state,district,year,potato_kharif_yield_tonne_per_hectare
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajkot,2011 - 2012,
,,2021 - 2022,
,Sabar kantha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Surat,2011 - 2012,
,,2018 - 2019,
,Surendranagar,2009 - 2010,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,Vadodara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Haryana,Ambala,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Bhiwani,2000 - 2001,
,,2001 - 2002,
,,2007 - 2008,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Charki dadri,2018 - 2019,
,,2019 - 2020,
,Faridabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Fatehabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Gurgaon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2006 - 2007,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Hisar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Jhajjar,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Jind,2005 - 2006,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Kaithal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Karnal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Kurukshetra,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Mahendragarh,2001 - 2002,
,,2002 - 2003,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Mewat,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Palwal,2008 - 2009,
,,2009 - 2010,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Panchkula,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Panipat,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Rewari,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Rohtak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Sirsa,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Sonipat,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Yamunanagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
Himachal Pradesh,Bilaspur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,8.68
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,4.43
,Chamba,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,10.31
,,2008 - 2009,7.24
,,2009 - 2010,5.24
,,2010 - 2011,5.33
,,2011 - 2012,5.06
,,2012 - 2013,4.85
,,2013 - 2014,4.67
,,2014 - 2015,4.37
,,2015 - 2016,5.19
,,2016 - 2017,5.35
,,2017 - 2018,5.41
,,2018 - 2019,5.41
,,2019 - 2020,5.41
,,2020 - 2021,8.74
,,2021 - 2022,8.74
,Hamirpur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,8.67
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,4.0
,,2021 - 2022,4.0
,Kangra,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,7.88
,,2008 - 2009,11.55
,,2009 - 2010,13.5
,,2010 - 2011,13.21
,,2011 - 2012,12.88
,,2012 - 2013,14.08
,,2013 - 2014,12.63
,,2014 - 2015,13.99
,,2015 - 2016,11.88
,,2016 - 2017,13.59
,,2017 - 2018,12.47
,,2018 - 2019,9.67
,,2019 - 2020,9.67
,,2020 - 2021,4.78
,,2021 - 2022,5.45
,Kinnaur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,8.81
,,2008 - 2009,7.28
,,2009 - 2010,7.78
,,2010 - 2011,7.93
,,2011 - 2012,6.34
,,2012 - 2013,6.53
,,2013 - 2014,7.55
,,2014 - 2015,6.34
,,2015 - 2016,7.63
,,2016 - 2017,7.63
,,2017 - 2018,7.73
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,8.01
,,2021 - 2022,8.02
,Kullu,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,8.41
,,2008 - 2009,20.71
,,2009 - 2010,22.65
,,2010 - 2011,22.66
,,2011 - 2012,23.12
,,2012 - 2013,23.71
,,2013 - 2014,22.38
,,2014 - 2015,22.56
,,2015 - 2016,15.21
,,2016 - 2017,23.08
,,2017 - 2018,20.58
,,2018 - 2019,8.59
,,2019 - 2020,8.59
,,2020 - 2021,12.19
,,2021 - 2022,12.19
,Lahul and spiti,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,18.49
,,2008 - 2009,21.13
,,2009 - 2010,24.13
,,2010 - 2011,22.98
,,2011 - 2012,23.12
,,2012 - 2013,22.96
,,2013 - 2014,24.14
,,2014 - 2015,23.6
,,2015 - 2016,18.1
,,2016 - 2017,22.63
,,2017 - 2018,22.63
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,18.25
,,2021 - 2022,18.25
,Mandi,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,9.9
,,2008 - 2009,7.89
,,2009 - 2010,7.91
,,2010 - 2011,7.88
,,2011 - 2012,7.68
,,2012 - 2013,7.98
,,2013 - 2014,7.84
,,2014 - 2015,7.76
,,2015 - 2016,7.71
,,2016 - 2017,7.71
,,2017 - 2018,7.76
,,2018 - 2019,1.79
,,2019 - 2020,5.79
,,2020 - 2021,8.66
,,2021 - 2022,8.66
,Shimla,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,7.73
,,2008 - 2009,6.53
,,2009 - 2010,6.09
,,2010 - 2011,6.08
,,2011 - 2012,6.09
,,2012 - 2013,6.25
,,2013 - 2014,6.59
,,2014 - 2015,6.19
,,2015 - 2016,6.09
,,2016 - 2017,6.09
,,2017 - 2018,6.13
,,2018 - 2019,3.97
,,2019 - 2020,8.97
,,2020 - 2021,7.79
,,2021 - 2022,7.79
,Sirmaur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,8.29
,,2008 - 2009,8.26
,,2009 - 2010,8.44
,,2010 - 2011,8.67
,,2011 - 2012,9.02
,,2012 - 2013,8.92
,,2013 - 2014,9.06
,,2014 - 2015,8.78
,,2015 - 2016,9.02
,,2016 - 2017,9.02
,,2017 - 2018,9.02
,,2018 - 2019,2.74
,,2019 - 2020,6.75
,,2020 - 2021,8.08
,,2021 - 2022,8.08
,Solan,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,2.48
,,2008 - 2009,10.0
,,2009 - 2010,11.75
,,2010 - 2011,3.44
,,2011 - 2012,9.67
,,2012 - 2013,2.12
,,2013 - 2014,2.85
,,2014 - 2015,2.26
,,2015 - 2016,12.33
,,2016 - 2017,12.33
,,2017 - 2018,4.54
,,2018 - 2019,4.59
,,2019 - 2020,4.62
,,2020 - 2021,6.9
,,2021 - 2022,7.0
,Una,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,8.97
,,2008 - 2009,9.92
,,2009 - 2010,8.33
,,2010 - 2011,8.7
,,2011 - 2012,8.46
,,2012 - 2013,10.42
,,2013 - 2014,8.71
,,2014 - 2015,8.76
,,2015 - 2016,8.47
,,2016 - 2017,8.61
,,2017 - 2018,8.61
,,2018 - 2019,10.99
,,2019 - 2020,7.99
,,2020 - 2021,11.43
,,2021 - 2022,11.44
Jammu and Kashmir,Anantnag,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,13.62
,,2006 - 2007,10.66
,,2007 - 2008,1.95
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,4.62
,,2011 - 2012,7.7
,,2012 - 2013,9.93
,,2013 - 2014,
,,2014 - 2015,5.13
,,2015 - 2016,7.96
,,2016 - 2017,9.73
,,2017 - 2018,47.8
,,2018 - 2019,47.8
,,2019 - 2020,11.53
,,2020 - 2021,6.77
,,2021 - 2022,
,,2022 - 2023,
,Badgam,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,
,,2007 - 2008,5.63
,,2008 - 2009,
,,2009 - 2010,8.73
,,2010 - 2011,3.02
,,2011 - 2012,3.08
,,2012 - 2013,7.57
,,2013 - 2014,
,,2014 - 2015,4.4
,,2015 - 2016,3.86
,,2016 - 2017,
,,2017 - 2018,5.41
,,2018 - 2019,
,,2019 - 2020,11.53
,,2020 - 2021,7.0
,,2021 - 2022,
,,2022 - 2023,
,Bandipora,2007 - 2008,6.86
,,2008 - 2009,
,,2009 - 2010,6.14
,,2010 - 2011,0.99
,,2011 - 2012,11.15
,,2012 - 2013,11.25
,,2013 - 2014,
,,2014 - 2015,12.3
,,2015 - 2016,10.75
,,2016 - 2017,11.38
,,2017 - 2018,11.23
,,2018 - 2019,11.23
,,2019 - 2020,12.89
,,2020 - 2021,7.0
,,2021 - 2022,
,,2022 - 2023,
,Baramulla,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,12.26
,,2006 - 2007,6.68
,,2009 - 2010,7.1
,,2011 - 2012,4.44
,,2014 - 2015,10.6
,,2015 - 2016,8.0
,,2016 - 2017,9.75
,,2017 - 2018,12.1
,,2018 - 2019,12.23
,,2019 - 2020,11.53
,,2020 - 2021,7.0
,Doda,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,2.45
,,2006 - 2007,3.24
,,2007 - 2008,2.65
,,2011 - 2012,10.36
,,2014 - 2015,8.84
,,2015 - 2016,3.56
,,2016 - 2017,3.92
,,2017 - 2018,8.68
,,2018 - 2019,8.17
,,2019 - 2020,4.64
,,2020 - 2021,2.63
,,2021 - 2022,
,,2022 - 2023,
,Ganderbal,2007 - 2008,5.62
,,2010 - 2011,2.04
,,2011 - 2012,3.72
,,2012 - 2013,3.56
,,2014 - 2015,0.88
,,2015 - 2016,7.96
,,2016 - 2017,9.73
,,2017 - 2018,12.15
,,2018 - 2019,12.23
,,2019 - 2020,11.53
,,2020 - 2021,3.36
,,2021 - 2022,
,,2022 - 2023,
,Jammu,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,3.84
,,2006 - 2007,3.94
,,2007 - 2008,5.56
,,2008 - 2009,
,,2009 - 2010,9.91
,,2010 - 2011,6.88
,,2011 - 2012,20.6
,,2012 - 2013,10.35
,,2013 - 2014,
,,2014 - 2015,8.84
,,2015 - 2016,
,,2016 - 2017,3.93
,,2017 - 2018,8.69
,,2018 - 2019,
,,2019 - 2020,9.2
,,2020 - 2021,31.77
,,2021 - 2022,
,,2022 - 2023,
,Kargil,2008 - 2009,
,,2009 - 2010,9.34
,,2010 - 2011,9.35
,,2011 - 2012,9.35
,,2012 - 2013,9.35
,,2013 - 2014,
,,2014 - 2015,9.35
,,2015 - 2016,0.0
,,2016 - 2017,9.35
,,2017 - 2018,9.31
,,2018 - 2019,9.31
,Kathua,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,2.92
,,2006 - 2007,4.7
,,2007 - 2008,4.89
,,2008 - 2009,
,,2009 - 2010,6.97
,,2010 - 2011,7.49
,,2011 - 2012,2.51
,,2012 - 2013,7.24
,,2013 - 2014,
,,2014 - 2015,3.55
,,2015 - 2016,3.66
,,2016 - 2017,3.93
,,2017 - 2018,4.28
,,2018 - 2019,4.27
,,2019 - 2020,8.55
,,2020 - 2021,8.51
,,2021 - 2022,
,,2022 - 2023,
,Kishtwar,2007 - 2008,2.64
,,2009 - 2010,4.55
,,2010 - 2011,6.88
,,2012 - 2013,10.15
,,2014 - 2015,11.0
,,2016 - 2017,3.93
,,2017 - 2018,7.37
,,2018 - 2019,7.37
,,2019 - 2020,6.08
,,2020 - 2021,5.33
,Kulgam,2007 - 2008,1.95
,,2008 - 2009,
,,2009 - 2010,4.01
,,2010 - 2011,16.43
,,2011 - 2012,7.54
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,7.96
,,2016 - 2017,11.79
,,2017 - 2018,7.83
,,2018 - 2019,16.9
,,2019 - 2020,18.91
,,2020 - 2021,10.51
,,2021 - 2022,
,,2022 - 2023,
,Kupwara,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,1.19
,,2006 - 2007,8.19
,,2007 - 2008,9.07
,,2009 - 2010,8.2
,,2010 - 2011,7.46
,,2011 - 2012,6.52
,,2012 - 2013,4.35
,,2014 - 2015,10.61
,,2015 - 2016,7.96
,,2016 - 2017,9.73
,,2017 - 2018,11.6
,,2018 - 2019,11.6
,,2019 - 2020,6.13
,,2020 - 2021,8.22
,Leh ladakh,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,9.34
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,9.3
,,2013 - 2014,
,,2014 - 2015,9.3
,,2015 - 2016,0.0
,,2016 - 2017,9.3
,,2017 - 2018,9.38
,,2018 - 2019,9.38
,Poonch,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,2.12
,,2006 - 2007,3.46
,,2007 - 2008,3.93
,,2009 - 2010,5.81
,,2010 - 2011,6.88
,,2011 - 2012,6.1
,,2012 - 2013,3.76
,,2014 - 2015,5.2
,,2015 - 2016,3.65
,,2016 - 2017,3.93
,,2017 - 2018,9.65
,,2018 - 2019,9.65
,,2019 - 2020,17.21
,,2020 - 2021,8.71
,Pulwama,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,2.65
,,2006 - 2007,12.34
,,2007 - 2008,5.53
,,2008 - 2009,
,,2009 - 2010,4.07
,,2010 - 2011,4.63
,,2011 - 2012,8.05
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,12.23
,,2019 - 2020,11.53
,,2020 - 2021,7.0
,,2021 - 2022,
,,2022 - 2023,
,Rajauri,2002 - 2003,
,,2003 - 2004,
,,2012 - 2013,50.1
,,2017 - 2018,
,,2021 - 2022,
,,2022 - 2023,
,Reasi,2007 - 2008,
,,2008 - 2009,
,Samba,2007 - 2008,5.57
,,2010 - 2011,6.88
,,2011 - 2012,13.7
,,2012 - 2013,
,,2013 - 2014,
,Shopian,2007 - 2008,5.53
,,2009 - 2010,8.28
,,2010 - 2011,5.83
,,2011 - 2012,2.17
,,2012 - 2013,11.15
,,2014 - 2015,10.61
,,2015 - 2016,3.43
,,2016 - 2017,9.73
,,2017 - 2018,13.64
,,2018 - 2019,13.64
,,2019 - 2020,23.8
,,2020 - 2021,11.52
,Srinagar,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,7.26
,,2006 - 2007,9.22
,,2007 - 2008,5.63
,,2008 - 2009,
,,2009 - 2010,7.1
,,2010 - 2011,4.63
,,2011 - 2012,7.7
,,2012 - 2013,4.03
,,2013 - 2014,
,,2014 - 2015,13.74
,,2015 - 2016,13.05
,,2016 - 2017,1.86
,,2017 - 2018,12.15
,,2018 - 2019,12.23
,,2019 - 2020,4.27
,,2020 - 2021,7.0
,,2021 - 2022,
,,2022 - 2023,
,Udhampur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,5.98
,,2006 - 2007,4.17
,,2007 - 2008,6.17
,,2008 - 2009,
,,2009 - 2010,4.6
,,2010 - 2011,6.14
,,2011 - 2012,7.24
,,2012 - 2013,6.31
,,2013 - 2014,
,,2014 - 2015,10.79
,,2015 - 2016,3.66
,,2016 - 2017,3.93
,,2017 - 2018,12.31
,,2018 - 2019,12.75
,,2019 - 2020,10.06
,,2020 - 2021,5.11
,,2021 - 2022,
,,2022 - 2023,
Jharkhand,Bokaro,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Chatra,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Deoghar,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Dhanbad,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Dumka,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,East singhbum,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Garhwa,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Giridih,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Godda,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Gumla,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,Hazaribagh,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
