state,district,year,cowpea_rabi_yield_tonne_per_hectare
,Visakhapatanam,2011 - 2012,0.8
,,2012 - 2013,1.0
,,2013 - 2014,0.82
,,2014 - 2015,0.31
,,2015 - 2016,0.34
,,2016 - 2017,0.67
,,2017 - 2018,0.28
,,2018 - 2019,0.16
,,2019 - 2020,0.31
,,2020 - 2021,0.35
,,2021 - 2022,0.43
,,2022 - 2023,
,Vizianagaram,2019 - 2020,1.0
,West godavari,2011 - 2012,0.8
,,2013 - 2014,0.82
,,2014 - 2015,0.45
,,2015 - 2016,0.22
,,2016 - 2017,0.57
,,2017 - 2018,0.26
,,2018 - 2019,0.51
,,2019 - 2020,0.53
,,2020 - 2021,1.0
,,2021 - 2022,1.0
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
Haryana,Hisar,2021 - 2022,
Jammu and Kashmir,Badgam,2006 - 2007,
,Bandipora,2010 - 2011,
,,2015 - 2016,
,,2016 - 2017,
,Baramulla,2006 - 2007,
,,2011 - 2012,
,,2015 - 2016,
,,2016 - 2017,
,Jammu,2006 - 2007,0.68
,,2010 - 2011,2.01
,,2015 - 2016,0.55
,,2016 - 2017,0.55
,Kathua,2015 - 2016,0.9
,,2016 - 2017,0.9
,Kishtwar,2015 - 2016,0.55
,Leh ladakh,2010 - 2011,2.05
,Samba,2015 - 2016,0.55
Karnataka,Bagalkot,2010 - 2011,0.26
,,2011 - 2012,0.35
,,2012 - 2013,0.33
,,2013 - 2014,0.42
,,2014 - 2015,0.37
,,2015 - 2016,0.44
,,2016 - 2017,0.02
,,2017 - 2018,0.41
,,2018 - 2019,0.28
,,2019 - 2020,0.49
,,2020 - 2021,0.7
,,2021 - 2022,0.64
,,2022 - 2023,0.58
,Bangalore rural,2010 - 2011,0.33
,,2011 - 2012,0.36
,,2012 - 2013,0.33
,,2013 - 2014,0.44
,,2014 - 2015,0.38
,,2015 - 2016,0.45
,,2016 - 2017,
,,2017 - 2018,0.38
,,2018 - 2019,
,,2019 - 2020,0.4
,,2020 - 2021,0.75
,,2021 - 2022,0.75
,,2022 - 2023,0.6
,Belgaum,2010 - 2011,0.26
,,2011 - 2012,0.35
,,2012 - 2013,0.33
,,2013 - 2014,0.42
,,2014 - 2015,0.37
,,2015 - 2016,0.45
,,2016 - 2017,0.03
,,2017 - 2018,0.41
,,2018 - 2019,0.28
,,2019 - 2020,0.49
,,2020 - 2021,0.7
,,2021 - 2022,0.64
,,2022 - 2023,0.58
,Bellary,2010 - 2011,0.26
,,2011 - 2012,0.27
,,2012 - 2013,0.33
,,2013 - 2014,0.42
,,2014 - 2015,0.37
,,2015 - 2016,0.44
,,2016 - 2017,0.02
,,2017 - 2018,0.41
,,2018 - 2019,0.28
,,2019 - 2020,0.49
,,2020 - 2021,0.7
,,2021 - 2022,0.64
,,2022 - 2023,0.58
,Bengaluru urban,2010 - 2011,0.28
,,2011 - 2012,0.36
,,2012 - 2013,0.33
,,2013 - 2014,0.41
,,2014 - 2015,0.37
,,2015 - 2016,0.5
,,2016 - 2017,0.0
,,2017 - 2018,0.36
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2020 - 2021,1.0
,,2021 - 2022,
,,2022 - 2023,1.0
,Bidar,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,0.27
,,2019 - 2020,0.5
,,2020 - 2021,0.7
,,2021 - 2022,0.64
,,2022 - 2023,
,Bijapur,2010 - 2011,0.26
,,2011 - 2012,0.35
,,2012 - 2013,0.33
,,2013 - 2014,0.43
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,0.28
,,2019 - 2020,0.49
,,2020 - 2021,0.69
,,2021 - 2022,0.64
,,2022 - 2023,0.58
,Chamarajanagar,2010 - 2011,0.26
,,2011 - 2012,0.35
,,2012 - 2013,0.33
,,2013 - 2014,0.32
,,2014 - 2015,
,,2015 - 2016,0.44
,,2016 - 2017,
,,2017 - 2018,0.45
,,2018 - 2019,0.28
,,2019 - 2020,0.49
,,2020 - 2021,0.7
,,2021 - 2022,0.64
,,2022 - 2023,0.58
,Chikballapur,2010 - 2011,0.25
,,2011 - 2012,0.36
,,2012 - 2013,0.35
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.5
,,2020 - 2021,0.71
,,2021 - 2022,0.63
,,2022 - 2023,0.58
,Chikmagalur,2010 - 2011,0.27
,,2011 - 2012,0.35
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.5
,,2020 - 2021,0.6
,,2021 - 2022,0.64
,,2022 - 2023,0.58
,Chitradurga,2010 - 2011,0.27
,,2011 - 2012,0.36
,,2012 - 2013,0.32
,,2013 - 2014,0.42
,,2014 - 2015,0.37
,,2015 - 2016,0.44
,,2016 - 2017,0.02
,,2017 - 2018,0.41
,,2018 - 2019,0.28
,,2019 - 2020,0.48
,,2020 - 2021,0.69
,,2021 - 2022,0.64
,,2022 - 2023,0.58
,Dakshin kannad,2010 - 2011,0.26
,,2011 - 2012,0.35
,,2012 - 2013,0.34
,,2013 - 2014,0.42
,,2014 - 2015,0.36
,,2015 - 2016,0.45
,,2016 - 2017,0.03
,,2017 - 2018,0.4
,,2018 - 2019,0.29
,,2019 - 2020,0.5
,,2020 - 2021,
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Davangere,2010 - 2011,0.26
,,2011 - 2012,0.45
,,2012 - 2013,0.45
,,2013 - 2014,0.67
,,2014 - 2015,0.49
,,2015 - 2016,0.44
,,2016 - 2017,0.02
,,2017 - 2018,0.48
,,2018 - 2019,0.28
,,2019 - 2020,0.49
,,2020 - 2021,0.7
,,2021 - 2022,0.64
,,2022 - 2023,0.58
,Dharwad,2010 - 2011,0.26
,,2011 - 2012,0.35
,,2012 - 2013,0.32
,,2013 - 2014,0.41
,,2014 - 2015,0.35
,,2015 - 2016,0.44
,,2016 - 2017,0.04
,,2017 - 2018,0.4
,,2018 - 2019,0.27
,,2019 - 2020,0.49
,,2020 - 2021,0.7
,,2021 - 2022,0.64
,,2022 - 2023,0.58
,Gadag,2010 - 2011,0.26
,,2011 - 2012,0.59
,,2012 - 2013,
,,2013 - 2014,0.0
,,2014 - 2015,0.4
,,2015 - 2016,0.4
,,2016 - 2017,0.0
,,2017 - 2018,0.38
,,2018 - 2019,0.29
,,2019 - 2020,0.49
,,2020 - 2021,0.7
,,2021 - 2022,0.64
,,2022 - 2023,0.58
,Gulbarga,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.33
,,2020 - 2021,0.67
,,2021 - 2022,0.63
,,2022 - 2023,0.58
,Hassan,2010 - 2011,0.26
,,2011 - 2012,0.38
,,2012 - 2013,0.3
,,2013 - 2014,0.45
,,2014 - 2015,0.42
,,2015 - 2016,0.53
,,2016 - 2017,0.02
,,2017 - 2018,0.48
,,2018 - 2019,0.28
,,2019 - 2020,0.49
,,2020 - 2021,0.7
,,2021 - 2022,0.64
,,2022 - 2023,0.58
,Haveri,2010 - 2011,0.26
,,2011 - 2012,0.18
,,2012 - 2013,0.33
,,2013 - 2014,0.42
,,2014 - 2015,0.37
,,2015 - 2016,0.44
,,2016 - 2017,0.02
,,2017 - 2018,0.41
,,2018 - 2019,0.28
,,2019 - 2020,0.49
,,2020 - 2021,0.7
,,2021 - 2022,0.64
,,2022 - 2023,0.58
,Kodagu,2010 - 2011,0.26
,,2011 - 2012,0.36
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Kolar,2010 - 2011,0.28
,,2011 - 2012,0.37
,,2012 - 2013,0.36
,,2013 - 2014,0.43
,,2014 - 2015,0.36
,,2015 - 2016,0.5
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
