state,district,year,cowpea_rabi_yield_tonne_per_hectare
,Jajapur,2019 - 2020,
,Jharsuguda,2019 - 2020,0.75
,Kalahandi,2019 - 2020,0.75
,Kandhamal,2019 - 2020,0.5
,Kendrapara,2019 - 2020,0.75
,Kendujhar,2019 - 2020,0.72
,Khordha,2019 - 2020,0.72
,Koraput,2019 - 2020,0.74
,Malkangiri,2019 - 2020,0.71
,Mayurbhanj,2019 - 2020,0.72
,Nabarangpur,2019 - 2020,0.72
,Nayagarh,2019 - 2020,0.75
,Puri,2019 - 2020,0.75
,Rayagada,2019 - 2020,0.76
,Sambalpur,2019 - 2020,0.73
,Sonepur,2019 - 2020,0.72
,Sundargarh,2019 - 2020,0.72
Tamil Nadu,Ariyalur,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.63
,,2022 - 2023,
,Chengalpattu,2020 - 2021,1.0
,,2021 - 2022,0.5
,,2022 - 2023,
,Coimbatore,2017 - 2018,0.46
,,2018 - 2019,0.87
,,2019 - 2020,0.41
,,2020 - 2021,0.29
,,2021 - 2022,0.25
,,2022 - 2023,0.21
,Cuddalore,2017 - 2018,0.65
,,2018 - 2019,0.85
,,2019 - 2020,0.7
,,2020 - 2021,0.67
,,2021 - 2022,0.62
,,2022 - 2023,0.47
,Dharmapuri,2017 - 2018,0.6
,,2018 - 2019,0.84
,,2019 - 2020,0.7
,,2020 - 2021,
,,2021 - 2022,0.67
,,2022 - 2023,0.47
,Dindigul,2017 - 2018,0.72
,,2018 - 2019,0.96
,,2019 - 2020,0.84
,,2020 - 2021,0.49
,,2021 - 2022,0.54
,,2022 - 2023,0.57
,Erode,2017 - 2018,0.65
,,2018 - 2019,0.85
,,2019 - 2020,0.7
,,2020 - 2021,0.66
,,2021 - 2022,0.62
,,2022 - 2023,0.47
,Kallakurichi,2020 - 2021,0.7
,,2021 - 2022,
,Kanchipuram,2017 - 2018,0.67
,,2018 - 2019,1.0
,,2019 - 2020,0.7
,,2022 - 2023,0.48
,Kanniyakumari,2017 - 2018,0.5
,,2018 - 2019,1.0
,,2019 - 2020,
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,Karur,2017 - 2018,0.65
,,2018 - 2019,0.85
,,2019 - 2020,0.7
,,2020 - 2021,0.67
,,2021 - 2022,0.62
,,2022 - 2023,0.47
,Krishnagiri,2017 - 2018,0.65
,,2018 - 2019,0.85
,,2019 - 2020,0.7
,,2020 - 2021,0.67
,,2021 - 2022,0.62
,,2022 - 2023,0.47
,Madurai,2017 - 2018,0.65
,,2018 - 2019,0.84
,,2019 - 2020,0.62
,,2020 - 2021,0.87
,,2021 - 2022,0.62
,,2022 - 2023,0.6
,Namakkal,2017 - 2018,0.65
,,2018 - 2019,0.85
,,2019 - 2020,0.7
,,2020 - 2021,0.67
,,2021 - 2022,0.62
,,2022 - 2023,0.47
,Perambalur,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.67
,,2020 - 2021,
,,2021 - 2022,0.75
,,2022 - 2023,
,Pudukkottai,2017 - 2018,0.65
,,2018 - 2019,0.85
,,2019 - 2020,0.7
,,2020 - 2021,0.67
,,2021 - 2022,0.63
,,2022 - 2023,0.48
,Ramanathapuram,2017 - 2018,0.65
,,2018 - 2019,0.85
,,2019 - 2020,0.7
,,2020 - 2021,0.67
,,2021 - 2022,0.62
,,2022 - 2023,0.47
,Ranipet,2020 - 2021,0.67
,,2021 - 2022,0.62
,,2022 - 2023,0.47
,Salem,2017 - 2018,0.8
,,2018 - 2019,0.76
,,2019 - 2020,0.79
,,2020 - 2021,1.0
,,2021 - 2022,0.62
,,2022 - 2023,0.55
,Sivaganga,2017 - 2018,0.64
,,2018 - 2019,0.85
,,2019 - 2020,0.7
,,2020 - 2021,0.66
,,2021 - 2022,0.62
,,2022 - 2023,0.47
,Theni,2017 - 2018,0.62
,,2018 - 2019,1.02
,,2019 - 2020,0.77
,,2020 - 2021,0.59
,,2021 - 2022,0.79
,,2022 - 2023,0.36
,Thenkasi,2020 - 2021,0.67
,,2021 - 2022,0.61
,,2022 - 2023,0.47
,Thiruvallur,2017 - 2018,0.0
,,2018 - 2019,
,,2019 - 2020,0.69
,,2020 - 2021,0.63
,,2021 - 2022,0.67
,,2022 - 2023,0.5
,Thoothukudi,2017 - 2018,0.65
,,2018 - 2019,0.85
,,2019 - 2020,0.69
,,2020 - 2021,0.67
,,2021 - 2022,0.62
,,2022 - 2023,0.45
,Tiruchirappalli,2017 - 2018,0.65
,,2018 - 2019,0.85
,,2019 - 2020,0.7
,,2020 - 2021,0.67
,,2021 - 2022,0.62
,,2022 - 2023,0.47
,Tirunelveli,2017 - 2018,0.65
,,2018 - 2019,0.85
,,2019 - 2020,0.7
,,2020 - 2021,0.67
,,2021 - 2022,0.59
,,2022 - 2023,0.45
,Tirupathur,2020 - 2021,0.67
,,2021 - 2022,0.62
,,2022 - 2023,0.47
,Tiruppur,2017 - 2018,0.45
,,2018 - 2019,0.29
,,2019 - 2020,0.36
,,2020 - 2021,0.7
,,2021 - 2022,0.73
,,2022 - 2023,0.4
,Tiruvannamalai,2017 - 2018,0.65
,,2018 - 2019,0.85
,,2019 - 2020,0.7
,,2020 - 2021,0.67
,,2021 - 2022,0.62
,,2022 - 2023,0.47
,Vellore,2017 - 2018,0.65
,,2018 - 2019,0.85
,,2019 - 2020,0.7
,,2020 - 2021,0.6
,,2021 - 2022,
,,2022 - 2023,
,Villupuram,2017 - 2018,0.65
,,2018 - 2019,0.86
,,2019 - 2020,0.69
,,2020 - 2021,0.75
,,2021 - 2022,0.67
,,2022 - 2023,1.0
,Virudhunagar,2017 - 2018,0.65
,,2018 - 2019,0.85
,,2019 - 2020,0.7
,,2020 - 2021,0.67
,,2021 - 2022,0.62
,,2022 - 2023,0.47
Telangana,Adilabad,2011 - 2012,0.82
,,2013 - 2014,0.82
,,2014 - 2015,0.99
,,2015 - 2016,2.67
,,2016 - 2017,1.14
,,2017 - 2018,1.33
,,2018 - 2019,1.11
,,2019 - 2020,0.95
,,2020 - 2021,1.08
,,2021 - 2022,0.67
,,2022 - 2023,1.0
,Bhadradri,2016 - 2017,1.57
,,2017 - 2018,1.54
,,2018 - 2019,1.25
,,2019 - 2020,0.97
,,2020 - 2021,1.09
,,2021 - 2022,0.66
,,2022 - 2023,1.0
,Jagitial,2016 - 2017,2.16
,,2017 - 2018,1.36
,,2018 - 2019,1.99
,,2019 - 2020,1.23
,,2020 - 2021,1.09
,,2021 - 2022,0.66
,,2022 - 2023,0.9
,Jangoan,2016 - 2017,0.5
,,2017 - 2018,1.3
,,2018 - 2019,1.12
,,2019 - 2020,1.0
,,2020 - 2021,1.09
,,2021 - 2022,0.66
,,2022 - 2023,0.89
,Jayashankar,2016 - 2017,0.5
,,2017 - 2018,1.3
,,2018 - 2019,1.13
,,2019 - 2020,0.98
,,2020 - 2021,1.09
,,2021 - 2022,0.66
,,2022 - 2023,0.89
,Jogulamba,2016 - 2017,1.13
,,2017 - 2018,1.3
,,2018 - 2019,1.12
,,2019 - 2020,0.99
,,2020 - 2021,1.88
,,2021 - 2022,1.29
,,2022 - 2023,1.25
,Kamareddy,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,1.0
,,2020 - 2021,1.09
,,2021 - 2022,0.69
,,2022 - 2023,
,Karimnagar,2011 - 2012,0.8
,,2012 - 2013,3.0
,,2013 - 2014,1.03
,,2014 - 2015,1.72
,,2015 - 2016,1.31
,,2016 - 2017,2.17
,,2017 - 2018,1.29
,,2018 - 2019,1.11
,,2019 - 2020,0.97
,,2020 - 2021,1.1
,,2021 - 2022,0.66
,,2022 - 2023,0.9
,Khammam,2011 - 2012,0.8
,,2012 - 2013,1.0
,,2013 - 2014,0.64
,,2014 - 2015,1.41
,,2015 - 2016,1.23
,,2016 - 2017,1.57
,,2017 - 2018,1.3
,,2018 - 2019,1.13
,,2019 - 2020,0.97
,,2020 - 2021,1.09
,,2021 - 2022,0.81
,,2022 - 2023,0.9
,Komaram bheem asifabad,2016 - 2017,
,,2017 - 2018,1.29
,,2018 - 2019,1.1
,,2019 - 2020,0.96
,,2020 - 2021,1.09
,,2021 - 2022,0.66
,,2022 - 2023,0.91
,Mahabubabad,2016 - 2017,0.5
,,2017 - 2018,1.3
,,2018 - 2019,0.86
,,2019 - 2020,1.05
,,2020 - 2021,0.82
,,2021 - 2022,0.33
,,2022 - 2023,0.6
,Mahbubnagar,2011 - 2012,0.8
,,2013 - 2014,0.81
,,2014 - 2015,0.98
,,2015 - 2016,2.68
,,2016 - 2017,1.14
,,2017 - 2018,1.29
,,2018 - 2019,1.14
,,2019 - 2020,1.0
,,2020 - 2021,1.09
,,2021 - 2022,0.66
,,2022 - 2023,0.88
,Mancherial,2016 - 2017,1.17
,,2018 - 2019,
,,2019 - 2020,1.0
,,2020 - 2021,1.11
,,2021 - 2022,0.66
,,2022 - 2023,1.0
,Medak,2011 - 2012,0.8
,,2012 - 2013,1.0
,,2013 - 2014,0.82
,,2014 - 2015,1.13
,,2015 - 2016,0.9
,,2016 - 2017,1.11
,,2017 - 2018,1.5
,,2018 - 2019,
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.66
,,2022 - 2023,1.0
,Medchal,2021 - 2022,0.7
,,2022 - 2023,1.0
,Mulugu,2018 - 2019,1.12
,,2019 - 2020,0.97
,,2020 - 2021,1.37
,,2021 - 2022,0.66
,,2022 - 2023,0.9
,Nagarkurnool,2016 - 2017,
,,2017 - 2018,1.25
,,2019 - 2020,0.97
,,2020 - 2021,1.09
,,2021 - 2022,0.69
,,2022 - 2023,0.89
,Nalgonda,2011 - 2012,0.8
,,2012 - 2013,0.67
,,2013 - 2014,0.24
,,2014 - 2015,0.22
,,2015 - 2016,0.27
,,2016 - 2017,0.26
,,2017 - 2018,1.3
,,2018 - 2019,1.12
,,2019 - 2020,0.98
,,2020 - 2021,1.09
,,2021 - 2022,0.65
,,2022 - 2023,0.9
,Narayanapet,2018 - 2019,
,,2019 - 2020,0.96
,,2020 - 2021,1.09
,,2021 - 2022,0.66
,,2022 - 2023,0.9
,Nirmal,2016 - 2017,1.11
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,1.0
,,2021 - 2022,0.67
,,2022 - 2023,0.9
,Nizamabad,2011 - 2012,
,,2013 - 2014,
,,2015 - 2016,2.63
,,2019 - 2020,
,,2020 - 2021,1.0
,,2021 - 2022,0.64
,,2022 - 2023,1.0
,Peddapalli,2016 - 2017,2.16
,,2017 - 2018,1.3
,,2018 - 2019,1.13
,,2019 - 2020,1.0
,,2020 - 2021,1.11
,,2021 - 2022,0.67
,,2022 - 2023,0.86
,Rajanna,2016 - 2017,2.13
,,2017 - 2018,1.4
,,2018 - 2019,1.17
,,2019 - 2020,1.0
,,2020 - 2021,1.07
,,2021 - 2022,0.66
,,2022 - 2023,1.0
,Rangareddi,2011 - 2012,0.8
,,2013 - 2014,0.82
,,2014 - 2015,0.98
,,2015 - 2016,2.68
,,2016 - 2017,
,,2019 - 2020,1.0
,,2020 - 2021,1.13
,,2021 - 2022,0.66
,,2022 - 2023,1.0
,Sangareddy,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.65
,,2022 - 2023,0.86
,Siddipet,2016 - 2017,1.13
,,2017 - 2018,1.41
,,2018 - 2019,1.12
,,2019 - 2020,0.97
,,2020 - 2021,0.55
,,2021 - 2022,0.66
,,2022 - 2023,1.25
,Suryapet,2016 - 2017,0.26
,,2017 - 2018,0.88
,,2018 - 2019,0.62
,,2019 - 2020,0.12
,,2020 - 2021,1.09
,,2021 - 2022,0.65
,,2022 - 2023,0.92
,Vikarabad,2016 - 2017,1.13
,,2017 - 2018,1.3
,,2018 - 2019,1.12
,,2019 - 2020,1.0
,,2020 - 2021,1.12
,,2021 - 2022,0.66
,,2022 - 2023,0.9
,Wanaparthy,2016 - 2017,1.14
,,2017 - 2018,1.32
,,2018 - 2019,1.13
,,2019 - 2020,1.0
,,2020 - 2021,1.11
,,2021 - 2022,0.66
,,2022 - 2023,0.86
,Warangal,2011 - 2012,0.8
,,2012 - 2013,0.5
,,2013 - 2014,0.82
,,2014 - 2015,0.33
,,2015 - 2016,8.34
,,2016 - 2017,0.5
,,2017 - 2018,1.31
,,2018 - 2019,1.12
,,2019 - 2020,0.98
,,2020 - 2021,1.09
,,2021 - 2022,0.41
,,2022 - 2023,0.88
,Warangal urban,2016 - 2017,0.49
,,2017 - 2018,1.3
,,2018 - 2019,1.13
,,2019 - 2020,0.97
,,2020 - 2021,1.09
,,2021 - 2022,0.66
,,2022 - 2023,0.91
,Yadadri,2016 - 2017,0.33
,,2017 - 2018,1.3
,,2018 - 2019,1.11
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.67
,,2022 - 2023,1.0
Tripura,Dhalai,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gomati,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khowai,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,North tripura,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sepahijala,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South tripura,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Unakoti,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West tripura,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
